Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
119,Kyle Williams,BUF,DT,15,42,22,9.5,5.0,35.5,13,0,0,0,0,0,5.9,89.05,2016
120,James Harrison,PIT,LB,15,41,14,9.0,5.0,39.0,8,1,1,2,0,0,5.9,88.9,2016
120,Janoris Jenkins,NYG,CB,15,44,5,5.5,1.0,9.0,1,18,3,0,0,0,5.9,88.9,2016
122,David Harris,NYJ,LB,15,62,32,5.0,0.5,3.0,2,2,0,0,0,0,5.9,88.3,2016
123,DeShawn Shead,SEA,CB,15,56,24,0.0,0.0,0.0,0,14,1,1,0,0,5.9,88.0,2016
123,Deone Bucannon,ARI,ILB,13,64,24,5.0,0.0,0.0,0,4,0,0,1,0,6.8,88.0,2016
123,Steven Nelson,KC,CB,15,58,6,4.0,0.0,0.0,1,16,0,0,2,0,5.9,88.0,2016
126,Ahmad Brooks,SF,OLB,16,40,12,11.0,6.0,29.0,9,4,0,1,0,0,5.5,87.9,2016
127,Sheldon Richardson,NYJ,DT,15,38,24,13.0,1.5,13.0,9,2,0,1,2,0,5.8,87.3,2016
128,Barry Church,DAL,SS,12,61,24,2.0,0.0,0.0,2,4,2,0,0,0,7.2,87.0,2016
128,Vernon Hargreaves,TB,CB,16,68,8,3.0,0.0,0.0,0,9,1,0,0,0,5.4,87.0,2016
130,Derrick Morgan,TEN,OLB,15,24,9,11.0,9.0,57.0,22,1,0,0,0,0,5.7,86.2,2016
131,Mario Addison,CAR,DE,14,22,4,11.0,9.5,49.5,15,1,0,2,1,0,6.1,85.95,2016
132,Darian Stewart,DEN,SS,16,55,13,1.0,0.0,0.0,2,6,3,1,1,0,5.3,85.5,2016
132,Xavier Rhodes,MIN,CB,14,44,8,2.5,0.0,0.0,0,11,5,1,0,1,6.1,85.5,2016
132,Robert Alford,ATL,CB,16,49,9,1.0,0.0,0.0,0,19,2,0,0,1,5.3,85.5,2016
132,Ricardo Allen,ATL,SS,16,61,29,0.0,0.0,0.0,1,3,2,0,0,0,5.3,85.5,2016
136,D'Qwell Jackson,IND,ILB,12,52,26,5.0,1.0,12.0,3,3,0,0,2,0,7.1,85.2,2016
137,Ramik Wilson,KC,ILB,11,62,15,3.0,0.0,0.0,0,3,1,0,2,0,7.7,84.5,2016
138,Nick Fairley,NO,DT,16,29,14,9.0,6.5,43.5,22,0,0,0,0,0,5.3,84.35,2016
139,Derek Wolfe,DEN,DE,14,38,13,4.5,5.5,32.0,17,4,0,0,0,0,6.0,84.2,2016
140,Jason McCourty,TEN,CB,14,59,8,0.0,0.0,0.0,0,12,2,0,1,0,6.0,84.0,2016
140,Chris Harris,DEN,CB,16,57,6,1.0,0.0,0.0,0,11,2,1,1,0,5.2,84.0,2016
142,Malik Jackson,JAX,DT,16,28,5,11.5,6.5,39.5,18,4,0,0,1,0,5.2,83.95,2016
143,Isa Abdul-Quddus,MIA,FS,15,49,28,2.5,1.0,2.0,5,5,2,0,0,0,5.6,83.7,2016
144,Kam Chancellor,SEA,SS,12,46,34,3.5,0.0,0.0,0,8,2,1,0,0,7.0,83.5,2016
145,Jerry Hughes,BUF,DE,16,31,17,8.0,6.0,56.0,12,3,0,1,0,0,5.2,83.1,2016
146,David Amerson,OAK,CB,15,56,8,1.0,0.0,0.0,0,16,2,0,0,0,5.5,83.0,2016
146,Trey Flowers,NE,DE,16,23,22,9.5,7.0,45.0,14,1,0,0,2,0,5.2,83.0,2016
148,Kerry Hyder,DET,DE,16,23,13,11.0,8.0,44.0,18,1,0,0,1,0,5.2,82.9,2016
149,Muhammad Wilkerson,NYJ,DE,15,33,26,9.0,4.5,28.5,10,3,0,1,0,0,5.5,82.85,2016
150,Mike Mitchell,PIT,SS,16,55,23,0.0,0.0,0.0,1,9,1,0,1,0,5.2,82.5,2016
151,Jared Crick,DEN,DE,16,32,21,4.5,3.0,11.5,10,6,0,4,0,0,5.1,82.15,2016
152,Fletcher Cox,PHI,DT,16,27,16,10.0,6.5,41.0,11,3,0,1,1,0,5.1,82.1,2016
153,Byron Maxwell,MIA,CB,13,43,10,1.0,0.0,0.0,0,15,2,4,0,0,6.3,82.0,2016
153,Jake Ryan,GB,ILB,14,56,25,7.5,0.0,0.0,3,3,0,0,0,0,5.9,82.0,2016
155,Gerald McCoy,TB,DT,15,25,9,6.0,6.5,44.5,13,4,0,2,2,0,5.5,81.95,2016
