Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
271,Demetrius Harris,KC,TE,15,0,0,0,0,0,12,164,3,0,2.3,34.4,2018
271,Malcolm Brown,LAR,RB,12,0,0,0,212,0,5,52,1,0,2.9,34.4,2018
273,Jason Croom,BUF,TE,15,0,0,0,0,1,22,259,1,2,2.3,33.9,2018
274,Ryan Switzer,PIT,WR,16,0,0,0,21,0,36,253,1,0,2.1,33.4,2018
275,Equanimeous St. Brown,GB,WR,12,0,0,0,5,0,21,328,0,0,2.8,33.3,2018
276,Ed Dickson,SEA,TE,10,0,0,0,9,0,12,143,3,0,3.3,33.2,2018
277,Blaine Gabbert,TEN,QB,8,626,4,4,0,0,0,0,0,0,4.1,33.04,2018
278,Torrey Smith,CAR,WR,11,0,0,0,0,0,17,190,2,0,3.0,33.0,2018
279,Keith Kirkwood,NO,WR,8,0,0,0,0,0,13,209,2,0,4.1,32.9,2018
280,Raheem Mostert,SF,RB,9,0,0,0,261,1,6,25,0,1,3.6,32.6,2018
281,Jeffery Wilson,SF,RB,6,0,0,0,266,0,12,98,0,2,5.4,32.4,2018
282,Levine Toilolo,DET,TE,16,0,0,0,0,0,21,263,1,0,2.0,32.3,2018
283,Trenton Cannon,NYJ,RB,16,0,0,0,113,1,17,144,0,0,2.0,31.7,2018
284,Tavon Austin,DAL,WR,7,0,0,0,55,0,8,140,2,0,4.5,31.5,2018
285,Maurice Harris,WAS,WR,12,0,0,0,10,0,28,304,0,0,2.6,31.4,2018
286,TJ Jones,DET,WR,15,0,0,0,0,0,19,190,2,0,2.1,31.0,2018
286,Matt LaCosse,DEN,TE,15,0,0,0,0,0,24,250,1,0,2.1,31.0,2018
288,James Develin,NE,RB,16,0,0,0,8,4,12,61,0,0,1.9,30.9,2018
289,Russell Shepard,NYG,WR,12,0,0,0,0,0,10,188,2,0,2.6,30.8,2018
290,Taysom Hill,NO,QB,16,64,0,1,196,2,3,4,0,1,1.9,30.56,2018
291,Ryan Griffin,HOU,TE,14,0,0,0,0,0,24,305,0,0,2.2,30.5,2018
291,Wayne Gallman,NYG,RB,15,0,0,0,176,1,14,89,0,1,2.0,30.5,2018
293,Geoff Swaim,DAL,TE,9,0,0,0,0,0,26,242,1,0,3.4,30.2,2018
294,Chase Daniel,CHI,QB,5,515,3,2,3,0,1,8,0,0,5.9,29.7,2018
294,Darren Fells,CLE,TE,16,0,0,0,0,0,11,117,3,0,1.9,29.7,2018
296,Trent Taylor,SF,WR,14,0,0,0,0,0,26,215,1,0,2.1,29.5,2018
297,Travis Benjamin,LAC,WR,12,0,0,0,41,0,12,186,1,0,2.4,28.7,2018
297,Kalen Ballage,MIA,RB,12,0,0,0,191,1,9,56,0,1,2.4,28.7,2018
299,Bruce Ellington,DET,WR,7,0,0,0,2,0,31,224,1,0,4.1,28.6,2018
300,Luke Stocker,TEN,TE,16,0,0,0,0,0,15,165,2,0,1.8,28.5,2018
