Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
87,Emmanuel Sanders,DEN,WR,12,28,1,0,53,1,71,868,4,0,10.6,127.22,2018
88,Chris Godwin,TB,WR,16,0,0,0,0,0,59,842,7,1,7.9,126.2,2018
89,Jared Cook,OAK,TE,16,0,0,0,0,0,68,896,6,0,7.8,125.6,2018
90,Nick Mullens,SF,QB,8,2277,13,10,-16,0,0,0,0,0,15.4,123.48,2018
91,Mark Ingram,NO,RB,12,0,0,0,645,6,21,170,1,1,10.1,121.5,2018
92,Alshon Jeffery,PHI,WR,13,0,0,0,0,0,65,843,6,0,9.3,120.3,2018
93,Isaiah Crowell,NYJ,RB,13,0,0,0,685,6,21,152,0,0,9.2,119.7,2018
94,Corey Davis,TEN,WR,16,0,0,0,55,0,65,891,4,0,7.4,118.6,2018
95,TJ Yeldon,JAX,RB,14,0,0,0,414,1,55,487,4,1,8.4,118.1,2018
96,Larry Fitzgerald,ARI,WR,16,32,1,0,0,0,69,734,6,0,7.3,116.68,2018
97,Sterling Shepard,NYG,WR,16,0,0,0,33,0,66,872,4,0,7.3,116.5,2018
98,Mohamed Sanu,ATL,WR,16,5,1,0,44,0,66,838,4,1,7.3,116.4,2018
99,Josh Rosen,ARI,QB,14,2278,11,14,138,0,0,0,0,5,8.1,112.92,2018
100,Adam Humphries,TB,WR,16,0,0,0,11,0,76,816,5,0,7.0,112.7,2018
101,Dalvin Cook,MIN,RB,11,0,0,0,615,2,40,305,2,2,10.2,112.0,2018
102,DeSean Jackson,TB,WR,12,0,0,0,29,1,41,774,4,0,9.2,110.3,2018
103,Latavius Murray,MIN,RB,16,0,0,0,578,6,22,141,0,0,6.9,109.9,2018
104,Zay Jones,BUF,WR,16,0,0,0,0,0,56,652,7,0,6.8,109.2,2018
105,Golden Tate,PHI,WR,15,0,0,0,34,0,74,795,4,0,7.3,108.9,2018
106,Dede Westbrook,JAX,WR,16,0,0,0,98,0,66,717,5,2,6.7,107.5,2018
107,Kerryon Johnson,DET,RB,10,0,0,0,641,3,32,213,1,1,10.7,107.4,2018
108,Robby Anderson,NYJ,WR,14,0,0,0,-8,0,50,752,6,2,7.6,106.4,2018
109,AJ Green,CIN,WR,9,0,0,0,0,0,46,694,6,1,11.5,103.4,2018
110,Mike Davis,SEA,RB,15,0,0,0,514,4,34,214,1,0,6.9,102.8,2018
