Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
200.0,Isaiah Burse,LAC,WR,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Vince Mayle,BAL,WR,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Tony Lippett,MIA,WR,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Geremy Davis,LAC,WR,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Dezmin Lewis,BUF,WR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Mario Alford,CLE,WR,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Tre McBride,TEN,WR,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Kasen Williams,SEA,WR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Donteea Dye,TB,WR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Isaac Fruechte,MIN,WR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Demarcus Robinson,KC,WR,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Daniel Braverman,CHI,WR,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Rashawn Scott,MIA,WR,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Tevaun Smith,IND,WR,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
200.0,Jake Lampman,NO,WR,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Receiving
216.0,Bralon Addison,CHI,WR,2.0,1.0,1.0,100.0,11.0,0.0,11.0,11.0,11.0,1.0,4.0,4.0,0.0,1.0,1.0,-0.2,-0.5,2016.0,Receiving
217.0,Matthew Slater,NE,WR,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,2.0,1.0,-0.1,-1.5,2016.0,Receiving
218.0,Jakeem Grant,MIA,WR,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,-0.1,-1.9,2016.0,Receiving
219.0,Devin Hester,BAL,WR,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,-0.2,-2.0,2016.0,Receiving
219.0,Keshawn Martin,SF,WR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,2016.0,Receiving
219.0,Khalif Raymond,DEN,WR,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.5,-2.0,2016.0,Receiving
1.0,Antonio Brown,PIT,WR,16.0,193.0,136.0,70.5,1834.0,10.0,59.0,9.5,13.5,3.0,28.0,9.3,0.0,3.0,2.0,15.4,246.2,2015.0,Receiving
2.0,Julio Jones,ATL,WR,16.0,203.0,136.0,67.0,1871.0,8.0,70.0,9.2,13.8,0.0,0.0,0.0,2.0,3.0,1.0,15.3,245.1,2015.0,Receiving
3.0,Brandon Marshall,NYJ,WR,16.0,173.0,109.0,63.0,1502.0,14.0,69.0,8.7,13.8,0.0,0.0,0.0,0.0,3.0,2.0,14.4,230.2,2015.0,Receiving
4.0,Allen Robinson,JAX,WR,16.0,151.0,80.0,53.0,1400.0,14.0,90.0,9.3,17.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,224.0,2015.0,Receiving
5.0,Odell Beckham Jr,NYG,WR,15.0,158.0,96.0,60.8,1450.0,13.0,87.0,9.2,15.1,1.0,3.0,3.0,0.0,2.0,0.0,14.9,223.3,2015.0,Receiving
6.0,DeAndre Hopkins,HOU,WR,16.0,192.0,111.0,57.8,1521.0,11.0,61.0,7.9,13.7,0.0,0.0,0.0,0.0,1.0,0.0,13.8,220.1,2015.0,Receiving
7.0,Doug Baldwin,SEA,WR,16.0,103.0,78.0,75.7,1069.0,14.0,80.0,10.4,13.7,0.0,0.0,0.0,0.0,1.0,0.0,11.9,190.9,2015.0,Receiving
8.0,AJ Green,CIN,WR,16.0,132.0,86.0,65.2,1297.0,10.0,80.0,9.8,15.1,0.0,0.0,0.0,0.0,1.0,1.0,11.7,187.7,2015.0,Receiving
9.0,Calvin Johnson,DET,WR,16.0,149.0,88.0,59.1,1214.0,9.0,57.0,8.1,13.8,0.0,0.0,0.0,0.0,1.0,1.0,10.8,173.4,2015.0,Receiving
10.0,Eric Decker,NYJ,WR,15.0,132.0,80.0,60.6,1027.0,12.0,35.0,7.8,12.8,0.0,0.0,0.0,0.0,1.0,1.0,11.5,172.7,2015.0,Receiving
11.0,Larry Fitzgerald,ARI,WR,16.0,145.0,109.0,75.2,1215.0,9.0,44.0,8.4,11.1,0.0,0.0,0.0,0.0,3.0,2.0,10.7,171.5,2015.0,Receiving
12.0,Brandin Cooks,NO,WR,16.0,129.0,84.0,65.1,1138.0,9.0,71.0,8.8,13.5,8.0,18.0,2.2,0.0,1.0,0.0,10.6,169.6,2015.0,Receiving
13.0,Demaryius Thomas,DEN,WR,16.0,177.0,105.0,59.3,1304.0,6.0,72.0,7.4,12.4,0.0,0.0,0.0,0.0,2.0,2.0,10.2,162.4,2015.0,Receiving
14.0,Allen Hurns,JAX,WR,15.0,105.0,64.0,61.0,1031.0,10.0,80.0,9.8,16.1,0.0,0.0,0.0,0.0,2.0,1.0,10.7,161.1,2015.0,Receiving
15.0,Jarvis Landry,MIA,WR,16.0,166.0,110.0,66.3,1157.0,4.0,50.0,7.0,10.5,18.0,113.0,6.3,1.0,1.0,0.0,10.0,159.36,2015.0,Receiving
16.0,Sammy Watkins,BUF,WR,13.0,96.0,60.0,62.5,1047.0,9.0,63.0,10.9,17.4,1.0,1.0,1.0,0.0,0.0,0.0,12.2,158.8,2015.0,Receiving
17.0,Jeremy Maclin,KC,WR,15.0,124.0,87.0,70.2,1088.0,8.0,61.0,8.8,12.5,3.0,14.0,4.7,0.0,2.0,1.0,10.4,156.2,2015.0,Receiving
18.0,Emmanuel Sanders,DEN,WR,15.0,137.0,76.0,55.5,1135.0,6.0,75.0,8.3,14.9,3.0,29.0,9.7,0.0,2.0,2.0,9.9,148.4,2015.0,Receiving
19.0,Michael Crabtree,OAK,WR,16.0,146.0,85.0,58.2,922.0,9.0,38.0,6.3,10.8,0.0,0.0,0.0,0.0,1.0,0.0,9.1,146.2,2015.0,Receiving
20.0,Jordan Matthews,PHI,WR,16.0,128.0,85.0,66.4,997.0,8.0,78.0,7.8,11.7,0.0,0.0,0.0,0.0,2.0,1.0,9.1,145.7,2015.0,Receiving
21.0,John Brown,ARI,WR,15.0,101.0,65.0,64.4,1003.0,7.0,68.0,9.9,15.4,3.0,22.0,7.3,0.0,2.0,1.0,9.5,142.5,2015.0,Receiving
22.0,T.Y. Hilton,IND,WR,16.0,134.0,69.0,51.5,1124.0,5.0,87.0,8.4,16.3,0.0,0.0,0.0,0.0,1.0,0.0,8.9,142.4,2015.0,Receiving
23.0,James Jones,GB,WR,16.0,99.0,50.0,50.5,890.0,8.0,65.0,9.0,17.8,0.0,0.0,0.0,0.0,1.0,0.0,8.8,141.0,2015.0,Receiving
24.0,Tavon Austin,LAR,WR,16.0,87.0,52.0,59.8,473.0,5.0,66.0,5.4,9.1,52.0,434.0,8.3,4.0,3.0,2.0,8.8,140.7,2015.0,Receiving
24.0,Amari Cooper,OAK,WR,16.0,130.0,72.0,55.4,1070.0,6.0,68.0,8.2,14.9,3.0,-3.0,-1.0,0.0,1.0,1.0,8.8,140.7,2015.0,Receiving
26.0,Ted Ginn,CAR,WR,15.0,96.0,44.0,45.8,739.0,10.0,74.0,7.7,16.8,4.0,60.0,15.0,0.0,0.0,0.0,9.3,139.9,2015.0,Receiving
