Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
1,JJ Watt,HOU,DE,16,57,19,29,17.5,117.5,50,8,0,3,1,0,13.3,212.25,2015
2,Lavonte David,TB,OLB,16,85,62,10,3.0,17.0,5,13,3,2,2,1,11.2,178.7,2015
3,Reshad Jones,MIA,FS,16,106,29,9,2.0,13.0,2,10,5,0,1,2,10.9,174.8,2015
4,D'Qwell Jackson,IND,ILB,16,89,61,10,3.0,12.0,3,10,1,2,2,1,10.7,170.7,2015
5,Khalil Mack,OAK,OLB,16,57,20,23,15.0,89.0,24,2,0,4,0,0,10.6,168.9,2015
6,NaVorro Bowman,SF,ILB,16,116,38,7,2.5,18.5,8,2,0,1,0,0,10.1,161.85,2015
7,Telvin Smith,JAX,OLB,14,99,29,13,2.5,3.0,3,7,1,2,1,1,11.4,159.8,2015
8,Thomas Davis,CAR,OLB,16,75,30,8,5.5,44.0,12,7,4,4,1,0,10.0,159.4,2015
9,Malcolm Smith,OAK,OLB,16,99,23,12,4.0,22.0,6,6,1,3,0,0,9.8,156.7,2015
10,Paul Posluszny,JAX,ILB,14,103,30,13,1.0,10.0,7,6,3,0,0,0,11.1,156.0,2015
11,Deone Bucannon,ARI,ILB,16,90,19,11,3.0,18.0,6,3,1,3,2,1,9.5,151.3,2015
12,Ezekiel Ansah,DET,DE,16,39,8,15,14.5,99.0,34,1,0,4,2,0,9.4,149.9,2015
13,CJ Mosley,BAL,ILB,16,76,40,13,4.0,18.0,9,7,0,1,2,1,9.4,149.8,2015
14,Derrick Johnson,KC,ILB,16,95,21,8,4.0,23.0,5,8,2,2,0,0,9.3,148.8,2015
15,Luke Kuechly,CAR,ILB,13,76,42,7,1.0,5.0,5,10,4,2,1,1,11.4,148.5,2015
16,Aaron Donald,LAR,DT,16,44,25,22,11.0,59.5,37,1,0,0,1,0,9.2,147.45,2015
17,Carlos Dunlap,CIN,DE,16,37,18,16,13.5,91.5,34,1,0,3,1,0,9.1,145.15,2015
18,Corey Graham,BUF,FS,16,91,31,4,1.0,1.0,8,4,2,0,2,1,8.9,142.6,2015
19,Tyrann Mathieu,ARI,FS,14,80,9,11,1.0,9.0,3,17,5,1,0,1,10.2,142.4,2015
20,Melvin Ingram,LAC,DE,16,52,13,14,10.5,73.5,20,6,0,4,1,0,8.9,141.85,2015
21,Muhammad Wilkerson,NYJ,DE,16,39,25,11,12.0,98.5,28,7,0,3,0,0,8.8,140.35,2015
22,Lawrence Timmons,PIT,OLB,16,77,42,6,5.0,36.5,10,6,1,1,0,0,8.7,139.65,2015
23,Malcolm Jenkins,PHI,SS,16,86,18,9,0.0,0.0,0,10,2,3,1,1,8.6,138.0,2015
24,Fletcher Cox,PHI,DT,16,50,21,11,9.5,71.5,20,2,0,3,2,0,8.4,134.65,2015
25,Jamie Collins,NE,OLB,12,51,38,8,5.5,32.5,7,6,1,5,1,1,11.0,132.25,2015
26,Karlos Dansby,CLE,ILB,16,62,46,5,0.0,0.0,6,6,3,3,0,2,8.2,132.0,2015
27,Bobby Wagner,SEA,ILB,15,67,47,2,0.5,4.5,4,7,0,2,3,2,8.8,131.95,2015
28,Mark Barron,LAR,ILB,16,76,37,16,1.0,5.0,4,5,0,3,0,0,8.2,131.0,2015
29,Sean Lee,DAL,OLB,14,76,52,11,2.5,16.0,3,5,1,0,0,0,9.3,130.6,2015
30,Kawann Short,CAR,DT,16,36,19,16,11.0,91.0,18,4,0,3,2,0,8.1,129.6,2015
31,Stephone Anthony,NO,OLB,16,70,42,5,1.0,8.0,4,5,1,2,1,1,8.0,127.8,2015
32,Von Miller,DEN,OLB,16,30,5,9,11.0,78.0,32,1,0,4,3,0,7.8,125.3,2015
