Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
1,Darius Leonard,IND,OLB,15,111,52,16.5,7.0,48.0,8,8,2,4,2,0,14.2,212.3,2018
2,Aaron Donald,LAR,DT,16,41,18,30.0,20.5,183.5,41,1,0,4,2,0,12.5,199.35,2018
3,JJ Watt,HOU,DE,16,47,14,24.0,16.0,126.0,29,4,0,7,0,0,11.0,176.6,2018
4,Luke Kuechly,CAR,ILB,16,93,37,24.5,2.0,8.0,5,6,1,2,1,0,10.2,163.8,2018
5,Cory Littleton,LAR,ILB,16,90,35,9.0,4.0,43.0,4,13,3,0,0,1,10.0,160.8,2018
6,Bobby Wagner,SEA,ILB,15,84,54,6.0,1.0,9.0,8,11,1,2,1,1,10.5,156.9,2018
7,Jamal Adams,NYJ,SS,16,86,29,11.5,3.5,25.0,8,12,1,3,1,0,9.8,156.5,2018
8,TJ Watt,PIT,OLB,16,50,18,17.0,13.0,92.0,23,3,0,6,0,0,9.7,155.2,2018
9,Chris Jones,KC,NT,16,35,5,21.5,15.5,120.0,30,5,1,2,0,1,9.5,152.0,2018
10,Blake Martinez,GB,ILB,16,92,52,10.0,5.0,34.0,6,3,0,0,0,0,9.4,150.4,2018
11,Von Miller,DEN,OLB,16,29,19,16.5,14.5,82.5,27,3,1,5,3,0,9.3,149.25,2018
12,Jaylon Smith,DAL,ILB,16,82,39,7.5,4.0,6.0,6,4,0,3,2,1,9.3,148.6,2018
13,Telvin Smith,JAX,OLB,16,100,34,5.5,1.0,9.0,3,2,2,1,1,1,9.3,148.4,2018
14,Dee Ford,KC,DE,16,42,13,17.5,13.0,73.5,30,1,0,6,0,0,9.3,148.35,2018
15,Danielle Hunter,MIN,DE,16,51,20,21.5,14.5,87.0,19,0,0,0,1,1,9.3,148.2,2018
16,Lavonte David,TB,OLB,14,94,25,14.0,3.5,14.5,7,2,0,1,2,0,10.5,146.95,2018
17,Khalil Mack,CHI,OLB,14,37,10,13.5,12.5,78.0,21,4,1,6,2,1,10.4,146.3,2018
18,Calais Campbell,JAX,DE,16,53,19,23.5,10.5,73.5,22,2,0,1,1,0,9.0,144.35,2018
19,Demario Davis,NO,OLB,16,74,36,12.5,5.0,43.0,12,4,0,2,1,0,9.0,143.8,2018
20,Demarcus Lawrence,DAL,DE,16,42,22,21.0,10.5,82.0,24,1,1,3,1,0,9.0,143.2,2018
21,Tremaine Edmunds,BUF,ILB,15,80,41,5.5,2.0,4.0,7,12,2,2,0,0,9.4,141.4,2018
22,Jayon Brown,TEN,ILB,16,64,33,11.0,6.0,30.5,10,6,1,2,1,1,8.8,140.55,2018
23,Roquan Smith,CHI,ILB,16,89,33,8.0,5.0,37.0,5,5,1,0,0,0,8.8,140.2,2018
24,Leighton Vander Esch,DAL,OLB,16,103,38,3.0,0.0,0.0,1,7,2,0,0,0,8.7,139.0,2018
25,Frank Clark,SEA,DE,16,34,8,14.0,14.0,61.5,27,2,1,4,2,0,8.5,136.15,2018
26,Antoine Bethea,ARI,SS,16,99,21,5.0,3.0,21.0,6,4,0,1,0,0,8.5,135.6,2018
27,Mason Foster,WAS,ILB,16,84,49,4.0,1.0,7.0,1,4,2,1,2,0,8.4,135.2,2018
28,Kiko Alonso,MIA,OLB,15,79,46,3.0,0.0,0.0,3,6,3,3,1,0,9.0,135.0,2018
29,Shawn Williams,CIN,SS,16,81,29,2.0,1.0,0.0,2,9,5,1,0,1,8.4,134.5,2018
30,Avery Williamson,NYJ,ILB,16,79,42,5.5,2.5,17.5,4,6,1,2,1,0,8.4,134.25,2018
31,Myles Garrett,CLE,DE,16,35,9,16.0,13.5,91.5,30,3,0,3,0,0,8.4,133.65,2018
32,Jarrad Davis,DET,ILB,16,73,26,10.0,6.0,45.0,10,5,0,1,1,0,8.3,133.5,2018
33,Jamie Collins,CLE,OLB,16,73,31,14.5,4.0,17.0,7,4,1,1,1,0,8.3,132.7,2018
34,John Johnson,LAR,SS,16,82,37,3.5,0.0,0.0,2,11,4,1,0,0,8.2,132.0,2018
35,Derwin James,LAC,S,16,75,30,4.5,3.5,22.0,6,13,3,0,0,0,8.2,131.7,2018
36,Bradley Chubb,DEN,OLB,16,41,18,16.5,12.0,89.0,22,1,0,2,1,0,8.2,131.4,2018
37,Jason Pierre-Paul,TB,DE,16,48,10,16.5,12.5,84.0,20,2,0,1,1,0,8.2,130.9,2018
38,Deforest Buckner,SF,DT,16,44,23,18.0,12.0,67.0,20,3,0,0,1,0,8.1,130.2,2018
39,Chandler Jones,ARI,DE,16,38,11,17.0,13.0,71.0,20,4,0,3,1,0,8.1,129.6,2018
40,Kyle Van Noy,NE,LB,16,55,37,8.0,3.5,34.0,10,2,1,1,2,1,8.0,127.9,2018
41,Budda Baker,ARI,SS,14,78,24,12.0,2.0,20.5,3,1,0,1,2,1,9.1,127.05,2018
42,Tahir Whitehead,OAK,OLB,16,88,38,8.0,0.0,0.0,1,5,1,1,0,0,7.9,127.0,2018
