Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
1,Chandler Jones,ARI,DE,16,52,7,28.5,17.0,111.0,34,3,0,2,0,0,10.8,172.1,2017
2,CJ Mosley,BAL,ILB,16,97,36,11.5,1.0,13.0,4,7,2,3,2,1,10.5,167.8,2017
3,Bobby Wagner,SEA,ILB,16,96,36,14.0,1.5,13.0,12,6,2,0,1,1,10.5,167.3,2017
4,Calais Campbell,JAX,DE,16,47,20,18.5,14.5,96.0,30,3,0,2,1,1,10.1,162.1,2017
5,Demario Davis,NYJ,OLB,16,97,36,14.0,5.0,18.0,15,3,0,0,1,0,10.1,161.8,2017
6,Cameron Jordan,NO,DE,16,48,14,17.0,13.0,91.5,29,11,1,1,0,1,9.9,159.15,2017
7,Blake Martinez,GB,ILB,16,96,49,11.5,1.0,8.0,2,8,1,1,2,0,9.8,156.8,2017
8,Wesley Woodyard,TEN,ILB,16,84,40,12.5,5.0,23.0,9,5,0,0,2,1,9.7,154.8,2017
9,Demarcus Lawrence,DAL,DE,16,36,23,17.5,14.5,163.0,27,1,0,3,2,0,9.6,153.3,2017
10,Christian Kirksey,CLE,OLB,16,87,52,9.0,3.5,13.5,6,5,0,2,1,0,9.4,150.35,2017
11,Deion Jones,ATL,ILB,16,91,47,11.5,1.0,0.0,0,10,3,1,0,0,9.4,150.0,2017
12,Reshad Jones,MIA,FS,16,93,28,5.5,1.5,4.5,1,5,2,0,3,2,9.3,148.95,2017
13,Luke Kuechly,CAR,ILB,15,74,51,9.5,1.5,6.0,5,6,3,1,2,1,9.8,147.6,2017
14,Joe Schobert,CLE,ILB,16,86,57,6.0,3.0,18.0,6,3,1,2,0,0,9.1,146.3,2017
15,Khalil Mack,OAK,OLB,16,61,17,15.0,10.5,75.5,22,3,0,1,1,0,9.0,144.05,2017
16,Joey Bosa,LAC,DE,16,54,16,14.5,12.5,64.0,23,1,0,3,1,0,9.0,143.9,2017
17,Jadeveon Clowney,HOU,OLB,16,41,18,23.0,9.5,67.0,22,2,0,2,2,1,8.8,140.7,2017
18,Telvin Smith,JAX,OLB,14,76,26,11.5,1.0,1.0,2,5,3,1,2,2,10.0,139.6,2017
19,Yannick Ngakoue,JAX,DE,16,24,6,16.0,12.0,88.0,28,0,0,7,2,1,8.6,136.8,2017
20,Zach Brown,WAS,ILB,13,84,43,13.5,2.5,11.0,5,2,0,1,0,0,10.4,135.1,2017
21,Melvin Ingram,LAC,DE,16,43,13,17.5,10.5,87.5,24,1,0,0,2,1,8.4,133.75,2017
22,Von Miller,DEN,OLB,16,51,6,18.0,10.0,64.5,23,3,0,2,1,0,8.3,133.45,2017
23,Lavonte David,TB,OLB,13,75,25,8.0,0.0,0.0,3,1,0,4,5,1,10.2,132.5,2017
