Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
38.0,Nyheim Hines,IND,RB,16.0,85.0,314.0,3.7,2.0,81.0,63.0,425.0,2.0,1.0,0.0,6.1,97.9,2018.0,Rushing
39.0,Alex Collins,BAL,RB,10.0,114.0,411.0,3.6,7.0,21.0,15.0,105.0,1.0,3.0,3.0,9.4,93.6,2018.0,Rushing
40.0,LeSean McCoy,BUF,RB,14.0,161.0,514.0,3.2,3.0,46.0,34.0,238.0,0.0,0.0,0.0,6.7,93.2,2018.0,Rushing
41.0,Frank Gore,MIA,RB,14.0,156.0,722.0,4.6,0.0,16.0,12.0,124.0,1.0,1.0,0.0,6.5,90.6,2018.0,Rushing
42.0,Wendell Smallwood,PHI,RB,16.0,87.0,364.0,4.2,3.0,35.0,28.0,230.0,2.0,2.0,1.0,5.6,89.4,2018.0,Rushing
43.0,Jalen Richard,OAK,RB,16.0,55.0,259.0,4.7,1.0,81.0,68.0,607.0,0.0,3.0,2.0,5.5,88.6,2018.0,Rushing
44.0,Carlos Hyde,JAX,RB,14.0,172.0,571.0,3.3,5.0,17.0,10.0,33.0,0.0,2.0,1.0,6.3,88.4,2018.0,Rushing
45.0,Gus Edwards,BAL,RB,11.0,137.0,718.0,5.2,2.0,2.0,2.0,20.0,0.0,0.0,0.0,8.0,87.8,2018.0,Rushing
46.0,Jamaal Williams,GB,RB,16.0,121.0,464.0,3.8,3.0,41.0,27.0,210.0,0.0,0.0,0.0,5.5,87.4,2018.0,Rushing
47.0,Royce Freeman,DEN,RB,14.0,130.0,521.0,4.0,5.0,20.0,14.0,72.0,0.0,1.0,1.0,6.2,87.3,2018.0,Rushing
48.0,Duke Johnson,CLE,RB,16.0,40.0,201.0,5.0,0.0,62.0,47.0,429.0,3.0,1.0,0.0,5.3,85.0,2018.0,Rushing
49.0,Alfred Blue,HOU,RB,16.0,150.0,499.0,3.3,2.0,27.0,20.0,154.0,0.0,0.0,0.0,4.8,77.3,2018.0,Rushing
50.0,LeGarrette Blount,DET,RB,16.0,154.0,418.0,2.7,5.0,15.0,10.0,67.0,0.0,2.0,1.0,4.8,76.5,2018.0,Rushing
51.0,Damien Williams,KC,RB,14.0,50.0,256.0,5.1,4.0,24.0,23.0,160.0,2.0,1.0,1.0,5.4,75.6,2018.0,Rushing
52.0,Josh Adams,PHI,RB,13.0,120.0,511.0,4.3,3.0,13.0,7.0,58.0,0.0,1.0,1.0,5.8,74.9,2018.0,Rushing
53.0,Ito Smith,ATL,RB,14.0,90.0,315.0,3.5,4.0,32.0,27.0,152.0,0.0,1.0,0.0,5.0,70.7,2018.0,Rushing
54.0,Elijah McGuire,NYJ,RB,8.0,92.0,276.0,3.0,3.0,31.0,19.0,193.0,1.0,2.0,2.0,8.4,66.9,2018.0,Rushing
55.0,Chris Ivory,BUF,RB,13.0,115.0,385.0,3.3,1.0,21.0,13.0,205.0,0.0,1.0,0.0,5.0,65.0,2018.0,Rushing
56.0,Marshawn Lynch,OAK,RB,6.0,90.0,376.0,4.2,3.0,20.0,15.0,84.0,0.0,0.0,0.0,10.7,64.0,2018.0,Rushing
57.0,Jaylen Samuels,PIT,FB,14.0,56.0,256.0,4.6,0.0,29.0,26.0,199.0,3.0,1.0,0.0,4.5,63.5,2018.0,Rushing
58.0,CJ Anderson,LAR,RB,11.0,67.0,403.0,6.0,2.0,9.0,5.0,41.0,1.0,0.0,0.0,5.7,62.4,2018.0,Rushing
59.0,Rashaad Penny,SEA,RB,14.0,85.0,419.0,4.9,2.0,12.0,9.0,75.0,0.0,0.0,0.0,4.4,61.4,2018.0,Rushing
60.0,Giovani Bernard,CIN,RB,12.0,56.0,211.0,3.8,3.0,48.0,35.0,218.0,0.0,0.0,0.0,5.1,60.9,2018.0,Rushing
61.0,Alfred Morris,SF,RB,12.0,111.0,428.0,3.9,2.0,14.0,8.0,73.0,0.0,2.0,1.0,5.0,60.1,2018.0,Rushing
62.0,Corey Clement,PHI,RB,11.0,68.0,259.0,3.8,2.0,25.0,22.0,192.0,0.0,4.0,0.0,5.4,59.1,2018.0,Rushing
63.0,Spencer Ware,KC,RB,13.0,51.0,246.0,4.8,2.0,23.0,20.0,224.0,0.0,0.0,0.0,4.5,59.0,2018.0,Rushing
64.0,Javorius Allen,BAL,RB,14.0,41.0,110.0,2.7,3.0,43.0,35.0,196.0,2.0,1.0,1.0,4.2,58.6,2018.0,Rushing
65.0,Theo Riddick,DET,RB,14.0,40.0,171.0,4.3,0.0,74.0,61.0,384.0,0.0,0.0,0.0,4.0,55.5,2018.0,Rushing
66.0,Chris Thompson,WAS,RB,10.0,43.0,178.0,4.1,0.0,55.0,41.0,268.0,1.0,1.0,0.0,5.1,50.6,2018.0,Rushing
67.0,Zach Zenner,DET,RB,8.0,55.0,265.0,4.8,3.0,10.0,7.0,56.0,0.0,0.0,0.0,6.3,50.1,2018.0,Rushing
68.0,Devontae Booker,DEN,RB,16.0,34.0,183.0,5.4,1.0,51.0,38.0,275.0,0.0,1.0,1.0,3.1,49.8,2018.0,Rushing
69.0,Bilal Powell,NYJ,RB,7.0,80.0,343.0,4.3,0.0,18.0,11.0,110.0,1.0,2.0,1.0,7.0,49.3,2018.0,Rushing
70.0,Kenneth Dixon,BAL,RB,6.0,60.0,333.0,5.6,2.0,7.0,6.0,51.0,0.0,2.0,1.0,8.1,48.4,2018.0,Rushing
