TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Packers,30.2,121,248,1445,5.8,86,24,49,49,10,14,71.4,21,187,33:44,6
Jets,21.3,64,181,956,5.3,54,19,42,45.2,7,11,63.6,12,100,28:50,1
Steelers,26.7,80,197,937,4.8,63,20,38,52.6,8,11,72.7,19,173,34:11,-3
Bears,24.5,49,141,738,5.2,38,11,31,35.5,4,4,100,17,160,32:34,-2
Seahawks,32.5,65,121,691,5.7,37,9,28,32.1,5,7,71.4,9,59,25:24,1
Ravens,27,54,131,516,3.9,38,14,29,48.3,4,8,50,8,94,34:38,2
Saints,36,36,83,474,5.7,32,6,13,46.2,4,7,57.1,7,39,32:1,0
Patriots,21,21,78,372,4.8,26,5,14,35.7,2,4,50,6,44,34:56,-1
Eagles,16,16,60,352,5.9,18,5,13,38.5,1,3,33.3,7,50,28:0,1
Colts,16,16,54,312,5.8,16,6,13,46.2,0,1,0,2,10,26:53,1
Falcons,21,21,48,194,4,15,3,10,30,2,3,66.7,7,32,21:41,-3
Chiefs,7,7,40,161,4,8,1,8,12.5,0,0,0,5,40,18:16,-3
