TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Patriots,30.3,91,240,1429,6,88,23,45,51.1,10,13,76.9,18,156,38:30,0
Rams,19.7,59,204,1097,5.4,63,14,40,35,4,8,50,20,170,32:53,0
Chiefs,31,62,125,723,5.8,47,8,23,34.8,6,7,85.7,10,82,30:21,2
Saints,21.5,43,135,710,5.3,44,14,29,48.3,4,7,57.1,14,104,34:16,1
Cowboys,23,46,123,688,5.6,42,5,21,23.8,5,6,83.3,10,62,29:18,-1
Colts,17,34,120,688,5.7,41,9,23,39.1,3,6,50,12,80,26:42,0
Chargers,25.5,51,129,578,4.5,36,11,30,36.7,4,6,66.7,10,68,28:40,0
Eagles,15,30,111,550,5,36,8,20,40,3,4,75,7,55,26:29,-3
Bears,15,15,63,356,5.7,17,5,16,31.2,0,3,0,3,52,29:12,2
Texans,7,7,68,322,4.7,20,3,13,23.1,1,2,50,8,67,28:46,0
Seahawks,22,22,52,299,5.8,11,2,13,15.4,2,3,66.7,5,36,25:10,1
Ravens,17,17,59,229,3.9,11,5,15,33.3,1,2,50,7,41,26:20,-2
