TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Giants,25.5,102,286,1610,5.6,84,28,63,44.4,7,15,46.7,23,187,35:12,6
Patriots,28.3,85,194,1188,6.1,77,14,29,48.3,9,14,64.3,8,53,25:20,-4
Saints,38.5,77,161,1098,6.8,60,12,25,48,5,8,62.5,3,18,34:28,-4
49ers,26.5,53,125,735,5.9,32,5,28,17.9,2,5,40,9,83,28:29,2
Broncos,19.5,39,126,699,5.5,33,10,28,35.7,2,7,28.6,10,85,31:14,1
Texans,22,44,120,655,5.5,35,11,27,40.7,2,3,66.7,8,107,29:12,-1
Ravens,20,40,133,625,4.7,30,13,33,39.4,3,7,42.9,6,33,32:26,6
Lions,28,28,53,412,7.8,22,7,10,70,4,4,100,7,64,22:24,0
Steelers,23,23,68,400,5.9,21,7,16,43.8,1,2,50,6,61,31:6,0
Packers,20,20,73,388,5.3,25,6,12,50,2,3,66.7,3,20,30:25,-3
Bengals,10,10,65,300,4.6,21,6,13,46.2,1,3,33.3,3,25,30:17,-3
Falcons,2,2,64,247,3.9,14,4,14,28.6,0,1,0,3,15,25:26,0
