TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Patriots,36,108,214,1196,5.6,82,26,43,60.5,12,14,85.7,18,141,33:59,2
Seahawks,27.7,83,175,1141,6.5,56,18,39,46.2,6,11,54.5,21,170,28:45,1
Colts,19,57,193,1055,5.5,62,14,38,36.8,5,9,55.6,22,156,30:07,-3
Panthers,22,44,142,748,5.3,46,14,31,45.2,4,7,57.1,13,115,36:34,-3
Ravens,30.5,61,128,727,5.7,47,5,20,25,6,8,75,9,79,29:41,1
Packers,24,48,131,722,5.5,42,12,28,42.9,3,6,50,15,132,31:48,3
Cowboys,22.5,45,109,630,5.8,39,10,22,45.5,4,6,66.7,11,81,31:33,2
Lions,20,20,67,397,5.9,19,4,11,36.4,1,2,50,8,44,29:33,-2
Steelers,17,17,72,387,5.4,22,5,16,31.2,1,3,33.3,8,114,35:17,-2
Broncos,13,13,68,288,4.2,19,4,16,25,1,1,100,2,8,25:59,1
Bengals,10,10,59,254,4.3,14,6,15,40,1,1,100,6,45,25:50,0
Cardinals,16,16,47,78,1.7,8,3,12,25,2,3,66.7,7,38,22:54,0
