TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Falcons,17.5,70,253,1464,5.8,78,19,51,37.3,5,11,45.5,36,315,30:58,-4
Cardinals,18.8,75,281,1449,5.2,86,26,59,44.1,6,10,60,17,147,34:23,-8
Chiefs,19,76,278,1421,5.1,90,26,59,44.1,6,13,46.2,31,321,34:10,-2
Patriots,21.2,85,259,1400,5.4,76,13,51,25.5,5,15,33.3,30,261,29:06,6
49ers,21.2,85,258,1389,5.4,77,19,52,36.5,6,12,50,26,215,26:34,-1
Titans,22.8,91,225,1381,6.1,77,15,39,38.5,7,10,70,20,142,32:36,0
Panthers,20,80,277,1371,4.9,74,26,64,40.6,5,17,29.4,30,268,32:20,3
Broncos,20,80,259,1345,5.2,78,16,52,30.8,6,12,50,27,223,30:52,-2
Colts,18.2,73,239,1325,5.5,73,23,53,43.4,4,11,36.4,32,321,30:34,0
Lions,21,84,257,1311,5.1,71,28,63,44.4,4,12,33.3,35,313,30:18,-2
Seahawks,19.5,78,258,1293,5,75,17,56,30.4,6,9,66.7,36,295,30:24,1
Buccaneers,19.8,79,288,1280,4.4,82,19,62,30.6,5,12,41.7,26,212,31:40,-4
Cowboys,24.8,99,219,1261,5.8,72,11,41,26.8,8,10,80,37,324,27:08,2
Saints,14.8,59,271,1248,4.6,81,25,56,44.6,5,12,41.7,28,257,30:01,-7
Bills,13.8,55,282,1246,4.4,73,19,63,30.2,5,11,45.5,39,345,34:36,0
Raiders,19.5,78,221,1232,5.6,56,17,49,34.7,4,7,57.1,40,334,28:41,-4
Ravens,23.5,94,263,1214,4.6,86,24,56,42.9,8,12,66.7,28,243,31:34,0
Bengals,19.2,77,250,1203,4.8,74,24,54,44.4,7,10,70,25,182,31:32,1
Redskins,20,80,245,1199,4.9,64,17,56,30.4,6,9,66.7,39,310,32:20,5
Rams,20.8,83,251,1193,4.8,72,15,50,30,9,13,69.2,26,163,29:15,-5
Chargers,15,60,239,1169,4.9,66,24,58,41.4,3,7,42.9,30,232,30:18,-2
Texans,25.5,102,254,1160,4.6,72,21,56,37.5,7,14,50,23,210,32:39,7
Jets,15.2,61,256,1148,4.5,61,14,60,23.3,4,9,44.4,21,207,28:04,1
Eagles,20.2,81,260,1144,4.4,64,27,61,44.3,6,9,66.7,36,295,32:48,3
Jaguars,18.8,75,233,1140,4.9,61,15,51,29.4,5,9,55.6,45,393,29:28,-2
Dolphins,17,68,250,1134,4.5,68,24,57,42.1,7,13,53.8,31,255,31:53,4
Packers,16.2,65,279,1098,3.9,66,26,72,36.1,7,12,58.3,27,232,35:13,5
Vikings,21.2,85,233,1040,4.5,63,20,55,36.4,4,12,33.3,23,248,30:42,8
Bears,12.5,50,238,1002,4.2,61,17,55,30.9,4,10,40,23,177,27:46,1
Steelers,12.5,50,211,933,4.4,47,19,52,36.5,3,5,60,28,225,27:05,-3
Giants,12,48,226,915,4,49,13,53,24.5,3,7,42.9,29,198,26:38,-2
Browns,11,44,205,856,4.2,51,12,48,25,2,7,28.6,30,249,24:22,1
