TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Texans,24.5,98,284,1777,6.3,100,23,50,46,6,10,60,25,269,34:53,1
Saints,24.2,97,280,1593,5.7,92,27,58,46.6,10,17,58.8,32,245,32:20,-4
Eagles,21.8,87,297,1588,5.3,95,26,59,44.1,9,15,60,23,170,28:38,-5
Jets,26.2,105,290,1515,5.2,91,22,58,37.9,7,15,46.7,26,252,34:14,-5
Dolphins,20.8,104,348,1497,4.3,99,21,75,28,8,18,44.4,24,242,31:44,1
Cowboys,15.6,78,298,1474,4.9,84,29,68,42.6,8,13,61.5,34,267,30:49,1
Bengals,26.5,106,248,1459,5.9,84,26,53,49.1,7,14,50,21,185,28:58,-5
Titans,22.5,90,260,1459,5.6,86,27,58,46.6,8,14,57.1,19,165,32:33,0
Patriots,23.2,93,275,1443,5.2,87,19,51,37.3,6,11,54.5,19,120,28:30,-5
Redskins,26.5,106,263,1432,5.4,85,20,52,38.5,9,16,56.2,32,366,31:22,2
Seahawks,27.5,110,238,1405,5.9,70,23,53,43.4,6,12,50,42,419,31:02,8
Broncos,17.8,71,277,1347,4.9,77,22,60,36.7,6,14,42.9,31,247,34:35,-5
Falcons,16.2,65,273,1342,4.9,75,20,62,32.3,3,11,27.3,27,252,32:54,3
Rams,19,76,247,1316,5.3,62,15,56,26.8,6,10,60,43,294,28:55,1
Lions,26.8,107,259,1303,5,72,20,59,33.9,9,14,64.3,28,261,31:10,6
Cardinals,17,68,260,1302,5,73,21,55,38.2,5,14,35.7,25,219,30:12,8
Browns,18.8,75,241,1254,5.2,67,23,56,41.1,5,9,55.6,28,236,29:16,2
Bills,21,84,276,1247,4.5,68,18,62,29,5,12,41.7,39,278,28:14,-1
Ravens,29.8,119,261,1246,4.8,78,21,55,38.2,6,12,50,31,322,28:12,-4
49ers,24,96,261,1238,4.7,73,23,59,39,6,8,75,29,256,30:54,-1
Jaguars,15,60,276,1196,4.3,71,24,67,35.8,5,12,41.7,24,178,28:50,-5
Steelers,14,56,265,1171,4.4,67,17,59,28.8,3,10,30,26,258,33:44,1
Bears,25,100,239,1169,4.9,64,20,54,37,8,14,57.1,28,216,31:14,5
Giants,17.8,71,281,1161,4.1,63,16,65,24.6,2,11,18.2,30,239,31:54,5
Chargers,17,68,261,1150,4.4,73,20,57,35.1,7,10,70,23,167,31:10,-7
Colts,19.2,77,252,1121,4.4,72,19,52,36.5,4,8,50,19,208,29:18,0
Vikings,16.8,67,234,1108,4.7,65,20,52,38.5,5,10,50,13,130,27:47,-2
Raiders,17.8,71,229,1082,4.7,56,18,54,33.3,3,8,37.5,27,231,29:33,-2
Panthers,23,92,229,1058,4.6,60,18,54,33.3,2,6,33.3,28,257,29:57,8
Chiefs,20.5,82,258,1051,4.1,70,17,60,28.3,5,11,45.5,29,272,28:36,0
Packers,9.2,37,259,999,3.9,61,20,63,31.7,2,7,28.6,28,232,29:21,0
Buccaneers,16.5,66,239,897,3.8,58,17,56,30.4,5,10,50,22,171,29:20,-1
