Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,7242,Drew Brees,NO,QB,8,NYG,505,7,2,1,0,0,0,0,0,44.3,44.3
2,4932,Eli Manning,NYG,QB,8,NO,350,6,0,0,0,0,0,0,0,38,38
3,16389,Odell Beckham Jr,NYG,WR,8,NO,0,0,0,0,0,8,130,3,0,31,31
4,4314,Tom Brady,NE,QB,8,MIA,356,4,0,1,0,0,0,0,0,30.3,30.34
5,2428,Carson Palmer,ARI,QB,8,CLE,374,4,1,6,0,0,0,0,0,29.6,29.56
6,16311,Derek Carr,OAK,QB,8,NYJ,333,4,0,-2,0,0,0,0,0,29.1,29.12
7,6739,Alex Smith,KC,QB,8,DET,145,2,0,78,1,0,0,0,0,27.6,27.6
8,8244,Philip Rivers,LAC,QB,8,BAL,301,3,0,0,0,0,0,0,0,24,24.04
9,611,Joe Flacco,BAL,QB,8,LAC,319,1,0,2,1,0,0,0,0,23,22.96
10,15215,Tavon Austin,LAR,WR,8,SF,0,0,0,21,1,4,98,1,1,21.9,21.9
11,7711,Malcom Floyd,LAC,WR,8,BAL,0,0,0,0,0,4,92,2,0,21.2,21.2
12,11756,Benjamin Watson,NO,TE,8,NYG,0,0,0,0,0,9,147,1,0,20.7,20.7
13,16771,Todd Gurley,LAR,RB,8,SF,0,0,0,133,1,3,13,0,0,20.6,20.6
14,16568,Brandin Cooks,NO,WR,8,NYG,0,0,0,-3,0,6,88,2,0,20.5,20.5
15,13291,Julio Jones,ATL,WR,8,TB,0,0,0,0,0,12,162,1,1,20.2,20.2
16,8355,Julian Edelman,NE,WR,8,MIA,0,0,0,0,0,7,81,2,0,20.1,20.1
17,732,Matt Ryan,ATL,QB,8,TB,397,2,1,2,0,0,0,0,1,20.1,20.08
18,14895,Geno Smith,NYJ,QB,8,OAK,265,2,1,34,0,0,0,0,0,20,20
19,8972,Jay Cutler,CHI,QB,8,MIN,211,1,0,11,1,0,0,0,0,19.5,19.54
20,16762,Jameis Winston,TB,QB,8,ATL,177,1,0,24,1,0,0,0,0,19.5,19.48
21,16141,Willie Snead,NO,WR,8,NYG,0,0,0,0,0,6,70,2,0,19,19
22,5282,Josh McCown,CLE,QB,8,ARI,211,3,1,18,0,0,0,0,1,18.2,18.24
23,16307,Charcandrick West,KC,RB,8,DET,0,0,0,97,1,4,25,0,0,18.2,18.2
24,13320,Cam Newton,CAR,QB,8,IND,248,2,1,41,0,0,0,0,1,18,18.02
25,12845,AJ Green,CIN,WR,8,PIT,0,0,0,0,0,11,118,1,0,17.8,17.8
26,14187,Alshon Jeffery,CHI,WR,8,MIN,0,0,0,0,0,10,116,1,0,17.6,17.6
27,14046,Ronnie Hillman,DEN,RB,8,GB,0,0,0,60,2,1,-5,0,0,17.5,17.5
28,5094,Marques Colston,NO,WR,8,NYG,0,0,0,0,0,8,114,1,0,17.4,17.4
28,13264,Andre Holmes,OAK,WR,8,NYJ,0,0,0,0,0,2,54,2,0,17.4,17.4
30,8358,Brian Hoyer,HOU,QB,8,TEN,235,2,0,-1,0,0,0,0,0,17.3,17.3
30,10974,Rob Gronkowski,NE,TE,8,MIA,0,0,0,0,0,6,113,1,0,17.3,17.3
