Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,7580,DeAngelo Williams,PIT,RB,9,OAK,0,0,0,170,2,2,55,0,0,36.5,36.5
2,13320,Cam Newton,CAR,QB,9,GB,297,3,1,57,1,0,0,0,0,33.6,33.58
3,16763,Marcus Mariota,TEN,QB,9,NO,371,4,0,5,0,0,0,0,0,33.3,33.34
4,2593,Aaron Rodgers,GB,QB,9,CAR,369,4,1,22,0,0,0,0,0,33,32.96
5,7242,Drew Brees,NO,QB,9,TEN,387,3,1,-1,1,0,0,0,0,31.4,31.38
6,11056,Antonio Brown,PIT,WR,9,OAK,0,0,0,22,0,17,284,0,1,28.6,28.6
7,16311,Derek Carr,OAK,QB,9,PIT,301,4,1,3,0,0,0,0,0,26.3,26.34
8,13791,Lamar Miller,MIA,RB,9,BUF,0,0,0,44,2,7,97,0,0,26.1,26.1
9,8723,Matt Cassel,DAL,QB,9,PHI,299,3,1,17,0,0,0,0,0,23.7,23.66
10,7175,Delanie Walker,TEN,TE,9,NO,0,0,0,0,0,7,95,2,0,23.5,23.5
11,14918,Tyler Eifert,CIN,TE,9,CLE,0,0,0,0,0,5,53,3,0,23.3,23.3
12,14141,Cole Beasley,DAL,WR,9,PHI,0,0,0,0,0,9,112,2,0,23.2,23.2
13,16915,Karlos Williams,BUF,RB,9,MIA,0,0,0,110,2,0,0,0,0,23,23
14,9331,Michael Crabtree,OAK,WR,9,PIT,0,0,0,0,0,7,108,2,0,22.8,22.8
14,16003,Sammy Watkins,BUF,WR,9,MIA,0,0,0,0,0,8,168,1,0,22.8,22.8
16,16867,Jeremy Langford,CHI,RB,9,LAC,0,0,0,72,1,3,70,0,0,22.2,22.2
17,13124,DeMarco Murray,PHI,RB,9,DAL,0,0,0,83,1,6,78,0,0,22.1,22.1
18,12841,Andy Dalton,CIN,QB,9,CLE,234,3,0,5,0,0,0,0,0,21.9,21.86
19,14008,Andrew Luck,IND,QB,9,DEN,252,2,0,34,0,0,0,0,0,21.5,21.48
20,3807,Ben Roethlisberger,PIT,QB,9,OAK,334,2,1,0,0,0,0,0,0,21.4,21.36
21,16245,Blake Bortles,JAX,QB,9,NYJ,381,2,2,32,0,0,0,0,1,20.4,20.44
22,4807,Adrian Peterson,MIN,RB,9,LAR,0,0,0,125,1,2,18,0,0,20.3,20.3
23,15974,Jordan Matthews,PHI,WR,9,DAL,0,0,0,0,0,9,133,1,0,19.3,19.3
24,12296,LeGarrette Blount,NE,RB,9,WAS,0,0,0,129,1,0,0,0,0,18.9,18.9
25,8283,Ryan Fitzpatrick,NYJ,QB,9,JAX,272,2,0,0,0,0,0,0,0,18.9,18.88
26,16762,Jameis Winston,TB,QB,9,NYG,247,0,0,24,1,0,0,0,0,18.3,18.28
27,12506,James Starks,GB,RB,9,CAR,0,0,0,39,0,6,83,1,0,18.2,18.2
27,16253,Allen Hurns,JAX,WR,9,NYJ,0,0,0,0,0,5,122,1,0,18.2,18.2
29,11932,LeSean McCoy,BUF,RB,9,MIA,0,0,0,112,1,2,7,0,0,17.9,17.9
30,4314,Tom Brady,NE,QB,9,WAS,299,2,1,-1,0,0,0,0,0,17.9,17.86
31,8972,Jay Cutler,CHI,QB,9,LAC,345,2,1,-2,0,0,0,0,1,17.6,17.6
32,12317,Danny Woodhead,LAC,RB,9,CHI,0,0,0,33,0,6,78,1,0,17.1,17.1
33,16771,Todd Gurley,LAR,RB,9,MIN,0,0,0,89,1,3,20,0,0,16.9,16.9
34,12239,Chris Ivory,NYJ,RB,9,JAX,0,0,0,26,2,3,22,0,0,16.8,16.8
35,11270,Dez Bryant,DAL,WR,9,PHI,0,0,0,0,0,5,104,1,0,16.4,16.4
36,732,Matt Ryan,ATL,QB,9,SF,303,1,0,2,0,0,0,0,0,16.3,16.32
37,1810,Owen Daniels,DEN,TE,9,IND,0,0,0,0,0,6,102,1,0,16.2,16.2
37,5820,Frank Gore,IND,RB,9,DEN,0,0,0,83,1,1,19,0,0,16.2,16.2
39,13227,Randall Cobb,GB,WR,9,CAR,0,0,0,0,0,4,99,1,0,15.9,15.9
40,11527,Sam Bradford,PHI,QB,9,DAL,295,1,0,-1,0,0,0,0,0,15.7,15.7
41,12831,Tyrod Taylor,BUF,QB,9,MIA,181,1,0,44,0,0,0,0,0,15.6,15.64
42,7328,Peyton Manning,DEN,QB,9,IND,281,2,2,0,0,0,0,0,0,15.2,15.24
