Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,13791,Lamar Miller,MIA,RB,7,HOU,0,0,0,175,1,3,61,1,0,35.6,35.6
2,14252,Kirk Cousins,WAS,QB,7,TB,317,3,0,15,1,0,0,0,1,30.2,30.18
3,4314,Tom Brady,NE,QB,7,NYJ,355,2,0,15,1,0,0,0,0,29.7,29.7
4,16771,Todd Gurley,LAR,RB,7,CLE,0,0,0,128,2,4,35,0,0,28.3,28.3
5,13799,Ryan Tannehill,MIA,QB,7,HOU,282,4,0,3,0,0,0,0,0,27.6,27.58
6,14005,T.Y. Hilton,IND,WR,7,NO,0,0,0,0,0,4,150,2,0,27,27
7,8244,Philip Rivers,LAC,QB,7,OAK,336,3,2,0,0,0,0,0,0,25.4,25.44
8,8564,Nate Washington,HOU,WR,7,MIA,0,0,0,0,0,9,127,2,0,24.7,24.7
9,11792,Arian Foster,HOU,RB,7,MIA,0,0,0,59,1,5,66,1,0,24.5,24.5
10,14008,Andrew Luck,IND,QB,7,NO,333,3,2,27,0,0,0,0,0,24,24.02
11,16311,Derek Carr,OAK,QB,7,LAC,289,3,0,3,0,0,0,0,0,23.9,23.86
12,16597,Mike Evans,TB,WR,7,WAS,0,0,0,0,0,8,164,1,0,22.4,22.4
13,8066,Darren McFadden,DAL,RB,7,NYG,0,0,0,152,1,2,10,0,0,22.2,22.2
14,12317,Danny Woodhead,LAC,RB,7,OAK,0,0,0,26,0,11,75,2,0,22.1,22.1
15,8358,Brian Hoyer,HOU,QB,7,MIA,273,3,1,0,0,0,0,0,0,20.9,20.92
16,13337,Mark Ingram,NO,RB,7,IND,0,0,0,143,1,2,5,0,0,20.8,20.8
16,16020,Jarvis Landry,MIA,WR,7,HOU,0,0,0,5,0,5,83,2,0,20.8,20.8
18,8283,Ryan Fitzpatrick,NYJ,QB,7,NE,295,2,0,29,0,0,0,0,1,20.7,20.7
19,16762,Jameis Winston,TB,QB,7,WAS,297,2,0,5,0,0,0,0,0,20.4,20.38
20,16765,Amari Cooper,OAK,WR,7,LAC,0,0,0,0,0,5,133,1,0,19.3,19.3
21,2428,Carson Palmer,ARI,QB,7,BAL,275,2,0,2,0,0,0,0,0,19.2,19.2
