Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,JJ Watt,HOU,DE,16,69,12,39,20.5,139,42,16,0,4,2,0,15.3,244.9
2,Von Miller,DEN,OLB,16,55,13,28,18.5,129,24,2,1,6,0,1,12,192.4
3,Daryl Washington,ARI,ILB,16,108,26,15,9,51,11,4,1,2,1,0,11.6,186.1
4,Luke Kuechly,CAR,ILB,16,103,61,12,1,4,1,8,2,0,3,0,10.7,171.9
5,Aldon Smith,SF,OLB,16,50,16,18,19.5,145,28,1,1,3,0,0,10.7,170.5
6,Lavonte David,TB,OLB,16,112,27,20,2,14,4,5,1,0,0,0,10.2,162.9
7,Charles Tillman,CHI,CB,16,75,12,1,0,0,0,16,3,10,2,3,10.1,161
8,Lawrence Timmons,PIT,OLB,16,75,31,10,6,51,14,5,3,2,1,1,10,160.6
9,Paul Posluszny,JAX,ILB,16,106,33,5,2,10,6,7,3,2,0,0,10,160.5
10,Jo-Lonn Dunbar,LAR,OLB,16,89,24,16,4.5,41,11,4,2,2,0,0,9.8,157.1
11,Jerod Mayo,NE,ILB,16,88,59,5,3,24,5,3,1,4,1,0,9.8,156.9
12,Chad Greenway,MIN,OLB,16,98,50,7,3,14,5,4,1,0,2,0,9.7,155.4
13,London Fletcher,WAS,ILB,16,78,61,5,3,22,4,11,5,1,0,0,9.7,154.7
14,Derrick Johnson,KC,ILB,16,109,15,12,2,10,5,4,0,3,0,0,9.5,151.5
15,James Laurinaitis,LAR,ILB,16,117,25,4,0.5,3,2,4,2,0,1,0,9.4,149.8
16,Zach Brown,TEN,ILB,16,68,24,11,5.5,28,8,5,3,1,2,2,9.2,147.8
17,Jerrell Freeman,IND,ILB,16,90,55,7,2,17,1,2,1,1,0,1,9.1,145.2
18,Wesley Woodyard,DEN,ILB,15,70,44,9,5.5,47,7,6,3,1,1,0,9.6,144.7
19,Bobby Wagner,SEA,ILB,16,86,53,9,2,11,5,4,3,0,0,0,9,144.6
20,NaVorro Bowman,SF,ILB,16,92,51,6,2,9,4,6,1,1,0,0,9,144.4
21,Anthony Spencer,DAL,OLB,14,55,40,14,11,83,13,3,0,2,1,0,10.3,144.3
22,Karlos Dansby,MIA,ILB,16,101,33,9,1,9,2,9,0,0,0,0,8.8,140.4
23,Russell Allen,JAX,OLB,16,105,24,9,0.5,4,3,6,0,0,1,0,8.7,139.4
24,Morgan Burnett,GB,FS,16,87,35,5,2,25,3,5,2,2,1,0,8.7,139
25,D'Qwell Jackson,CLE,ILB,16,64,55,4,3.5,4,5,7,2,2,2,1,8.7,138.9
26,Cameron Wake,MIA,OLB,16,38,15,13,15,92,30,1,0,3,0,0,8.6,137.7
27,Patrick Willis,SF,ILB,16,88,32,5,0.5,4,3,9,2,2,1,0,8.6,137.4
28,Lance Briggs,CHI,OLB,16,74,29,7,1.5,8,2,11,2,2,0,2,8.5,136.3
29,Richard Sherman,SEA,CB,16,54,11,0,1,16,1,24,8,3,1,1,8.5,136.1
30,Justin Houston,KC,OLB,16,53,13,13,10,69,19,6,1,1,1,0,8.5,135.4
31,Philip Wheeler,OAK,OLB,16,78,32,5,3,30,12,6,0,2,1,0,8.4,135
32,Larry Foote,PIT,ILB,16,75,38,8,4,29,7,2,0,2,2,0,8.4,133.9
33,Curtis Lofton,NO,ILB,16,82,41,7,1,12,2,7,0,2,2,0,8.4,133.7
34,Akeem Ayers,TEN,OLB,16,66,38,8,6,35,10,8,1,1,0,0,8.3,132.5
35,Geno Atkins,CIN,DT,16,39,15,17,12.5,90,20,2,0,4,0,0,8.2,131.5
36,Perry Riley,WAS,ILB,16,70,55,6,3.5,24,5,7,0,1,1,0,8.2,130.9
37,David Harris,NYJ,LB,16,79,44,4,3,15,7,3,0,1,1,0,8,128.5
38,LaRon Landry,NYJ,FS,16,76,24,4,0,0,3,8,2,4,0,1,7.9,127
38,Eric Weddle,LAC,FS,16,83,14,4,1,0,2,9,3,2,0,1,7.9,127
40,DeMeco Ryans,PHI,ILB,16,86,27,15,1,13,2,4,1,0,0,0,7.9,126.8
41,Harrison Smith,MIN,FS,16,70,28,1,1,0,2,10,3,1,1,2,7.9,126
42,Ronde Barber,TB,FS,16,71,21,8,1,2,0,13,4,1,0,1,7.9,125.7
43,Reshad Jones,MIA,FS,16,73,21,4,1,5,4,9,4,2,2,0,7.8,125
44,Cortland Finnegan,LAR,CB,16,83,18,3,1,7,1,8,3,1,0,1,7.8,124.7
45,Janoris Jenkins,LAR,CB,15,64,9,3,0,0,0,14,4,0,1,4,8.3,124.5
46,Roman Harper,NO,SS,16,88,27,4,0,0,1,11,2,0,0,0,7.7,123.5
46,Greg Hardy,CAR,DE,15,41,20,13,11,85,18,2,0,2,1,0,8.2,123.5
48,AJ Hawk,GB,OLB,16,81,39,9,3,27,5,0,0,0,0,0,7.7,123.2
49,Demarcus Ware,DAL,OLB,16,33,23,9,11.5,65,21,0,0,5,1,0,7.6,122
50,Antoine Winfield,MIN,CB,16,72,29,8,0.5,0,1,13,3,0,1,0,7.6,121.5
51,Vontaze Burfict,CIN,OLB,16,73,54,7,1,11,3,2,0,0,2,0,7.6,121.1
52,Stephen Tulloch,DET,ILB,16,74,38,6,0.5,4,5,6,0,1,2,0,7.5,120.4
52,Mason Foster,TB,ILB,16,80,24,13,2,14,3,1,1,0,1,0,7.5,120.4
54,Charles Johnson,CAR,DE,16,31,11,7,12.5,100,13,4,0,7,1,0,7.5,119.5
54,Jason McCourty,TEN,CB,16,73,19,4,0,0,0,15,4,1,1,0,7.5,119.5
56,Chase Blackburn,NYG,OLB,15,61,33,6,3,19,7,6,1,4,0,0,8,119.4
57,Elvis Dumervil,DEN,DE,16,32,22,6,11,83,19,1,0,6,0,0,7.5,119.3
58,Ryan Kerrigan,WAS,OLB,16,42,12,10,8.5,52,13,8,1,2,1,1,7.4,119.2
59,Kevin Burnett,MIA,OLB,16,80,30,5,2.5,11,5,5,0,1,0,0,7.4,119.1
60,Jared Allen,MIN,OLB,16,36,10,17,12,63,21,3,0,1,1,0,7.4,118.3
61,Shaun Phillips,LAC,OLB,16,33,17,11,9.5,63,13,3,0,2,3,1,7.3,116.8
62,DeAngelo Hall,WAS,FS,16,64,26,7,1,7,1,14,4,0,1,0,7.3,116.7
63,Michael Johnson,CIN,DE,16,35,17,15,11.5,71,20,2,1,0,1,0,7.3,116.6
64,Jason Pierre-Paul,NYG,DE,16,43,23,13,6.5,67,9,5,1,1,1,1,7.3,116.2
65,Sean Weatherspoon,ATL,ILB,13,70,25,6,3,10,7,4,1,1,1,0,8.9,115.5
66,Paris Lenon,ARI,ILB,16,74,30,3,2,13,6,3,1,1,1,0,7.2,115.3
67,John Abraham,ATL,OLB,16,32,3,12,10,75,17,7,0,6,0,0,7.2,115
68,Clay Matthews,GB,ILB,12,32,11,15,13,83,23,2,0,1,0,0,9.6,114.8
69,Ryan Clark,PIT,FS,15,74,28,4,0,0,0,7,2,2,1,0,7.6,114
70,Cameron Jordan,NO,DE,16,41,26,8,8,54,12,3,0,3,2,0,7.1,113.4
71,Nick Barnett,BUF,ILB,16,72,40,6,2,3,1,1,0,3,0,0,7.1,113.3
72,Rob Ninkovich,NE,OLB,16,32,26,9,8,51,10,1,0,5,4,0,7.1,113.1
73,Tim Jennings,CHI,CB,14,55,5,1,0,0,0,21,9,0,0,1,8,112.5
74,Stephen Nicholas,ATL,OLB,16,71,24,5,2,20,5,4,1,1,1,0,7,112
74,Stevie Brown,NYG,SS,16,56,10,3,0,0,1,11,8,2,2,0,7,112
76,Cary Williams,BAL,CB,16,67,8,2,1,9,1,17,4,0,0,1,7,111.9
77,Quintin Mikell,LAR,SS,16,75,18,3,3,35,1,2,0,4,0,0,7,111.5
78,Chris Clemons,SEA,DE,16,31,9,8,11.5,87,20,4,0,3,1,0,7,111.2
79,Michael Boley,NYG,OLB,16,64,27,4,0.5,6,3,4,3,0,2,1,6.9,111.1
80,Julius Peppers,CHI,DE,16,32,7,13,11.5,75,15,2,0,1,4,0,6.9,111
81,Mario Williams,BUF,DE,16,37,9,12,10.5,51,15,4,0,2,2,0,6.9,110.6
82,Thomas Davis,CAR,OLB,15,68,35,9,0,0,1,3,1,2,1,0,7.4,110.5
82,Devin McCourty,NE,FS,16,60,19,3,0,0,0,13,5,2,0,0,6.9,110.5
84,Dannell Ellerbe,BAL,ILB,13,66,23,8,4.5,29,8,2,0,1,0,0,8.5,110.4
85,Glover Quin,HOU,FS,16,64,20,6,1,8,1,14,2,2,0,0,6.9,109.8
86,Jairus Byrd,BUF,FS,16,53,23,5,0,0,1,6,5,4,2,0,6.8,109.5
87,Josh Wilson,WAS,CB,16,54,20,0,1,12,2,13,2,3,2,1,6.8,109.2
88,Brandon Spikes,NE,ILB,15,57,35,5,1,2,5,7,0,5,0,0,7.2,108.7
89,Derrick Morgan,TEN,OLB,16,35,24,10,6.5,41,22,6,0,1,1,0,6.8,108.1
90,Ahmad Brooks,SF,OLB,16,36,12,12,6.5,50,15,6,1,2,0,1,6.8,108
90,Carlos Dunlap,CIN,DE,14,34,7,8,6,55,12,3,1,4,3,1,7.7,108
92,Justin Durant,DET,ILB,16,82,21,9,0.5,4,2,3,0,0,0,0,6.7,107.9
92,Bernard Pollard,BAL,SS,13,71,27,6,2,14,3,6,1,0,0,0,8.3,107.9
94,William Moore,ATL,SS,12,59,16,5,1,13,2,8,4,2,1,0,8.9,106.3
94,KJ Wright,SEA,OLB,15,66,30,8,1,13,3,5,1,1,0,0,7.1,106.3
96,Thomas Decoud,ATL,FS,16,62,14,4,1,2,1,9,6,0,1,0,6.6,106.2
96,Mike Adams,DEN,FS,16,60,20,1,1,2,8,11,0,2,2,0,6.6,106.2
96,Michael Bennett,TB,DE,16,34,7,18,9,57,16,2,0,3,0,0,6.6,106.2
99,Rey Maualuga,CIN,ILB,16,62,60,1,1,0,4,4,0,0,1,0,6.6,106
99,Muhammad Wilkerson,NYJ,DE,16,36,33,7,5,25,12,4,0,3,1,1,6.6,106
101,Antoine Bethea,IND,SS,16,75,25,3,2,8,3,7,0,0,0,0,6.6,105.3
102,Danieal Manning,HOU,SS,16,59,18,2,1,0,1,8,2,3,1,1,6.6,105
103,Quentin Jammer,LAC,CB,16,55,9,3,0,0,0,9,3,1,3,2,6.5,104.5
104,Reggie Nelson,CIN,FS,14,54,29,6,1,8,3,9,3,2,0,0,7.4,104.3
105,Madieu Williams,WAS,FS,16,65,33,3,1,7,2,6,1,0,0,1,6.5,104.2
106,Chris Harris,DEN,CB,15,51,10,4,2.5,18,4,12,3,0,0,2,6.9,103.8
107,Ndamukong Suh,DET,NT,16,24,10,17,8,67,33,2,0,0,0,0,6.5,103.7
108,Lamarr Houston,OAK,OLB,16,49,20,13,4,34,12,2,0,1,1,0,6.5,103.4
109,Calais Campbell,ARI,DE,13,50,13,13,6.5,28,12,6,0,0,0,0,7.9,103.3
110,Tamba Hali,KC,OLB,15,43,8,13,9,57,14,2,0,1,0,0,6.8,102.7
111,Alterraun Verner,TEN,CB,16,59,17,8,0,0,0,9,2,1,1,1,6.4,102.5
111,Eric Berry,KC,FS,16,73,13,10,0,0,0,10,1,0,0,0,6.4,102.5
111,Antrel Rolle,NYG,SS,16,71,21,4,0,0,0,5,2,1,1,0,6.4,102.5
114,Miles Burris,OAK,OLB,16,62,34,5,1.5,11,8,3,1,0,0,0,6.4,102.1
115,Major Wright,CHI,SS,16,52,19,5,0,0,0,8,4,1,2,1,6.3,101.5
116,James Harrison,PIT,LB,13,49,21,10,6,26,11,0,0,2,0,0,7.8,101.1
117,Dunta Robinson,ATL,CB,16,67,13,7,1.5,11,2,8,1,1,0,0,6.3,100.6
118,Michael Griffin,TEN,SS,16,60,19,3,1,8,3,4,4,2,0,0,6.3,100.3
118,Donald Butler,LAC,OLB,12,50,28,5,3,13,5,4,1,2,0,1,8.4,100.3
120,Mark Barron,TB,ILB,16,71,17,4,0,0,0,10,1,1,0,0,6.2,99.5
121,Patrick Robinson,NO,CB,16,53,11,1,1,9,1,18,3,1,0,1,6.2,99.4
122,Corey Liuget,LAC,DT,16,36,15,11,7,56,10,9,0,1,1,0,6.2,99.1
123,Kam Chancellor,SEA,SS,16,71,24,3,0,0,0,4,0,1,2,0,6.2,99
124,Malcolm Jenkins,NO,SS,13,65,29,2,0,0,1,7,1,0,0,1,7.6,98.5
125,Chris Clemons,MIA,ILB,16,69,26,3,0,0,0,4,2,0,1,0,6.1,98.3
126,Sheldon Brown,CLE,CB,15,53,7,3,1,6,0,12,3,1,2,1,6.5,98.1
127,Jasper Brinkley,MIN,ILB,16,64,36,2,0,0,2,3,0,3,0,0,6.1,98
128,Paul Kruger,BAL,DE,15,30,12,11,9,46,13,6,1,1,1,0,6.5,97.6
129,Yeremiah Bell,NYJ,FS,16,71,16,3,1,8,1,2,0,0,3,0,6,96.8
130,Ed Reed,BAL,FS,16,49,9,1,0,0,0,15,4,0,3,1,6,96.5
130,Brian Urlacher,CHI,LB,12,53,15,8,0,0,0,7,1,2,2,1,8,96.5
132,Dont'a Hightower,NE,LB,14,43,17,10,4,21,9,3,0,0,2,1,6.8,95.6
133,Dawan Landry,JAX,SS,16,81,19,0,0,0,0,2,1,0,0,0,6,95.5
134,Everson Griffen,MIN,DE,16,20,3,11,8,77,19,2,1,1,2,1,6,95.2
135,Kerry Rhodes,ARI,FS,15,58,9,0,1,6,1,11,4,2,0,0,6.3,95.1
136,Bryan Scott,BUF,OLB,16,45,19,0,0,0,2,8,4,2,2,1,5.9,94.5
136,Donte Whitner,SF,SS,16,61,21,1,0,0,0,4,1,2,1,1,5.9,94.5
136,Craig Robertson,CLE,OLB,16,56,27,4,1,10,3,3,2,0,2,0,5.9,94.5
139,Tyvon Branch,OAK,SS,14,74,20,3,0,0,1,3,1,0,0,0,6.7,94
139,Kurt Coleman,PHI,SS,14,67,22,3,0,0,0,4,2,1,0,0,6.7,94
141,Will Smith,NO,DE,16,33,25,10,6,40,17,2,0,0,1,0,5.8,93.5
142,Chris Long,LAR,DE,16,25,8,15,11.5,74,19,0,0,0,0,0,5.8,93.4
143,Dashon Goldson,SF,FS,16,52,14,1,0,0,0,11,3,1,2,0,5.8,92.1
144,Patrick Peterson,ARI,CB,16,52,3,2,0,0,0,16,7,0,1,0,5.7,91.9
145,Antoine Cason,LAC,CB,16,62,11,1,0,0,0,11,2,2,0,0,5.7,91.5
145,Terence Newman,CIN,CB,15,52,21,4,0,0,0,10,2,1,2,0,6.1,91.5
147,Jabaal Sheard,CLE,DE,16,38,17,9,7,55,10,3,0,1,0,0,5.7,91
148,Brian Robison,MIN,DE,15,26,11,6,8.5,42,13,7,0,3,1,0,6,90.7
149,George Wilson,BUF,SS,16,73,25,0,0,0,0,5,0,0,0,0,5.7,90.5
150,Erin Henderson,MIN,ILB,14,50,30,7,3,22,4,3,0,1,0,0,6.4,90.2
151,Keenan Lewis,PIT,CB,16,54,15,2,0,0,0,23,0,1,0,0,5.6,89.5
152,Brad Jones,GB,ILB,16,56,21,7,2,14,3,4,0,1,0,0,5.6,88.9
153,Justin Smith,SF,DT,14,47,19,9,3,23,10,2,0,0,1,0,6.3,88.8
154,Jason Babin,JAX,OLB,16,28,9,8,7,39,14,1,0,4,1,0,5.5,88.4
155,Rob Jackson,WAS,OLB,16,26,9,9,4.5,22,4,6,4,2,1,1,5.5,87.7
156,Cliff Avril,DET,DE,16,28,7,10,9.5,61,14,1,0,2,0,0,5.5,87.6
157,Buster Skrine,CLE,DB,16,65,8,3,0,0,1,11,0,0,1,0,5.4,87
158,Robert Quinn,LAR,DE,16,24,5,11,10.5,61,17,2,0,1,0,0,5.4,86.6
159,DeAndre Levy,DET,OLB,14,56,25,9,0,0,0,3,1,0,1,0,6.2,86.5
160,Connor Barwin,HOU,OLB,16,35,9,12,3,15,17,5,0,0,1,0,5.4,86
161,Jordan Babineaux,TEN,SS,16,59,29,0,0,0,2,6,1,0,0,0,5.3,85.5
161,Stephon Gilmore,BUF,CB,16,52,9,1,0,0,0,16,1,3,0,0,5.3,85.5
161,Casey Hayward,GB,CB,16,35,13,1,0,0,1,21,6,1,0,0,5.3,85.5
164,Rahim Moore,DEN,FS,16,59,12,4,1,3,1,7,1,0,1,0,5.3,85.3
165,Kareem Jackson,HOU,CB,16,47,6,1,0,0,0,16,4,0,0,1,5.3,85
165,Mychal Kendricks,PHI,OLB,15,58,17,6,1,5,1,9,0,0,0,0,5.7,85
167,Carlos Rogers,SF,CB,16,50,6,2,1,7,2,7,1,0,3,1,5.3,84.7
168,Derek Cox,JAX,CB,12,55,5,1,0,0,0,11,4,1,0,0,7,84.5
169,Earl Thomas,SEA,FS,16,39,22,2,0,0,2,9,3,1,1,1,5.2,84
170,TJ Ward,CLE,SS,14,50,18,2,1,10,3,4,1,3,0,0,5.9,83
171,William Gay,ARI,FS,16,45,12,4,1,9,1,6,2,3,1,0,5.2,82.9
172,Chandler Jones,NE,DE,14,24,21,8,6,33,11,5,0,3,0,0,5.9,82.8
173,Antonio Smith,HOU,DE,16,23,7,7,7,51,18,3,0,2,1,0,5.2,82.6
174,Sean Smith,MIA,CB,16,53,6,0,0,0,0,11,2,3,0,0,5.1,82
174,Koa Misi,MIA,OLB,14,47,13,7,3.5,15,5,2,0,2,0,0,5.9,82
176,Champ Bailey,DEN,CB,16,61,5,3,0,0,0,9,2,0,0,0,5.1,81.5
177,Sam Acho,ARI,OLB,16,32,13,6,4,18,12,3,2,2,0,0,5.1,81.3
178,Vince Wilfork,NE,NT,16,29,19,6,3,32,3,6,0,2,4,0,5,80.7
179,Israel Idonije,CHI,DE,16,29,19,8,7.5,69,9,0,0,1,0,0,5,80.4
180,Nick Fairley,DET,DT,13,28,7,11,5.5,38,13,1,0,2,1,0,6.2,80.3
181,Corey Webster,NYG,CB,16,52,6,0,0,0,0,13,4,0,0,0,5,80
181,Cassius Vaughn,IND,CB,16,58,8,0,0,0,0,9,1,0,0,1,5,80
183,Jeremy Mincey,JAX,DE,16,35,6,7,3,19,13,5,0,2,1,0,5,79.9
184,Tramon Williams,GB,FS,16,52,9,1,0,0,0,16,2,0,0,0,5,79.5
184,Charles Godfrey,CAR,SS,15,44,25,2,0,0,0,6,2,0,1,1,5.3,79.5
184,Kyle Arrington,NE,CB,16,55,9,2,0,0,1,11,0,1,1,0,5,79.5
187,Jameel McClain,BAL,ILB,13,57,22,4,0,0,1,3,0,0,1,0,6.1,79
187,Haloti Ngata,BAL,DT,14,33,18,7,5,50,14,1,0,0,0,0,5.6,79
187,Joselio Hanson,OAK,CB,16,48,12,3,0,0,2,5,2,1,2,0,4.9,79
187,Chris Conte,CHI,FS,15,51,16,2,0,0,0,9,2,0,1,0,5.3,79
191,Robert Mathis,IND,OLB,12,22,11,9,8,54,13,2,1,1,0,0,6.6,78.9
192,William Hayes,LAR,DE,16,29,6,12,7,28,14,1,0,0,1,0,4.9,78.8
193,Kelvin Sheppard,BUF,OLB,16,53,24,3,2,17,4,1,0,0,0,0,4.9,78.7
194,Nick Roach,CHI,ILB,16,50,15,5,1.5,11,2,4,0,1,1,0,4.9,78.6
195,Henry Melton,CHI,DT,14,32,12,9,6,49,8,0,0,2,0,0,5.6,77.9
196,Johnathan Joseph,HOU,CB,14,52,5,0,0,0,0,11,2,0,0,1,5.5,77.5
196,Captain Munnerlyn,CAR,DB,16,46,13,0,0,0,0,9,2,0,0,2,4.8,77.5
198,Osi Umenyiora,NYG,OLB,16,28,15,7,6,36,12,1,0,2,0,0,4.8,77.1
199,Bradie James,HOU,LB,15,46,31,3,0.5,4,3,2,0,0,2,0,5.1,76.9
200,Linval Joseph,NYG,NT,16,33,26,5,4,17,7,0,0,1,2,0,4.8,76.7
201,Brandon Carr,DAL,CB,16,48,5,0,0,0,0,11,3,0,0,1,4.8,76.5
201,Chris Houston,DET,CB,14,45,11,3,0,0,0,11,2,2,0,0,5.5,76.5
