Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Landon Collins,NYG,SS,16,100,25,9.5,4,39,5,13,5,0,1,1,11,175.9
2,Kwon Alexander,TB,ILB,16,108,37,11.5,3,8,7,8,1,1,1,1,10.9,174.8
3,Bobby Wagner,SEA,ILB,16,86,83,8.5,4.5,27,16,3,1,0,1,0,10.8,172.7
4,Khalil Mack,OAK,OLB,16,54,19,17.5,11,63,27,3,1,4,3,1,10.6,169.3
5,Zach Brown,BUF,ILB,16,95,52,11,4,17,7,4,1,2,0,0,10.1,161.7
6,Alec Ogletree,LAR,ILB,16,98,37,9.5,0,0,3,11,2,1,1,0,9.5,152
7,Christian Kirksey,CLE,OLB,16,94,50,11.5,2.5,16,7,3,0,0,0,0,9.2,147.1
8,Lavonte David,TB,OLB,16,67,20,17,5,39,8,3,1,4,2,1,9.1,145.9
9,Von Miller,DEN,OLB,16,61,16,13.5,12.5,63,23,3,0,2,0,0,9.1,145.8
10,Telvin Smith,JAX,OLB,16,98,20,14.5,1,0,2,8,2,0,1,0,9,143.5
11,Benardrick McKinney,HOU,ILB,16,79,50,8,5,31,11,2,0,1,0,0,8.8,141.1
12,Zach Orr,BAL,ILB,15,89,41,6.5,0,0,1,5,3,1,2,0,9.3,140
13,Vic Beasley,ATL,DE,16,32,7,14,15.5,93,19,3,0,6,1,1,8.7,138.8
14,KJ Wright,SEA,OLB,16,72,54,12.5,4,7,7,5,0,1,1,0,8.6,138.2
15,Markus Golden,ARI,OLB,16,41,10,16.5,12.5,100.5,24,1,0,4,1,0,8.6,137.55
16,Sean Lee,DAL,OLB,15,92,52,13.5,0,0,2,1,0,0,1,0,9.2,137.5
17,Paul Posluszny,JAX,ILB,16,96,36,9,1.5,17,3,3,1,0,0,0,8.5,136.7
18,Thomas Davis,CAR,OLB,16,73,33,7,2.5,16.5,5,4,3,1,2,1,8.5,136.15
19,Kiko Alonso,MIA,OLB,15,69,45,6,0,0,6,4,2,1,4,1,9,134.5
20,Lorenzo Alexander,BUF,OLB,16,50,14,9.5,12.5,74,20,6,1,2,0,0,8.4,133.9
21,Eric Kendricks,MIN,ILB,15,70,39,9.5,2.5,25.5,4,8,1,1,1,1,8.9,133.55
22,Mark Barron,LAR,ILB,16,90,27,7,1,8,3,8,2,0,1,0,8.3,133.3
23,Lawrence Timmons,PIT,OLB,16,78,36,5.5,2.5,22,10,5,2,1,0,0,8.3,132.7
24,Calais Campbell,ARI,DE,16,34,19,14,8,67.5,20,6,1,2,3,1,8.3,132.25
25,Deion Jones,ATL,ILB,15,75,31,5,0,0,1,11,3,1,0,2,8.8,131.5
26,Chandler Jones,ARI,DE,16,38,11,17,11,85.5,19,3,0,4,2,0,8.2,131.05
27,Jamie Collins,CLE,OLB,15,79,32,6.5,3,25,6,3,2,2,0,0,8.7,131
28,Jonathan Cyprien,JAX,SS,16,97,31,3.5,1,2,2,4,0,1,1,0,8.1,130.2
29,Preston Brown,BUF,ILB,16,77,59,8,1,5,3,1,0,1,2,0,8.1,130
30,Ryan Shazier,PIT,ILB,13,55,32,11,3.5,29,7,9,3,3,1,0,9.9,128.9
31,Mason Foster,WAS,ILB,16,88,36,8,1,1,5,4,0,1,0,0,8,128.1
32,Melvin Ingram,LAC,DE,16,46,14,10,8,62,19,5,0,6,0,0,8,127.2
32,Bruce Irvin,OAK,DE,16,47,10,10.5,7,37,25,1,0,7,0,0,8,127.2
34,Danielle Hunter,MIN,DE,16,33,22,12.5,12.5,102.5,20,1,0,1,1,1,7.9,126.75
