Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
270,Bene' Benwikere,OAK,CB,15,41,13,2.5,0.5,7.5,1,4,1,1,0,0,4.2,62.75
271,Antone Exum,SF,SS,15,34,6,2,1,6,2,7,1,1,0,1,4.2,62.6
272,Dean Lowry,GB,DE,16,31,14,5,3,23,5,3,0,0,1,0,3.9,62.3
273,Marcus Peters,LAR,CB,16,33,10,0,0,0,1,8,3,0,0,1,3.9,62
274,Corey Graham,PHI,FS,13,43,13,1,0,0,0,5,1,0,1,0,4.7,61.5
274,Tashaun Gipson,JAX,SS,16,44,10,1.5,0,0,1,7,1,0,0,0,3.8,61.5
274,Marquel Lee,OAK,OLB,16,36,32,3.5,0,0,3,3,0,0,0,0,3.8,61.5
274,Xavier Woods,DAL,FS,14,38,17,0,0,0,0,9,2,0,0,0,4.4,61.5
278,Lawrence Guy,NE,DT,16,25,34,2.5,1,9,11,0,0,1,0,0,3.8,61.4
279,Julius Peppers,CAR,DE,16,14,8,7.5,5,17,12,6,0,1,1,0,3.8,61.2
280,AJ Bouye,JAX,CB,13,46,8,0,0,0,0,8,1,0,0,0,4.7,61
280,Marlon Humphrey,BAL,CB,14,31,6,3,0,0,0,15,2,1,0,0,4.4,61
280,Josh Jackson,GB,CB,16,39,10,1,0,0,0,10,0,0,0,0,3.8,61
283,LJ Fort,PIT,ILB,15,38,10,3,1,7,3,0,0,0,1,1,4,60.7
284,Barkevious Mingo,SEA,OLB,16,37,11,3,1,10,2,1,0,2,1,0,3.8,60.5
284,Gareon Conley,OAK,CB,15,24,13,0,0,0,0,15,3,0,0,1,4,60.5
286,Bruce Irvin,ATL,DE,16,16,3,8.5,6.5,61,12,0,0,1,0,0,3.8,60.1
287,Brandon Carr,BAL,CB,16,39,6,0,0,0,1,11,2,0,0,0,3.8,60
287,Orlando Scandrick,KC,CB,15,38,6,0,0,0,0,13,1,1,0,0,4,60
289,Malik Jackson,JAX,DT,16,25,7,8.5,3.5,24,12,1,0,0,0,0,3.7,59.4
290,Robert Nkemdiche,ARI,DT,10,22,10,9,4.5,20,8,1,0,1,0,0,5.9,59
290,Michael Davis,LAC,CB,16,40,10,0,0,0,0,8,0,2,0,0,3.7,59
292,David Onyemata,NO,DT,16,23,12,6,4.5,37.5,7,1,0,1,0,0,3.7,58.75
293,Nevin Lawson,DET,CB,15,43,10,2,1,6,1,5,0,0,0,0,3.9,58.6
294,Erik Harris,OAK,FS,16,36,13,2,0,0,1,7,2,0,0,0,3.7,58.5
294,Briean Boddy-Calhoun,CLE,SS,16,45,11,0,0,0,3,2,0,1,0,0,3.7,58.5
296,Tedric Thompson,SEA,FS,14,41,16,0,0,0,0,3,1,1,0,0,4.1,58
297,Bilal Nichols,CHI,DE,14,20,8,8,3,29.5,8,0,0,2,1,0,4.1,57.95
298,Kareem Martin,NYG,OLB,16,22,26,6.5,1.5,13,10,2,0,0,0,0,3.6,57.8
299,Vic Beasley,ATL,DE,16,16,4,6,5,36,8,3,0,0,1,1,3.6,57.6
300,Kwon Alexander,TB,ILB,6,34,11,6,1,0,2,2,0,2,0,0,9.6,57.5
