TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Eagles,21,21,61,309,5.1,20,8,13,61.5,3,3,100,2,15,32:0,-1
Patriots,28,28,54,314,5.8,14,6,13,46.2,4,5,80,3,35,25:4,1
Colts,17,17,70,353,5,23,8,15,53.3,2,4,50,3,15,33:7,-1
Chiefs,30,30,78,390,5,26,9,17,52.9,2,5,40,2,20,41:44,3
Saints,41,41,61,415,6.8,19,6,14,42.9,2,3,66.7,6,39,27:59,0
Ravens,19,38,109,424,3.9,29,8,22,36.4,4,5,80,14,133,26:22,-2
Falcons,48,48,69,442,6.4,28,8,12,66.7,4,6,66.7,6,65,38:19,3
Bears,22.5,45,123,632,5.1,41,5,25,20,5,7,71.4,9,60,28:27,2
Steelers,24.7,74,165,753,4.6,44,16,39,41,4,7,57.1,19,191,26:49,3
Seahawks,35.5,71,160,911,5.7,53,16,31,51.6,7,10,70,15,110,35:36,-1
Jets,20.3,61,196,971,5,65,17,38,44.7,4,8,50,12,79,32:10,-1
Packers,19,76,236,1234,5.2,69,16,49,32.7,6,10,60,29,226,27:16,-6
