TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Vikings,24,24,67,326,4.9,20,3,14,21.4,3,4,75,2,10,32:58,3
Redskins,24,24,68,380,5.6,22,5,13,38.5,1,6,16.7,4,30,34:20,1
Bengals,19,19,77,420,5.5,24,8,17,47.1,1,4,25,7,55,38:49,0
Colts,24,24,56,439,7.8,18,4,10,40,3,5,60,9,70,22:28,0
Broncos,38,38,74,479,6.5,21,7,17,41.2,1,1,100,8,56,36:36,2
Seahawks,22,44,115,620,5.4,39,11,22,50,4,5,80,6,26,28:26,-1
Texans,27,54,113,655,5.8,36,6,22,27.3,4,7,57.1,10,107,25:54,1
Patriots,28,56,146,781,5.3,50,9,27,33.3,6,7,85.7,8,80,31:15,2
Falcons,28,56,117,864,7.4,49,5,14,35.7,7,10,70,10,59,28:22,1
Packers,27.5,55,137,903,6.6,46,13,27,48.1,3,5,60,12,116,33:32,-2
49ers,29.7,89,192,1196,6.2,68,19,37,51.4,5,10,50,9,76,29:49,-1
Ravens,22,88,316,1713,5.4,106,25,60,41.7,6,16,37.5,24,197,34:32,-6
