Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Todd Gurley,LAR,RB,15,279,1305,4.7,13,87,64,788,6,5,2,21.3,319.3
2,Le'Veon Bell,PIT,RB,15,321,1291,4,9,106,85,655,2,3,2,17.1,256.6
3,Kareem Hunt,KC,RB,16,272,1327,4.9,8,63,53,455,3,1,1,15.1,242.2
4,Alvin Kamara,NO,RB,16,120,728,6.1,8,100,81,826,5,1,1,14.6,233.4
5,Melvin Gordon,LAC,RB,16,284,1105,3.9,8,83,58,476,4,1,0,14.4,230.1
6,Mark Ingram,NO,RB,16,230,1124,4.9,12,71,58,416,0,3,3,13.8,220
7,LeSean McCoy,BUF,RB,16,287,1138,4,6,77,59,448,2,3,1,12.8,204.6
8,Leonard Fournette,JAX,RB,13,268,1040,3.9,9,48,36,302,1,2,0,14.9,194.2
9,Ezekiel Elliott,DAL,RB,10,242,983,4.1,7,38,26,269,2,1,1,17.7,177.2
10,Jordan Howard,CHI,RB,16,276,1122,4.1,9,32,23,125,0,1,1,11,176.7
11,Carlos Hyde,SF,RB,16,240,938,3.9,8,88,59,350,0,2,1,10.9,174.8
12,Dion Lewis,NE,RB,16,180,896,5,6,36,32,214,3,0,0,10.3,165
13,Devonta Freeman,ATL,RB,14,196,865,4.4,7,47,36,317,1,4,1,11.7,164.2
14,Lamar Miller,HOU,RB,16,238,888,3.7,3,45,36,327,3,1,0,9.8,157.5
15,Christian McCaffrey,CAR,RB,16,117,435,3.7,2,113,80,651,5,2,1,9.3,148.6
16,Alex Collins,BAL,RB,15,212,973,4.6,6,36,23,187,0,4,2,9.9,148
17,CJ Anderson,DEN,RB,16,245,1007,4.1,3,40,28,224,1,1,1,9.2,147.1
18,Frank Gore,IND,RB,16,261,961,3.7,3,38,29,245,1,3,0,9,144.6
19,Marshawn Lynch,OAK,RB,15,207,891,4.3,7,31,20,151,0,1,1,9.6,144.2
20,Latavius Murray,MIN,RB,16,216,842,3.9,8,17,15,103,0,1,0,8.9,142.5
21,Duke Johnson,CLE,RB,16,82,348,4.2,4,93,74,693,3,4,2,8.9,142.1
22,Tevin Coleman,ATL,RB,15,156,628,4,5,39,27,299,3,1,0,9.4,140.7
23,DeMarco Murray,TEN,RB,15,184,659,3.6,6,47,39,266,1,1,1,8.8,132.5
24,Jerick McKinnon,MIN,RB,16,150,570,3.8,3,68,51,421,2,3,2,7.9,127.1
25,Derrick Henry,TEN,RB,16,176,744,4.2,5,17,11,136,1,1,0,7.8,124
26,Bilal Powell,NYJ,RB,15,178,772,4.3,5,33,23,170,0,1,1,8.1,122.2
27,Javorius Allen,BAL,RB,16,153,591,3.9,4,60,46,250,2,0,0,7.5,120.1
28,Orleans Darkwa,NYG,RB,15,171,751,4.4,5,28,19,116,0,1,0,7.9,118.7
29,Jamaal Williams,GB,RB,16,153,556,3.6,4,34,25,262,2,0,0,7.4,117.8
30,Isaiah Crowell,CLE,RB,16,206,853,4.1,2,42,28,182,0,1,1,7.2,115.5
31,Chris Thompson,WAS,RB,10,64,294,4.6,2,54,39,510,4,3,2,11.2,112.4
32,Joe Mixon,CIN,RB,14,178,626,3.5,4,34,30,287,0,3,2,8,111.3
33,Jay Ajayi,PHI,RB,14,208,873,4.2,1,34,24,158,1,3,2,7.9,111.1
34,Kenyan Drake,MIA,RB,16,133,644,4.8,3,48,32,239,1,2,2,6.9,110.3
35,Jonathan Stewart,CAR,RB,15,198,680,3.4,6,15,8,52,1,3,3,7.3,109.2
36,Giovani Bernard,CIN,RB,16,105,458,4.4,2,60,43,389,2,0,0,6.8,108.7
37,Theo Riddick,DET,RB,16,84,286,3.4,3,71,53,444,2,1,1,6.3,101
38,Rex Burkhead,NE,RB,10,64,264,4.1,5,36,30,254,3,1,0,10,99.8
39,LeGarrette Blount,PHI,RB,16,173,766,4.4,2,8,8,50,1,1,1,6.2,99.6
40,Ameer Abdullah,DET,RB,14,165,552,3.3,4,35,25,162,1,2,1,7.1,99.4
41,Tarik Cohen,CHI,RB,16,87,370,4.3,2,71,53,353,1,3,2,5.7,91.14
42,Samaje Perine,WAS,RB,16,175,603,3.4,1,24,22,182,1,2,2,5.4,86.5
43,Matt Forte,NYJ,RB,12,103,381,3.7,2,45,37,293,1,1,1,7,83.4
44,Matt Breida,SF,RB,16,105,465,4.4,2,36,21,180,1,1,0,5.2,82.5
45,Corey Clement,PHI,RB,16,74,321,4.3,4,15,10,123,2,0,0,5.2,82.4
46,Marlon Mack,IND,RB,14,93,358,3.8,3,33,21,225,1,1,0,5.9,82.3
47,Austin Ekeler,LAC,RB,16,47,260,5.5,2,35,27,279,3,2,2,5,79.9
48,James White,NE,RB,14,43,171,4,0,72,56,429,3,0,0,5.6,78
49,Rod Smith,DAL,RB,15,55,232,4.2,4,23,19,202,1,0,0,4.9,73.4
50,Aaron Jones,GB,RB,12,81,448,5.5,4,18,9,22,0,0,0,5.9,71
51,Wayne Gallman,NYG,RB,13,111,476,4.3,0,48,34,193,1,3,1,5.5,70.9
52,Peyton Barber,TB,RB,16,108,423,3.9,3,19,16,114,0,2,1,4.4,69.7
53,Ty Montgomery,GB,RB,8,71,273,3.8,3,31,23,173,1,0,0,8.6,68.6
54,Adrian Peterson,ARI,RB,10,156,529,3.4,2,19,11,70,0,3,2,6.8,67.9
55,Mike Gillislee,NE,RB,9,104,383,3.7,5,1,1,15,0,1,1,7.5,67.8
56,Doug Martin,TB,RB,11,138,406,2.9,3,18,9,84,0,1,1,6.1,67
57,Alfred Morris,DAL,RB,14,115,547,4.8,1,9,7,45,0,0,0,4.7,65.2
58,Chris Ivory,JAX,RB,14,112,382,3.4,1,28,21,175,1,2,2,4.6,63.7
59,JD McKissic,SEA,RB,13,46,187,4.1,1,46,34,266,2,0,0,4.9,63.3
60,Devontae Booker,DEN,RB,13,79,299,3.8,1,38,30,275,0,1,1,4.7,61.4
61,Elijah McGuire,NYJ,RB,16,88,315,3.6,1,26,17,177,1,2,2,3.7,59.2
62,Jalen Richard,OAK,RB,16,56,275,4.9,1,36,27,256,1,8,3,3.7,59.1
63,Kerwynn Williams,ARI,RB,16,120,426,3.6,1,15,10,93,0,0,0,3.6,57.9
64,TJ Yeldon,JAX,RB,10,49,253,5.2,2,41,30,224,0,2,1,5.8,57.7
65,Dalvin Cook,MIN,RB,4,74,354,4.8,2,16,11,90,0,1,1,13.6,54.4
66,Deandre Washington,OAK,RB,15,57,153,2.7,2,45,34,197,1,2,1,3.4,51
66,D'Onta Foreman,HOU,RB,10,78,327,4.2,2,8,6,83,0,2,1,5.1,51
68,Andre Ellington,HOU,RB,12,20,55,2.8,1,59,39,369,0,0,0,4,48.4
69,Charcandrick West,KC,RB,13,18,72,4,2,34,27,150,2,1,0,3.6,46.2
70,Jamaal Charles,DEN,RB,14,69,296,4.3,1,28,23,129,0,2,2,3.2,44.5
71,Shane Vereen,NYG,RB,16,45,164,3.6,0,53,44,253,0,0,0,2.5,39.7
72,Damien Williams,MIA,RB,11,46,181,3.9,0,28,20,155,1,0,0,3.6,39.6
73,Rob Kelley,WAS,RB,7,62,194,3.1,3,7,4,18,0,0,0,5.6,39.2
74,Corey Grant,JAX,RB,16,30,248,8.3,2,4,3,41,0,1,1,2.4,38.9
75,Charles Sims,TB,RB,16,21,95,4.5,0,47,35,249,1,1,1,2.4,38.4
76,Jacquizz Rodgers,TB,RB,16,64,244,3.8,1,11,9,74,0,0,0,2.4,37.8
77,Alfred Blue,HOU,RB,11,71,262,3.7,1,9,7,54,0,0,0,3.4,37.6
