Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Arian Foster,HOU,RB,16,327,1616,4.9,16,84,66,604,2,3,2,20.4,326
2,Adrian Peterson,MIN,RB,15,283,1298,4.6,12,50,36,341,1,1,1,16,239.9
3,Jamaal Charles,KC,RB,16,230,1467,6.4,5,64,45,468,3,3,2,14.8,237.5
4,Peyton Hillis,CLE,RB,16,270,1177,4.4,11,77,61,477,2,8,5,14.6,233.92
5,Chris Johnson,TEN,RB,16,316,1364,4.3,11,57,44,245,1,3,2,14.3,228.9
6,Darren McFadden,OAK,RB,13,223,1157,5.2,7,61,47,507,3,4,3,17,220.4
7,LeSean McCoy,PHI,RB,15,207,1080,5.2,7,90,78,592,2,2,1,14.6,219.2
8,Rashard Mendenhall,PIT,RB,16,324,1274,3.9,13,34,23,167,0,2,2,13.6,218.1
9,Ray Rice,BAL,RB,16,308,1223,4,5,83,63,556,1,0,0,13.4,213.9
10,Matt Forte,CHI,RB,16,237,1069,4.5,6,70,51,547,3,3,2,13.4,213.6
10,Michael Turner,ATL,RB,16,334,1371,4.1,12,20,12,85,0,2,2,13.4,213.6
12,Maurice Jones-Drew,JAX,RB,14,299,1324,4.4,5,44,34,317,2,2,2,14.3,200.1
13,Steven Jackson,LAR,RB,16,330,1241,3.8,6,61,46,383,0,1,1,12.3,196.4
14,Ahmad Bradshaw,NYG,RB,16,276,1235,4.5,8,58,47,314,0,7,6,12.1,192.9
15,BenJarvus Green-Ellis,NE,RB,16,229,1008,4.4,13,16,12,85,0,0,0,11.7,187.3
16,Cedric Benson,CIN,RB,16,321,1111,3.5,7,37,28,178,1,7,5,10.6,168.9
17,LaDainian Tomlinson,NYJ,RB,15,219,914,4.2,6,79,52,368,0,3,0,10.9,164.2
18,Knowshon Moreno,DEN,RB,13,182,779,4.3,5,48,37,372,3,3,2,12.2,159.1
19,Mike Tolbert,LAC,FB,15,182,735,4,11,29,25,216,0,5,3,10.5,157.1
20,Frank Gore,SF,RB,11,203,853,4.2,3,72,46,452,2,4,2,14.2,156.5
21,Fred Jackson,BUF,RB,16,222,927,4.2,5,54,31,215,2,5,2,9.5,152.2
