Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Ray Rice,BAL,RB,16,290,1362,4.7,12,104,76,704,3,2,2,18.5,296.64
2,LeSean McCoy,PHI,RB,15,273,1309,4.8,17,69,48,315,3,1,1,18.7,280.4
3,Maurice Jones-Drew,JAX,RB,16,343,1606,4.7,8,64,43,374,3,6,1,16.4,262
4,Arian Foster,HOU,RB,13,278,1224,4.4,10,72,53,617,2,5,3,19.2,250.1
5,Marshawn Lynch,SEA,RB,15,285,1204,4.2,12,41,28,212,1,3,2,14.4,215.6
6,Michael Turner,ATL,RB,16,301,1340,4.5,11,26,17,168,0,3,2,13.3,212.8
7,Adrian Peterson,MIN,RB,12,209,973,4.7,12,23,18,139,1,1,0,15.8,189.2
8,Ryan Mathews,LAC,RB,14,222,1091,4.9,6,59,50,455,0,5,2,13.3,186.6
9,Michael Bush,OAK,RB,16,256,977,3.8,7,47,37,418,1,1,1,11.6,185.5
10,Darren Sproles,NO,RB,16,87,603,6.9,2,111,86,710,7,0,0,11.6,185.3
11,Steven Jackson,LAR,RB,15,260,1145,4.4,5,58,42,333,1,2,1,12.1,181.8
12,Reggie Bush,MIA,RB,15,217,1097,5.1,6,52,43,296,1,4,2,11.8,177.3
13,Frank Gore,SF,RB,16,282,1211,4.3,8,31,17,114,0,2,2,11,176.5
14,Fred Jackson,BUF,RB,10,170,934,5.5,6,50,39,442,0,2,2,17,169.6
15,Matt Forte,CHI,RB,12,203,997,4.9,3,76,52,490,1,2,2,14.1,168.7
16,Chris Johnson,TEN,RB,16,262,1047,4,4,79,57,418,0,3,1,10.5,168.5
17,Chris Wells,ARI,RB,14,245,1047,4.3,10,16,10,52,0,4,2,11.8,165.9
18,Shonn Greene,NYJ,RB,16,253,1054,4.2,6,41,30,211,0,1,0,10.2,162.5
19,Rashard Mendenhall,PIT,RB,15,228,928,4.1,9,28,18,154,0,1,1,10.7,160.2
20,Ahmad Bradshaw,NYG,RB,12,171,659,3.9,9,44,34,267,2,1,1,13.2,158.6
21,Willis McGahee,DEN,RB,15,249,1199,4.8,4,20,12,51,1,4,3,10.1,151
22,Mike Tolbert,LAC,FB,15,120,492,4.1,8,79,54,433,2,2,1,10,150.5
23,BenJarvus Green-Ellis,NE,RB,16,180,665,3.7,11,13,9,159,0,0,0,9.3,148.4
24,Jonathan Stewart,CAR,RB,16,142,761,5.4,4,61,47,413,1,1,0,9.2,147.4
25,Cedric Benson,CIN,RB,15,273,1067,3.9,6,22,15,82,0,5,2,9.8,146.9
26,DeAngelo Williams,CAR,RB,16,155,836,5.4,7,25,16,135,0,0,0,8.7,139.1
27,Pierre Thomas,NO,RB,16,110,562,5.1,5,59,50,425,1,1,1,8.3,132.7
28,Ben Tate,HOU,RB,15,175,942,5.4,4,19,13,98,0,4,3,8.1,122
29,Brandon Jacobs,NYG,RB,14,152,571,3.8,7,23,15,128,1,3,0,8.6,119.9
30,DeMarco Murray,DAL,RB,13,163,895,5.5,2,35,26,183,0,1,0,9.2,119.8
31,CJ Spiller,BUF,RB,16,107,561,5.2,4,53,39,269,2,2,0,7.4,119
32,LeGarrette Blount,TB,RB,14,184,781,4.2,5,25,15,148,0,5,3,8.4,116.9
33,Roy Helu,WAS,RB,15,151,640,4.2,2,60,49,379,1,2,2,7.7,115.9
34,Darren McFadden,OAK,RB,7,113,614,5.4,4,23,19,154,1,1,1,15,104.8
35,Donald Brown,IND,RB,16,134,645,4.8,5,19,16,86,0,0,0,6.4,103.1
36,Ryan Grant,GB,RB,15,134,559,4.2,2,24,19,268,1,1,1,6.6,98.7
37,Toby Gerhart,MIN,RB,16,109,531,4.9,1,28,23,190,3,1,0,6,96.1
38,Kevin Smith,DET,RB,7,72,356,4.9,4,28,22,179,3,1,1,13.4,93.5
39,LaDainian Tomlinson,NYJ,RB,14,75,280,3.7,1,60,42,449,2,0,0,6.5,90.9
40,Dexter McCluster,KC,RB,16,113,510,4.5,1,65,47,334,1,4,3,5.6,90.4
41,Peyton Hillis,CLE,RB,10,161,587,3.6,3,34,22,130,0,2,1,8.8,87.7
42,Jahvid Best,DET,RB,6,84,390,4.6,2,40,27,287,1,0,0,14.3,85.7
43,James Starks,GB,RB,13,133,578,4.3,1,37,29,216,0,1,1,6.4,83.4
44,Felix Jones,DAL,RB,12,128,577,4.5,1,44,33,221,0,5,2,6.8,81.8
45,Marion Barber,CHI,RB,11,114,422,3.7,6,9,5,50,0,1,1,7.4,81.2
46,Mark Ingram,NO,RB,10,122,474,3.9,5,13,11,46,0,1,1,8,80
47,Kendall Hunter,SF,RB,16,112,473,4.2,2,26,16,195,0,0,0,4.9,78.8
48,Jackie Battle,KC,FB,15,149,597,4,2,13,9,68,0,0,0,5.2,78.5
49,Daniel Thomas,MIA,RB,13,165,581,3.5,0,16,12,72,1,2,1,5.3,69.3
50,Isaac Redman,PIT,RB,16,110,479,4.4,3,21,17,69,0,2,2,4.3,68.8
51,Maurice Morris,DET,RB,16,80,316,4,1,35,26,230,1,1,0,4.2,66.6
52,Lance Ball,DEN,RB,16,96,402,4.2,1,32,16,148,1,2,2,3.9,63
53,Danny Woodhead,NE,RB,15,77,351,4.6,1,31,18,157,0,0,0,4.1,60.8
54,Ricky Williams,BAL,RB,16,108,444,4.1,2,20,13,83,0,2,2,3.8,60.7
55,Bernard Scott,CIN,RB,16,112,380,3.4,3,17,13,38,0,0,0,3.7,59.8
56,Joseph Addai,IND,RB,12,118,433,3.7,1,22,15,93,0,1,0,4.9,58.6
57,Chris Ogbonnaya,CLE,RB,13,76,340,4.5,1,31,23,165,0,2,1,4.2,54.5
58,LaRod Stephens-Howling,ARI,RB,14,43,167,3.9,0,17,13,234,2,0,0,3.7,52.1
58,Thomas Jones,KC,RB,16,153,478,3.1,0,7,5,43,0,0,0,3.3,52.1
60,Tim Hightower,WAS,RB,5,84,321,3.8,1,15,10,78,1,0,0,10.4,51.9
61,Stevan Ridley,NE,RB,16,88,443,5,1,5,3,13,0,1,0,3.2,51.6
62,John Kuhn,GB,FB,16,30,78,2.6,4,18,15,77,2,0,0,3.2,51.5
