Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Devonta Freeman,ATL,RB,15,265,1056,4,11,97,73,578,3,3,2,16.2,243.4
2,Adrian Peterson,MIN,RB,16,327,1485,4.5,11,36,30,222,0,7,3,14.4,230.7
3,Doug Martin,TB,RB,16,288,1402,4.9,6,44,33,271,1,5,5,12.5,199.3
4,DeAngelo Williams,PIT,RB,16,200,907,4.5,11,47,40,367,0,4,2,12,191.4
5,Todd Gurley,LAR,RB,13,229,1106,4.8,10,26,21,188,0,3,1,14.4,187.4
6,Lamar Miller,MIA,RB,16,194,872,4.5,8,57,47,397,2,1,1,11.6,184.9
7,David Johnson,ARI,RB,16,125,581,4.6,8,57,36,457,4,5,1,10.9,173.8
8,Chris Ivory,NYJ,RB,15,247,1070,4.3,7,37,30,217,1,5,2,11.5,172.7
9,Matt Forte,CHI,RB,13,218,898,4.1,4,58,44,389,3,2,1,13.1,170.7
10,Latavius Murray,OAK,RB,16,266,1066,4,6,53,41,232,0,4,1,10.2,163.8
11,Danny Woodhead,LAC,RB,16,98,336,3.4,3,106,80,755,6,0,0,10.2,163.1
12,Frank Gore,IND,RB,16,260,967,3.7,6,58,34,267,1,4,3,10,159.4
13,Darren McFadden,DAL,RB,16,239,1089,4.6,3,53,40,328,0,4,3,9.7,155.7
14,Jeremy Hill,CIN,RB,16,223,794,3.6,11,19,15,79,1,3,3,9.7,155.3
15,Mark Ingram,NO,RB,12,166,769,4.6,6,60,50,405,0,3,1,12.8,153.4
16,Jonathan Stewart,CAR,RB,13,242,989,4.1,6,21,16,99,1,3,2,11.3,146.8
17,LeSean McCoy,BUF,RB,12,203,895,4.4,3,50,32,292,2,2,2,12.2,146.7
18,DeMarco Murray,PHI,RB,15,193,702,3.6,6,55,44,322,1,3,2,9.4,140.4
19,Ronnie Hillman,DEN,RB,16,207,863,4.2,7,35,24,111,0,3,1,8.6,137.4
20,Rashad Jennings,NYG,RB,16,195,863,4.4,3,40,29,296,1,3,2,8.5,135.9
21,Giovani Bernard,CIN,RB,16,154,730,4.7,2,66,49,472,0,2,0,8.3,132.2
22,Charles Sims,TB,RB,16,107,529,4.9,0,70,51,561,4,2,2,8.1,129
23,Jeremy Langford,CHI,RB,16,148,537,3.6,6,42,22,279,1,0,0,7.8,125.6
24,James Starks,GB,RB,16,148,601,4.1,2,53,43,392,3,6,3,7.7,123.3
25,Eddie Lacy,GB,RB,15,187,758,4.1,3,28,20,188,2,4,2,8,120.6
26,TJ Yeldon,JAX,RB,12,182,740,4.1,2,46,36,279,1,0,0,10,119.9
27,Isaiah Crowell,CLE,RB,16,185,706,3.8,4,22,19,182,1,0,0,7.4,118.8
28,Thomas Rawls,SEA,RB,13,147,830,5.6,4,11,9,76,1,1,1,9.1,118.6
29,LeGarrette Blount,NE,RB,12,165,703,4.3,6,7,6,43,1,1,0,9.7,116.6
30,CJ Anderson,DEN,RB,15,152,720,4.7,5,36,25,183,0,2,2,7.8,116.3
31,Karlos Williams,BUF,RB,11,93,517,5.6,7,14,11,96,2,2,1,10.3,113.3
32,Charcandrick West,KC,RB,15,160,634,4,4,34,20,214,1,2,1,7.5,112.8
33,Ryan Mathews,PHI,RB,13,106,539,5.1,6,29,20,146,1,4,3,8,104.5
34,Duke Johnson,CLE,RB,16,104,379,3.6,0,74,61,534,2,1,0,6.5,103.3
35,Chris Johnson,ARI,RB,11,196,814,4.2,3,13,6,58,0,2,2,9.2,101.2
36,Javorius Allen,BAL,RB,16,137,514,3.8,1,62,45,353,2,2,2,6.3,100.7
37,Shane Vereen,NYG,RB,16,61,260,4.3,0,81,59,494,4,1,0,6.2,99.4
38,Theo Riddick,DET,RB,16,43,133,3.1,0,99,80,697,3,1,1,6.2,99
39,Alfred Blue,HOU,RB,16,183,698,3.8,2,16,15,109,1,2,1,6,96.7
40,Matt Jones,WAS,RB,13,144,490,3.4,3,25,19,304,1,5,4,7.3,95.4
41,Darren Sproles,PHI,RB,16,83,317,3.8,3,83,55,388,1,2,0,5.9,94.5
42,Ameer Abdullah,DET,RB,16,143,597,4.2,2,38,25,183,1,6,2,5.8,92
43,Justin Forsett,BAL,RB,10,151,641,4.2,2,41,31,153,0,0,0,9.1,91.4
44,Antonio Andrews,TEN,RB,14,143,520,3.6,3,29,21,174,0,1,1,6.5,91.04
45,Bilal Powell,NYJ,RB,11,70,313,4.5,1,63,47,388,2,2,0,8,88.1
46,Le'Veon Bell,PIT,RB,6,113,556,4.9,3,26,24,136,0,0,0,14.5,87.2
47,Alfred Morris,WAS,RB,16,202,751,3.7,1,13,10,55,0,0,0,5.4,86.6
48,Dion Lewis,NE,RB,7,49,234,4.8,2,50,36,388,2,2,1,12,84.2
49,Joique Bell,DET,RB,13,90,311,3.5,4,27,22,286,0,1,0,6.4,83.7
50,James White,NE,RB,14,22,56,2.5,2,54,40,410,4,0,0,5.9,82.6
51,Jamaal Charles,KC,RB,5,71,364,5.1,4,30,21,177,1,3,2,16,80.1
52,Spencer Ware,KC,RB,11,72,403,5.6,6,6,6,5,0,1,0,7,76.8
53,Melvin Gordon,LAC,RB,14,184,641,3.5,0,37,33,192,0,6,4,5.4,75.3
54,Tim Hightower,NO,RB,8,96,375,3.9,4,13,12,129,0,0,0,9.3,74.4
55,Carlos Hyde,SF,RB,7,115,470,4.1,3,15,11,53,0,1,0,10,70.3
56,Marshawn Lynch,SEA,RB,7,111,417,3.8,3,21,13,80,0,0,0,10,69.7
57,Mike Tolbert,CAR,FB,16,62,256,4.1,1,23,18,154,3,0,0,4.1,65
58,Joseph Randle,DAL,RB,6,76,315,4.1,4,10,10,86,0,1,0,10.7,64.1
59,Jerick McKinnon,MIN,RB,16,52,271,5.2,2,29,21,173,1,0,0,3.9,62.4
60,Dexter McCluster,TEN,RB,12,55,247,4.5,1,41,31,260,1,2,2,5.1,60.7
61,Andre Ellington,ARI,RB,10,45,289,6.4,3,24,15,148,0,1,1,6,59.7
62,Jonathan Grimes,HOU,RB,14,56,282,5,1,31,26,173,1,0,0,4.2,59.5
63,Chris Thompson,WAS,RB,13,35,216,6.2,0,48,35,240,2,2,0,4.4,57.6
64,Kyle Juszczyk,BAL,FB,16,2,3,1.5,0,56,41,321,4,0,0,3.5,56.4
65,Chris Polk,HOU,RB,15,99,334,3.4,1,28,16,109,1,0,0,3.8,56.3
66,Arian Foster,HOU,RB,4,63,163,2.6,1,28,22,227,2,2,1,13.8,55
67,Khiry Robinson,NO,RB,8,56,180,3.2,4,20,17,115,0,0,0,6.7,53.5
68,Shaun Draughn,SF,RB,11,78,273,3.5,1,35,27,176,0,2,0,4.6,50.9
69,Brandon Bolden,NE,RB,15,63,207,3.3,0,30,19,180,2,0,0,3.4,50.7
70,Marcel Reece,OAK,FB,15,10,36,3.6,0,37,30,269,3,0,0,3.2,48.5
71,CJ Spiller,NO,RB,13,36,112,3.1,0,44,34,239,2,1,0,3.6,47.1
72,Denard Robinson,JAX,RB,13,67,266,4,1,30,21,164,0,3,1,3.6,47
73,Fred Jackson,SEA,RB,16,26,100,3.8,0,41,32,257,2,1,1,2.9,45.7
74,Mike Gillislee,BUF,RB,5,47,267,5.7,3,7,6,29,0,1,1,9.1,45.6
75,Bishop Sankey,TEN,RB,13,47,193,4.1,1,22,14,139,1,3,1,3.3,43.2
76,Tevin Coleman,ATL,RB,12,87,392,4.5,1,11,2,14,0,3,3,3.4,40.6
77,Benjamin Cunningham,LAR,RB,16,37,140,3.8,0,37,26,250,0,1,0,2.4,39
78,Donald Brown,LAC,RB,10,59,229,3.9,1,13,8,88,0,1,0,3.8,37.7
79,Jay Ajayi,MIA,RB,9,49,187,3.8,1,11,7,90,0,0,0,4,35.7
80,Andre Williams,NYG,RB,16,88,257,2.9,1,3,1,7,0,0,0,2.2,34.4
81,Ka'Deem Carey,CHI,RB,11,43,159,3.7,2,3,3,19,1,1,1,3.1,33.8
82,Tre Mason,LAR,RB,13,75,207,2.8,1,21,18,88,0,3,1,2.6,33.5
83,Ahmad Bradshaw,IND,RB,6,31,85,2.7,0,14,10,64,3,0,0,5.5,32.9
84,Cameron Artis-Payne,CAR,RB,7,45,183,4.1,1,5,5,58,0,0,0,4.3,30.1
85,Zach Line,MIN,FB,16,6,10,1.7,2,9,6,95,1,0,0,1.8,28.5
86,Travaris Cadet,NO,RB,7,11,28,2.5,0,22,17,214,1,1,1,4,28.2
86,Robert Turbin,DAL,RB,10,50,199,4,1,10,7,23,0,0,0,2.8,28.2
86,Lance Dunbar,DAL,RB,4,5,67,13.4,0,23,21,215,0,0,0,7,28.2
89,Ty Montgomery,GB,RB,6,3,14,4.7,0,19,15,136,2,0,0,4.5,27
90,DuJuan Harris,SF,RB,4,48,189,3.9,0,14,9,97,0,1,1,6.6,26.6
91,Christine Michael,SEA,RB,8,54,243,4.5,0,6,3,16,0,0,0,3.2,25.9
92,Jamize Olawale,OAK,FB,14,24,110,4.6,1,11,9,84,0,0,0,1.8,25.4
93,Jonas Gray,JAX,RB,8,45,176,3.9,0,8,7,76,0,0,0,3.2,25.2
94,Matt Asiata,MIN,RB,16,29,112,3.9,0,22,19,132,0,0,0,1.5,24.4
94,Orleans Darkwa,NYG,RB,16,36,153,4.2,1,6,3,31,0,0,0,1.5,24.4
96,Damien Williams,MIA,RB,16,16,59,3.7,0,28,21,142,1,4,1,1.5,24.1
97,Fozzy Whittaker,CAR,RB,15,25,108,4.3,1,15,12,64,0,2,0,1.5,23.2
98,Patrick DiMarco,ATL,FB,16,1,0,0,0,17,13,110,2,0,0,1.4,23
99,Terron Ward,ATL,RB,13,29,95,3.3,1,13,9,73,0,0,0,1.8,22.8
100,Taiwan Jones,OAK,RB,12,16,74,4.6,0,9,7,106,1,2,1,1.8,22
100,Branden Oliver,LAC,RB,8,31,108,3.5,0,15,13,112,0,1,0,2.8,22
102,Zac Stacy,NYJ,RB,8,31,89,2.9,1,12,9,65,0,0,0,2.7,21.4
103,Terrance West,BAL,RB,8,62,231,3.7,0,5,4,21,0,2,2,2.6,21.2
104,Bruce Miller,SF,FB,16,6,14,2.3,1,14,10,135,0,0,0,1.3,20.9
105,John Kuhn,GB,FB,16,9,28,3.1,2,10,6,56,0,0,0,1.3,20.4
105,David Cobb,TEN,RB,7,52,146,2.8,1,2,1,-2,0,0,0,2.9,20.4
107,Kerwynn Williams,ARI,RB,6,27,142,5.3,1,2,2,16,0,2,1,3.3,19.8
108,Jalston Fowler,TEN,RB,16,7,13,1.9,1,6,5,44,1,0,0,1.1,17.7
109,Roy Helu,OAK,RB,9,17,39,2.3,0,16,9,75,1,0,0,1.9,17.4
110,Knile Davis,KC,RB,14,28,72,2.6,1,3,2,24,0,0,0,1.1,15.6
111,Pierre Thomas,WAS,RB,5,15,64,4.3,0,11,9,84,0,0,0,3,14.8
111,Anthony Dixon,BUF,RB,16,21,44,2.1,1,7,6,44,0,0,0,0.9,14.8
113,Rex Burkhead,CIN,RB,16,4,4,1,0,15,10,94,1,1,1,0.9,13.8
114,Lorenzo Taliaferro,BAL,RB,3,13,47,3.6,1,5,5,29,0,0,0,4.5,13.6
115,Akeem Hunt,HOU,RB,7,17,96,5.6,0,10,6,39,0,0,0,1.9,13.5
116,Bryce Brown,SEA,RB,4,26,72,2.8,1,2,0,0,0,0,0,3.3,13.2
117,Steven Jackson,NE,RB,2,21,50,2.4,1,1,1,20,0,0,0,6.5,13
118,Dan Herron,IND,RB,10,25,79,3.2,0,10,9,47,0,1,0,1.3,12.6
118,Kenjon Barner,PHI,RB,11,28,124,4.4,0,12,9,22,0,1,1,1.1,12.6
120,Will Tukuafu,SEA,FB,14,4,1,0.2,1,1,1,7,1,1,1,0.8,10.8
121,Kendall Gaskins,SF,FB,9,16,38,2.4,0,10,8,69,0,0,0,1.2,10.7
122,Will Johnson,PIT,FB,16,4,7,1.8,1,4,2,16,0,0,0,0.6,10.3
123,Michael Burton,DET,FB,16,4,2,0.5,0,6,6,39,1,0,0,0.6,10.1
124,Austin Johnson,NO,FB,10,4,9,2.2,1,8,5,30,0,0,0,1,9.9
124,Juwan Thompson,DEN,RB,15,18,48,2.7,0,9,6,51,0,0,0,0.7,9.9
126,Mike Davis,SF,RB,6,35,58,1.7,0,13,7,38,0,0,0,1.6,9.6
127,Stevan Ridley,NYJ,RB,9,36,90,2.5,0,5,4,-2,0,0,0,1,8.8
128,Zurlon Tipton,IND,RB,10,5,20,4,0,8,5,57,0,0,0,0.8,7.7
129,Zach Zenner,DET,RB,6,17,60,3.5,0,3,2,11,0,0,0,1.2,7.1
130,Toby Gerhart,JAX,RB,7,20,44,2.2,0,5,3,23,0,0,0,1,6.7
131,Stepfan Taylor,ARI,RB,16,17,58,3.4,0,3,1,4,0,0,0,0.4,6.2
131,Fitzgerald Toussaint,PIT,RB,5,18,42,2.3,0,0,0,0,0,0,0,1.2,6.2
133,Jarryd Hayne,SF,RB,8,17,52,3.1,0,7,6,27,0,3,1,0.7,5.9
134,Tommy Bohanon,NYJ,FB,16,2,2,1,0,8,4,56,0,0,0,0.4,5.8
135,Josh Robinson,IND,RB,5,17,39,2.3,0,7,6,33,0,1,1,1,5.2
136,Jacquizz Rodgers,CHI,RB,5,14,41,2.9,0,3,1,10,0,0,0,1,5.1
136,Joey Iosefa,NE,RB,2,15,51,3.4,0,0,0,0,0,0,0,2.6,5.1
138,Reggie Bush,SF,RB,5,8,28,3.5,0,10,4,19,0,0,0,0.9,4.7
139,Anthony Sherman,KC,FB,16,1,0,0,0,5,4,34,0,0,0,0.2,3.4
140,Jay Prosch,HOU,FB,16,6,33,5.5,0,1,0,0,0,0,0,0.2,3.3
141,Darrel Young,WAS,FB,16,6,10,1.7,0,6,6,22,0,1,0,0.2,3.2
141,Derrick Coleman,SEA,FB,14,8,32,4,0,1,1,0,0,0,0,0.2,3.2
143,Nick Bellore,SF,RB,16,0,0,0,0,0,0,0,0,0,0,0.2,3
144,Jordan Todman,PIT,RB,11,4,22,5.5,0,2,0,0,0,0,0,0.2,2.2
145,John Crockett,GB,RB,2,9,21,2.3,0,0,0,0,0,0,0,1,2.1
146,Tyler Varga,IND,RB,3,1,2,2,0,2,1,18,0,0,0,0.7,2
147,Alonzo Harris,GB,RB,6,4,19,4.8,0,1,0,0,0,0,0,0.3,1.9
148,Bernard Pierce,JAX,RB,7,6,11,1.8,0,5,3,7,0,0,0,0.3,1.8
148,Aaron Ripkowski,GB,FB,15,0,0,0,0,1,1,18,0,0,0,0.1,1.8
150,Roosevelt Nix,PIT,RB,15,0,0,0,0,3,2,16,0,0,0,0.1,1.6
151,Malcolm Johnson,CLE,FB,12,0,0,0,0,6,4,15,0,0,0,0.1,1.5
151,Malcolm Brown,LAR,RB,1,4,17,4.2,0,1,1,-2,0,0,0,1.5,1.5
153,Jerome Felton,BUF,FB,16,1,2,2,0,2,1,12,0,0,0,0.1,1.4
