Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,David Johnson,ARI,RB,16,293,1239,4.2,16,120,80,879,4,5,3,20.5,327.8
2,Ezekiel Elliott,DAL,RB,15,322,1631,5.1,15,40,32,363,1,5,1,19.6,293.4
3,LeSean McCoy,BUF,RB,15,234,1267,5.4,13,58,51,356,1,3,0,16.6,248.3
4,Le'Veon Bell,PIT,RB,12,261,1268,4.9,7,94,75,616,2,4,1,20.2,242.4
5,DeMarco Murray,TEN,RB,16,293,1287,4.4,9,67,53,377,3,3,1,15,240.8
6,Devonta Freeman,ATL,RB,16,227,1079,4.8,11,65,54,462,2,1,1,14.4,230.1
7,LeGarrette Blount,NE,RB,16,299,1161,3.9,18,8,7,38,0,2,1,14.1,225.9
8,Melvin Gordon,LAC,RB,13,254,997,3.9,10,57,41,419,2,2,2,16.1,209.6
9,Jordan Howard,CHI,RB,15,252,1313,5.2,6,50,29,298,1,2,1,13.4,201.1
10,Mark Ingram,NO,RB,16,205,1043,5.1,6,58,46,319,4,2,2,12.3,196.2
11,Jay Ajayi,MIA,RB,15,260,1272,4.9,8,35,27,151,0,4,1,12.6,188.3
12,Frank Gore,IND,RB,16,263,1026,3.9,4,47,38,277,4,2,1,11,176.3
13,Latavius Murray,OAK,RB,14,195,788,4,12,43,33,264,0,2,1,12.5,175.2
14,Isaiah Crowell,CLE,RB,16,198,952,4.8,7,53,40,319,0,2,2,10.3,165.1
14,Carlos Hyde,SF,RB,13,217,988,4.6,6,33,27,163,3,5,3,12.7,165.1
16,Spencer Ware,KC,RB,14,214,922,4.3,3,42,33,447,2,4,3,11.5,160.9
17,Lamar Miller,HOU,RB,14,268,1073,4,5,39,31,188,1,2,1,11.4,160.1
17,Tevin Coleman,ATL,RB,13,118,520,4.4,8,40,31,421,3,1,0,12.3,160.1
19,Jeremy Hill,CIN,RB,15,222,839,3.8,9,27,21,174,0,0,0,10.4,155.3
20,Todd Gurley,LAR,RB,16,278,885,3.2,6,58,43,327,0,2,1,9.7,155.2
21,Matt Forte,NYJ,RB,14,218,813,3.7,7,43,30,263,1,1,1,11,153.6
22,Bilal Powell,NYJ,RB,16,131,722,5.5,3,74,58,388,2,1,1,8.7,139
23,Jonathan Stewart,CAR,RB,13,218,824,3.8,9,21,8,60,0,3,2,10.6,138.4
24,Terrance West,BAL,RB,16,193,774,4,5,45,34,236,1,2,0,8.6,137
25,Ryan Mathews,PHI,RB,13,155,661,4.3,8,14,13,115,1,3,2,10.1,131.6
26,Rob Kelley,WAS,RB,15,168,704,4.2,6,18,12,82,1,0,0,8,120.6
27,Mike Gillislee,BUF,RB,15,101,576,5.7,8,11,9,50,1,1,0,7.8,116.6
28,Christine Michael,GB,RB,15,148,583,3.9,7,29,22,107,1,2,1,7.7,115
29,Devontae Booker,DEN,RB,16,174,612,3.5,4,46,31,265,1,4,3,7,111.7
30,Darren Sproles,PHI,RB,15,94,438,4.7,2,71,52,427,2,1,0,7.4,110.5
31,Theo Riddick,DET,RB,10,92,357,3.9,1,67,53,371,5,0,0,10.9,108.8
32,Jerick McKinnon,MIN,RB,15,159,539,3.4,2,53,43,255,2,0,0,7,105.4
33,Tim Hightower,NO,RB,16,133,548,4.1,4,26,22,200,1,0,0,6.6,104.8
34,Rashad Jennings,NYG,RB,13,181,593,3.3,3,42,35,201,1,1,0,8,103.4
35,James White,NE,RB,16,39,166,4.3,0,86,60,551,5,0,0,6.4,101.7
36,Matt Asiata,MIN,RB,16,121,402,3.3,6,38,32,263,0,1,1,6.3,100.5
37,Chris Thompson,WAS,RB,16,68,356,5.2,3,62,49,349,2,2,1,6.2,98.5
38,Ty Montgomery,GB,RB,15,77,457,5.9,3,56,44,348,0,2,1,6.4,96.5
39,Derrick Henry,TEN,RB,15,110,490,4.5,5,15,13,137,0,0,0,6.2,92.7
40,Nick Bellore,SF,RB,14,0,0,0,0,0,0,0,0,0,0,6.5,91.55
41,Duke Johnson,CLE,RB,16,73,358,4.9,1,74,53,514,0,2,1,5.7,91.2
42,TJ Yeldon,JAX,RB,15,130,465,3.6,1,68,50,312,1,2,1,5.8,87.7
43,Jalen Richard,OAK,RB,16,83,492,5.9,1,39,29,194,2,0,0,5.4,86.6
44,CJ Anderson,DEN,RB,7,110,437,4,4,24,16,128,1,0,0,12.4,86.5
45,Giovani Bernard,CIN,RB,10,91,337,3.7,2,51,39,336,1,1,1,8.3,83.3
