Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Jamaal Charles,KC,RB,15,259,1287,5,12,104,70,693,7,4,2,20.5,308
2,LeSean McCoy,PHI,RB,16,314,1607,5.1,9,64,52,539,2,1,1,17.4,278.6
3,Matt Forte,CHI,RB,16,288,1341,4.7,9,95,75,592,3,2,2,16.5,263.3
4,Marshawn Lynch,SEA,RB,16,301,1257,4.2,12,44,36,316,2,4,1,15,239.3
5,Knowshon Moreno,DEN,RB,16,241,1038,4.3,10,74,60,548,3,1,0,14.8,236.6
6,Eddie Lacy,GB,RB,15,284,1178,4.1,11,44,35,257,0,1,1,13.8,207.5
7,DeMarco Murray,DAL,RB,14,217,1121,5.2,9,66,53,350,1,3,1,14.6,205.1
8,Adrian Peterson,MIN,RB,14,279,1266,4.5,10,40,29,171,1,5,3,14.6,203.7
9,Chris Johnson,TEN,RB,16,279,1077,3.9,6,52,42,345,4,3,2,12.4,198.2
10,Fred Jackson,BUF,RB,16,207,896,4.3,9,65,46,375,1,3,0,11.7,187.1
11,Reggie Bush,DET,RB,14,223,1006,4.5,4,80,54,506,3,5,4,13.2,185.2
12,Ryan Mathews,LAC,RB,16,285,1255,4.4,6,33,26,189,1,2,1,11.5,184.4
13,Frank Gore,SF,RB,16,276,1128,4.1,9,26,16,141,0,3,3,10.9,174.9
14,Le'Veon Bell,PIT,RB,13,244,860,3.5,8,66,45,399,0,1,1,13.2,171.9
15,Alfred Morris,WAS,RB,16,276,1275,4.6,7,12,9,78,0,5,4,10.6,169.3
16,Giovani Bernard,CIN,RB,16,170,695,4.1,5,71,56,514,3,1,1,10.4,166.9
17,Joique Bell,DET,RB,16,166,650,3.9,8,69,53,547,0,4,3,10.2,163.7
18,Zac Stacy,LAR,RB,14,250,973,3.9,7,35,26,141,1,1,1,11.2,157.4
19,Danny Woodhead,LAC,RB,16,106,429,4,2,87,76,605,6,2,2,9.2,147.4
20,Maurice Jones-Drew,JAX,RB,15,234,803,3.4,5,60,43,314,0,1,1,9.6,144.02
21,Rashad Jennings,OAK,RB,15,163,733,4.5,6,47,36,292,0,0,0,9.2,138.5
22,DeAngelo Williams,CAR,RB,15,201,843,4.2,3,36,26,333,1,3,2,9.2,137.6
23,Pierre Thomas,NO,RB,16,147,549,3.7,2,84,77,513,3,2,1,8.4,134.2
24,Andre Ellington,ARI,RB,15,118,652,5.5,3,57,39,371,1,1,0,8.4,126.3
25,Rashard Mendenhall,ARI,RB,15,217,687,3.2,8,21,18,134,0,4,3,8.4,126.1
26,Donald Brown,IND,RB,16,102,537,5.3,6,35,27,214,2,0,0,7.7,123.1
27,CJ Spiller,BUF,RB,15,201,927,4.6,2,41,34,197,0,4,1,8.2,122.4
28,Ray Rice,BAL,RB,15,214,660,3.1,4,73,58,321,0,2,2,8,120.1
29,LeGarrette Blount,NE,RB,16,153,772,5,7,5,2,38,0,3,2,7.4,119
30,Stevan Ridley,NE,RB,14,178,773,4.3,7,12,10,62,0,4,4,8.4,117.5
31,BenJarvus Green-Ellis,CIN,RB,16,220,756,3.4,7,8,4,22,0,2,2,7.2,115.8
32,Steven Jackson,ATL,RB,12,156,542,3.5,6,49,33,191,1,0,0,9.6,115.3
33,Ben Tate,HOU,RB,14,181,771,4.3,4,49,34,140,0,5,2,7.9,111.1
34,Trent Richardson,IND,RB,16,188,563,3,3,52,35,316,1,2,1,6.9,109.9
35,Bilal Powell,NYJ,RB,16,176,697,4,1,57,36,272,0,1,0,6.5,104.1
36,Darren Sproles,NO,RB,15,53,220,4.2,2,89,71,604,2,2,2,6.8,102.4
37,Chris Ivory,NYJ,RB,15,182,833,4.6,3,7,2,10,0,2,0,6.8,102.3
38,Lamar Miller,MIA,RB,16,177,709,4,2,35,26,170,0,1,1,6.1,97.9
39,Mike Tolbert,CAR,FB,16,101,361,3.6,5,33,27,184,2,0,0,6,96.5
40,Bobby Rainey,TB,RB,16,150,566,3.8,5,19,15,46,1,1,1,6,95.2
41,Jacquizz Rodgers,ATL,RB,15,97,333,3.4,2,62,52,341,2,1,1,6,89.4
