Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,DeMarco Murray,DAL,RB,16,393,1845,4.7,13,64,57,416,0,5,5,18.4,294.1
2,Le'Veon Bell,PIT,RB,16,290,1361,4.7,8,105,83,854,3,0,0,18,287.5
3,Marshawn Lynch,SEA,RB,16,280,1306,4.7,13,48,37,367,4,3,2,16.6,265.3
4,Matt Forte,CHI,RB,16,266,1038,3.9,6,130,102,808,4,2,2,15.3,244.6
5,Arian Foster,HOU,RB,13,260,1246,4.8,8,59,38,327,5,2,2,18.1,235.5
6,Eddie Lacy,GB,RB,16,246,1139,4.6,9,55,42,427,4,3,2,14.4,230.6
7,Jamaal Charles,KC,RB,15,206,1033,5,9,59,40,291,5,5,3,14,210.4
8,Justin Forsett,BAL,RB,16,235,1266,5.4,8,59,44,263,0,1,0,12.7,202.9
9,Lamar Miller,MIA,RB,16,216,1099,5.1,8,52,38,275,1,3,3,11.6,185.4
10,Jeremy Hill,CIN,RB,16,222,1124,5.1,9,32,27,215,0,5,2,11.5,183.9
11,CJ Anderson,DEN,RB,15,179,849,4.7,8,44,34,324,2,1,0,11.8,177.3
12,LeSean McCoy,PHI,RB,16,315,1319,4.2,5,38,29,155,0,4,3,10.7,171.4
13,Alfred Morris,WAS,RB,16,265,1074,4.1,8,26,17,155,0,2,0,10.7,170.9
14,Joique Bell,DET,RB,15,223,860,3.9,7,53,34,322,1,5,1,10.9,164.2
15,Mark Ingram,NO,RB,13,226,964,4.3,9,36,29,145,0,3,1,12.5,162.9
16,Matt Asiata,MIN,RB,15,164,570,3.5,9,63,44,312,1,1,1,10,150.2
17,Frank Gore,SF,RB,16,255,1103,4.3,4,19,11,111,1,2,2,9.2,147.4
18,Giovani Bernard,CIN,RB,13,168,680,4,5,59,43,349,2,0,0,11.1,144.9
19,Chris Ivory,NYJ,RB,16,198,820,4.1,6,27,18,123,1,2,1,8.4,134.3
20,Andre Ellington,ARI,RB,12,201,660,3.3,3,64,46,395,2,2,2,11,131.5
21,Andre Williams,NYG,RB,16,217,721,3.3,7,37,18,130,0,1,0,7.9,127.1
22,Fred Jackson,BUF,RB,14,142,526,3.7,2,90,66,501,1,5,0,8.8,122.7
23,Steven Jackson,ATL,RB,15,190,707,3.7,6,27,20,148,0,0,0,8.1,121.5
24,Jonathan Stewart,CAR,RB,13,175,809,4.6,3,31,25,181,1,2,1,9.3,121
25,Tre Mason,LAR,RB,12,179,765,4.3,4,26,16,148,1,2,1,9.9,119.3
26,Ahmad Bradshaw,IND,RB,10,90,425,4.7,2,47,38,300,6,3,2,11.6,116.5
27,Shane Vereen,NE,RB,16,96,391,4.1,2,78,53,447,3,0,0,7.1,113.8
28,Isaiah Crowell,CLE,RB,16,148,607,4.1,8,14,9,87,0,3,2,7.1,113.4
29,Branden Oliver,LAC,RB,14,160,582,3.6,3,45,36,271,1,0,0,7.8,109.3
30,Rashad Jennings,NYG,RB,11,167,639,3.8,4,41,30,226,0,1,1,9.9,108.5
31,Darren Sproles,PHI,RB,15,57,329,5.8,6,62,40,387,0,4,1,7,105.6
32,Terrance West,CLE,RB,14,171,673,3.9,4,13,11,64,1,2,1,7.3,101.7
33,Knile Davis,KC,RB,16,134,463,3.5,6,25,16,147,1,4,2,6.2,99
34,Chris Johnson,NYJ,RB,16,155,663,4.3,1,34,24,151,1,1,1,5.7,91.4
35,Trent Richardson,IND,RB,15,159,519,3.3,3,34,27,229,0,2,1,6.1,90.8
36,Denard Robinson,JAX,RB,13,135,582,4.3,4,31,23,124,0,2,2,7,90.6
37,LeGarrette Blount,NE,RB,16,125,547,4.4,5,12,10,54,0,1,1,5.5,88.1
38,Roy Helu,WAS,RB,14,40,216,5.4,1,47,42,477,2,2,1,6.1,85.3
39,Darren McFadden,OAK,RB,16,155,534,3.4,2,56,36,212,0,1,1,5.3,84.6
40,Alfred Blue,HOU,RB,16,169,528,3.1,2,18,15,113,1,0,0,5.1,82.1
41,Ronnie Hillman,DEN,RB,8,106,434,4.1,3,34,21,139,1,1,0,10.2,81.3
42,Benjamin Cunningham,LAR,RB,16,66,246,3.7,3,53,45,352,1,2,2,5,79.8
43,Bishop Sankey,TEN,RB,16,152,569,3.7,2,23,18,133,0,2,2,4.9,78.2
44,Bobby Rainey,TB,RB,15,94,406,4.3,1,45,33,315,1,3,3,5.2,78.1
45,Pierre Thomas,NO,RB,11,45,222,4.9,2,55,45,378,1,0,0,7.1,78
46,Jonas Gray,NE,RB,8,89,412,4.6,5,3,1,7,0,0,0,9,71.9
47,Latavius Murray,OAK,RB,15,82,424,5.2,2,23,17,143,0,1,0,4.6,68.7
