Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Adrian Peterson,MIN,RB,16,348,2097,6,12,51,40,217,1,4,2,19.2,307.4
2,Doug Martin,TB,RB,16,319,1454,4.6,11,70,49,472,1,1,1,16.4,262.6
3,Arian Foster,HOU,RB,16,351,1424,4.1,15,58,40,217,2,3,2,16.4,262.1
4,Marshawn Lynch,SEA,RB,16,315,1590,5,11,30,23,196,1,5,2,15.4,246.6
5,Alfred Morris,WAS,RB,16,335,1613,4.8,13,16,11,77,0,4,3,15.1,241
6,Ray Rice,BAL,RB,16,257,1143,4.4,9,83,61,478,1,1,0,13.9,222.1
7,CJ Spiller,BUF,RB,16,207,1244,6,6,57,43,459,2,3,3,13.3,212.3
8,Jamaal Charles,KC,RB,16,285,1509,5.3,5,48,35,236,1,5,3,12.8,204.5
9,Trent Richardson,CLE,RB,15,267,950,3.6,11,70,51,367,1,3,0,13.6,203.7
10,Frank Gore,SF,RB,16,258,1214,4.7,9,36,28,234,1,2,1,12.7,202.8
11,Stevan Ridley,NE,RB,16,290,1263,4.4,12,14,6,51,0,4,2,12.5,199.4
12,Matt Forte,CHI,RB,15,248,1094,4.4,5,60,44,340,1,2,1,11.8,177.4
13,Chris Johnson,TEN,RB,16,276,1243,4.5,6,49,36,232,0,5,4,11,175.5
14,Reggie Bush,MIA,RB,16,227,986,4.3,6,51,35,292,2,4,2,10.7,171.8
15,Shonn Greene,NYJ,RB,16,276,1063,3.9,8,31,19,151,0,4,1,10.5,167.4
16,Steven Jackson,LAR,RB,16,257,1042,4.1,4,53,38,321,0,0,0,10.1,162.3
17,Michael Turner,ATL,RB,16,222,800,3.6,10,30,19,128,1,3,1,9.8,156.8
18,Ahmad Bradshaw,NYG,RB,14,221,1015,4.6,6,31,23,245,0,3,3,11.1,156
19,BenJarvus Green-Ellis,CIN,RB,15,278,1094,3.9,6,29,22,104,0,3,2,10.1,151.8
20,Mikel Leshoure,DET,RB,14,215,798,3.7,9,48,34,214,0,3,3,10.7,149.2
21,LeSean McCoy,PHI,RB,12,200,840,4.2,2,67,54,373,3,4,3,12.1,145.3
22,Darren Sproles,NO,RB,13,48,244,5.1,1,104,75,667,7,0,0,10.9,141.1
23,DeAngelo Williams,CAR,RB,16,173,737,4.3,5,20,13,187,2,2,2,8.2,130.4
24,Danny Woodhead,NE,RB,16,76,301,4,4,55,40,446,3,1,0,7.3,116.7
25,Vick Ballard,IND,RB,16,211,814,3.9,2,27,17,152,1,3,0,7.2,114.6
26,Willis McGahee,DEN,RB,10,167,731,4.4,4,33,26,221,0,5,4,11.3,113.2
27,DeMarco Murray,DAL,RB,10,161,663,4.1,4,42,35,251,0,3,2,11.1,111.4
28,Darren McFadden,OAK,RB,12,216,707,3.3,2,63,42,258,1,2,2,9.2,110.5
29,Joique Bell,DET,RB,16,82,414,5,3,69,52,485,0,2,2,6.5,103.9
30,Ryan Mathews,LAC,RB,12,184,707,3.8,1,57,39,252,0,2,2,8.2,97.9
31,Andre Brown,NYG,RB,10,73,385,5.3,8,17,12,86,0,0,0,9.7,97.1
32,Pierre Thomas,NO,RB,15,105,473,4.5,1,53,39,354,1,0,0,6.3,94.7
33,Mark Ingram,NO,RB,16,156,602,3.9,5,10,6,29,0,0,0,5.8,93.1
34,Felix Jones,DAL,RB,16,111,402,3.6,3,36,25,262,2,2,2,5.8,92.4
35,Knowshon Moreno,DEN,RB,8,138,525,3.8,4,26,21,167,0,1,1,11.4,91.2
36,Jacquizz Rodgers,ATL,RB,16,94,362,3.9,1,59,53,402,1,0,0,5.5,88.4
37,Mike Tolbert,CAR,FB,16,54,183,3.4,7,39,27,268,0,0,0,5.4,87.1
38,Marcel Reece,OAK,FB,16,59,271,4.6,0,73,52,496,1,2,0,5.2,82.7
39,Bilal Powell,NYJ,RB,14,110,437,4,4,36,17,140,0,0,0,5.8,81.7
40,Fred Jackson,BUF,RB,10,115,437,3.8,3,42,34,217,1,5,4,8.1,81.4
41,Jonathan Dwyer,PIT,RB,13,156,623,4,2,25,18,106,0,2,2,6.2,80.9
42,Bryce Brown,PHI,RB,16,115,564,4.9,4,19,13,56,0,4,3,5,80
43,Michael Bush,CHI,RB,13,114,411,3.6,5,11,9,83,0,1,1,6,77.4
44,Isaac Redman,PIT,RB,14,110,410,3.7,2,23,19,244,0,3,3,5.1,71.4
45,LaRod Stephens-Howling,ARI,RB,14,110,356,3.2,4,30,17,106,0,0,0,5,70.2
46,Daniel Thomas,MIA,RB,12,91,325,3.6,4,22,15,156,0,3,2,5.7,68.1
47,David Wilson,NYG,RB,16,71,358,5,4,9,4,34,1,1,1,4.2,67.2
48,Jackie Battle,LAC,FB,16,95,311,3.3,3,15,15,108,1,0,0,4.1,65.9
49,Bernard Pierce,BAL,RB,16,108,532,4.9,1,11,7,47,0,0,0,4,63.9
50,Maurice Jones-Drew,JAX,RB,6,86,414,4.8,1,18,14,86,1,2,0,10.3,62
50,Shane Vereen,NE,RB,13,62,251,4,3,13,8,149,1,1,1,4.8,62
52,Daryl Richardson,LAR,RB,16,98,475,4.8,0,36,24,163,0,3,2,3.9,61.8
53,Jonathan Stewart,CAR,RB,9,93,336,3.6,1,23,17,157,1,2,0,6.8,61.3
