Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,JJ Watt,HOU,DE,16,59,19,29,20.5,140,50,10,1,4,5,2,17.2,274.9
2,Justin Houston,KC,OLB,16,59,9,23,22,99,25,5,0,4,0,0,11.4,182.4
3,DeAndre Levy,DET,OLB,16,118,33,16,2.5,18,4,5,1,0,0,0,10.7,171.3
4,Luke Kuechly,CAR,ILB,16,99,54,9,3,19,4,11,1,1,1,0,10.4,166.9
5,Lavonte David,TB,OLB,14,101,44,17,1,4,3,3,0,4,1,0,11.7,163.4
6,D'Qwell Jackson,IND,ILB,16,82,58,10,4,29,5,1,0,1,4,1,9.9,158.9
7,Jason Pierre-Paul,NYG,DE,16,53,24,16,12.5,89,21,6,0,3,1,0,9.6,153.9
8,CJ Mosley,BAL,ILB,16,84,44,8,3,16,12,8,2,0,1,0,9.4,150.6
9,Ryan Kerrigan,WAS,OLB,16,51,13,18,13.5,90,17,1,0,5,1,0,9.2,147.5
9,Jamie Collins,NE,OLB,15,74,41,8,4,30,7,3,2,4,2,0,9.8,147.5
11,Paul Worrilow,ATL,OLB,16,84,59,4,2,11,9,3,0,2,0,0,8.8,140.6
12,Connor Barwin,PHI,OLB,16,47,17,15,14.5,104,19,5,0,2,0,0,8.7,139.9
13,Curtis Lofton,NO,ILB,16,100,45,6,0,0,4,1,0,1,1,0,8.7,139.5
14,Von Miller,DEN,OLB,16,43,16,16,13.5,79,27,2,0,1,1,0,8.6,136.9
15,Clay Matthews,GB,ILB,16,45,16,16,11,58,22,9,1,2,0,0,8.6,136.8
16,Brandon Marshall,DEN,ILB,14,89,22,11,2,17,2,9,1,2,0,0,9.8,136.7
17,Alec Ogletree,LAR,ILB,16,84,27,6,0.5,5,1,12,2,4,0,0,8.5,136
18,Harrison Smith,MIN,FS,16,71,20,7,3,22,5,9,5,1,0,1,8.4,134.2
19,David Harris,NYJ,LB,16,72,52,6,5.5,45,6,1,0,2,0,0,8.3,132.5
20,Carlos Dunlap,CIN,DE,16,40,26,16,8,49,28,4,0,2,1,0,8.2,130.9
21,Daryl Smith,BAL,OLB,16,68,60,3,1,7,3,9,1,3,1,0,8.2,130.7
22,Morgan Burnett,GB,FS,15,89,33,4,1.5,13,3,4,1,1,1,0,8.7,129.8
23,Demario Davis,NYJ,OLB,16,77,38,5,4,37,6,5,0,0,2,0,8.1,129.7
24,Lawrence Timmons,PIT,OLB,16,88,45,7,2,11,5,1,0,0,0,0,8,128.6
25,Charles Woodson,OAK,SS,16,81,30,4,1,10,1,8,4,0,1,0,7.9,127
26,Paul Kruger,CLE,DE,16,36,17,13,12,92,17,4,0,4,1,0,7.9,126.7
27,Jelani Jenkins,MIA,ILB,15,81,27,9,3.5,26,6,1,0,2,0,0,8.4,126.1
28,Rashad Johnson,ARI,FS,16,73,17,3,1,9,2,8,4,0,1,2,7.8,124.4
29,Terrell Suggs,BAL,DE,16,36,25,16,12,87,21,1,0,0,1,0,7.8,124.2
30,Michael Griffin,TEN,SS,16,84,26,6,3,20,2,5,2,0,0,0,7.8,124
31,Everson Griffen,MIN,DE,16,39,17,13,12,43,23,3,0,1,0,0,7.7,123.8
31,Robert Quinn,LAR,DE,16,39,7,13,10.5,73,19,6,0,5,0,0,7.7,123.8
33,Elvis Dumervil,BAL,DE,16,25,10,14,17,127,26,1,0,1,1,0,7.7,123.7
34,James Laurinaitis,LAR,ILB,16,81,28,4,3.5,26,6,3,0,0,2,0,7.7,123.6
35,Julius Peppers,GB,DE,16,29,14,5,7,42,14,11,2,4,3,2,7.7,123.2
