Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
143,Yeremiah Bell,ARI,FS,16,58,14,5,1,11,2,10,2,0,0,0,5.7,91.1
144,Brent Grimes,MIA,CB,16,52,8,1,0,0,0,16,4,0,0,1,5.7,91
145,Dont'a Hightower,NE,LB,16,55,42,4,1,9,5,3,0,0,0,0,5.7,90.9
146,Chris Harris,DEN,CB,16,58,7,5,0,0,2,13,3,0,0,0,5.7,90.5
146,Richard Sherman,SEA,CB,16,38,11,0,0,0,1,16,8,0,0,1,5.7,90.5
146,Brandon Boykin,PHI,CB,16,40,3,0,0,0,2,17,6,2,0,1,5.7,90.5
149,Leodis McKelvin,BUF,CB,15,59,12,1,0,0,0,20,1,1,0,0,6,90
150,William Gay,PIT,FS,16,55,8,4,1,8,0,9,1,2,0,1,5.6,89.8
151,Michael Griffin,TEN,SS,14,61,21,1,0,0,1,4,1,2,1,0,6.4,89.5
151,Duke Ihenacho,DEN,FS,15,55,17,2,0,0,0,9,0,3,2,0,6,89.5
153,Adam Jones,CIN,CB,16,43,12,2,0,0,0,14,3,1,2,1,5.6,89
153,Trumaine Johnson,LAR,CB,16,58,10,2,0,0,0,12,3,1,0,0,5.6,89
155,Geno Hayes,JAX,OLB,14,59,19,2,1,9,2,4,2,1,0,0,6.3,88.4
156,Nate Allen,PHI,FS,16,59,23,2,1,8,1,6,1,1,0,0,5.5,88.3
157,Cameron Heyward,PIT,DE,16,35,24,7,5,41,9,8,0,0,1,0,5.5,88.1
158,Bradley Fletcher,PHI,CB,13,58,6,0,0,0,0,15,2,1,1,0,6.8,88
159,Cary Williams,PHI,CB,16,55,10,1,1,6,1,11,3,0,1,0,5.5,87.6
160,Louis Delmas,DET,FS,16,49,15,4,2,18,3,9,3,0,0,0,5.5,87.3
161,Chris Clemons,MIA,ILB,16,59,30,1,0,0,1,8,1,0,0,0,5.4,87
161,Jerraud Powers,ARI,CB,16,60,6,0,0,0,0,18,1,1,0,0,5.4,87
163,Joe Haden,CLE,CB,15,43,11,0,0,0,0,20,4,0,0,1,5.8,86.5
163,Jimmy Smith,BAL,CB,16,50,9,1,0,0,0,16,2,3,0,0,5.4,86.5
165,Justin Smith,SF,DT,16,32,17,9,6.5,45,16,0,0,1,0,0,5.4,86
165,Sam Shields,GB,CB,14,51,10,0,0,0,1,17,4,0,0,0,6.1,86
167,Malik Jackson,DEN,DT,16,30,12,11,6,44,15,4,0,1,0,0,5.3,85.4
168,Malcolm Jenkins,NO,SS,14,43,24,4,2.5,13,3,5,2,2,0,0,6.1,85.3
169,Moise Fokou,TEN,ILB,12,61,16,2,1,0,3,0,0,2,1,0,7.1,85
169,Will Hill,NYG,SS,12,54,12,1,0,0,1,2,2,2,1,1,7.1,85
171,Kyle Arrington,NE,CB,16,47,11,4,2,11,2,12,1,2,0,0,5.3,84.6
171,Reggie Nelson,CIN,FS,15,44,15,4,1,11,3,8,2,1,2,0,5.6,84.6
171,Buster Skrine,CLE,DB,16,54,9,2,1,1,1,18,1,0,0,0,5.3,84.6
174,Darius Butler,IND,FS,16,42,9,1,0,0,1,15,4,0,1,1,5.3,84.5
175,Mike Jenkins,OAK,CB,15,57,8,5,0,0,0,6,2,1,1,0,5.6,84
175,Janoris Jenkins,LAR,CB,16,55,6,0,1,0,1,14,1,1,1,0,5.2,84
177,Derrick Morgan,TEN,OLB,15,29,6,9,6,37,19,2,0,1,1,0,5.6,83.7
178,Jason McCourty,TEN,CB,16,54,11,2,0,0,0,10,0,1,1,1,5.2,83.5
178,Glover Quin,DET,FS,16,44,13,2,2,20,1,9,3,1,1,0,5.2,83.5
180,Brandon Meriweather,WAS,SS,13,53,16,3,1,4,2,3,2,1,1,0,6.4,83.4
181,Brandon Flowers,KC,CB,13,63,5,3,1,6,2,7,1,0,0,0,6.4,83.1
182,Mathias Kiwanuka,NYG,DE,16,24,16,8,6,39,18,3,0,2,0,0,5.2,82.9
183,Aldon Smith,SF,OLB,11,29,5,11,8.5,49,18,0,0,0,0,0,7.5,82.4
184,Clay Matthews,GB,ILB,11,26,14,9,7.5,50,10,1,0,3,0,0,7.5,82
