Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Chandler Jones,ARI,DE,16,52,7,28.5,17,111,34,3,0,2,0,0,10.8,172.1
2,CJ Mosley,BAL,ILB,16,97,36,11.5,1,13,4,7,2,3,2,1,10.5,167.8
3,Bobby Wagner,SEA,ILB,16,96,36,14,1.5,13,12,6,2,0,1,1,10.5,167.3
4,Calais Campbell,JAX,DE,16,47,20,18.5,14.5,96,30,3,0,2,1,1,10.1,162.1
5,Demario Davis,NYJ,OLB,16,97,36,14,5,18,15,3,0,0,1,0,10.1,161.8
6,Cameron Jordan,NO,DE,16,48,14,17,13,91.5,29,11,1,1,0,1,9.9,159.15
7,Blake Martinez,GB,ILB,16,96,49,11.5,1,8,2,8,1,1,2,0,9.8,156.8
8,Wesley Woodyard,TEN,ILB,16,84,40,12.5,5,23,9,5,0,0,2,1,9.7,154.8
9,Demarcus Lawrence,DAL,DE,16,36,23,17.5,14.5,163,27,1,0,3,2,0,9.6,153.3
10,Christian Kirksey,CLE,OLB,16,87,52,9,3.5,13.5,6,5,0,2,1,0,9.4,150.35
11,Deion Jones,ATL,ILB,16,91,47,11.5,1,0,0,10,3,1,0,0,9.4,150
12,Reshad Jones,MIA,FS,16,93,28,5.5,1.5,4.5,1,5,2,0,3,2,9.3,148.95
13,Luke Kuechly,CAR,ILB,15,74,51,9.5,1.5,6,5,6,3,1,2,1,9.8,147.6
14,Joe Schobert,CLE,ILB,16,86,57,6,3,18,6,3,1,2,0,0,9.1,146.3
15,Khalil Mack,OAK,OLB,16,61,17,15,10.5,75.5,22,3,0,1,1,0,9,144.05
16,Joey Bosa,LAC,DE,16,54,16,14.5,12.5,64,23,1,0,3,1,0,9,143.9
17,Jadeveon Clowney,HOU,OLB,16,41,18,23,9.5,67,22,2,0,2,2,1,8.8,140.7
18,Telvin Smith,JAX,OLB,14,76,26,11.5,1,1,2,5,3,1,2,2,10,139.6
19,Yannick Ngakoue,JAX,DE,16,24,6,16,12,88,28,0,0,7,2,1,8.6,136.8
20,Zach Brown,WAS,ILB,13,84,43,13.5,2.5,11,5,2,0,1,0,0,10.4,135.1
21,Melvin Ingram,LAC,DE,16,43,13,17.5,10.5,87.5,24,1,0,0,2,1,8.4,133.75
22,Von Miller,DEN,OLB,16,51,6,18,10,64.5,23,3,0,2,1,0,8.3,133.45
23,Lavonte David,TB,OLB,13,75,25,8,0,0,3,1,0,4,5,1,10.2,132.5
24,Aaron Donald,LAR,DT,14,32,9,18,11,95,27,1,0,5,1,0,9.4,132
