Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Jerod Mayo,NE,ILB,16,114,61,5,2,14,5,5,0,2,3,0,11.2,179.9
2,James Harrison,PIT,LB,16,71,29,14,11,75,19,4,1,6,1,0,11,176
3,Demarcus Ware,DAL,OLB,16,56,10,21,15.5,111,23,1,0,2,2,1,10.4,166.1
4,Lawrence Timmons,PIT,OLB,16,95,37,10,3,10,8,9,2,2,2,0,10.3,165.5
5,James Anderson,CAR,ILB,16,98,28,13,3.5,25,7,5,1,2,3,0,10.3,164.5
6,Ray Lewis,BAL,LB,16,102,37,4,2,8,4,4,2,2,3,1,10.3,164.3
7,Brian Urlacher,CHI,LB,16,96,30,13,4.5,25,6,10,1,1,2,0,10.2,163.5
8,Justin Tuck,NYG,DE,16,48,27,16,11,84,21,4,0,5,5,0,10.2,162.9
9,Stephen Tulloch,TEN,ILB,16,111,48,6,1,7,5,6,1,0,1,0,10,160.7
10,London Fletcher,WAS,ILB,16,87,49,4,2.5,20,3,11,1,3,3,0,9.8,157.5
11,Patrick Willis,SF,ILB,15,101,27,9,6,46,6,5,0,2,0,0,10.5,157.1
12,Derrick Johnson,KC,ILB,16,95,26,8,1,11,1,15,1,3,1,1,9.8,156.1
13,Clay Matthews,GB,ILB,15,54,5,18,13.5,94,25,4,1,2,0,1,10.3,154.9
14,Chad Greenway,MIN,OLB,16,108,35,14,1,6,4,2,0,1,1,0,9.6,154.1
15,DJ Williams,DEN,ILB,16,94,25,9,5.5,29,9,9,0,1,1,0,9.6,153.4
16,Paul Posluszny,BUF,ILB,14,103,49,6,2.5,18,5,4,0,0,0,0,10.7,149.3
17,Terrell Thomas,NYG,CB,16,81,20,3,1,12,1,21,5,4,1,0,9.3,149.2
18,Kevin Burnett,LAC,OLB,16,81,15,12,6,32,7,5,2,2,1,1,9.3,148.7
19,Cameron Wake,MIA,OLB,16,48,9,21,13.5,85,26,4,0,3,0,0,9.2,148
20,James Laurinaitis,LAR,ILB,16,98,16,13,3,22,7,5,1,0,1,0,9.1,145.2
21,Paris Lenon,ARI,ILB,16,94,31,12,2,14,3,6,2,1,0,0,9.1,144.9
22,Tyvon Branch,OAK,SS,16,78,23,11,4,40,6,3,2,1,2,1,8.9,142.5
23,Charles Woodson,GB,SS,16,76,16,7,2,11,6,13,2,5,0,1,8.9,142.1
24,DeAngelo Hall,WAS,FS,16,65,30,4,0,0,0,16,6,2,2,2,8.9,142
25,Tamba Hali,KC,OLB,16,37,15,12,14.5,91,26,3,0,4,2,0,8.8,141.6
26,Jared Allen,MIN,OLB,16,45,15,14,10,42,25,6,2,1,1,1,8.7,139.7
27,James Farrior,PIT,LB,16,80,29,11,6,29,8,5,0,1,1,0,8.7,139.4
