Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Jared Allen,MIN,OLB,16,46,17,21,22,151,28,4,1,4,4,0,12.2,195.6
2,Jason Pierre-Paul,NYG,DE,16,67,21,23,17,113,29,6,0,2,0,0,11.8,188.8
3,D'Qwell Jackson,CLE,ILB,16,115,41,12,3.5,25,6,3,1,1,3,0,11.3,181
4,Terrell Suggs,BAL,DE,16,50,20,20,14,91,22,6,2,7,0,0,10.8,172.1
5,London Fletcher,WAS,ILB,16,96,71,5,2,14,10,8,2,2,0,0,10.7,171.9
6,Demarcus Ware,DAL,OLB,16,48,10,26,19.5,124,28,2,0,2,1,0,10.6,169.4
7,James Laurinaitis,LAR,ILB,16,105,37,11,3,24,5,7,2,0,1,0,10.2,163.9
8,NaVorro Bowman,SF,ILB,16,106,28,13,2,11,5,8,0,0,3,0,10,160.1
9,James Anderson,CAR,ILB,16,98,46,9,1.5,9,2,8,2,0,3,0,9.9,158.9
10,Derrick Johnson,KC,ILB,16,104,27,10,2,10,3,9,2,1,1,0,9.8,156.5
11,Curtis Lofton,ATL,ILB,16,87,60,9,1,8,2,7,2,1,1,1,9.7,155.8
12,Nick Barnett,BUF,ILB,16,78,52,9,2.5,26,3,5,3,1,0,1,9.2,146.6
13,Stephen Tulloch,DET,ILB,16,84,27,8,3,16,7,5,2,0,3,1,9.1,146.1
14,Charles Tillman,CHI,CB,16,81,17,5,1,1,1,12,3,3,2,2,9.1,145.6
15,Von Miller,DEN,OLB,15,51,14,19,11.5,77,24,4,0,3,0,0,9.6,144.7
16,Daryl Washington,ARI,ILB,15,93,11,16,4.5,25,5,7,2,0,0,0,9.6,144
17,Desmond Bishop,GB,ILB,13,91,25,10,5,49,8,1,0,2,0,0,11,143.4
18,Roman Harper,NO,SS,16,73,23,9,7.5,55,13,7,0,2,1,0,8.9,143
19,Brian Cushing,HOU,ILB,16,76,38,8,4,21,12,5,2,2,0,0,8.9,142.1
20,Pat Angerer,IND,ILB,16,76,70,9,1,0,4,3,1,2,1,0,8.8,141
21,Chad Greenway,MIN,OLB,16,88,64,6,2,9,3,2,0,0,1,0,8.7,138.9
22,Jason Babin,PHI,OLB,16,34,5,17,18,107,27,2,0,3,0,0,8.6,138.2
23,Tamba Hali,KC,OLB,16,48,18,12,12,80,25,0,0,4,0,0,8.6,138
23,Sean Weatherspoon,ATL,ILB,16,80,33,14,4,35,5,8,0,0,1,0,8.6,138
