Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Antonio Brown,PIT,WR,16,193,136,70.5,1834,10,59,9.5,13.5,3,28,9.3,0,3,2,15.4,246.2
2,Julio Jones,ATL,WR,16,203,136,67,1871,8,70,9.2,13.8,0,0,0,2,3,1,15.3,245.1
3,Brandon Marshall,NYJ,WR,16,173,109,63,1502,14,69,8.7,13.8,0,0,0,0,3,2,14.4,230.2
4,Allen Robinson,JAX,WR,16,151,80,53,1400,14,90,9.3,17.5,0,0,0,0,0,0,14,224
5,Odell Beckham Jr,NYG,WR,15,158,96,60.8,1450,13,87,9.2,15.1,1,3,3,0,2,0,14.9,223.3
6,DeAndre Hopkins,HOU,WR,16,192,111,57.8,1521,11,61,7.9,13.7,0,0,0,0,1,0,13.8,220.1
7,Doug Baldwin,SEA,WR,16,103,78,75.7,1069,14,80,10.4,13.7,0,0,0,0,1,0,11.9,190.9
8,AJ Green,CIN,WR,16,132,86,65.2,1297,10,80,9.8,15.1,0,0,0,0,1,1,11.7,187.7
9,Calvin Johnson,DET,WR,16,149,88,59.1,1214,9,57,8.1,13.8,0,0,0,0,1,1,10.8,173.4
10,Eric Decker,NYJ,WR,15,132,80,60.6,1027,12,35,7.8,12.8,0,0,0,0,1,1,11.5,172.7
11,Larry Fitzgerald,ARI,WR,16,145,109,75.2,1215,9,44,8.4,11.1,0,0,0,0,3,2,10.7,171.5
12,Brandin Cooks,NO,WR,16,129,84,65.1,1138,9,71,8.8,13.5,8,18,2.2,0,1,0,10.6,169.6
13,Demaryius Thomas,DEN,WR,16,177,105,59.3,1304,6,72,7.4,12.4,0,0,0,0,2,2,10.2,162.4
14,Allen Hurns,JAX,WR,15,105,64,61,1031,10,80,9.8,16.1,0,0,0,0,2,1,10.7,161.1
15,Jarvis Landry,MIA,WR,16,166,110,66.3,1157,4,50,7,10.5,18,113,6.3,1,1,0,10,159.36
16,Sammy Watkins,BUF,WR,13,96,60,62.5,1047,9,63,10.9,17.4,1,1,1,0,0,0,12.2,158.8
17,Jeremy Maclin,KC,WR,15,124,87,70.2,1088,8,61,8.8,12.5,3,14,4.7,0,2,1,10.4,156.2
18,Emmanuel Sanders,DEN,WR,15,137,76,55.5,1135,6,75,8.3,14.9,3,29,9.7,0,2,2,9.9,148.4
19,Michael Crabtree,OAK,WR,16,146,85,58.2,922,9,38,6.3,10.8,0,0,0,0,1,0,9.1,146.2
20,Jordan Matthews,PHI,WR,16,128,85,66.4,997,8,78,7.8,11.7,0,0,0,0,2,1,9.1,145.7
21,John Brown,ARI,WR,15,101,65,64.4,1003,7,68,9.9,15.4,3,22,7.3,0,2,1,9.5,142.5
22,T.Y. Hilton,IND,WR,16,134,69,51.5,1124,5,87,8.4,16.3,0,0,0,0,1,0,8.9,142.4
23,James Jones,GB,WR,16,99,50,50.5,890,8,65,9,17.8,0,0,0,0,1,0,8.8,141
24,Tavon Austin,LAR,WR,16,87,52,59.8,473,5,66,5.4,9.1,52,434,8.3,4,3,2,8.8,140.7
