Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Antonio Brown,PIT,WR,16,181,129,71.3,1698,13,63,9.4,13.2,4,13,3.2,0,2,2,15.7,251.9
2,Jordy Nelson,GB,WR,16,151,98,64.9,1519,13,80,10.1,15.5,0,0,0,0,0,0,14.4,229.9
2,Demaryius Thomas,DEN,WR,16,184,111,60.3,1619,11,86,8.8,14.6,0,0,0,0,0,0,14.4,229.9
4,Dez Bryant,DAL,WR,16,136,88,64.7,1320,16,68,9.7,15,0,0,0,0,0,0,14.2,228
5,Odell Beckham Jr,NYG,WR,12,130,91,70,1305,12,80,10,14.3,7,35,5,0,1,1,17,204
6,Randall Cobb,GB,WR,16,127,91,71.7,1287,12,70,10.1,14.1,11,37,3.4,0,3,2,12.6,202.4
7,Emmanuel Sanders,DEN,WR,16,141,101,71.6,1404,9,48,10,13.9,8,44,5.5,0,1,0,12.6,200.8
8,Julio Jones,ATL,WR,15,163,104,63.8,1593,6,79,9.8,15.3,1,1,1,0,2,1,12.9,193.4
9,Jeremy Maclin,PHI,WR,16,144,86,59.7,1329,10,72,9.2,15.5,0,0,0,0,0,0,12.1,192.9
10,Mike Evans,TB,WR,15,123,68,55.3,1051,12,56,8.5,15.5,0,0,0,0,0,0,11.8,177.1
11,Alshon Jeffery,CHI,WR,16,145,85,58.6,1133,10,74,7.8,13.3,6,33,5.5,0,1,0,11,176.6
12,T.Y. Hilton,IND,WR,15,131,82,62.6,1345,7,73,10.3,16.4,2,20,10,0,3,1,11.8,176.5
13,Golden Tate,DET,WR,16,144,99,68.8,1331,4,73,9.2,13.4,5,30,6,0,1,0,10,160.1
14,Calvin Johnson,DET,WR,13,128,71,55.5,1077,8,67,8.4,15.2,0,0,0,0,0,0,12,155.7
15,DeAndre Hopkins,HOU,WR,16,127,76,59.8,1210,6,76,9.5,15.9,0,0,0,0,2,1,9.7,155
