Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
146,Keary Colbert,KC,WR,7,12,9,75,89,0,19,7.4,9.9,0,0,0,0,1,0,1.3,8.9
147,Ruvell Martin,BUF,WR,14,16,7,43.8,82,0,28,5.1,11.7,0,0,0,0,0,0,0.6,8.2
148,Lee Evans,BAL,WR,9,26,4,15.4,74,0,32,2.8,18.5,0,0,0,0,0,0,0.8,7.4
149,Brandon Banks,WAS,WR,16,1,1,100,10,0,10,10,10,1,1,1,0,7,0,0.4,7.06
150,Rashied Davis,DET,WR,11,5,4,80,63,0,22,12.6,15.8,0,0,0,0,0,0,0.6,6.3
151,LaQuan Williams,BAL,WR,12,12,4,33.3,46,0,15,3.8,11.5,0,0,0,0,2,0,0.4,4.6
152,Danny Amendola,LAR,WR,1,6,5,83.3,45,0,18,7.5,9,0,0,0,0,1,0,4.5,4.5
153,Kassim Osgood,JAX,WR,12,11,5,45.5,42,0,19,3.8,8.4,0,0,0,0,0,0,0.4,4.2
154,Taylor Price,JAX,WR,5,4,2,50,39,0,21,9.8,19.5,0,0,0,0,0,0,0.8,3.9
155,Stephen Burton,MIN,WR,3,3,2,66.7,38,0,21,12.7,19,0,0,0,0,0,0,1.3,3.8
156,Devin Thomas,NYG,WR,16,3,3,100,37,0,14,12.3,12.3,0,0,0,0,0,0,0.2,3.7
157,DeMarco Sampson,ARI,WR,12,8,3,37.5,36,0,15,4.5,12,0,0,0,0,0,0,0.3,3.6
158,Sammie Stroughter,TB,WR,6,7,4,57.1,52,0,29,7.4,13,0,0,0,0,1,1,0.5,3.2
159,Adrian Arrington,NO,WR,4,3,2,66.7,31,0,17,10.3,15.5,0,0,0,0,0,0,0.8,3.1
159,Carlton Mitchell,CLE,WR,11,4,3,75,31,0,19,7.8,10.3,0,0,0,0,0,0,0.3,3.1
161,Tiquan Underwood,NE,WR,6,6,3,50,30,0,13,5,10,0,0,0,0,0,0,0.5,3
161,Kris Durham,SEA,WR,3,4,3,75,30,0,12,7.5,10,0,0,0,0,0,0,1,3
163,Brian Robiskie,JAX,WR,6,10,4,40,29,0,14,2.9,7.2,0,0,0,0,0,0,0.5,2.9
164,Marc Mariani,TEN,WR,16,12,5,41.7,24,0,6,2,4.8,1,4,4,0,1,0,0.2,2.8
165,Ryan Whalen,CIN,WR,4,5,4,80,27,0,13,5.4,6.8,0,0,0,0,0,0,0.7,2.7
165,Bryan Walters,LAC,WR,4,4,3,75,27,0,13,6.8,9,0,0,0,0,0,0,0.7,2.7
167,Matthew Slater,NE,WR,16,3,1,33.3,46,0,46,15.3,46,0,0,0,0,1,1,0.2,2.6
167,Mark Clayton,LAR,WR,2,4,3,75,26,0,12,6.5,8.7,0,0,0,0,0,0,1.3,2.6
169,Clyde Gates,MIA,WR,15,12,2,16.7,19,0,11,1.6,9.5,1,4,4,0,0,0,0.2,2.3
170,Julian Edelman,NE,WR,13,8,4,50,34,0,11,4.2,8.5,4,8,2,0,3,1,0.2,2.2
171,Chansi Stuckey,ARI,WR,9,8,4,50,39,0,12,4.9,9.8,0,0,0,0,1,1,0.2,1.9
172,Roscoe Parrish,BUF,WR,2,4,1,25,16,0,16,4,16,0,0,0,0,0,0,0.8,1.6
173,Brett Swain,SF,WR,5,7,2,28.6,15,0,9,2.1,7.5,0,0,0,0,0,0,0.3,1.5
174,Jordan Shipley,CIN,WR,2,5,4,80,14,0,5,2.8,3.5,0,0,0,0,1,0,0.7,1.4
175,Micheal Spurlock,TB,WR,12,6,2,33.3,13,0,7,2.2,6.5,0,0,0,0,0,0,0.1,1.3
176,Stefan Logan,DET,WR,16,1,1,100,19,0,19,19,19,9,32,3.6,0,6,2,0.1,1.1
177,Emmanuel Arceneaux,MIN,WR,3,2,1,50,10,0,10,5,10,0,0,0,0,0,0,0.3,1
178,Armanti Edwards,CAR,WR,16,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0.1,0.94
179,Dwight Jones,LAR,WR,16,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0.1,0.9
180,Maurice Stovall,DET,WR,15,4,1,25,8,0,8,2,8,0,0,0,0,0,0,0.1,0.8
180,Nick Miller,LAR,WR,8,1,1,100,8,0,8,8,8,0,0,0,0,0,0,0.1,0.8
182,Brandon Stokley,NYG,WR,2,3,1,33.3,7,0,7,2.3,7,0,0,0,0,0,0,0.4,0.7
183,Jeremy Horne,KC,WR,9,2,0,0,0,0,0,0,0,1,5,5,0,0,0,0.1,0.5
184,Seyi Ajirotutu,CAR,WR,14,2,1,50,4,0,4,2,4,0,0,0,0,0,0,0,0.4
185,Anthony Gonzalez,IND,WR,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Courtney Roby,NO,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Jaymar Johnson,ARI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Marlon Moore,MIA,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Roberto Wallace,MIA,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Blair White,IND,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Stephen Williams,ARI,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Arnaz Battle,PIT,WR,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Richard Goodman,LAC,WR,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Michael Clayton,NYG,WR,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Julius Pruitt,MIA,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Kamar Aiken,BUF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Tandon Doss,BAL,WR,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Jeff Maehl,HOU,WR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Jamar Newsome,JAX,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
