Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Brandon Lloyd,DEN,WR,16,153,77,50.3,1448,11,71,9.5,18.8,1,-18,-18,0,0,0,13.1,209
2,Dwayne Bowe,KC,WR,16,133,72,54.1,1162,15,75,8.7,16.1,1,4,4,0,1,0,12.9,206.6
3,Roddy White,ATL,WR,16,179,115,64.2,1389,10,46,7.8,12.1,1,3,3,0,1,1,12.6,201.2
4,Greg Jennings,GB,WR,16,124,76,61.3,1265,12,86,10.2,16.6,1,-1,-1,0,2,0,12.4,198.4
5,Mike Wallace,PIT,WR,16,98,60,61.2,1257,10,56,12.8,21,5,39,7.8,0,1,0,11.8,189.6
6,Calvin Johnson,DET,WR,15,137,77,56.2,1120,12,87,8.2,14.5,4,32,8,0,1,0,12.6,189.2
7,Hakeem Nicks,NYG,WR,13,128,79,61.7,1052,11,46,8.2,13.3,0,0,0,0,1,0,13.2,171.2
8,Andre Johnson,HOU,WR,13,138,86,62.3,1216,8,60,8.8,14.1,2,10,5,0,1,0,13.1,170.6
9,Reggie Wayne,IND,WR,16,176,111,63.1,1355,6,50,7.7,12.2,0,0,0,0,1,1,10.6,169.5
10,Steve Johnson,BUF,WR,16,142,82,57.7,1073,10,45,7.6,13.1,0,0,0,0,1,1,10.3,165.3
11,Miles Austin,DAL,WR,16,119,69,58,1041,7,69,8.7,15.1,7,93,13.3,1,1,1,10,159.4
12,Jeremy Maclin,PHI,WR,16,115,70,60.9,964,10,83,8.4,13.8,3,36,12,0,1,1,9.9,158
13,Mike Williams,TB,WR,16,128,64,50,955,11,58,7.5,14.9,0,0,0,0,3,2,9.8,157.5
14,DeSean Jackson,PHI,WR,14,96,47,49,1056,6,91,11,22.5,16,104,6.5,1,4,1,11.1,156
15,Terrell Owens,CIN,WR,14,139,72,51.8,983,9,78,7.1,13.7,0,0,0,0,0,0,10.9,152.3
16,Larry Fitzgerald,ARI,WR,16,173,90,52,1137,6,41,6.6,12.6,0,0,0,0,0,0,9.5,151.7
17,Mario Manningham,NYG,WR,16,92,60,65.2,944,9,92,10.3,15.7,1,2,2,0,1,1,9.2,146.6
18,Marques Colston,NO,WR,15,132,84,63.6,1022,7,43,7.7,12.2,1,1,1,0,0,0,9.6,144.3
19,Santana Moss,WAS,WR,16,145,93,64.1,1115,6,56,7.7,12,5,-6,-1.2,0,3,2,8.9,142.9
20,Percy Harvin,MIN,WR,14,109,71,65.1,868,5,53,8,12.2,18,107,5.9,1,1,1,9.5,133.5
21,Braylon Edwards,NYJ,WR,16,101,53,52.5,904,7,74,9,17.1,1,4,4,0,1,1,8.3,132.8
22,Kenny Britt,TEN,WR,12,73,42,57.5,775,9,80,10.6,18.5,0,0,0,0,1,1,11,131.5
23,Wes Welker,NE,WR,15,123,86,69.9,848,7,35,6.9,9.9,0,0,0,0,1,0,8.5,127.8
24,Johnny Knox,CHI,WR,16,100,51,51,960,5,67,9.6,18.8,1,2,2,0,1,1,7.8,124.2
25,Anquan Boldin,BAL,WR,16,109,64,58.7,837,7,61,7.7,13.1,2,2,1,0,1,1,7.7,123.66
26,Lance Moore,NO,WR,16,95,66,69.5,763,8,80,8,11.6,0,0,0,0,2,1,7.6,122.3
27,Derrick Mason,BAL,WR,16,100,61,61,802,7,42,8,13.1,0,0,0,0,0,0,7.6,122.2
28,Brandon Marshall,MIA,WR,14,146,86,58.9,1014,3,46,6.9,11.8,2,3,1.5,0,2,1,8.4,117.7
29,Deion Branch,NE,WR,15,92,61,66.3,818,6,79,8.9,13.4,0,0,0,0,1,1,7.7,115.8
30,Pierre Garcon,IND,WR,14,118,67,56.8,784,6,57,6.6,11.7,2,6,3,0,0,0,8.2,115
31,Mike Thomas,JAX,WR,16,101,66,65.3,820,4,50,8.1,12.4,12,114,9.5,0,3,3,7,111.4
32,Austin Collie,IND,WR,9,72,58,80.6,649,8,73,9,11.2,0,0,0,0,1,1,12.3,110.9
33,Michael Crabtree,SF,WR,16,101,55,54.5,741,6,60,7.3,13.5,0,0,0,0,0,0,6.9,110.1
34,Santonio Holmes,NYJ,WR,12,95,52,54.7,746,6,52,7.9,14.3,2,17,8.5,0,2,2,9,108.3
35,Davone Bess,MIA,WR,16,125,79,63.2,820,5,29,6.6,10.4,2,-3,-1.5,0,3,2,6.7,107.7
35,Malcom Floyd,LAC,WR,11,77,37,48.1,717,6,55,9.3,19.4,0,0,0,0,1,0,9.8,107.7
37,Chad Johnson,CIN,WR,14,126,67,53.2,831,4,42,6.6,12.4,0,0,0,0,0,0,7.6,107.1
38,Nate Washington,TEN,WR,16,94,42,44.7,687,6,71,7.3,16.4,1,-8,-8,0,0,0,6.5,103.9
39,Hines Ward,PIT,WR,16,94,59,62.8,755,5,43,8,12.8,1,-2,-2,0,1,1,6.5,103.3
40,Anthony Armstrong,WAS,WR,15,86,44,51.2,871,3,76,10.1,19.8,0,0,0,0,1,1,6.9,103.1
41,Nate Burleson,DET,WR,14,86,55,64,625,6,58,7.3,11.4,7,81,11.6,0,2,2,7.3,102.6
42,Jabar Gaffney,DEN,WR,16,112,65,58,875,2,50,7.8,13.5,0,0,0,0,1,0,6.2,99.5
43,Mike Sims-Walker,JAX,WR,14,80,43,53.8,562,7,39,7,13.1,0,0,0,0,1,1,6.9,96.2
44,James Jones,GB,WR,16,87,50,57.5,679,5,66,7.8,13.6,0,0,0,0,3,1,6,95.9
45,Robert Meachem,NO,WR,16,66,44,66.7,638,5,55,9.7,14.5,4,14,3.5,0,0,0,6,95.2
46,Danny Amendola,LAR,WR,16,123,85,69.1,689,3,36,5.6,8.1,7,81,11.6,0,2,1,5.8,93
47,Kevin Walter,HOU,WR,16,80,51,63.8,621,5,35,7.8,12.2,0,0,0,0,0,0,5.8,92.1
48,Dez Bryant,DAL,WR,12,73,45,61.6,561,6,46,7.7,12.5,1,0,0,0,2,1,7.5,90.1
49,Steve Breaston,ARI,WR,13,87,47,54,718,1,37,8.3,15.3,3,35,11.7,1,0,0,6.8,87.98
50,Mike Williams,SEA,WR,14,110,65,59.1,751,2,68,6.8,11.6,1,0,0,0,0,0,6.2,87.1
51,Jacoby Ford,OAK,WR,16,54,25,46.3,470,2,52,8.7,18.8,10,155,15.5,2,3,1,5.3,84.5
52,Eddie Royal,DEN,WR,16,105,59,56.2,627,3,41,6,10.6,6,61,10.2,0,4,2,5.2,82.8
53,Josh Morgan,SF,WR,16,80,44,55,698,2,65,8.7,15.9,2,17,8.5,0,2,1,5.1,81.5
54,Roy Williams,DAL,WR,15,64,37,57.8,530,5,63,8.3,14.3,0,0,0,0,3,2,5.4,81
55,Lee Evans,BUF,WR,13,84,37,44,578,4,54,6.9,15.6,0,0,0,0,2,1,6.1,79.8
56,Ben Obomanu,SEA,WR,15,49,30,61.2,494,4,87,10.1,16.5,2,17,8.5,0,0,0,5.3,79.1
57,Donald Driver,GB,WR,15,86,51,59.3,565,4,61,6.6,11.1,0,0,0,0,1,1,5.2,78.5
58,Jordan Shipley,CIN,WR,15,74,52,70.3,600,3,64,8.1,11.5,0,0,0,0,0,0,5.2,78
59,Jacoby Jones,HOU,WR,15,78,51,65.4,562,3,47,7.2,11,2,7,3.5,0,2,0,5.1,76.9
60,Brandon Gibson,LAR,WR,14,91,53,58.2,620,2,41,6.8,11.7,3,28,9.3,0,0,0,5.5,76.8
61,Louis Murphy,OAK,WR,14,78,41,52.6,609,2,70,7.8,14.9,1,43,43,0,2,1,5.4,75.2
62,Earl Bennett,CHI,WR,14,70,46,65.7,561,3,48,8,12.2,2,9,4.5,0,1,0,5.4,75
63,Devin Hester,CHI,WR,16,73,40,54.8,475,4,39,6.5,11.9,7,30,4.3,0,0,0,4.7,74.5
64,Steve Smith,NYG,WR,9,75,48,64,529,3,45,7.1,11,0,0,0,0,0,0,7.9,70.9
65,Randy Moss,TEN,WR,16,63,28,44.4,393,5,37,6.2,14,0,0,0,0,0,0,4.3,69.3
66,David Gettis,CAR,WR,15,67,37,55.2,508,3,88,7.6,13.7,3,2,0.7,0,1,0,4.6,69
67,Brian Hartline,MIA,WR,12,73,43,58.9,615,1,54,8.4,14.3,2,27,13.5,0,1,1,5.7,68.2
68,Blair White,IND,WR,13,57,36,63.2,355,5,33,6.2,9.9,0,0,0,0,1,0,5,65.5
69,Brandon Tate,NE,WR,16,46,24,52.2,432,3,65,9.4,18,5,62,12.4,0,1,1,4.1,65.4
70,Jason Avant,PHI,WR,16,75,51,68,573,1,34,7.6,11.2,0,0,0,0,0,0,4.1,65.3
71,Steve Smith,CAR,WR,14,99,46,46.5,554,2,39,5.6,12,1,9,9,0,3,2,4.6,64.3
72,Jordy Nelson,GB,WR,16,64,45,70.3,582,2,80,9.1,12.9,0,0,0,0,3,3,4,64.2
73,Mohamed Massaquoi,CLE,WR,15,74,36,48.6,483,2,41,6.5,13.4,1,-3,-3,0,1,1,4.2,63.16
74,Michael Jenkins,ATL,WR,11,73,41,56.2,505,2,43,6.9,12.3,0,0,0,0,0,0,5.7,62.5
75,Brandon LaFell,CAR,WR,14,77,38,49.4,468,1,44,6.1,12.3,1,60,60,0,0,0,4.2,58.8
76,TJ Houshmandzadeh,BAL,WR,16,57,30,52.6,398,3,56,7,13.3,0,0,0,0,1,0,3.6,57.8
77,Patrick Crayton,LAC,WR,9,42,28,66.7,514,1,49,12.2,18.4,0,0,0,0,0,0,6.4,57.4
78,Jerricho Cotchery,NYJ,WR,14,86,41,47.7,433,2,49,5,10.6,4,-3,-0.8,0,1,0,3.9,55
78,Arrelious Benn,TB,WR,15,38,25,65.8,395,2,64,10.4,15.8,6,35,5.8,0,1,0,3.7,55
80,Roscoe Parrish,BUF,WR,8,53,33,62.3,400,2,37,7.5,12.1,3,23,7.7,0,1,0,6.8,54.3
81,David Nelson,BUF,WR,15,47,31,66,353,3,37,7.5,11.4,0,0,0,0,0,0,3.6,53.3
82,Devery Henderson,NO,WR,16,59,34,57.6,464,1,57,7.9,13.6,3,8,2.7,0,0,0,3.3,53.2
83,Brian Robiskie,CLE,WR,14,49,29,59.2,310,3,46,6.3,10.7,0,0,0,0,0,0,3.5,49
84,Emmanuel Sanders,PIT,WR,13,50,28,56,376,2,35,7.5,13.4,0,0,0,0,2,1,3.7,47.6
85,Darrius Heyward-Bey,OAK,WR,15,65,26,40,366,1,69,5.6,14.1,4,48,12,0,1,1,3,45.4
86,Laurent Robinson,LAR,WR,14,75,34,45.3,344,2,32,4.6,10.1,2,-14,-7,0,0,0,3.2,45
87,Vincent Jackson,LAC,WR,5,24,14,58.3,248,3,58,10.3,17.7,1,14,14,0,0,0,8.8,44.2
88,Mark Clayton,LAR,WR,5,42,23,54.8,306,2,39,7.3,13.3,1,6,6,0,0,0,8.6,43.2
89,Legedu Naanee,LAC,WR,10,46,23,50,371,1,59,8.1,16.1,3,-2,-0.7,0,1,1,4.3,42.9
90,Joshua Cribbs,CLE,WR,15,39,23,59,292,1,65,7.5,12.7,20,66,3.3,0,7,0,2.8,42.56
91,Brad Smith,NYJ,WR,16,7,4,57.1,44,0,23,6.3,11,38,299,7.9,1,1,1,2.7,42.54
92,Jerome Simpson,CIN,WR,5,25,20,80,277,3,59,11.1,13.8,1,2,2,0,2,2,8.4,41.9
93,Andre Roberts,ARI,WR,15,49,24,49,307,2,74,6.3,12.8,0,0,0,0,2,1,2.7,40.7
94,Sidney Rice,MIN,WR,6,42,17,40.5,280,2,46,6.7,16.5,0,0,0,0,0,0,6.7,40
95,Seyi Ajirotutu,LAC,WR,10,23,13,56.5,262,2,55,11.4,20.2,0,0,0,0,0,0,3.8,38.2
96,Chansi Stuckey,CLE,WR,16,63,40,63.5,346,0,25,5.5,8.6,3,9,3,1,3,2,2.3,37.5
97,Danario Alexander,LAR,WR,8,37,20,54.1,306,1,46,8.3,15.3,0,0,0,0,0,0,4.6,36.6
98,Demaryius Thomas,DEN,WR,10,39,22,56.4,283,2,31,7.3,12.9,2,1,0.5,0,3,2,3.6,36.4
99,Early Doucet,ARI,WR,10,59,26,44.1,291,1,36,4.9,11.2,2,5,2.5,0,0,0,3.6,35.6
100,Brandon Stokley,SEA,WR,11,43,31,72.1,354,0,36,8.2,11.4,0,0,0,0,0,0,3.2,35.4
101,Antwaan Randle El,PIT,WR,16,39,22,56.4,253,0,34,6.5,11.5,1,2,2,0,2,0,2.2,35.18
102,Micheal Spurlock,TB,WR,16,33,17,51.5,250,2,43,7.6,14.7,0,0,0,0,2,1,2.2,35
103,Harry Douglas,ATL,WR,16,53,22,41.5,294,1,46,5.5,13.4,2,-5,-2.5,0,0,0,2.2,34.9
104,Brian Finneran,ATL,WR,16,31,19,61.3,166,3,21,5.4,8.7,0,0,0,0,0,0,2.2,34.6
105,Justin Gage,TEN,WR,11,43,20,46.5,266,1,30,6.2,13.3,0,0,0,0,0,0,3,32.6
106,Andre Caldwell,CIN,WR,15,37,25,67.6,345,0,53,9.3,13.8,1,-2,-2,0,1,1,2.2,32.3
107,Craig Davis,LAC,WR,7,39,21,53.8,259,1,49,6.6,12.3,0,0,0,0,0,0,4.6,31.9
108,Jason Hill,JAX,WR,8,21,11,52.4,248,1,48,11.8,22.5,0,0,0,0,0,0,3.8,30.8
109,Greg Camarillo,MIN,WR,16,34,20,58.8,240,1,31,7.1,12,0,0,0,0,0,0,1.9,30
110,Derek Hagan,NYG,WR,7,43,24,55.8,223,1,17,5.2,9.3,0,0,0,0,0,0,4,28.3
111,Donald Jones,BUF,WR,15,41,18,43.9,213,1,40,5.2,11.8,3,1,0.3,0,0,0,1.8,27.4
112,Chris Chambers,KC,WR,13,43,22,51.2,213,1,26,5,9.7,0,0,0,0,0,0,2.1,27.3
113,Bernard Berrian,MIN,WR,14,54,28,51.9,252,0,30,4.7,9,1,-8,-8,0,2,0,1.7,24.4
114,Ted Ginn,SF,WR,13,35,12,34.3,163,1,37,4.7,13.6,2,11,5.5,0,1,0,1.8,23.4
115,Kelley Washington,LAC,WR,8,14,13,92.9,173,1,36,12.4,13.3,0,0,0,0,0,0,2.9,23.3
116,Golden Tate,SEA,WR,11,39,21,53.8,227,0,52,5.8,10.8,2,4,2,0,1,0,2.1,23.1
117,Bryant Johnson,DET,WR,14,49,18,36.7,210,0,24,4.3,11.7,0,0,0,0,0,0,1.6,23
117,Sammie Stroughter,TB,WR,12,40,25,62.5,248,0,27,6.2,9.9,1,2,2,0,1,1,1.9,23
119,Damian Williams,TEN,WR,16,28,16,57.1,219,0,39,7.8,13.7,1,5,5,0,0,0,1.4,22.4
120,Ruvell Martin,SEA,WR,5,9,7,77.8,158,1,61,17.6,22.6,0,0,0,0,0,0,4.4,21.8
121,Marlon Moore,MIA,WR,9,19,6,31.6,128,1,57,6.7,21.3,1,16,16,0,0,0,2.3,20.4
121,Chad Hall,PHI,WR,8,18,11,61.1,115,1,48,6.4,10.5,9,29,3.2,0,0,0,2.6,20.4
123,Greg Lewis,MIN,WR,13,37,17,45.9,197,0,33,5.3,11.6,0,0,0,0,0,0,1.5,19.7
124,Riley Cooper,PHI,WR,13,18,7,38.9,116,1,37,6.4,16.6,0,0,0,0,0,0,1.4,17.6
125,Verran Tucker,KC,WR,11,19,6,31.6,114,1,38,6,19,0,0,0,0,0,0,1.6,17.4
126,Joey Galloway,WAS,WR,10,38,12,31.6,173,0,62,4.6,14.4,0,0,0,0,0,0,1.7,17.3
127,Antonio Brown,PIT,WR,9,19,16,84.2,167,0,26,8.8,10.4,0,0,0,0,1,0,1.9,16.7
128,Terrance Copper,KC,WR,16,28,18,64.3,157,0,20,5.6,8.7,0,0,0,0,0,0,1,15.7
129,Dezmon Briscoe,TB,WR,2,7,6,85.7,93,1,54,13.3,15.5,0,0,0,0,0,0,7.6,15.3
130,Devin Aromashodu,CHI,WR,14,24,10,41.7,149,0,34,6.2,14.9,0,0,0,0,0,0,1.1,14.9
