Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Josh Gordon,CLE,WR,14,159,87,54.7,1646,9,95,10.4,18.9,5,88,17.6,0,0,0,16.2,227.4
2,Demaryius Thomas,DEN,WR,16,142,92,64.8,1430,14,78,10.1,15.5,0,0,0,0,1,0,14.2,227
3,Calvin Johnson,DET,WR,14,156,84,53.8,1492,12,87,9.6,17.8,0,0,0,0,1,1,15.7,219.2
4,AJ Green,CIN,WR,16,178,98,55.1,1426,11,82,8,14.6,0,0,0,0,1,0,13,208.6
5,Brandon Marshall,CHI,WR,16,164,100,61,1295,12,44,7.9,13,0,0,0,0,0,0,12.8,205.5
6,Dez Bryant,DAL,WR,16,159,93,58.5,1233,13,79,7.8,13.3,1,1,1,0,3,1,12.5,199.4
7,Antonio Brown,PIT,WR,16,166,110,66.3,1499,8,56,9,13.6,7,4,0.6,0,1,0,12.4,198.9
8,Alshon Jeffery,CHI,WR,16,149,89,59.7,1421,7,80,9.5,16,16,105,6.6,0,3,1,12.2,194.6
9,Eric Decker,DEN,WR,16,136,87,64,1288,11,61,9.5,14.8,0,0,0,0,2,1,12,192.8
10,DeSean Jackson,PHI,WR,16,126,82,65.1,1332,9,61,10.6,16.2,3,2,0.7,0,1,0,11.7,187.4
11,Jordy Nelson,GB,WR,16,127,85,66.9,1314,8,76,10.3,15.5,0,0,0,0,0,0,11.2,179.4
12,Andre Johnson,HOU,WR,16,181,109,60.2,1407,5,62,7.8,12.9,0,0,0,0,0,0,10.7,170.7
13,Pierre Garcon,WAS,WR,16,182,113,62.1,1346,5,53,7.4,11.9,2,19,9.5,0,1,1,10.3,164.5
14,Vincent Jackson,TB,WR,16,160,78,48.8,1224,7,60,7.6,15.7,1,0,0,0,1,0,10.3,164.4
15,Anquan Boldin,SF,WR,16,129,85,65.9,1179,7,63,9.1,13.9,2,11,5.5,0,0,0,10.1,161
16,Larry Fitzgerald,ARI,WR,16,135,82,60.7,954,10,75,7.1,11.6,2,8,4,0,1,1,9.6,154.2
17,Keenan Allen,LAC,WR,15,104,71,68.3,1046,8,43,10.1,14.7,0,0,0,0,2,2,9.9,148.6
18,Julian Edelman,NE,WR,16,151,105,69.5,1056,6,44,7,10.1,2,11,5.5,0,6,0,9.2,146.7
19,Terrelle Pryor,OAK,WR,11,0,0,0,0,0,0,0,0,83,576,6.9,2,7,2,13,143.52
20,T.Y. Hilton,IND,WR,16,138,82,59.4,1083,5,73,7.8,13.2,2,6,3,0,1,0,8.7,138.9
21,Torrey Smith,BAL,WR,16,137,65,47.4,1128,4,74,8.2,17.4,0,0,0,0,1,0,8.7,138.8
22,Marvin Jones,CIN,WR,16,80,51,63.8,712,10,45,8.9,14,8,65,8.1,0,0,0,8.6,137.7
23,Riley Cooper,PHI,WR,16,83,47,56.6,835,8,63,10.1,17.8,0,18,0,0,0,0,8.6,137.3
24,Wes Welker,DEN,WR,13,111,73,65.8,778,10,33,7,10.7,0,0,0,0,1,1,10.4,135.8
25,Michael Floyd,ARI,WR,16,111,65,58.6,1041,5,91,9.4,16,0,0,0,0,0,0,8.4,134.1
26,Mike Wallace,MIA,WR,16,141,73,51.8,930,5,57,6.6,12.7,3,33,11,0,0,0,7.9,126.3
27,Brian Hartline,MIA,WR,16,134,76,56.7,1016,4,50,7.6,13.4,0,0,0,0,0,0,7.8,125.6
28,Marques Colston,NO,WR,15,111,75,67.6,943,5,35,8.5,12.6,0,0,0,0,0,0,8.3,124.3
29,Golden Tate,SEA,WR,16,99,64,64.6,898,5,80,9.1,14,3,31,10.3,0,3,0,7.7,122.9
30,Victor Cruz,NYG,WR,14,122,73,59.8,998,4,70,8.2,13.7,0,0,0,0,1,1,8.7,121.8
31,Kendall Wright,TEN,WR,16,139,94,67.6,1079,2,45,7.8,11.5,0,0,0,0,2,0,7.5,119.9
32,Jerricho Cotchery,PIT,WR,16,76,46,60.5,602,10,36,7.9,13.1,1,-5,-5,0,0,0,7.5,119.7
33,Harry Douglas,ATL,WR,16,132,85,64.4,1067,2,80,8.1,12.6,0,0,0,0,3,2,7.2,114.7
34,Emmanuel Sanders,PIT,WR,16,112,67,59.8,740,6,55,6.6,11,1,25,25,0,1,0,7.2,114.5
35,Rod Streater,OAK,WR,16,99,60,60.6,888,4,66,9,14.8,2,17,8.5,0,1,1,7,112.5
36,Eddie Royal,LAC,WR,15,67,47,70.1,631,8,54,9.4,13.4,3,21,7,0,1,1,7.4,111.2
37,Nate Washington,TEN,WR,16,105,58,55.2,919,3,77,8.8,15.8,0,0,0,0,0,0,6.9,109.9
38,Doug Baldwin,SEA,WR,16,73,50,68.5,778,5,52,10.7,15.6,2,6,3,0,0,0,6.8,108.4
39,Cordarrelle Patterson,MIN,WR,16,77,45,58.4,469,4,79,6.1,10.4,12,158,13.2,3,0,0,6.5,104.7
