Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
34,Denarius Moore,OAK,WR,15,114,51,44.7,741,7,58,6.5,14.5,1,-5,-5,0,3,0,7.7,115.6
35,Brian Hartline,MIA,WR,16,131,74,56.5,1083,1,80,8.3,14.6,0,0,0,0,1,1,7,112.3
36,Malcom Floyd,LAC,WR,14,85,56,65.9,814,5,39,9.6,14.5,0,0,0,0,0,0,8,111.4
37,Andre Roberts,ARI,WR,15,114,64,56.1,759,5,46,6.7,11.9,4,29,7.2,0,1,0,7.3,108.8
38,Josh Gordon,CLE,WR,16,95,50,52.6,805,5,71,8.5,16.1,0,0,0,0,1,1,6.8,108.5
39,Danario Alexander,LAC,WR,10,62,37,59.7,658,7,80,10.6,17.8,0,0,0,0,0,0,10.8,107.8
40,Antonio Brown,PIT,WR,13,106,66,62.3,787,5,60,7.4,11.9,7,24,3.4,0,4,2,8.1,105.1
41,Santana Moss,WAS,WR,16,62,41,66.1,573,8,77,9.2,14,3,14,4.7,0,2,1,6.5,104.7
42,Larry Fitzgerald,ARI,WR,16,156,71,45.5,798,4,37,5.1,11.2,0,0,0,0,0,0,6.5,103.8
43,Percy Harvin,MIN,WR,9,85,62,72.9,677,3,45,8,10.9,22,96,4.4,1,2,1,11,99.3
44,Brandon Gibson,LAR,WR,16,82,51,62.2,691,5,34,8.4,13.5,0,0,0,0,0,0,6.2,99.1
45,Nate Washington,TEN,WR,16,90,46,51.1,746,4,71,8.3,16.2,0,0,0,0,1,0,6.2,98.6
46,Donnie Avery,IND,WR,16,126,60,47.6,781,3,48,6.2,13,4,9,2.2,0,1,0,6.1,97
47,Dwayne Bowe,KC,WR,13,114,59,51.8,801,3,47,7,13.6,0,0,0,0,1,1,7.4,96.1
48,Brandon LaFell,CAR,WR,14,76,44,57.9,677,4,62,8.9,15.4,3,35,11.7,0,1,0,6.8,95.2
49,Pierre Garcon,WAS,WR,10,67,44,65.7,633,4,88,9.4,14.4,2,9,4.5,1,0,0,9.4,94.2
50,Darrius Heyward-Bey,OAK,WR,15,80,41,51.2,606,5,59,7.6,14.8,2,16,8,0,0,0,6.1,92.2
51,Jeremy Kerley,NYJ,WR,16,96,56,58.3,827,2,66,8.6,14.8,5,8,1.6,0,4,3,5.7,91.18
52,Chris Givens,LAR,WR,15,80,42,52.5,698,3,65,8.7,16.6,3,12,4,0,0,0,6.1,91
53,Greg Little,CLE,WR,16,92,53,57.6,647,4,43,7,12.2,2,15,7.5,0,0,0,5.6,90.2
54,Hakeem Nicks,NYG,WR,13,100,53,53,692,3,50,6.9,13.1,0,0,0,0,0,0,6.7,87.2
55,Kendall Wright,TEN,WR,15,104,64,61.5,626,4,38,6,9.8,1,4,4,0,1,1,5.7,85
56,Brandon Stokley,DEN,WR,15,59,45,76.3,544,5,38,9.2,12.1,0,0,0,0,0,0,5.6,84.4
57,Davone Bess,MIA,WR,13,105,61,58.1,778,1,39,7.4,12.8,0,0,0,0,1,0,6.4,83.8
58,Danny Amendola,LAR,WR,11,101,63,62.4,666,3,56,6.6,10.6,2,8,4,0,3,2,7.6,83.4
59,Kenny Britt,TEN,WR,14,90,45,50,589,4,46,6.5,13.1,0,0,0,0,2,1,5.9,82.9
60,DeSean Jackson,PHI,WR,11,88,45,51.1,700,2,77,8,15.6,3,-7,-2.3,0,1,0,7.4,81.3
61,Andrew Hawkins,CIN,WR,14,80,51,63.8,533,4,59,6.7,10.5,6,30,5,0,1,0,5.7,80.3
62,Rod Streater,OAK,WR,16,74,39,52.7,584,3,64,7.9,15,0,0,0,0,1,1,4.8,76.4
63,Leonard Hankerson,WAS,WR,16,57,38,66.7,543,3,68,9.5,14.3,2,5,2.5,0,0,0,4.6,72.8
64,Josh Morgan,WAS,WR,16,73,48,65.8,510,2,32,7,10.6,3,25,8.3,1,1,0,4.5,71.5
65,Domenik Hixon,NYG,WR,13,59,39,66.1,567,2,41,9.6,14.5,0,0,0,0,0,0,5.3,68.7
66,Kevin Ogletree,DAL,WR,15,55,32,58.2,436,4,65,7.9,13.6,2,9,4.5,0,0,0,4.6,68.5
67,Donald Jones,BUF,WR,12,67,41,61.2,443,4,68,6.6,10.8,0,0,0,0,1,0,5.7,68.3
68,Michael Floyd,ARI,WR,16,86,45,52.3,562,2,53,6.5,12.5,0,0,0,0,1,1,4.1,66.2
69,Emmanuel Sanders,PIT,WR,16,74,44,59.5,626,1,37,8.5,14.2,1,4,4,0,3,2,4.1,65
70,Jason Avant,PHI,WR,14,76,53,69.7,648,0,39,8.5,12.2,0,0,0,0,1,0,4.6,64.8
71,Titus Young,DET,WR,10,56,33,58.9,383,4,46,6.8,11.6,2,16,8,0,0,0,6.4,63.9
72,Kevin Walter,HOU,WR,16,68,41,60.3,518,2,52,7.6,12.6,0,0,0,0,0,0,4,63.8
73,Randy Moss,SF,WR,16,50,28,56,434,3,55,8.7,15.5,0,0,0,0,1,0,3.8,61.4
74,Greg Jennings,GB,WR,8,62,36,58.1,366,4,45,5.9,10.2,0,0,0,0,0,0,7.6,60.6
75,Michael Jenkins,MIN,WR,16,72,40,55.6,449,2,32,6.2,11.2,0,0,0,0,0,0,3.6,56.9
76,Joseph Morgan,NO,WR,14,20,10,50,379,3,80,19,37.9,1,1,1,0,0,0,4,56
77,Mario Manningham,SF,WR,12,57,42,73.7,449,1,40,7.9,10.7,3,64,21.3,0,2,1,4.6,55.3
78,Alshon Jeffery,CHI,WR,10,48,24,50,367,3,55,7.6,15.3,0,0,0,0,0,0,5.5,54.7
79,Tiquan Underwood,TB,WR,14,55,28,50.9,425,2,62,7.7,15.2,1,1,1,0,0,0,3.9,54.6
79,Doug Baldwin,SEA,WR,14,50,29,58,366,3,50,7.3,12.6,0,0,0,0,0,0,3.9,54.6
81,Austin Pettis,LAR,WR,14,48,30,62.5,261,4,36,5.4,8.7,0,0,0,0,0,0,3.6,50.1
82,Earl Bennett,CHI,WR,12,49,29,59.2,375,2,60,7.7,12.9,0,0,0,0,0,0,4.1,49.5
83,Mohamed Sanu,CIN,WR,9,25,16,64,154,4,34,6.2,9.6,5,15,3,0,0,0,5.3,47.82
84,Rueben Randle,NYG,WR,16,32,19,59.4,298,3,56,9.3,15.7,0,0,0,0,1,0,3,47.8
85,Jacoby Jones,BAL,WR,16,55,30,54.5,406,1,47,7.4,13.5,1,6,6,0,2,0,3,47.2
86,Travis Benjamin,CLE,WR,14,37,18,48.6,298,2,69,8.1,16.6,6,66,11,0,1,1,3.3,46.4
87,Harry Douglas,ATL,WR,15,59,38,64.4,395,1,37,6.7,10.4,2,4,2,0,1,0,3.1,45.9
87,Louis Murphy,CAR,WR,16,61,25,41,336,1,55,5.5,13.4,1,3,3,1,1,0,2.9,45.9
89,Jarius Wright,MIN,WR,7,36,22,61.1,310,2,65,8.6,14.1,2,11,5.5,0,0,0,6.3,44.1
90,Julian Edelman,NE,WR,9,32,21,65.6,235,3,56,7.3,11.2,4,45,11.2,0,1,1,4.9,44
91,Stephen Hill,NYJ,WR,11,47,21,44.7,252,3,33,5.4,12,0,0,0,0,0,0,3.9,43.2
92,Aldrick Robinson,WAS,WR,15,19,11,57.9,237,3,68,12.5,21.5,1,14,14,0,0,0,2.9,43.1
93,Ryan Broyles,DET,WR,10,32,22,68.8,310,2,40,9.7,14.1,0,0,0,0,0,0,4.3,43
94,Brad Smith,BUF,WR,15,22,14,63.6,152,2,35,6.9,10.9,14,116,8.3,1,1,0,2.9,42.8
94,Riley Cooper,PHI,WR,11,48,23,47.9,248,3,23,5.2,10.8,0,0,0,0,0,0,3.9,42.8
94,Nate Burleson,DET,WR,6,43,27,62.8,240,2,26,5.6,8.9,8,48,6,0,0,0,7.1,42.8
97,Chaz Schilens,NYJ,WR,15,41,28,68.3,289,2,25,7,10.3,0,0,0,0,1,1,2.6,38.9
97,Devery Henderson,NO,WR,15,47,22,46.8,316,1,41,6.7,14.4,1,13,13,0,1,0,2.6,38.9
99,TJ Graham,BUF,WR,15,58,31,53.4,322,1,51,5.6,10.4,1,5,5,0,0,0,2.6,38.7
100,Jonathan Baldwin,KC,WR,15,47,20,42.6,325,1,57,6.9,16.2,0,0,0,0,0,0,2.6,38.5
101,Damian Williams,TEN,WR,13,45,30,66.7,324,0,27,7.2,10.8,0,0,0,0,0,0,2.5,32.4
102,Robert Meachem,LAC,WR,15,32,14,43.8,207,2,46,6.5,14.8,1,-6,-6,0,0,0,2.1,32.1
103,Armon Binns,MIA,WR,11,40,24,60,277,1,48,6.9,11.5,0,0,0,0,1,1,2.9,31.7
104,Eddie Royal,LAC,WR,10,44,23,52.3,234,1,31,5.3,10.2,3,22,7.3,0,1,0,3.2,31.6
105,Santonio Holmes,NYJ,WR,4,41,20,48.8,272,1,38,6.6,13.6,0,0,0,0,1,1,7.8,31.2
106,Devin Hester,CHI,WR,15,40,23,57.5,242,1,39,6,10.5,3,6,2,0,1,0,2.1,30.8
106,Marvin Jones,CIN,WR,11,32,18,56.2,201,1,23,6.3,11.2,3,47,15.7,0,0,0,2.8,30.8
108,Dwayne Harris,DAL,WR,16,31,17,54.8,222,1,36,7.2,13.1,0,0,0,0,1,0,1.9,30.2
109,Kyle Williams,SF,WR,11,22,14,63.6,212,1,57,9.6,15.1,4,21,5.2,0,1,0,2.7,29.3
110,Jordan Shipley,JAX,WR,7,39,23,59,244,1,36,6.3,10.6,0,0,0,0,1,1,4.1,28.4
111,Brian Quick,LAR,WR,15,27,11,40.7,156,2,39,5.8,14.2,0,0,0,0,0,0,1.8,27.6
112,Micheal Spurlock,LAC,WR,14,29,23,79.3,200,1,22,6.9,8.7,0,0,0,0,1,0,1.9,26
113,Braylon Edwards,NYJ,WR,13,35,18,51.4,199,1,19,5.7,11.1,0,0,0,0,0,0,2,25.9
113,Derek Hagan,OAK,WR,14,36,20,55.6,259,0,38,7.2,13,0,0,0,0,0,0,1.8,25.9
115,Terrelle Pryor,OAK,WR,3,1,1,100,22,0,22,22,22,10,51,5.1,1,0,0,8.5,25.5
116,Jerome Simpson,MIN,WR,12,51,26,51,274,0,33,5.4,10.5,0,0,0,0,2,1,2.1,25.4
116,Mohamed Massaquoi,CLE,WR,9,33,17,51.5,254,0,54,7.7,14.9,0,0,0,0,0,0,2.8,25.4
118,Brandon Tate,CIN,WR,16,25,13,52,211,1,44,8.4,16.2,1,0,0,0,4,1,1.6,25.1
119,Clyde Gates,NYJ,WR,11,35,16,45.7,224,0,42,6.4,14,1,12,12,0,0,0,2.1,23.6
120,Laurent Robinson,JAX,WR,7,43,24,55.8,252,0,32,5.9,10.5,0,0,0,0,1,1,3.3,23.2
121,Juron Criner,OAK,WR,12,33,16,48.5,151,1,17,4.6,9.4,0,0,0,0,1,0,1.9,23.1
122,Damaris Johnson,PHI,WR,14,31,19,61.3,256,0,32,8.3,13.5,3,12,4,0,2,2,1.6,22.8
123,LaVon Brazill,IND,WR,15,24,11,45.8,186,1,42,7.8,16.9,0,0,0,0,1,1,1.5,22.6
124,Mike Thomas,DET,WR,16,40,18,45,108,1,12,2.7,6,7,57,8.1,0,1,0,1.4,22.5
125,Ramses Barden,NYG,WR,12,21,14,66.7,220,0,31,10.5,15.7,0,0,0,0,0,0,1.8,22
126,Early Doucet,ARI,WR,12,53,28,52.8,207,0,18,3.9,7.4,2,9,4.5,0,0,0,1.8,21.6
127,Lestar Jean,HOU,WR,14,12,6,50,151,1,54,12.6,25.2,0,0,0,0,0,0,1.5,21.1
128,Jerricho Cotchery,PIT,WR,14,27,17,63,205,0,24,7.6,12.1,0,0,0,0,0,0,1.5,20.5
129,Keshawn Martin,HOU,WR,16,28,10,35.7,85,1,18,3,8.5,4,53,13.2,0,1,0,1.2,19.8
130,Donald Driver,GB,WR,13,13,8,61.5,77,2,26,5.9,9.6,0,0,0,0,0,0,1.5,19.7
131,Marlon Moore,MIA,WR,14,11,6,54.5,116,1,37,10.5,19.3,1,9,9,0,0,0,1.3,18.5
131,Kris Durham,DET,WR,4,21,8,38.1,125,1,27,6,15.6,0,0,0,0,0,0,4.6,18.5
133,Tandon Doss,BAL,WR,14,17,7,41.2,123,1,39,7.2,17.6,0,0,0,0,0,0,1.3,18.3
134,Devin Aromashodu,MIN,WR,15,22,11,50,182,0,31,8.3,16.5,0,0,0,0,0,0,1.2,18.2
135,Rishard Matthews,MIA,WR,8,20,11,55,151,0,30,7.6,13.7,0,0,0,0,0,0,1.9,15.1
136,Deion Branch,NE,WR,10,29,16,55.2,145,0,25,5,9.1,0,0,0,0,0,0,1.4,14.5
137,Jordan Norwood,CLE,WR,2,19,13,68.4,137,0,27,7.2,10.5,1,1,1,0,0,0,6.9,13.8
138,Steve Smith,LAR,WR,15,25,14,56,131,0,25,5.2,9.4,0,0,0,0,0,0,0.9,13.1
139,Cole Beasley,DAL,WR,10,24,15,62.5,128,0,20,5.3,8.5,0,0,0,0,0,0,1.3,12.8
140,Donte' Stallworth,NE,WR,1,2,1,50,63,1,63,31.5,63,0,0,0,0,0,0,12.3,12.3
141,Armanti Edwards,CAR,WR,16,9,5,55.6,121,0,82,13.4,24.2,0,0,0,0,0,0,0.8,12.1
142,Kealoha Pilares,CAR,WR,8,4,2,50,42,1,36,10.5,21,1,17,17,0,0,0,1.5,11.9
143,Kevin Elliott,BUF,WR,13,31,10,32.3,108,0,22,3.5,10.8,0,0,0,0,0,0,0.8,10.8
144,Josh Cooper,CLE,WR,6,18,8,44.4,106,0,28,5.9,13.2,0,0,0,0,0,0,1.8,10.6
145,Brian Robiskie,DET,WR,6,6,4,66.7,44,1,21,7.3,11,0,0,0,0,0,0,1.7,10.4
146,Plaxico Burress,PIT,WR,4,7,3,42.9,42,1,18,6,14,0,0,0,0,0,0,2.6,10.2
147,Drew Davis,ATL,WR,16,6,4,66.7,40,1,15,6.7,10,0,0,0,0,0,0,0.6,10
148,Stephen Burton,MIN,WR,12,11,5,45.5,35,1,13,3.2,7,0,0,0,0,0,0,0.8,9.5
149,Matt Willis,DEN,WR,15,22,10,45.5,90,0,19,4.1,9,0,0,0,0,0,0,0.6,9
150,DeVier Posey,HOU,WR,11,14,6,42.9,87,0,36,6.2,14.5,1,-3,-3,0,0,0,0.8,8.4
151,Terrance Copper,KC,WR,15,12,8,66.7,79,0,17,6.6,9.9,1,1,1,0,0,0,0.5,8
152,Jason Hill,NYJ,WR,4,3,2,66.7,15,1,10,5,7.5,0,0,0,0,0,0,1.9,7.5
153,Steve Breaston,KC,WR,10,15,7,46.7,74,0,24,4.9,10.6,0,0,0,0,1,0,0.7,7.4
154,Jamar Newsome,KC,WR,6,16,5,31.2,73,0,28,4.6,14.6,0,0,0,0,0,0,1.2,7.3
155,Ben Obomanu,SEA,WR,8,9,4,44.4,58,0,36,6.4,14.5,1,11,11,0,0,0,0.9,6.9
156,Jabar Gaffney,MIA,WR,3,10,4,40,68,0,30,6.8,17,0,0,0,0,0,0,2.3,6.8
157,David Reed,BAL,WR,5,6,5,83.3,66,0,23,11,13.2,0,0,0,0,0,0,1.3,6.6
158,Lavelle Hawkins,TEN,WR,7,11,5,45.5,62,0,42,5.6,12.4,0,0,0,0,0,0,0.9,6.2
159,Michael Preston,TEN,WR,4,7,5,71.4,59,0,21,8.4,11.8,0,0,0,0,0,0,1.5,5.9
160,Ryan Whalen,CIN,WR,9,12,7,58.3,53,0,10,4.4,7.6,0,0,0,0,0,0,0.6,5.3
160,Devon Wylie,KC,WR,6,12,6,50,53,0,16,4.4,8.8,0,0,0,0,0,0,0.9,5.3
162,Brandon Banks,WAS,WR,12,8,8,100,15,0,8,1.9,1.9,7,36,5.1,0,4,0,0.4,5.1
163,Joshua Cribbs,CLE,WR,16,12,7,58.3,63,0,24,5.2,9,6,42,7,0,6,3,0.3,4.5
163,Seyi Ajirotutu,LAC,WR,3,4,3,75,45,0,28,11.2,15,0,0,0,0,0,0,1.5,4.5
165,Greg Camarillo,NO,WR,5,5,4,80,44,0,13,8.8,11,0,0,0,0,0,0,0.9,4.4
166,Charly Martin,SEA,WR,4,6,4,66.7,42,0,15,7,10.5,0,0,0,0,0,0,1,4.2
166,Arrelious Benn,TB,WR,8,6,4,66.7,26,0,9,4.3,6.5,3,16,5.3,0,1,0,0.5,4.2
168,Ruvell Martin,BUF,WR,14,6,4,66.7,41,0,16,6.8,10.2,0,0,0,0,0,0,0.3,4.1
168,Toney Clemons,JAX,WR,4,11,3,27.3,41,0,17,3.7,13.7,0,0,0,0,0,0,1,4.1
170,Andre Caldwell,DEN,WR,8,4,1,25,18,0,18,4.5,18,1,14,14,0,0,0,0.4,3.2
171,David Nelson,BUF,WR,1,5,2,40,31,0,21,6.2,15.5,0,0,0,0,0,0,3.1,3.1
171,Deonte Thompson,BAL,WR,6,6,5,83.3,51,0,25,8.5,10.2,0,0,0,0,1,1,0.5,3.1
171,Jermaine Kearse,SEA,WR,7,7,3,42.9,31,0,17,4.4,10.3,0,0,0,0,0,0,0.4,3.1
174,Jerrel Jernigan,NYG,WR,9,5,3,60,22,0,9,4.4,7.3,1,6,6,0,1,0,0.3,2.8
175,Eric Weems,CHI,WR,16,4,2,50,27,0,18,6.8,13.5,0,0,0,0,1,0,0.2,2.7
175,Jarrett Boykin,GB,WR,10,6,5,83.3,27,0,9,4.5,5.4,0,0,0,0,0,0,0.3,2.7
177,Kris Adams,IND,WR,3,8,2,25,26,0,13,3.2,13,0,0,0,0,0,0,0.9,2.6
178,Chris Owusu,TB,WR,5,3,1,33.3,24,0,24,8,24,0,0,0,0,0,0,0.5,2.4
179,Dezmon Briscoe,WAS,WR,7,5,2,40,22,0,14,4.4,11,1,1,1,0,0,0,0.3,2.3
180,Mardy Gilyard,NYJ,WR,8,6,2,33.3,15,0,11,2.5,7.5,0,0,0,0,0,0,0.2,1.5
181,Sammie Stroughter,TB,WR,2,2,1,50,14,0,14,7,14,0,0,0,0,0,0,0.7,1.4
182,Jordan White,NYJ,WR,3,3,1,33.3,13,0,13,4.3,13,0,0,0,0,0,0,0.4,1.3
183,Anthony Armstrong,DAL,WR,6,9,3,33.3,12,0,9,1.3,4,0,0,0,0,0,0,0.2,1.2
184,Andre Holmes,DAL,WR,7,2,2,100,11,0,7,5.5,5.5,0,0,0,0,0,0,0.2,1.1
185,Courtney Roby,NO,WR,13,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,0.1,0.9
186,LaRon Byrd,ARI,WR,4,2,1,50,8,0,8,4,8,0,0,0,0,0,0,0.2,0.8
187,Preston Parker,TB,WR,2,2,0,0,0,0,0,0,0,1,7,7,0,0,0,0.4,0.7
187,Dane Sanzenbacher,CIN,WR,5,3,1,33.3,7,0,7,2.3,7,0,0,0,0,0,0,0.1,0.7
187,David Gilreath,PIT,WR,3,2,0,0,0,0,0,0,0,1,7,7,0,0,0,0.2,0.7
190,Austin Collie,IND,WR,1,1,1,100,6,0,6,6,6,0,0,0,0,0,0,0.6,0.6
191,Stefan Logan,DET,WR,16,7,6,85.7,28,0,10,4,4.7,3,17,5.7,0,6,2,0,0.5
192,Maurice Stovall,JAX,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Roscoe Parrish,TB,WR,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,Matthew Slater,NE,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Patrick Turner,NYJ,WR,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,DeMarco Cosby,JAX,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,David Gettis,CAR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Kassim Osgood,DET,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Richard Goodman,LAC,WR,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Kamar Aiken,NE,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,LaQuan Williams,BAL,WR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Kevin Cone,ATL,WR,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Greg Salas,PHI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Marcus Easley,BUF,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,AJ Jenkins,SF,WR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,David Douglas,TB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Marvin McNutt,PHI,WR,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Jeremy Ross,GB,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Josh Bellamy,KC,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Joe Anderson,CHI,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Mike Brown,JAX,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Jerrell Jackson,JAX,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Junior Hemingway,KC,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Legedu Naanee,MIA,WR,4,5,1,20,19,0,19,3.8,19,0,0,0,0,1,1,0,-0.1
215,Trindon Holliday,DEN,WR,15,2,2,100,17,0,15,8.5,8.5,0,0,0,0,6,1,0,-0.3
216,Nathan Palmer,IND,WR,5,4,1,25,-4,0,0,-1,-4,0,0,0,0,0,0,-0.1,-0.4
217,Ted Ginn,SF,WR,13,2,2,100,1,0,1,0.5,0.5,1,7,7,0,4,1,-0.1,-1.2
218,Joe Adams,CAR,WR,9,1,1,100,7,0,7,7,7,3,13,4.3,0,4,3,-0.4,-4
