Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Calvin Johnson,DET,WR,16,204,122,59.8,1964,5,53,9.6,16.1,0,0,0,0,3,3,13.8,220.4
2,Brandon Marshall,CHI,WR,16,194,118,60.8,1508,11,56,7.8,12.8,1,-2,-2,0,2,0,13.5,216.6
3,Dez Bryant,DAL,WR,16,138,92,66.7,1382,12,85,10,15,2,-5,-2.5,0,5,2,13,207.7
4,AJ Green,CIN,WR,16,164,97,59.1,1350,11,73,8.2,13.9,4,38,9.5,0,2,1,12.7,202.8
5,Demaryius Thomas,DEN,WR,16,141,94,66.7,1434,10,71,10.2,15.3,0,0,0,0,3,3,12.3,197.4
6,Vincent Jackson,TB,WR,16,147,72,49,1384,8,95,9.4,19.2,0,0,0,0,0,0,11.8,188.4
7,Eric Decker,DEN,WR,16,122,85,69.7,1064,13,55,8.7,12.5,0,0,0,0,0,0,11.5,184.4
8,Andre Johnson,HOU,WR,16,163,112,68.7,1598,4,60,9.8,14.3,0,0,0,0,0,0,11.5,183.8
9,Julio Jones,ATL,WR,16,129,79,61.2,1198,10,80,9.3,15.2,6,30,5,0,0,0,11.4,182.8
10,Roddy White,ATL,WR,16,143,92,64.3,1351,7,59,9.4,14.7,0,0,0,0,1,0,11.1,177.1
11,Wes Welker,NE,WR,16,175,118,67.4,1354,6,59,7.7,11.5,2,20,10,0,3,1,10.7,171.4
11,Marques Colston,NO,WR,16,130,83,63.8,1154,10,60,8.9,13.9,0,0,0,0,4,2,10.7,171.4
13,Victor Cruz,NYG,WR,16,143,86,60.1,1092,10,80,7.6,12.7,0,0,0,0,0,0,10.6,169.2
14,Michael Crabtree,SF,WR,16,126,85,67.5,1105,9,49,8.8,13,1,8,8,0,0,0,10.3,165.3
15,Reggie Wayne,IND,WR,16,195,106,54.4,1355,5,33,6.9,12.8,1,-5,-5,0,1,1,10.2,163
16,James Jones,GB,WR,16,98,64,65.3,784,14,49,8,12.2,0,0,0,0,0,0,10.2,162.4
17,Mike Williams,TB,WR,16,126,63,50,996,9,65,7.9,15.8,0,0,0,0,0,0,9.7,154.72
18,Randall Cobb,GB,WR,15,104,80,76.9,954,8,39,9.2,11.9,10,132,13.2,0,4,1,10.3,154.6
19,Steve Smith,CAR,WR,16,138,73,52.9,1174,4,66,8.5,16.1,3,27,9,0,1,1,8.9,142.1
20,Lance Moore,NO,WR,15,104,65,62.5,1041,6,51,10,16,0,0,0,0,0,0,9.3,140.1
21,Steve Johnson,BUF,WR,16,148,79,53.4,1046,6,63,7.1,13.2,0,0,0,0,1,1,8.7,138.6
22,Cecil Shorts,JAX,WR,14,105,55,52.4,979,7,80,9.3,17.8,1,-4,-4,0,1,1,9.8,137.5
23,Torrey Smith,BAL,WR,16,110,49,44.5,855,8,54,7.8,17.4,3,9,3,0,0,0,8.4,134.4
24,T.Y. Hilton,IND,WR,15,90,50,55.6,861,7,70,9.6,17.2,5,29,5.8,0,1,0,8.7,131
25,Mike Wallace,PIT,WR,15,119,64,53.8,836,8,82,7,13.1,5,7,1.4,0,2,1,8.7,130.3
26,Miles Austin,DAL,WR,16,119,66,55.5,943,6,49,7.9,14.3,0,0,0,0,1,1,8,128.3
27,Jeremy Maclin,PHI,WR,15,122,69,56.6,857,7,70,7,12.4,0,0,0,0,1,1,8.4,125.7
28,Brandon Lloyd,NE,WR,16,130,74,56.9,911,4,53,7,12.3,0,0,0,1,0,0,7.6,121.1
29,Justin Blackmon,JAX,WR,16,132,64,48.5,865,5,81,6.6,13.5,2,23,11.5,0,1,0,7.6,120.8
30,Jordy Nelson,GB,WR,12,73,49,67.1,745,7,73,10.2,15.2,0,0,0,0,0,0,9.9,118.5
31,Sidney Rice,SEA,WR,16,82,50,61,748,7,46,9.1,15,2,6,3,0,0,0,7.4,118.4
31,Anquan Boldin,BAL,WR,15,112,65,58,921,4,43,8.2,14.2,1,3,3,0,0,0,7.9,118.4
33,Golden Tate,SEA,WR,15,67,45,67.2,688,7,51,10.3,15.3,3,20,6.7,0,1,1,7.7,115.72
