Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,13291,Julio Jones,ATL,WR,12,TB,0,0,0,15,0,12,253,2,0,38.8,38.8
2,11056,Antonio Brown,PIT,WR,12,GB,0,0,0,0,0,10,169,2,0,30.9,30.9
3,18878,Alvin Kamara,NO,RB,12,LAR,0,0,0,87,1,6,101,1,0,30.8,30.8
4,3807,Ben Roethlisberger,PIT,QB,12,GB,351,4,2,25,0,0,0,0,0,30.5,30.54
5,8244,Philip Rivers,LAC,QB,12,DAL,434,3,0,-5,0,0,0,0,0,28.9,28.86
6,15694,Case Keenum,MIN,QB,12,DET,282,2,0,20,1,0,0,0,0,27.3,27.28
7,18187,Robby Anderson,NYJ,WR,12,CAR,0,0,0,0,0,6,146,2,0,26.6,26.6
8,18995,Jamaal Williams,GB,RB,12,PIT,0,0,0,66,1,4,69,1,0,25.5,25.5
9,5282,Josh McCown,NYJ,QB,12,CAR,307,3,0,28,0,0,0,0,1,25.1,25.08
10,17920,Carson Wentz,PHI,QB,12,CHI,227,3,0,29,0,0,0,0,0,24,23.98
11,14536,Russell Wilson,SEA,QB,12,SF,228,2,1,25,1,0,0,0,0,23.6,23.62
12,15076,Keenan Allen,LAC,WR,12,DAL,0,0,0,0,0,11,172,1,0,23.2,23.2
13,13870,Marvin Jones,DET,WR,12,MIN,0,0,0,0,0,6,109,2,0,22.9,22.9
14,16245,Blake Bortles,JAX,QB,12,ARI,160,0,1,62,2,0,0,0,0,22.6,22.6
15,18858,Joe Mixon,CIN,RB,12,CLE,0,0,0,114,1,3,51,0,0,22.5,22.5
16,16907,Brett Hundley,GB,QB,12,PIT,245,3,0,6,0,0,0,0,0,22.4,22.4
17,16834,Tevin Coleman,ATL,RB,12,TB,0,0,0,97,2,0,0,0,0,21.7,21.7
18,4314,Tom Brady,NE,QB,12,MIA,227,4,1,-4,0,0,0,0,1,20.7,20.68
19,18868,Deshone Kizer,CLE,QB,12,CIN,268,0,0,39,1,0,0,0,0,20.6,20.62
20,10974,Rob Gronkowski,NE,TE,12,MIA,0,0,0,0,0,5,82,2,0,20.2,20.2
21,16866,Jamison Crowder,WAS,WR,12,NYG,0,0,0,0,0,7,141,1,0,20.1,20.1
22,17922,Jared Goff,LAR,QB,12,NO,354,2,1,-3,0,0,0,0,0,19.9,19.86
