Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,16771,Todd Gurley,LAR,RB,16,TEN,0,0,0,118,0,10,158,2,0,39.6,39.6
2,12708,Dion Lewis,NE,RB,16,BUF,0,0,0,129,1,5,24,1,0,27.3,27.3
3,17922,Jared Goff,LAR,QB,16,TEN,301,4,0,-6,0,0,0,0,1,25.4,25.44
4,14916,Giovani Bernard,CIN,RB,16,DET,0,0,0,116,1,7,52,0,0,22.8,22.8
5,14252,Kirk Cousins,WAS,QB,16,DEN,299,3,1,8,0,0,0,0,0,22.8,22.76
6,16245,Blake Bortles,JAX,QB,16,SF,382,2,3,31,0,0,0,0,0,22.4,22.38
7,16041,Jimmy Garoppolo,SF,QB,16,JAX,242,2,1,3,1,0,0,0,0,22,21.98
8,15020,CJ Anderson,DEN,RB,16,WAS,0,0,0,88,1,7,45,0,0,21.3,21.3
9,12800,Bilal Powell,NYJ,RB,16,LAC,0,0,0,145,1,0,0,0,0,20.5,20.5
10,16776,Melvin Gordon,LAC,RB,16,NYJ,0,0,0,81,1,3,47,0,0,18.8,18.8
11,5571,Larry Fitzgerald,ARI,WR,16,NYG,21,0,0,0,0,9,119,1,0,18.7,18.74
12,18811,Mitch Trubisky,CHI,QB,16,CLE,193,0,0,44,1,0,0,0,0,18.1,18.12
13,6739,Alex Smith,KC,QB,16,MIA,304,1,0,13,0,0,0,0,0,17.5,17.46
14,611,Joe Flacco,BAL,QB,16,IND,237,2,0,-2,0,0,0,0,0,17.3,17.28
15,18103,Jakeem Grant,MIA,WR,16,KC,0,0,0,3,0,4,107,1,0,17,17
16,3807,Ben Roethlisberger,PIT,QB,16,HOU,226,2,0,-1,0,0,0,0,0,16.9,16.94
17,18944,Kareem Hunt,KC,RB,16,MIA,0,0,0,91,1,4,15,0,0,16.6,16.6
18,18067,Jordan Howard,CHI,RB,16,CLE,0,0,0,44,2,0,0,0,0,16.4,16.4
19,14967,Le'Veon Bell,PIT,RB,16,HOU,0,0,0,69,1,5,28,0,0,15.7,15.7
20,8244,Philip Rivers,LAC,QB,16,NYJ,290,1,0,0,0,0,0,0,0,15.6,15.6
20,13320,Cam Newton,CAR,QB,16,TB,160,0,1,52,1,0,0,0,0,15.6,15.6
22,4314,Tom Brady,NE,QB,16,BUF,224,2,1,6,0,0,0,0,0,15.6,15.56
23,8972,Jay Cutler,MIA,QB,16,KC,286,1,0,-1,0,0,0,0,0,15.3,15.34
24,12109,Ted Ginn,NO,WR,16,ATL,0,0,0,14,0,4,76,1,0,15,15
25,13291,Julio Jones,ATL,WR,16,NO,0,0,0,0,0,7,149,0,0,14.9,14.9
26,11932,LeSean McCoy,BUF,RB,16,NE,0,0,0,71,0,5,76,0,0,14.7,14.7
27,14536,Russell Wilson,SEA,QB,16,DAL,93,2,0,29,0,0,0,0,0,14.6,14.62
28,5820,Frank Gore,IND,RB,16,BAL,0,0,0,68,0,2,18,1,0,14.6,14.6
29,16451,Eric Ebron,DET,TE,16,CIN,0,0,0,0,0,5,83,1,0,14.3,14.3
30,732,Matt Ryan,ATL,QB,16,NO,288,1,1,7,0,0,0,0,0,14.2,14.22
31,19319,Matt Breida,SF,RB,16,JAX,0,0,0,74,1,1,8,0,0,14.2,14.2
32,7884,Antonio Gates,LAC,TE,16,NYJ,0,0,0,0,0,6,81,1,0,14.1,14.1
33,16797,TJ Yeldon,JAX,RB,16,SF,0,0,0,13,1,7,64,0,0,13.7,13.7
34,18883,JuJu Smith-Schuster,PIT,WR,16,HOU,0,0,0,0,0,6,75,1,0,13.5,13.5
35,18018,Jacoby Brissett,IND,QB,16,BAL,215,1,0,8,0,0,0,0,0,13.4,13.4
36,16668,Carlos Hyde,SF,RB,16,JAX,0,0,0,54,1,3,19,0,0,13.3,13.3
37,16762,Jameis Winston,TB,QB,16,CAR,367,1,0,6,0,0,0,0,3,13.3,13.28
38,18803,Leonard Fournette,JAX,RB,16,SF,0,0,0,48,1,3,22,0,0,13,13
39,12831,Tyrod Taylor,BUF,QB,16,NE,281,0,0,16,0,0,0,0,0,12.8,12.84
40,10974,Rob Gronkowski,NE,TE,16,BUF,0,0,0,0,0,5,67,1,0,12.7,12.7
41,13337,Mark Ingram,NO,RB,16,ATL,0,0,0,44,1,3,22,0,0,12.6,12.6
41,16765,Amari Cooper,OAK,WR,16,PHI,0,0,0,0,0,3,66,1,0,12.6,12.6
43,14986,DeAndre Hopkins,HOU,WR,16,PIT,0,0,0,0,0,4,65,1,0,12.5,12.5
43,18882,Cooper Kupp,LAR,WR,16,TEN,0,0,0,0,0,4,65,1,0,12.5,12.5
45,4737,Drew Stanton,ARI,QB,16,NYG,209,2,2,1,0,0,0,0,0,12.5,12.46
46,16906,Stefon Diggs,MIN,WR,16,GB,0,0,0,3,0,5,60,1,0,12.3,12.3
47,17939,Josh Doctson,WAS,WR,16,DEN,0,0,0,0,0,2,61,1,0,12.1,12.1
48,13124,DeMarco Murray,TEN,RB,16,LAR,0,0,0,48,1,3,11,0,0,11.9,11.9
49,17923,Ezekiel Elliott,DAL,RB,16,SEA,0,0,0,97,0,4,21,0,0,11.8,11.8
50,12841,Andy Dalton,CIN,QB,16,DET,238,1,1,-1,0,0,0,0,0,11.4,11.42
51,16763,Marcus Mariota,TEN,QB,16,LAR,275,0,1,24,0,0,0,0,0,11.4,11.4
52,16909,Jay Ajayi,PHI,RB,16,OAK,0,0,0,52,0,2,21,1,1,11.3,11.3
53,16834,Tevin Coleman,ATL,RB,16,NO,0,0,0,12,0,4,40,1,0,11.2,11.2
54,7242,Drew Brees,NO,QB,16,ATL,239,1,1,-4,0,0,0,0,0,11.2,11.16
55,9038,Matthew Stafford,DET,QB,16,CIN,203,1,1,7,0,0,0,0,0,10.8,10.82
56,16189,Alfred Blue,HOU,RB,16,PIT,0,0,0,108,0,0,0,0,0,10.8,10.8
56,18082,Tyreek Hill,KC,WR,16,MIA,0,0,0,-1,0,6,109,0,0,10.8,10.8
56,19514,Keelan Cole,JAX,WR,16,SF,0,0,0,0,0,6,108,0,0,10.8,10.8
59,15048,Travis Kelce,KC,TE,16,MIA,0,0,0,0,0,4,47,1,0,10.7,10.7
59,16597,Mike Evans,TB,WR,16,CAR,0,0,0,0,0,6,107,0,0,10.7,10.7
59,16866,Jamison Crowder,WAS,WR,16,DEN,0,0,0,0,0,4,47,1,0,10.7,10.7
62,14872,Mike Gillislee,NE,RB,16,BUF,0,0,0,28,1,1,15,0,0,10.3,10.3
62,19483,Tion Green,DET,RB,16,CIN,0,0,0,43,1,0,0,0,0,10.3,10.3
64,5084,Vernon Davis,WAS,TE,16,DEN,0,0,0,0,0,2,42,1,0,10.2,10.2
64,19063,George Kittle,SF,TE,16,JAX,0,0,0,0,0,3,42,1,0,10.2,10.2
66,16838,Duke Johnson,CLE,RB,16,CHI,0,0,0,20,0,7,81,0,0,10.1,10.1
67,14005,T.Y. Hilton,IND,WR,16,BAL,0,0,0,0,0,6,100,0,0,10,10
68,16933,James O'Shaughnessy,JAX,TE,16,SF,0,0,0,0,0,5,39,1,0,9.9,9.9
69,16831,Jaelen Strong,JAX,WR,16,SF,0,0,0,0,0,3,38,1,0,9.8,9.8
69,18880,Chris Godwin,TB,WR,16,CAR,0,0,0,0,0,3,98,0,0,9.8,9.8
