Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,14252,Kirk Cousins,WAS,QB,6,SF,330,2,1,26,1,0,0,0,0,27.8,27.8
2,16776,Melvin Gordon,LAC,RB,6,OAK,0,0,0,83,1,9,67,1,0,27,27
3,4807,Adrian Peterson,ARI,RB,6,TB,0,0,0,134,2,0,0,0,0,25.4,25.4
4,14967,Le'Veon Bell,PIT,RB,6,KC,0,0,0,179,1,3,12,0,0,25.1,25.1
5,13337,Mark Ingram,NO,RB,6,DET,0,0,0,114,2,5,36,0,1,25,25
6,18857,Deshaun Watson,HOU,QB,6,CLE,225,3,1,23,0,0,0,0,0,23.3,23.3
7,11056,Antonio Brown,PIT,WR,6,KC,0,0,0,0,0,8,155,1,0,21.5,21.5
8,17920,Carson Wentz,PHI,QB,6,CAR,222,3,0,25,0,0,0,0,1,21.4,21.38
9,2428,Carson Palmer,ARI,QB,6,TB,283,3,1,-4,0,0,0,0,0,20.9,20.92
10,8283,Ryan Fitzpatrick,TB,QB,6,ARI,290,3,2,12,0,0,0,0,0,20.8,20.8
11,13320,Cam Newton,CAR,QB,6,PHI,239,1,3,71,1,0,0,0,0,20.7,20.66
12,17959,Derrick Henry,TEN,RB,6,IND,0,0,0,131,1,1,14,0,0,20.5,20.5
13,10974,Rob Gronkowski,NE,TE,6,NYJ,0,0,0,0,0,6,83,2,0,20.3,20.3
14,5282,Josh McCown,NYJ,QB,6,NE,354,2,2,21,0,0,0,0,0,20.3,20.26
15,16510,Jerick McKinnon,MIN,RB,6,GB,0,0,0,69,1,5,30,1,1,19.9,19.9
16,18803,Leonard Fournette,JAX,RB,6,LAR,0,0,0,130,1,2,8,0,0,19.8,19.8
17,16668,Carlos Hyde,SF,RB,6,WAS,0,0,0,28,2,5,47,0,0,19.5,19.5
18,5571,Larry Fitzgerald,ARI,WR,6,TB,0,0,0,0,0,10,138,1,1,17.8,17.8
19,18067,Jordan Howard,CHI,RB,6,BAL,0,0,0,167,0,1,9,0,0,17.6,17.6
20,4314,Tom Brady,NE,QB,6,NYJ,257,2,1,-1,0,0,0,0,0,16.2,16.18
21,17009,Trevor Siemian,DEN,QB,6,NYG,376,1,2,9,0,0,0,0,0,15.9,15.94
22,11611,Golden Tate,DET,WR,6,NO,0,0,0,0,0,7,96,1,0,15.6,15.6
22,13870,Marvin Jones,DET,WR,6,NO,0,0,0,0,0,6,96,1,0,15.6,15.6
24,16597,Mike Evans,TB,WR,6,ARI,0,0,0,0,0,3,95,1,0,15.5,15.5
25,6739,Alex Smith,KC,QB,6,PIT,246,1,0,13,0,0,0,0,0,15.1,15.14
26,9038,Matthew Stafford,DET,QB,6,NO,312,3,3,4,0,0,0,0,2,14.9,14.88
27,13124,DeMarco Murray,TEN,RB,6,IND,0,0,0,40,1,4,47,0,0,14.7,14.7
28,14385,Doug Martin,TB,RB,6,ARI,0,0,0,53,1,1,11,0,0,14.4,14.4
29,8244,Philip Rivers,LAC,QB,6,OAK,268,1,0,-4,0,0,0,0,0,14.3,14.32
30,16763,Marcus Mariota,TEN,QB,6,IND,306,1,1,0,0,0,0,0,0,14.2,14.24
31,18912,Evan Engram,NYG,TE,6,DEN,0,0,0,0,0,5,82,1,0,14.2,14.2
32,18018,Jacoby Brissett,IND,QB,6,TEN,212,1,0,15,0,0,0,0,0,14,13.98
33,14856,Zach Ertz,PHI,TE,6,CAR,0,0,0,0,0,2,18,2,0,13.8,13.8
33,15102,Chris Thompson,WAS,RB,6,SF,0,0,0,33,0,4,105,0,0,13.8,13.8
35,12239,Chris Ivory,JAX,RB,6,LAR,0,0,0,3,0,9,74,1,0,13.7,13.7
