Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
1,Tom Brady,NE,QB,NYJ,26,28,18.9,QB1,1
2,Matthew Stafford,DET,QB,GB,27,25,18.83,QB2,2
3,Russell Wilson,SEA,QB,ARI,12,19,18.12,QB3,3
4,Philip Rivers,LAC,QB,OAK,20,18,17.4,QB4,4
5,Drew Brees,NO,QB,TB,28,20,17.31,QB5,5
6,Cam Newton,CAR,QB,ATL,15,24,17.2,QB6,6
7,Kirk Cousins,WAS,QB,NYG,32,32,16.59,QB7,7
8,Jameis Winston,TB,QB,NO,11,11,16.17,QB8,8
9,Jimmy Garoppolo,SF,QB,LAR,10,8,15.98,QB9,9
10,Matt Ryan,ATL,QB,CAR,14,12,15.96,QB10,10
11,Case Keenum,MIN,QB,CHI,7,7,15.41,QB11,11
12,Mark Ingram,NO,RB,TB,28,24,15.35,RB1,12
13,Tyrod Taylor,BUF,QB,MIA,23,21,15.03,QB12,13
14,Ezekiel Elliott,DAL,RB,PHI,6,2,14.91,RB2,14
15,Jacoby Brissett,IND,QB,HOU,31,30,14.65,QB13,15
16,LeSean McCoy,BUF,RB,MIA,23,27,14.61,RB3,16
16,Dak Prescott,DAL,QB,PHI,6,10,14.61,QB14,16
18,Blake Bortles,JAX,QB,TEN,25,22,14.28,QB15,18
19,Joe Flacco,BAL,QB,CIN,16,15,14.05,QB16,19
20,Marcus Mariota,TEN,QB,JAX,2,1,13.63,QB17,20
21,Alvin Kamara,NO,RB,TB,28,24,13.57,RB4,21
22,Kenyan Drake,MIA,RB,BUF,17,32,13.56,RB5,22
23,Dion Lewis,NE,RB,NYJ,26,20,13.47,RB6,23
24,Brett Hundley,GB,QB,DET,19,13,12.86,QB18,24
25,Jamaal Williams,GB,RB,DET,19,31,12.37,RB7,25
25,Derrick Henry,TEN,RB,JAX,2,12,12.37,RB8,25
27,Rob Gronkowski,NE,TE,NYJ,26,26,12.11,TE1,27
28,Eli Manning,NYG,QB,WAS,21,16,12.05,QB19,28
29,Andy Dalton,CIN,QB,BAL,3,2,11.98,QB20,29
30,Melvin Gordon,LAC,RB,OAK,20,17,11.95,RB9,30
31,Landry Jones,PIT,QB,CLE,24,29,11.89,QB21,31
32,Julio Jones,ATL,WR,CAR,14,28,11.75,WR1,32
32,Carlos Hyde,SF,RB,LAR,10,29,11.75,RB10,32
34,Sean Mannion,LAR,QB,SF,30,32,11.74,QB22,34
35,Devonta Freeman,ATL,RB,CAR,14,3,11.72,RB11,35
36,Derek Carr,OAK,QB,LAC,4,4,11.65,QB23,36
37,Deshone Kizer,CLE,QB,PIT,5,6,11.46,QB24,37
38,Minnesota Vikings,MIN,DST,CHI,null,null,11.4,DST1,38
39,Keenan Allen,LAC,WR,OAK,20,11,11.33,WR2,39
40,Alex Collins,BAL,RB,CIN,16,30,11.15,RB12,40
41,Patrick Mahomes,KC,QB,DEN,9,16,10.98,QB25,41
42,Michael Thomas,NO,WR,TB,28,32,10.87,WR3,42
43,Jay Cutler,MIA,QB,BUF,17,5,10.79,QB26,43
44,Marshawn Lynch,OAK,RB,LAC,4,22,10.65,RB13,44
45,Latavius Murray,MIN,RB,CHI,7,6,10.63,RB14,45
46,TJ Yates,HOU,QB,IND,30,26,10.51,QB27,46
47,Leonard Fournette,JAX,RB,TEN,25,7,10.49,RB15,47
48,Mitch Trubisky,CHI,QB,MIN,2,3,10.43,QB28,48
49,CJ Anderson,DEN,RB,KC,22,11,10.29,RB16,49
50,Drew Stanton,ARI,QB,SEA,8,7,10.25,QB29,50
51,Paxton Lynch,DEN,QB,KC,22,25,9.93,QB30,51
52,Christian McCaffrey,CAR,RB,ATL,15,8,9.88,RB17,52
53,Samaje Perine,WAS,RB,NYG,32,23,9.77,RB18,53
54,Frank Gore,IND,RB,HOU,31,12,9.69,RB19,54
55,AJ Green,CIN,WR,BAL,3,2,9.68,WR4,55
56,Marvin Jones,DET,WR,GB,27,26,9.42,WR5,56
56,Mike Evans,TB,WR,NO,11,17,9.42,WR6,56
58,Stephen Gostkowski,NE,K,NYJ,26,9,9.2,K1,58
59,Lamar Miller,HOU,RB,IND,30,19,9.19,RB20,59
60,Adam Thielen,MIN,WR,CHI,7,16,9.16,WR7,60
61,Malcolm Brown,LAR,RB,SF,30,26,9,RB21,61
62,Jarvis Landry,MIA,WR,BUF,17,5,8.97,WR8,62
63,Wayne Gallman,NYG,RB,WAS,21,27,8.84,RB22,63
64,Akeem Hunt,KC,RB,DEN,9,5,8.83,RB23,64
65,Larry Fitzgerald,ARI,WR,SEA,8,19,8.81,WR9,65
66,Isaiah Crowell,CLE,RB,PIT,5,18,8.8,RB24,66
66,New England Patriots,NE,DST,NYJ,null,null,8.8,DST2,66
68,Theo Riddick,DET,RB,GB,27,22,8.77,RB25,68
69,Matt Bryant,ATL,K,CAR,14,14,8.7,K2,69
70,Jordan Howard,CHI,RB,MIN,2,1,8.66,RB26,70
71,Jerick McKinnon,MIN,RB,CHI,7,6,8.65,RB27,71
71,Brandin Cooks,NE,WR,NYJ,26,21,8.65,WR10,71
73,Jamison Crowder,WAS,WR,NYG,32,25,8.64,WR11,73
74,Wil Lutz,NO,K,TB,28,18,8.6,K3,74
74,Josh Lambo,JAX,K,TEN,25,32,8.6,K4,74
74,Pittsburgh Steelers,PIT,DST,CLE,null,null,8.6,DST3,74
77,Stevan Ridley,PIT,RB,CLE,24,14,8.57,RB28,77
77,Doug Baldwin,SEA,WR,ARI,12,18,8.57,WR12,77
79,Peyton Barber,TB,RB,NO,11,16,8.52,RB29,79
80,Matt Prater,DET,K,GB,27,26,8.5,K5,80
80,Detroit Lions,DET,DST,GB,null,null,8.5,DST4,80
80,Indianapolis Colts,IND,DST,HOU,null,null,8.5,DST5,80
83,Marquise Goodwin,SF,WR,LAR,10,9,8.48,WR13,83
84,Bryce Petty,NYJ,QB,NE,23,27,8.45,QB31,84
85,Justin Tucker,BAL,K,CIN,16,27,8.4,K6,85
85,Kai Forbath,MIN,K,CHI,7,22,8.4,K7,85
85,Robbie Gould,SF,K,LAR,10,8,8.4,K8,85
85,Seattle Seahawks,SEA,DST,ARI,null,null,8.4,DST6,85
89,Mike Davis,SEA,RB,ARI,12,4,8.34,RB30,89
90,Bilal Powell,NYJ,RB,NE,23,17,8.32,RB31,90
91,Josh Gordon,CLE,WR,PIT,5,12,8.27,WR14,91
92,Adam Vinatieri,IND,K,HOU,31,31,8.2,K9,92
92,JuJu Smith-Schuster,PIT,WR,CLE,24,13,8.2,WR15,92
92,San Francisco 49ers,SF,DST,LAR,null,null,8.2,DST7,92
92,Washington Redskins,WAS,DST,NYG,null,null,8.2,DST8,92
96,T.Y. Hilton,IND,WR,HOU,31,30,8.15,WR16,96
97,Devin Funchess,CAR,WR,ATL,15,13,8.13,WR17,97
97,Duke Johnson,CLE,RB,PIT,5,18,8.13,RB32,97
