Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,18857,Deshaun Watson,HOU,QB,5,KC,261,5,0,31,0,0,0,0,0,35.5,35.54
2,18803,Leonard Fournette,JAX,RB,5,PIT,0,0,0,181,2,1,3,0,0,30.4,30.4
3,18055,Dak Prescott,DAL,QB,5,GB,251,3,1,37,1,0,0,0,0,29.7,29.74
4,16776,Melvin Gordon,LAC,RB,5,NYG,0,0,0,105,0,6,58,2,0,28.3,28.3
5,17920,Carson Wentz,PHI,QB,5,ARI,304,4,1,11,0,0,0,0,0,27.3,27.26
6,6739,Alex Smith,KC,QB,5,HOU,324,3,0,19,0,0,0,0,0,26.9,26.86
7,13320,Cam Newton,CAR,QB,5,DET,355,3,0,0,0,0,0,0,0,26.2,26.2
8,2593,Aaron Rodgers,GB,QB,5,DAL,221,3,0,32,0,0,0,0,0,24,24.04
9,14986,DeAndre Hopkins,HOU,WR,5,KC,0,0,0,0,0,4,52,3,0,23.2,23.2
10,12845,AJ Green,CIN,WR,5,BUF,0,0,0,0,0,7,189,1,1,22.9,22.9
11,8358,Brian Hoyer,SF,QB,5,IND,353,2,0,0,0,0,0,0,0,22.1,22.12
12,8244,Philip Rivers,LAC,QB,5,NYG,258,3,1,5,0,0,0,0,0,20.8,20.82
13,16510,Jerick McKinnon,MIN,RB,5,CHI,0,0,0,95,1,6,51,0,0,20.6,20.6
14,19045,Aaron Jones,GB,RB,5,DAL,0,0,0,125,1,1,9,0,0,19.4,19.4
15,16470,Davante Adams,GB,WR,5,DAL,0,0,0,0,0,7,66,2,0,18.6,18.6
16,16762,Jameis Winston,TB,QB,5,NE,334,1,0,11,0,0,0,0,0,18.5,18.46
17,17916,Will Fuller,HOU,WR,5,KC,0,0,0,5,0,2,57,2,0,18.2,18.2
18,18018,Jacoby Brissett,IND,QB,5,SF,314,0,1,14,1,0,0,0,0,18,17.96
19,14005,T.Y. Hilton,IND,WR,5,SF,0,0,0,0,0,7,177,0,0,17.7,17.7
20,12153,Ed Dickson,CAR,TE,5,DET,0,0,0,0,0,5,175,0,0,17.5,17.5
21,18079,Kevin Hogan,CLE,QB,5,NYJ,194,2,1,30,0,0,0,0,0,16.8,16.76
22,16389,Odell Beckham Jr,NYG,WR,5,LAC,0,0,0,8,0,5,97,1,0,16.5,16.5
23,11056,Antonio Brown,PIT,WR,5,JAX,0,0,0,0,0,10,157,0,0,15.7,15.7
24,2428,Carson Palmer,ARI,QB,5,PHI,291,1,0,0,0,0,0,0,0,15.6,15.64
25,16781,Nelson Agholor,PHI,WR,5,ARI,0,0,0,0,0,4,93,1,0,15.3,15.3
25,18998,Marlon Mack,IND,RB,5,SF,0,0,0,91,1,1,2,0,0,15.3,15.3
27,9038,Matthew Stafford,DET,QB,5,CAR,229,2,0,0,0,0,0,0,1,15.2,15.16
28,16886,Javorius Allen,BAL,RB,5,OAK,0,0,0,73,1,4,12,0,0,14.5,14.5
29,15247,Darren Fells,DET,TE,5,CAR,0,0,0,0,0,2,24,2,0,14.4,14.4
30,14141,Cole Beasley,DAL,WR,5,GB,0,0,0,0,0,4,23,2,0,14.3,14.3
30,16838,Duke Johnson,CLE,RB,5,NYJ,0,0,0,20,0,3,63,1,0,14.3,14.3
30,19063,George Kittle,SF,TE,5,IND,0,0,0,0,0,7,83,1,0,14.3,14.3
33,9331,Michael Crabtree,OAK,WR,5,BAL,0,0,0,0,0,6,82,1,0,14.2,14.2
33,14385,Doug Martin,TB,RB,5,NE,0,0,0,74,1,1,8,0,0,14.2,14.2
35,5282,Josh McCown,NYJ,QB,5,CLE,194,2,1,-3,0,0,0,0,0,13.5,13.46
36,14828,Chris Hogan,NE,WR,5,TB,0,0,0,0,0,8,74,1,0,13.4,13.4
37,12841,Andy Dalton,CIN,QB,5,BUF,328,1,2,2,0,0,0,0,0,13.3,13.32
38,8529,Mike Wallace,BAL,WR,5,OAK,0,0,0,0,0,3,133,0,0,13.3,13.3
38,16307,Charcandrick West,KC,RB,5,HOU,0,0,0,1,0,2,12,2,0,13.3,13.3
40,16008,Orleans Darkwa,NYG,RB,5,LAC,0,0,0,69,1,1,3,0,0,13.2,13.2
40,17923,Ezekiel Elliott,DAL,RB,5,GB,0,0,0,116,0,1,16,0,0,13.2,13.2
42,4932,Eli Manning,NYG,QB,5,LAC,225,2,1,0,0,0,0,0,1,13,13
43,16593,Cameron Brate,TB,TE,5,NE,0,0,0,0,0,5,68,1,0,12.8,12.8
44,12830,Torrey Smith,PHI,WR,5,ARI,0,0,0,-3,0,3,70,1,0,12.7,12.7
45,4314,Tom Brady,NE,QB,5,TB,303,1,1,5,0,0,0,0,1,12.6,12.62
46,14856,Zach Ertz,PHI,TE,5,ARI,0,0,0,0,0,6,61,1,0,12.1,12.1
47,14868,EJ Manuel,OAK,QB,5,BAL,159,1,0,15,0,0,0,0,0,11.9,11.86
48,15694,Case Keenum,MIN,QB,5,CHI,140,1,0,22,0,0,0,0,0,11.8,11.8
48,16550,Kelvin Benjamin,CAR,WR,5,DET,0,0,0,0,0,4,58,1,0,11.8,11.8
50,14865,Marquise Goodwin,SF,WR,5,IND,0,0,0,0,0,5,116,0,0,11.6,11.6
50,18944,Kareem Hunt,KC,RB,5,HOU,0,0,0,107,0,3,9,0,0,11.6,11.6
52,14536,Russell Wilson,SEA,QB,5,LAR,198,1,1,16,0,0,0,0,0,11.5,11.52
53,12386,Marshawn Lynch,OAK,RB,5,BAL,0,0,0,43,1,1,10,0,0,11.3,11.3
53,16802,Devin Funchess,CAR,WR,5,DET,0,0,0,0,0,7,53,1,0,11.3,11.3
55,11270,Dez Bryant,DAL,WR,5,GB,0,0,0,0,0,5,52,1,0,11.2,11.2
56,18858,Joe Mixon,CIN,RB,5,BUF,0,0,0,51,1,0,0,0,0,11.1,11.1
57,18876,David Njoku,CLE,TE,5,NYJ,0,0,0,1,0,3,48,1,0,10.9,10.9
58,15207,Benjamin Cunningham,CHI,RB,5,MIN,0,0,0,4,0,2,43,1,0,10.7,10.7
59,3943,DeSean Jackson,TB,WR,5,NE,0,0,0,0,0,5,106,0,0,10.6,10.6
60,13275,Kyle Rudolph,MIN,TE,5,CHI,0,0,0,0,0,6,45,1,0,10.5,10.5
61,16020,Jarvis Landry,MIA,WR,5,TEN,0,0,0,0,0,5,44,1,0,10.4,10.4
62,17975,Hunter Henry,LAC,TE,5,NYG,0,0,0,0,0,3,42,1,0,10.2,10.2
63,12415,Zach Miller,CHI,TE,5,MIN,0,0,0,0,0,3,39,1,0,9.9,9.9
64,14749,Jermaine Kearse,NYJ,WR,5,CLE,0,0,0,0,0,4,38,1,0,9.8,9.8
64,15048,Travis Kelce,KC,TE,5,HOU,0,0,0,0,0,8,98,0,0,9.8,9.8
64,18032,Tyler Higbee,LAR,TE,5,SEA,0,0,0,0,0,4,98,0,0,9.8,9.8
64,18877,Christian McCaffrey,CAR,RB,5,DET,0,0,0,7,0,5,31,1,0,9.8,9.8
68,11488,Jimmy Graham,SEA,TE,5,LAR,0,0,0,0,0,6,37,1,0,9.7,9.7
69,6767,Pierre Garcon,SF,WR,5,IND,0,0,0,0,0,8,94,0,0,9.4,9.4
70,18811,Mitch Trubisky,CHI,QB,5,MIN,128,1,1,22,0,0,0,0,1,9.3,9.32
71,14967,Le'Veon Bell,PIT,RB,5,JAX,0,0,0,47,0,10,46,0,0,9.3,9.3
72,12831,Tyrod Taylor,BUF,QB,5,CIN,166,1,1,3,0,0,0,0,0,8.9,8.94
73,11932,LeSean McCoy,BUF,RB,5,CIN,0,0,0,63,0,6,26,0,0,8.9,8.9
73,13791,Lamar Miller,HOU,RB,5,KC,0,0,0,74,0,2,15,0,0,8.9,8.9
73,16608,Austin Seferian-Jenkins,NYJ,TE,5,CLE,0,0,0,0,0,6,29,1,0,8.9,8.9
73,18285,Roger Lewis,NYG,WR,5,LAC,0,0,0,0,0,1,29,1,0,8.9,8.9
77,5820,Frank Gore,IND,RB,5,SF,0,0,0,48,0,3,38,0,0,8.6,8.6
77,16640,John Brown,ARI,WR,5,PHI,0,0,0,0,0,2,26,1,0,8.6,8.6
79,8373,Brandon Tate,BUF,WR,5,CIN,0,0,0,0,0,2,25,1,0,8.5,8.5
79,16568,Brandin Cooks,NE,WR,5,TB,0,0,0,0,0,5,85,0,0,8.5,8.5
81,611,Joe Flacco,BAL,QB,5,OAK,222,0,0,-4,0,0,0,0,0,8.5,8.48
82,4556,Jordy Nelson,GB,WR,5,DAL,0,0,0,0,0,2,24,1,0,8.4,8.4
