Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
53,Todd Bouman,JAX,QB,1,18,34,52.9,222,6.5,2,2,68.5,2,8,4,0,13.7,13.68
54,Mark Brunell,NYJ,QB,2,7,13,53.8,117,9,2,1,91.99,0,0,0,0,5.3,10.68
55,Dennis Dixon,PIT,QB,2,22,32,68.8,254,7.9,0,1,79.43,5,32,6.4,0,4.7,9.36
56,Josh Johnson,TB,QB,11,14,16,87.5,111,6.9,0,0,95.57,4,39,9.8,0,0.8,8.34
57,Kellen Clemens,NYJ,QB,1,1,2,50,6,3,0,0,56.25,2,9,4.5,1,7.1,7.14
58,Brian St Pierre,CAR,QB,1,13,28,46.4,173,6.2,1,2,48.66,0,0,0,0,6.9,6.92
59,Brian Hoyer,NE,QB,5,7,15,46.7,122,8.1,1,1,69.31,10,-8,-0.8,0,1.2,6.08
60,Luke McCown,JAX,QB,1,11,19,57.9,120,6.3,0,0,76.64,1,4,4,0,5.2,5.2
61,Richard Bartel,ARI,QB,1,16,28,57.1,150,5.4,0,1,57.14,0,0,0,0,4,4
62,Max Hall,ARI,QB,6,39,78,50,370,4.7,1,6,35.74,1,-5,-5,0,0.4,2.3
63,Chase Daniel,NO,QB,13,2,3,66.7,16,5.3,0,0,79.86,2,16,8,0,0.2,2.24
64,Caleb Hanie,CHI,QB,2,5,7,71.4,55,7.9,0,0,94.35,1,-1,-1,0,1,2.1
65,Tyler Palko,KC,QB,2,4,6,66.7,35,5.8,0,0,81.94,2,5,2.5,0,1,1.9
66,Tony Pike,CAR,QB,1,6,12,50,47,3.9,0,0,60.07,0,0,0,0,1.9,1.88
67,Byron Leftwich,PIT,QB,1,5,7,71.4,42,6,0,0,86.61,0,0,0,0,1.7,1.68
68,Kyle Boller,OAK,QB,5,2,4,50,25,6.2,0,1,30.21,7,18,2.6,0,0.2,0.8
69,Chad Pennington,MIA,QB,1,1,2,50,19,9.5,0,0,83.33,0,0,0,0,0.8,0.76
70,Jordan Palmer,CIN,QB,1,3,3,100,18,6,0,0,91.67,0,0,0,0,0.7,0.72
71,Chris Redman,ATL,QB,2,4,6,66.7,20,3.3,0,0,71.53,1,-1,-1,0,0.4,0.7
72,David Carr,SF,QB,1,5,13,38.5,67,5.2,0,1,23.56,0,0,0,0,0.7,0.68
73,Dan Orlovsky,HOU,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Rusty Smith,TEN,QB,2,20,40,50,200,5,0,4,25,0,0,0,0,0,0
75,Billy Volek,LAC,QB,3,1,1,100,8,8,0,0,100,6,-5,-0.8,0,-0.1,-0.18
76,Sage Rosenfels,NYG,QB,12,0,0,0,0,0,0,0,0,3,-3,-1,0,0,-0.3
77,Brodie Croyle,KC,QB,2,8,19,42.1,38,2,0,1,27.74,0,0,0,0,-0.2,-0.48
78,Levi Brown,BUF,QB,1,2,3,66.7,24,8,0,1,51.39,0,0,0,0,-1,-1.04
79,Brian Brohm,BUF,QB,1,10,23,43.5,106,4.6,0,3,17.93,0,0,0,0,-3.8,-3.76
80,Todd Collins,CHI,QB,2,10,27,37,68,2.5,0,5,5.86,0,0,0,0,-3.6,-7.28
