Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,16776,Melvin Gordon,LAC,RB,9,TEN,0,0,0,196,1,4,65,0,0,32.1,32.1
2,15071,Latavius Murray,OAK,RB,9,DEN,0,0,0,114,3,1,13,0,0,30.7,30.7
3,13337,Mark Ingram,NO,RB,9,SF,0,0,0,158,1,2,13,1,0,29.1,29.1
4,732,Matt Ryan,ATL,QB,9,TB,344,4,0,0,0,0,0,0,1,27.8,27.76
5,16597,Mike Evans,TB,WR,9,ATL,0,0,0,0,0,11,150,2,0,27,27
6,14536,Russell Wilson,SEA,QB,9,BUF,282,2,0,10,1,0,0,0,0,26.3,26.28
7,2593,Aaron Rodgers,GB,QB,9,IND,297,3,1,43,0,0,0,0,0,26.2,26.18
8,16763,Marcus Mariota,TEN,QB,9,LAC,313,3,2,14,1,0,0,0,1,25.9,25.92
9,12831,Tyrod Taylor,BUF,QB,9,SEA,289,1,1,43,1,0,0,0,0,25.9,25.86
10,7242,Drew Brees,NO,QB,9,SF,323,3,0,-2,0,0,0,0,0,24.7,24.72
11,18055,Dak Prescott,DAL,QB,9,CLE,247,3,0,20,0,0,0,0,0,23.9,23.88
12,11488,Jimmy Graham,SEA,TE,9,BUF,0,0,0,0,0,8,103,2,0,22.3,22.3
13,13443,Colin Kaepernick,SF,QB,9,NO,398,2,1,23,0,0,0,0,1,22.2,22.22
14,4932,Eli Manning,NYG,QB,9,PHI,257,4,2,-4,0,0,0,0,0,21.9,21.88
15,16762,Jameis Winston,TB,QB,9,ATL,261,3,0,14,0,0,0,0,1,21.8,21.84
16,17923,Ezekiel Elliott,DAL,RB,9,CLE,0,0,0,92,2,1,5,0,0,21.7,21.7
17,16245,Blake Bortles,JAX,QB,9,KC,252,2,1,54,0,0,0,0,0,21.5,21.48
18,722,Jason Witten,DAL,TE,9,CLE,0,0,0,0,0,8,134,1,0,19.4,19.4
19,17960,Michael Thomas,NO,WR,9,SF,0,0,0,0,0,5,73,2,0,19.3,19.3
20,5820,Frank Gore,IND,RB,9,GB,0,0,0,60,2,2,11,0,0,19.1,19.1
21,16909,Jay Ajayi,MIA,RB,9,NYJ,0,0,0,111,1,3,19,0,0,19,19
22,3807,Ben Roethlisberger,PIT,QB,9,BAL,264,1,1,3,1,0,0,0,0,18.9,18.86
23,8244,Philip Rivers,LAC,QB,9,TEN,275,2,0,-3,0,0,0,0,0,18.7,18.7
24,8529,Mike Wallace,BAL,WR,9,PIT,0,0,0,0,0,4,124,1,0,18.4,18.4
25,13788,Rishard Matthews,TEN,WR,9,LAC,0,0,0,0,0,6,63,2,0,18.3,18.3
26,12985,DuJuan Harris,SF,RB,9,NO,0,0,0,59,0,5,83,1,1,18.2,18.2
27,13291,Julio Jones,ATL,WR,9,TB,0,0,0,0,0,8,111,1,0,17.1,17.1
28,16389,Odell Beckham Jr,NYG,WR,9,PHI,0,0,0,0,0,4,46,2,0,16.6,16.6
29,2262,Tim Hightower,NO,RB,9,SF,0,0,0,87,1,1,15,0,0,16.2,16.2
29,14871,Robert Woods,BUF,WR,9,SEA,0,0,0,0,0,10,162,0,0,16.2,16.2
31,2699,Matt Forte,NYJ,RB,9,MIA,0,0,0,92,1,1,5,0,0,15.7,15.7
32,11527,Sam Bradford,MIN,QB,9,DET,273,1,0,0,0,1,5,0,0,15.4,15.42
33,4556,Jordy Nelson,GB,WR,9,IND,0,0,0,0,0,7,94,1,0,15.4,15.4
34,17009,Trevor Siemian,DEN,QB,9,OAK,283,2,1,0,0,0,0,0,1,15.3,15.32
35,611,Joe Flacco,BAL,QB,9,PIT,241,1,1,12,0,0,0,0,0,14.8,14.84
36,9038,Matthew Stafford,DET,QB,9,MIN,219,2,1,0,0,0,0,0,0,14.8,14.76
37,13320,Cam Newton,CAR,QB,9,LAR,225,1,0,16,0,0,0,0,0,14.6,14.6
38,11056,Antonio Brown,PIT,WR,9,BAL,0,0,0,0,0,7,85,1,0,14.5,14.5
39,15239,Vance McDonald,SF,TE,9,NO,0,0,0,0,0,3,84,1,0,14.4,14.4
40,11611,Golden Tate,DET,WR,9,MIN,0,0,0,1,0,11,79,1,0,14,14
40,13124,DeMarco Murray,TEN,RB,9,LAC,0,0,0,51,1,7,29,0,0,14,14
40,16273,Kapri Bibbs,DEN,RB,9,OAK,0,0,0,11,0,1,69,1,0,14,14
43,15694,Case Keenum,LAR,QB,9,CAR,296,1,1,0,0,0,0,0,0,13.8,13.84
44,16129,Taylor Gabriel,ATL,WR,9,TB,0,0,0,24,1,5,52,0,0,13.6,13.6
44,16263,Allen Robinson,JAX,WR,9,KC,0,0,0,0,0,7,76,1,0,13.6,13.6
46,7884,Antonio Gates,LAC,TE,9,TEN,0,0,0,0,0,5,75,1,0,13.5,13.5
47,17966,Cody Kessler,CLE,QB,9,DAL,203,1,0,11,0,0,0,0,0,13.2,13.22
48,14008,Andrew Luck,IND,QB,9,GB,281,1,2,15,0,0,0,0,0,12.7,12.74
49,17048,Tyrell Williams,LAC,WR,9,TEN,0,0,0,0,0,6,65,1,0,12.5,12.5
50,11932,LeSean McCoy,BUF,RB,9,SEA,0,0,0,85,0,4,35,0,0,12,12
51,18257,Jalin Marshall,NYJ,WR,9,MIA,0,0,0,0,0,3,59,1,0,11.9,11.9
52,12551,Jordan Norwood,DEN,WR,9,OAK,0,0,0,0,0,2,56,1,0,11.6,11.6
52,14141,Cole Beasley,DAL,WR,9,CLE,0,0,0,0,0,6,56,1,0,11.6,11.6
54,16232,Donte Moncrief,IND,WR,9,GB,0,0,0,0,0,3,55,1,0,11.5,11.5
55,1658,Greg Olsen,CAR,TE,9,LAR,0,0,0,0,0,5,52,1,0,11.2,11.2
56,13723,Nick Foles,KC,QB,9,JAX,187,1,0,-3,0,0,0,0,0,11.2,11.18
57,17961,Sterling Shepard,NYG,WR,9,PHI,0,0,0,0,0,3,50,1,0,11,11
58,8532,Kenny Britt,LAR,WR,9,CAR,0,0,0,0,0,4,49,1,0,10.9,10.9
59,13693,Terrelle Pryor,CLE,WR,9,DAL,0,0,0,0,0,5,47,1,0,10.7,10.7
60,15241,Quinton Patton,SF,WR,9,NO,0,0,0,0,0,6,106,0,0,10.6,10.6
60,17290,Adam Humphries,TB,WR,9,ATL,0,0,0,0,0,5,46,1,0,10.6,10.6
60,17963,Austin Hooper,ATL,TE,9,TB,0,0,0,0,0,3,46,1,0,10.6,10.6
63,12787,Nick Bellore,SF,RB,9,NO,0,0,0,0,0,0,0,0,0,10.5,10.5
63,16524,Devonta Freeman,ATL,RB,9,TB,0,0,0,77,0,2,28,0,0,10.5,10.5
63,16797,TJ Yeldon,JAX,RB,9,KC,0,0,0,33,0,5,32,1,1,10.5,10.5
66,8283,Ryan Fitzpatrick,NYJ,QB,9,MIA,194,1,2,26,0,0,0,0,0,10.4,10.36
67,16593,Cameron Brate,TB,TE,9,ATL,0,0,0,0,0,5,43,1,0,10.3,10.3
67,17480,Eli Rogers,PIT,WR,9,BAL,0,0,0,0,0,6,103,0,0,10.3,10.3
69,7175,Delanie Walker,TEN,TE,9,LAC,0,0,0,0,0,5,42,1,0,10.2,10.2
69,14593,Dominique Jones,MIA,TE,9,NYJ,0,0,0,0,0,3,42,1,0,10.2,10.2
71,17920,Carson Wentz,PHI,QB,9,NYG,364,0,2,-4,0,0,0,0,0,10.2,10.16
72,16470,Davante Adams,GB,WR,9,IND,0,0,0,0,0,4,41,1,0,10.1,10.1
73,14856,Zach Ertz,PHI,TE,9,NYG,0,0,0,0,0,8,97,0,0,9.7,9.7
73,16308,Albert Wilson,KC,WR,9,JAX,0,0,0,-5,0,3,42,1,0,9.7,9.7
75,13799,Ryan Tannehill,MIA,QB,9,NYJ,149,1,0,-3,0,0,0,0,0,9.7,9.66
76,14872,Mike Gillislee,BUF,RB,9,SEA,0,0,0,32,1,2,4,0,0,9.6,9.6
77,16258,Marqise Lee,JAX,WR,9,KC,0,0,0,11,0,4,84,0,0,9.5,9.5
78,15378,Levine Toilolo,ATL,TE,9,TB,0,0,0,0,0,1,32,1,0,9.2,9.2
78,16451,Eric Ebron,DET,TE,9,MIN,0,0,0,0,0,7,92,0,0,9.2,9.2
78,16906,Stefon Diggs,MIN,WR,9,DET,0,0,0,12,0,13,80,0,0,9.2,9.2
81,16855,Ty Montgomery,GB,RB,9,IND,0,0,0,53,0,3,38,0,0,9.1,9.1
82,13386,Lance Kendricks,LAR,TE,9,CAR,0,0,0,0,0,7,90,0,0,9,9
82,15201,Mike Glennon,TB,QB,9,ATL,75,1,0,0,0,0,0,0,0,9,9
82,18285,Roger Lewis,NYG,WR,9,PHI,0,0,0,0,0,1,30,1,0,9,9
85,13460,Doug Baldwin,SEA,WR,9,BUF,0,0,0,0,0,6,89,0,0,8.9,8.9
86,15974,Jordan Matthews,PHI,WR,9,NYG,0,0,0,0,0,6,88,0,0,8.8,8.8
87,12239,Chris Ivory,JAX,RB,9,KC,0,0,0,107,0,1,0,0,1,8.7,8.7
88,14005,T.Y. Hilton,IND,WR,9,GB,0,0,0,0,0,6,82,0,0,8.2,8.2
89,16311,Derek Carr,OAK,QB,9,DEN,184,0,0,3,0,0,0,0,0,7.7,7.66
90,14496,Garrett Celek,SF,TE,9,NO,0,0,0,0,0,4,76,0,0,7.6,7.6
90,15126,Theo Riddick,DET,RB,9,MIN,0,0,0,70,0,1,6,0,0,7.6,7.6
90,16550,Kelvin Benjamin,CAR,WR,9,LAR,0,0,0,0,0,5,76,0,0,7.6,7.6
93,11256,Ryan Mathews,PHI,RB,9,NYG,0,0,0,15,1,1,0,0,0,7.5,7.5
94,13227,Randall Cobb,GB,WR,9,IND,0,0,0,0,0,2,14,1,0,7.4,7.4
94,13878,Mohamed Sanu,ATL,WR,9,TB,0,0,0,0,0,5,74,0,0,7.4,7.4
94,16307,Charcandrick West,KC,RB,9,JAX,0,0,0,39,0,3,35,0,0,7.4,7.4
94,16771,Todd Gurley,LAR,RB,9,CAR,0,0,0,48,0,4,26,0,0,7.4,7.4
98,18690,Jalen Richard,OAK,RB,9,DEN,0,0,0,62,0,2,10,0,0,7.2,7.2
99,6198,Darren Sproles,PHI,RB,9,NYG,0,0,0,57,0,3,14,0,0,7.1,7.1
100,11712,Anquan Boldin,DET,WR,9,MIN,0,0,0,0,0,2,10,1,0,7,7
100,14967,Le'Veon Bell,PIT,RB,9,BAL,0,0,0,32,0,6,38,0,0,7,7
102,18611,Bryce Treggs,PHI,WR,9,NYG,0,0,0,0,0,2,69,0,0,6.9,6.9
103,15534,Adam Thielen,MIN,WR,9,DET,0,0,0,0,0,4,68,0,0,6.8,6.8
104,4358,Steve Smith,BAL,WR,9,PIT,0,0,0,0,0,4,47,0,0,6.7,6.7
104,16127,Isaiah Crowell,CLE,RB,9,DAL,0,0,0,4,0,4,63,0,0,6.7,6.7
106,16568,Brandin Cooks,NO,WR,9,SF,0,0,0,0,0,5,66,0,0,6.6,6.6
107,14445,Rhett Ellison,MIN,TE,9,DET,0,0,0,1,1,1,4,0,0,6.5,6.5
107,14978,Justin Hunter,BUF,WR,9,SEA,0,0,0,0,0,1,5,1,0,6.5,6.5
109,13957,Kendall Wright,TEN,WR,9,LAC,0,0,0,0,0,2,64,0,0,6.4,6.4
109,16491,Richard Rodgers,GB,TE,9,IND,0,0,0,0,0,6,64,0,0,6.4,6.4
111,15185,Kenjon Barner,PHI,RB,9,NYG,0,0,0,3,1,0,0,0,0,6.3,6.3
112,14046,Ronnie Hillman,MIN,RB,9,DET,0,0,0,30,0,1,32,0,0,6.2,6.2
112,15082,Gavin Escobar,DAL,TE,9,CLE,0,0,0,0,0,1,2,1,0,6.2,6.2
114,13275,Kyle Rudolph,MIN,TE,9,DET,0,0,0,0,0,1,1,1,0,6.1,6.1
114,14786,Patrick DiMarco,ATL,FB,9,TB,0,0,0,0,0,1,1,1,0,6.1,6.1
114,15256,Christine Michael,SEA,RB,9,BUF,0,0,0,1,1,0,0,0,0,6.1,6.1
114,15602,Jack Doyle,IND,TE,9,GB,0,0,0,0,0,5,61,0,0,6.1,6.1
118,15048,Travis Kelce,KC,TE,9,JAX,0,0,0,0,0,5,58,0,0,5.8,5.8
118,18058,Tajae Sharpe,TEN,WR,9,LAC,0,0,0,0,0,4,58,0,0,5.8,5.8
120,11197,Demaryius Thomas,DEN,WR,9,OAK,0,0,0,0,0,5,56,0,0,5.6,5.6
120,14269,Alfred Morris,DAL,RB,9,CLE,0,0,0,56,0,0,0,0,0,5.6,5.6
120,16728,Dontrelle Inman,LAC,WR,9,TEN,0,0,0,0,0,6,56,0,0,5.6,5.6
120,16765,Amari Cooper,OAK,WR,9,DEN,0,0,0,0,0,6,56,0,0,5.6,5.6
124,15965,Trey Burton,PHI,TE,9,NYG,0,0,0,0,0,3,55,0,0,5.5,5.5
124,18375,Peyton Barber,TB,RB,9,ATL,0,0,0,31,0,4,24,0,0,5.5,5.5
126,12800,Bilal Powell,NYJ,RB,9,MIA,0,0,0,22,0,4,29,0,0,5.1,5.1
127,16031,Damien Williams,MIA,RB,9,NYJ,0,0,0,29,0,2,20,0,0,4.9,4.9
127,18187,Robby Anderson,NYJ,WR,9,MIA,0,0,0,0,0,4,49,0,0,4.9,4.9
129,6211,Harry Douglas,TEN,WR,9,LAC,0,0,0,0,0,2,48,0,0,4.8,4.8
129,14424,Brian Quick,LAR,WR,9,CAR,0,0,0,0,0,4,48,0,0,4.8,4.8
131,11063,Emmanuel Sanders,DEN,WR,9,OAK,0,0,0,0,0,5,47,0,0,4.7,4.7
131,17972,Paul Perkins,NYG,RB,9,PHI,0,0,0,32,0,3,15,0,0,4.7,4.7
133,11667,Brandon Marshall,NYJ,WR,9,MIA,0,0,0,0,0,5,46,0,0,4.6,4.6
133,12246,Victor Cruz,NYG,WR,9,PHI,0,0,0,0,0,1,46,0,0,4.6,4.6
