Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,16311,Derek Carr,OAK,QB,8,TB,513,4,0,13,0,0,0,0,1,35.8,35.82
2,2593,Aaron Rodgers,GB,QB,8,ATL,246,4,0,60,0,0,0,0,0,33.8,33.84
3,4314,Tom Brady,NE,QB,8,BUF,315,4,0,15,0,0,0,0,0,30.1,30.1
4,16245,Blake Bortles,JAX,QB,8,TEN,337,3,0,22,0,0,0,0,0,29.7,29.68
5,18055,Dak Prescott,DAL,QB,8,PHI,287,2,1,38,1,0,0,0,0,27.3,27.28
6,18067,Jordan Howard,CHI,RB,8,MIN,0,0,0,153,1,4,49,0,0,26.2,26.2
7,732,Matt Ryan,ATL,QB,8,GB,288,3,0,9,0,0,0,0,0,24.4,24.42
8,14252,Kirk Cousins,WAS,QB,8,CIN,458,2,1,-1,0,0,0,0,0,24.2,24.22
9,16765,Amari Cooper,OAK,WR,8,TB,0,0,0,0,0,12,173,1,0,23.3,23.3
10,2428,Carson Palmer,ARI,QB,8,CAR,363,3,1,0,0,0,0,0,1,22.5,22.52
11,5451,Jonathan Stewart,CAR,RB,8,ARI,0,0,0,95,2,1,25,0,1,22,22
12,2699,Matt Forte,NYJ,RB,8,CLE,0,0,0,82,2,2,16,0,0,21.8,21.8
13,7242,Drew Brees,NO,QB,8,SEA,265,1,0,1,1,0,0,0,0,20.7,20.7
14,5282,Josh McCown,CLE,QB,8,NYJ,341,2,2,10,0,0,0,0,0,20.6,20.64
15,16763,Marcus Mariota,TEN,QB,8,JAX,270,2,0,11,0,0,0,0,0,19.9,19.9
15,16919,JJ Nelson,ARI,WR,8,CAR,0,0,0,0,0,8,79,2,0,19.9,19.9
17,12841,Andy Dalton,CIN,QB,8,WAS,284,1,1,21,1,0,0,0,1,19.5,19.46
18,15126,Theo Riddick,DET,RB,8,HOU,0,0,0,56,0,8,77,1,0,19.3,19.3
19,13124,DeMarco Murray,TEN,RB,8,JAX,0,0,0,123,1,1,5,0,0,18.8,18.8
19,16762,Jameis Winston,TB,QB,8,OAK,180,2,0,16,0,0,0,0,0,18.8,18.8
21,14008,Andrew Luck,IND,QB,8,KC,210,2,1,60,0,0,0,0,1,18.4,18.4
22,12831,Tyrod Taylor,BUF,QB,8,NE,183,0,0,48,1,0,0,0,0,18.1,18.12
23,16524,Devonta Freeman,ATL,RB,8,GB,0,0,0,35,1,4,23,1,0,17.8,17.8
24,11270,Dez Bryant,DAL,WR,8,PHI,0,0,0,0,0,4,113,1,0,17.3,17.3
25,10974,Rob Gronkowski,NE,TE,8,BUF,0,0,0,0,0,5,109,1,0,16.9,16.9
