Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,13320,Cam Newton,CAR,QB,2,SF,353,4,1,37,0,0,0,0,1,29.8,29.82
2,2699,Matt Forte,NYJ,RB,2,BUF,0,0,0,100,3,2,9,0,0,28.9,28.9
3,732,Matt Ryan,ATL,QB,2,OAK,396,3,1,0,0,0,0,0,0,27.8,27.84
4,16311,Derek Carr,OAK,QB,2,ATL,299,3,0,10,0,0,0,0,0,25,24.96
5,12831,Tyrod Taylor,BUF,QB,2,NYJ,297,3,1,25,0,0,0,0,0,24.4,24.38
6,16906,Stefon Diggs,MIN,WR,2,GB,0,0,0,0,0,9,182,1,0,24.2,24.2
7,2428,Carson Palmer,ARI,QB,2,TB,304,3,0,0,0,0,0,0,0,24.2,24.16
8,8244,Philip Rivers,LAC,QB,2,JAX,220,4,0,10,0,0,0,0,1,23.8,23.8
9,13887,Travis Benjamin,LAC,WR,2,JAX,0,0,0,-1,0,6,115,2,0,23.4,23.4
10,13799,Ryan Tannehill,MIA,QB,2,NE,387,2,2,35,0,0,0,0,0,23,22.98
11,16550,Kelvin Benjamin,CAR,WR,2,SF,0,0,0,0,0,7,108,2,0,22.8,22.8
12,17938,Corey Coleman,CLE,WR,2,BAL,0,0,0,0,0,5,104,2,0,22.4,22.4
13,16041,Jimmy Garoppolo,NE,QB,2,MIA,232,3,0,0,0,0,0,0,0,21.3,21.28
14,8283,Ryan Fitzpatrick,NYJ,QB,2,BUF,374,1,0,21,0,0,0,0,0,21.1,21.06
15,16127,Isaiah Crowell,CLE,RB,2,BAL,0,0,0,133,1,1,15,0,0,20.8,20.8
16,12982,Blaine Gabbert,SF,QB,2,CAR,243,2,2,10,1,0,0,0,0,20.7,20.72
17,3807,Ben Roethlisberger,PIT,QB,2,CIN,259,3,2,14,0,0,0,0,0,19.8,19.76
18,12841,Andy Dalton,CIN,QB,2,PIT,366,1,0,7,0,0,0,0,0,19.3,19.34
19,7580,DeAngelo Williams,PIT,RB,2,CIN,0,0,0,94,0,4,38,1,0,19.2,19.2
20,11527,Sam Bradford,MIN,QB,2,GB,286,2,0,-3,0,0,0,0,0,19.1,19.14
21,11182,Eric Decker,NYJ,WR,2,BUF,0,0,0,0,0,6,126,1,0,18.6,18.6
22,14252,Kirk Cousins,WAS,QB,2,DAL,364,1,1,20,0,0,0,0,0,18.6,18.56
22,16245,Blake Bortles,JAX,QB,2,LAC,329,2,2,34,0,0,0,0,1,18.6,18.56
24,12296,LeGarrette Blount,NE,RB,2,MIA,0,0,0,123,1,0,0,0,0,18.3,18.3
25,18055,Dak Prescott,DAL,QB,2,WAS,292,0,0,6,1,0,0,0,0,18.3,18.28
26,1658,Greg Olsen,CAR,TE,2,SF,0,0,0,0,0,5,122,1,0,18.2,18.2
27,16776,Melvin Gordon,LAC,RB,2,JAX,0,0,0,102,1,3,18,0,0,18,18
28,2593,Aaron Rodgers,GB,QB,2,MIN,213,1,1,29,1,0,0,0,1,17.4,17.42
29,1181,Martellus Bennett,NE,TE,2,MIA,0,0,0,0,0,5,114,1,0,17.4,17.4
30,14986,DeAndre Hopkins,HOU,WR,2,KC,0,0,0,0,0,7,113,1,0,17.3,17.3
31,14865,Marquise Goodwin,BUF,WR,2,NYJ,0,0,0,0,0,2,112,1,0,17.2,17.2
32,16763,Marcus Mariota,TEN,QB,2,DET,238,2,1,11,0,0,0,0,0,16.6,16.62
33,13291,Julio Jones,ATL,WR,2,OAK,0,0,0,0,0,5,106,1,0,16.6,16.6
34,611,Joe Flacco,BAL,QB,2,CLE,302,2,2,1,0,0,0,0,0,16.2,16.18
35,8529,Mike Wallace,BAL,WR,2,CLE,0,0,0,0,0,4,41,2,0,16.1,16.1
35,15071,Latavius Murray,OAK,RB,2,ATL,0,0,0,57,1,6,44,0,0,16.1,16.1
37,14916,Giovani Bernard,CIN,RB,2,PIT,0,0,0,17,0,9,100,1,1,15.7,15.7
38,9038,Matthew Stafford,DET,QB,2,TEN,260,1,1,31,0,0,0,0,0,15.5,15.5
38,11256,Ryan Mathews,PHI,RB,2,CHI,0,0,0,32,2,1,3,0,0,15.5,15.5
40,15020,CJ Anderson,DEN,RB,2,IND,0,0,0,74,1,3,19,0,0,15.3,15.3
41,13394,Greg Salas,BUF,WR,2,NYJ,0,0,0,0,0,4,89,1,0,14.9,14.9
42,9906,Danny Amendola,NE,WR,2,MIA,0,0,0,0,0,4,48,2,1,14.8,14.8
43,7242,Drew Brees,NO,QB,2,NYG,263,1,0,0,0,0,0,0,0,14.5,14.52
44,13124,DeMarco Murray,TEN,RB,2,DET,0,0,0,89,0,7,56,0,0,14.5,14.5
45,5282,Josh McCown,CLE,QB,2,BAL,260,2,2,0,0,0,0,0,0,14.4,14.4
46,7175,Delanie Walker,TEN,TE,2,DET,0,0,0,0,0,6,83,1,0,14.3,14.3
46,16847,David Johnson,ARI,RB,2,TB,0,0,0,45,0,3,98,0,0,14.3,14.3
48,5571,Larry Fitzgerald,ARI,WR,2,TB,0,0,0,4,0,5,77,1,0,14.1,14.1
49,15509,Jaron Brown,ARI,WR,2,TB,0,0,0,0,0,2,78,1,0,13.8,13.8
50,852,Jacob Tamme,ATL,TE,2,OAK,0,0,0,0,0,5,75,1,0,13.5,13.5
50,15239,Vance McDonald,SF,TE,2,CAR,0,0,0,0,0,1,75,1,0,13.5,13.5
52,4556,Jordy Nelson,GB,WR,2,MIN,0,0,0,0,0,5,73,1,0,13.3,13.3
53,16834,Tevin Coleman,ATL,RB,2,OAK,0,0,0,46,1,2,25,0,0,13.1,13.1
54,16597,Mike Evans,TB,WR,2,ARI,0,0,0,0,0,6,70,1,0,13,13
55,17923,Ezekiel Elliott,DAL,RB,2,WAS,0,0,0,83,1,2,4,0,1,12.7,12.7
56,17920,Carson Wentz,PHI,QB,2,CHI,190,1,0,10,0,0,0,0,0,12.6,12.6
57,16856,Matt Jones,WAS,RB,2,DAL,0,0,0,61,1,1,4,0,0,12.5,12.5
58,4932,Eli Manning,NYG,QB,2,NO,368,0,0,-4,0,0,0,0,1,12.3,12.32
59,5820,Frank Gore,IND,RB,2,DEN,0,0,0,44,0,3,19,1,0,12.3,12.3
60,17048,Tyrell Williams,LAC,WR,2,JAX,0,0,0,0,0,3,61,1,0,12.1,12.1
61,13870,Marvin Jones,DET,WR,2,TEN,0,0,0,0,0,8,118,0,0,11.8,11.8
62,17961,Sterling Shepard,NYG,WR,2,NO,0,0,0,0,0,8,117,0,0,11.7,11.7
63,14536,Russell Wilson,SEA,QB,2,LAR,254,0,0,14,0,0,0,0,0,11.6,11.56
64,12830,Torrey Smith,SF,WR,2,CAR,0,0,0,0,0,3,55,1,0,11.5,11.5
64,16020,Jarvis Landry,MIA,WR,2,NE,0,0,0,0,0,10,135,0,1,11.5,11.5
66,6828,Chris Johnson,ARI,RB,2,TB,0,0,0,54,1,0,0,0,0,11.4,11.4
66,16141,Willie Snead,NO,WR,2,NYG,0,0,0,0,0,5,54,1,0,11.4,11.4
68,17009,Trevor Siemian,DEN,QB,2,IND,266,0,1,7,0,0,0,0,0,11.3,11.34
69,15616,Fozzy Whittaker,CAR,RB,2,SF,0,0,0,100,0,3,31,0,1,11.1,11.1
70,11197,Demaryius Thomas,DEN,WR,2,IND,0,0,0,0,0,5,90,0,0,11,11
70,16829,Clive Walford,OAK,TE,2,ATL,0,0,0,0,0,6,50,1,0,11,11
72,12861,Jordan Cameron,MIA,TE,2,NE,0,0,0,0,0,5,49,1,0,10.9,10.9
72,15965,Trey Burton,PHI,TE,2,CHI,0,0,0,0,0,5,49,1,0,10.9,10.9
74,11712,Anquan Boldin,DET,WR,2,TEN,0,0,0,0,0,4,48,1,0,10.8,10.8
75,16775,Devante Parker,MIA,WR,2,NE,0,0,0,0,0,8,106,0,0,10.6,10.6
76,14053,Brock Osweiler,HOU,QB,2,KC,268,1,2,-3,0,0,0,0,0,10.4,10.42
77,17916,Will Fuller,HOU,WR,2,KC,0,0,0,0,0,4,104,0,0,10.4,10.4
78,16848,Sammie Coates,PIT,WR,2,CIN,0,0,0,6,0,2,97,0,0,10.3,10.3
79,11017,Dennis Pitta,BAL,TE,2,CLE,0,0,0,0,0,9,102,0,0,10.2,10.2
79,11270,Dez Bryant,DAL,WR,2,WAS,0,0,0,0,0,7,102,0,0,10.2,10.2
81,11667,Brandon Marshall,NYJ,WR,2,BUF,0,0,0,0,0,6,101,0,0,10.1,10.1
82,14008,Andrew Luck,IND,QB,2,DEN,197,1,1,22,0,0,0,0,1,10.1,10.08
83,15694,Case Keenum,LAR,QB,2,SEA,239,0,0,5,0,0,0,0,0,10.1,10.06
84,15196,Kenny Stills,MIA,WR,2,NE,0,0,0,0,0,2,39,1,0,9.9,9.9
84,16830,Tyler Lockett,SEA,WR,2,LAR,0,0,0,0,0,4,99,0,0,9.9,9.9
84,16866,Jamison Crowder,WAS,WR,2,DAL,0,0,0,0,0,6,39,1,0,9.9,9.9
