Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,16776,Melvin Gordon,LAC,RB,7,ATL,0,0,0,68,2,6,53,1,0,30.1,30.1
2,14008,Andrew Luck,IND,QB,7,TEN,353,3,0,17,0,0,0,0,0,27.8,27.82
3,16909,Jay Ajayi,MIA,RB,7,BUF,0,0,0,214,1,1,2,0,0,27.6,27.6
4,2699,Matt Forte,NYJ,RB,7,BAL,0,0,0,100,1,4,54,1,1,25.4,25.4
4,12296,LeGarrette Blount,NE,RB,7,PIT,0,0,0,127,2,1,7,0,0,25.4,25.4
6,16112,Jeremy Hill,CIN,RB,7,CLE,0,0,0,168,1,2,24,0,0,25.2,25.2
6,16470,Davante Adams,GB,WR,7,CHI,0,0,0,0,0,13,132,2,0,25.2,25.2
8,7242,Drew Brees,NO,QB,7,KC,367,3,1,0,0,0,0,0,0,24.7,24.68
9,12831,Tyrod Taylor,BUF,QB,7,MIA,221,1,0,35,1,0,0,0,0,24.3,24.34
10,2593,Aaron Rodgers,GB,QB,7,CHI,326,3,0,7,0,0,0,0,1,23.7,23.74
11,12845,AJ Green,CIN,WR,7,CLE,0,0,0,0,0,8,169,1,0,22.9,22.9
12,16597,Mike Evans,TB,WR,7,SF,0,0,0,0,0,8,96,2,0,21.6,21.6
13,14252,Kirk Cousins,WAS,QB,7,DET,301,1,0,15,1,0,0,0,1,21.5,21.54
14,16762,Jameis Winston,TB,QB,7,SF,269,3,1,-1,0,0,0,0,0,20.7,20.66
15,12841,Andy Dalton,CIN,QB,7,CLE,308,2,0,0,0,0,0,0,0,20.3,20.32
16,14005,T.Y. Hilton,IND,WR,7,TEN,0,0,0,0,0,7,133,1,0,19.3,19.3
17,15261,Spencer Ware,KC,RB,7,NO,0,0,0,77,0,2,54,1,0,19.1,19.1
18,13124,DeMarco Murray,TEN,RB,7,IND,0,0,0,107,1,3,20,0,0,18.7,18.7
19,15071,Latavius Murray,OAK,RB,7,JAX,0,0,0,59,2,2,4,0,0,18.3,18.3
20,4314,Tom Brady,NE,QB,7,PIT,222,2,0,13,0,0,0,0,0,18.2,18.18
21,9038,Matthew Stafford,DET,QB,7,WAS,266,1,0,32,0,0,0,0,0,17.8,17.84
22,13227,Randall Cobb,GB,WR,7,CHI,0,0,0,21,0,11,95,1,0,17.6,17.6
23,13291,Julio Jones,ATL,WR,7,LAC,0,0,0,0,0,9,174,0,0,17.4,17.4
24,6739,Alex Smith,KC,QB,7,NO,214,2,0,7,0,0,0,0,0,17.3,17.26
25,16847,David Johnson,ARI,RB,7,SEA,0,0,0,113,0,8,58,0,0,17.1,17.1
26,15020,CJ Anderson,DEN,RB,7,HOU,0,0,0,107,1,0,0,0,0,16.7,16.7
27,16763,Marcus Mariota,TEN,QB,7,IND,232,2,0,14,0,0,0,0,1,16.7,16.68
28,18079,Kevin Hogan,CLE,QB,7,CIN,100,0,2,104,1,0,0,0,0,16.4,16.4
29,13299,Jacquizz Rodgers,TB,RB,7,SF,0,0,0,154,0,1,9,0,0,16.3,16.3
30,13799,Ryan Tannehill,MIA,QB,7,BUF,204,1,0,21,0,0,0,0,0,16.3,16.26
31,15196,Kenny Stills,MIA,WR,7,BUF,0,0,0,0,0,5,100,1,0,16,16
32,9331,Michael Crabtree,OAK,WR,7,JAX,0,0,0,0,0,8,96,1,0,15.6,15.6
33,10974,Rob Gronkowski,NE,TE,7,PIT,0,0,0,0,0,4,93,1,0,15.3,15.3
33,14865,Marquise Goodwin,BUF,WR,7,MIA,0,0,0,0,0,4,93,1,0,15.3,15.3
35,14967,Le'Veon Bell,PIT,RB,7,NE,0,0,0,81,0,10,68,0,0,14.9,14.9
36,14916,Giovani Bernard,CIN,RB,7,CLE,0,0,0,80,1,1,7,0,0,14.7,14.7
36,17970,Devontae Booker,DEN,RB,7,HOU,0,0,0,83,1,1,4,0,0,14.7,14.7
38,8244,Philip Rivers,LAC,QB,7,ATL,371,1,1,-2,0,0,0,0,1,14.6,14.64
39,2428,Carson Palmer,ARI,QB,7,SEA,342,0,0,8,0,0,0,0,0,14.5,14.48
40,7175,Delanie Walker,TEN,TE,7,IND,0,0,0,0,0,7,84,1,0,14.4,14.4
40,18375,Peyton Barber,TB,RB,7,SF,0,0,0,84,1,0,0,0,0,14.4,14.4
42,5820,Frank Gore,IND,RB,7,TEN,0,0,0,61,0,5,22,1,0,14.3,14.3
42,11463,Brandon LaFell,CIN,WR,7,CLE,0,0,0,0,0,4,83,1,0,14.3,14.3
44,13443,Colin Kaepernick,SF,QB,7,TB,143,1,1,84,0,0,0,0,1,14.1,14.12
45,17048,Tyrell Williams,LAC,WR,7,ATL,0,0,0,0,0,7,140,0,0,14,14
46,16127,Isaiah Crowell,CLE,RB,7,CIN,0,0,0,63,1,3,16,0,0,13.9,13.9
47,15602,Jack Doyle,IND,TE,7,TEN,0,0,0,0,0,9,78,1,0,13.8,13.8
48,732,Matt Ryan,ATL,QB,7,LAC,273,1,1,8,0,0,0,0,0,13.7,13.72
49,14850,Russell Shepard,TB,WR,7,SF,0,0,0,0,0,5,77,1,0,13.7,13.7
50,16834,Tevin Coleman,ATL,RB,7,LAC,0,0,0,64,1,1,10,0,0,13.4,13.4
51,16063,Quincy Enunwa,NYJ,WR,7,BAL,0,0,0,0,0,2,73,1,0,13.3,13.3
52,14971,Landry Jones,PIT,QB,7,NE,281,1,1,0,0,0,0,0,0,13.2,13.24
53,16245,Blake Bortles,JAX,QB,7,OAK,246,1,2,33,0,0,0,0,0,13.1,13.14
54,17960,Michael Thomas,NO,WR,7,KC,0,0,0,0,0,10,130,0,0,13,13
55,15150,Cordarrelle Patterson,MIN,WR,7,PHI,0,0,0,0,0,7,67,1,0,12.7,12.7
55,15215,Tavon Austin,LAR,WR,7,NYG,0,0,0,10,0,10,57,1,0,12.7,12.7
57,16855,Ty Montgomery,GB,RB,7,CHI,0,0,0,60,0,10,66,0,0,12.6,12.6
58,16311,Derek Carr,OAK,QB,7,JAX,200,1,0,4,0,0,0,0,0,12.4,12.4
59,13337,Mark Ingram,NO,RB,7,KC,0,0,0,62,0,4,20,1,1,12.2,12.2
60,18082,Tyreek Hill,KC,WR,7,NO,0,0,0,23,0,1,38,1,0,12.1,12.1
61,8529,Mike Wallace,BAL,WR,7,NYJ,0,0,0,0,0,10,120,0,0,12,12
62,11056,Antonio Brown,PIT,WR,7,NE,0,0,0,13,0,7,106,0,0,11.9,11.9
63,16568,Brandin Cooks,NO,WR,7,KC,0,0,0,0,0,7,58,1,0,11.8,11.8
64,13158,Shaun Draughn,SF,RB,7,TB,0,0,0,16,0,5,37,1,0,11.3,11.3
64,15102,Chris Thompson,WAS,RB,7,DET,0,0,0,73,0,7,40,0,0,11.3,11.3
66,8649,Rashad Jennings,NYG,RB,7,LAR,0,0,0,25,1,2,24,0,0,10.9,10.9
67,16866,Jamison Crowder,WAS,WR,7,DET,0,0,0,0,0,7,108,0,0,10.8,10.8
68,16258,Marqise Lee,JAX,WR,7,OAK,0,0,0,0,0,7,107,0,0,10.7,10.7
69,17009,Trevor Siemian,DEN,QB,7,HOU,157,1,0,-1,0,0,0,0,0,10.2,10.18
