Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,14008,Andrew Luck,IND,QB,1,DET,385,4,0,21,0,0,0,0,0,35.5,35.5
2,7242,Drew Brees,NO,QB,1,OAK,423,4,0,5,0,0,0,0,1,31.4,31.42
3,7580,DeAngelo Williams,PIT,RB,1,WAS,0,0,0,143,2,6,28,0,0,29.1,29.1
4,6739,Alex Smith,KC,QB,1,LAC,363,2,1,15,1,0,0,0,0,28,28.02
5,16568,Brandin Cooks,NO,WR,1,OAK,0,0,0,11,0,6,143,2,0,27.4,27.4
6,9038,Matthew Stafford,DET,QB,1,IND,340,3,0,5,0,0,0,0,0,26.1,26.1
7,15020,CJ Anderson,DEN,RB,1,CAR,0,0,0,92,1,4,47,1,0,25.9,25.9
7,15261,Spencer Ware,KC,RB,1,LAC,0,0,0,70,1,7,129,0,0,25.9,25.9
9,16762,Jameis Winston,TB,QB,1,ATL,281,4,1,3,0,0,0,0,0,25.5,25.54
10,11056,Antonio Brown,PIT,WR,1,WAS,0,0,0,0,0,8,126,2,0,24.6,24.6
11,732,Matt Ryan,ATL,QB,1,TB,334,2,0,10,0,0,0,0,0,24.4,24.36
12,12845,AJ Green,CIN,WR,1,NYJ,0,0,0,0,0,12,180,1,0,24,24
13,2593,Aaron Rodgers,GB,QB,1,JAX,199,2,0,16,1,0,0,0,0,23.6,23.56
14,16141,Willie Snead,NO,WR,1,OAK,0,0,0,0,0,9,172,1,0,23.2,23.2
15,15126,Theo Riddick,DET,RB,1,IND,0,0,0,45,1,5,63,1,0,22.8,22.8
16,16311,Derek Carr,OAK,QB,1,NO,319,1,0,16,0,0,0,0,0,22.4,22.36
17,3807,Ben Roethlisberger,PIT,QB,1,WAS,300,3,1,-2,0,0,0,0,0,21.8,21.8
18,16668,Carlos Hyde,SF,RB,1,LAR,0,0,0,88,2,2,5,0,0,21.3,21.3
19,13320,Cam Newton,CAR,QB,1,DEN,194,1,1,54,1,0,0,0,0,21.2,21.16
20,5571,Larry Fitzgerald,ARI,WR,1,NE,0,0,0,0,0,8,81,2,0,20.1,20.1
21,17920,Carson Wentz,PHI,QB,1,CLE,278,2,0,1,0,0,0,0,0,19.2,19.22
22,16847,David Johnson,ARI,RB,1,NE,0,0,0,89,1,4,43,0,0,19.2,19.2
23,2428,Carson Palmer,ARI,QB,1,NE,271,2,0,1,0,0,0,0,0,18.9,18.94
24,4932,Eli Manning,NYG,QB,1,DAL,207,3,1,0,0,0,0,0,0,18.3,18.28
25,12317,Danny Woodhead,LAC,RB,1,KC,0,0,0,89,0,5,31,1,0,18,18
25,16815,Ameer Abdullah,DET,RB,1,IND,0,0,0,63,0,5,57,1,0,18,18
27,13124,DeMarco Murray,TEN,RB,1,MIN,0,0,0,42,0,5,35,2,1,17.7,17.7
27,16776,Melvin Gordon,LAC,RB,1,KC,0,0,0,57,2,0,0,0,0,17.7,17.7
29,15974,Jordan Matthews,PHI,WR,1,CLE,0,0,0,1,0,7,114,1,0,17.5,17.5
30,12841,Andy Dalton,CIN,QB,1,NYJ,366,1,1,7,0,0,0,0,0,17.3,17.34
31,16763,Marcus Mariota,TEN,QB,1,MIN,271,2,1,19,0,0,0,0,1,16.7,16.74
32,17916,Will Fuller,HOU,WR,1,CHI,0,0,0,0,0,5,107,1,0,16.7,16.7
33,14053,Brock Osweiler,HOU,QB,1,CHI,231,2,1,14,0,0,0,0,0,16.6,16.64
34,8529,Mike Wallace,BAL,WR,1,BUF,0,0,0,11,0,3,91,1,0,16.2,16.2
35,13878,Mohamed Sanu,ATL,WR,1,TB,0,0,0,0,0,5,80,1,0,16,16
36,16597,Mike Evans,TB,WR,1,ATL,0,0,0,0,0,5,99,1,0,15.9,15.9
37,16765,Amari Cooper,OAK,WR,1,NO,0,0,0,0,0,6,137,0,0,15.7,15.7
38,2699,Matt Forte,NYJ,RB,1,CIN,0,0,0,96,0,5,59,0,0,15.5,15.5
38,15602,Jack Doyle,IND,TE,1,DET,0,0,0,0,0,3,35,2,0,15.5,15.5
38,18690,Jalen Richard,OAK,RB,1,NO,0,0,0,84,1,2,11,0,0,15.5,15.5
41,13460,Doug Baldwin,SEA,WR,1,MIA,0,0,0,0,0,9,92,1,0,15.2,15.2
42,13799,Ryan Tannehill,MIA,QB,1,SEA,186,0,0,17,1,0,0,0,0,15.1,15.14
43,16550,Kelvin Benjamin,CAR,WR,1,DEN,0,0,0,0,0,6,91,1,0,15.1,15.1
44,8283,Ryan Fitzpatrick,NYJ,QB,1,CIN,189,2,1,15,0,0,0,0,0,15.1,15.06
45,16245,Blake Bortles,JAX,QB,1,GB,320,1,1,2,0,0,0,0,0,15,15
46,8244,Philip Rivers,LAC,QB,1,KC,243,1,0,9,0,0,0,0,0,14.6,14.62
47,16041,Jimmy Garoppolo,NE,QB,1,ARI,264,1,0,12,0,1,3,0,1,14.1,14.06
48,16127,Isaiah Crowell,CLE,RB,1,PHI,0,0,0,62,1,2,16,0,0,13.8,13.8
49,11256,Ryan Mathews,PHI,RB,1,CLE,0,0,0,77,1,0,0,0,0,13.7,13.7
50,12982,Blaine Gabbert,SF,QB,1,LAR,170,1,0,43,0,1,-16,0,0,13.5,13.5
51,13987,Dwayne Allen,IND,TE,1,DET,0,0,0,0,0,4,53,1,0,13.3,13.3
52,15071,Latavius Murray,OAK,RB,1,NO,0,0,0,59,1,1,13,0,0,13.2,13.2
53,11932,LeSean McCoy,BUF,RB,1,BAL,0,0,0,58,1,4,12,0,0,13,13
54,16797,TJ Yeldon,JAX,RB,1,GB,0,0,0,39,1,4,30,0,0,12.9,12.9
55,13291,Julio Jones,ATL,WR,1,TB,0,0,0,0,0,4,66,1,0,12.6,12.6
56,13027,Julius Thomas,JAX,TE,1,GB,0,0,0,0,0,5,64,1,0,12.4,12.4
56,16232,Donte Moncrief,IND,WR,1,DET,0,0,0,0,0,6,64,1,0,12.4,12.4
58,16063,Quincy Enunwa,NYJ,WR,1,CIN,0,0,0,9,0,7,54,1,0,12.3,12.3
58,16867,Jeremy Langford,CHI,RB,1,HOU,0,0,0,57,1,2,6,0,0,12.3,12.3
60,8914,Jeremy Maclin,KC,WR,1,LAC,0,0,0,-1,0,5,63,1,0,12.2,12.2
61,611,Joe Flacco,BAL,QB,1,BUF,258,1,0,-3,0,0,0,0,1,12,12.02
62,14828,Chris Hogan,NE,WR,1,ARI,0,0,0,0,0,3,60,1,0,12,12
63,14536,Russell Wilson,SEA,QB,1,MIA,258,1,1,16,0,0,0,0,1,11.9,11.92
64,17480,Eli Rogers,PIT,WR,1,WAS,0,0,0,0,0,6,59,1,0,11.9,11.9
65,8972,Jay Cutler,CHI,QB,1,HOU,216,1,1,12,0,0,0,0,0,11.8,11.84
