Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,16909,Jay Ajayi,MIA,RB,6,PIT,0,0,0,204,2,1,3,0,0,32.7,32.7
2,7242,Drew Brees,NO,QB,6,CAR,465,4,1,0,0,0,0,0,0,32.6,32.6
3,11932,LeSean McCoy,BUF,RB,6,SF,0,0,0,140,3,2,2,0,0,32.2,32.2
3,16389,Odell Beckham Jr,NYG,WR,6,BAL,0,0,0,0,0,8,222,2,1,32.2,32.2
5,16847,David Johnson,ARI,RB,6,NYJ,0,0,0,111,3,3,27,0,0,31.8,31.8
6,13791,Lamar Miller,HOU,RB,6,IND,0,0,0,149,1,3,29,1,0,29.8,29.8
7,15694,Case Keenum,LAR,QB,6,DET,321,3,1,7,1,0,0,0,0,29.5,29.54
8,9038,Matthew Stafford,DET,QB,6,LAR,270,4,0,14,0,0,0,0,0,28.2,28.2
9,16763,Marcus Mariota,TEN,QB,6,CLE,284,3,1,64,0,0,0,0,0,27.8,27.76
10,4314,Tom Brady,NE,QB,6,CIN,376,3,0,2,0,0,0,0,0,27.2,27.24
11,13320,Cam Newton,CAR,QB,6,NO,322,2,1,1,1,0,0,0,0,27,26.98
12,8532,Kenny Britt,LAR,WR,6,DET,0,0,0,0,0,7,136,2,0,25.6,25.6
13,16142,Terrance West,BAL,RB,6,NYG,0,0,0,87,2,4,36,0,0,24.3,24.3
14,4932,Eli Manning,NYG,QB,6,BAL,403,3,2,0,0,0,0,0,0,24.1,24.12
15,16568,Brandin Cooks,NO,WR,6,CAR,0,0,0,2,0,7,173,1,0,23.5,23.5
16,14008,Andrew Luck,IND,QB,6,HOU,252,1,1,53,1,0,0,0,0,23.4,23.38
17,11611,Golden Tate,DET,WR,6,LAR,0,0,0,3,0,8,165,1,0,22.8,22.8
18,15261,Spencer Ware,KC,RB,6,OAK,0,0,0,131,1,2,32,0,0,22.3,22.3
19,10974,Rob Gronkowski,NE,TE,6,CIN,0,0,0,0,0,7,162,1,0,22.2,22.2
20,12841,Andy Dalton,CIN,QB,6,NE,254,1,0,17,1,0,0,0,0,21.9,21.86
21,17966,Cody Kessler,CLE,QB,6,TEN,336,2,0,3,0,0,0,0,0,21.7,21.74
22,732,Matt Ryan,ATL,QB,6,SEA,335,3,1,2,0,0,0,0,1,21.6,21.6
23,5451,Jonathan Stewart,CAR,RB,6,NO,0,0,0,85,2,0,0,0,0,20.5,20.5
24,15256,Christine Michael,SEA,RB,6,ATL,0,0,0,64,2,3,19,0,0,20.3,20.3
25,12831,Tyrod Taylor,BUF,QB,6,SF,179,2,0,68,0,0,0,0,1,20,19.96
26,13291,Julio Jones,ATL,WR,6,SEA,0,0,0,0,0,7,139,1,0,19.9,19.9
27,13693,Terrelle Pryor,CLE,WR,6,TEN,1,0,0,3,0,9,75,2,0,19.8,19.84
28,13997,Coby Fleener,NO,TE,6,CAR,0,0,0,2,1,6,74,1,0,19.6,19.6
29,16856,Matt Jones,WAS,RB,6,PHI,0,0,0,135,1,0,0,0,0,19.5,19.5
30,13957,Kendall Wright,TEN,WR,6,CLE,0,0,0,0,0,8,133,1,0,19.3,19.3
31,16056,James White,NE,RB,6,CIN,0,0,0,19,0,8,47,2,0,18.6,18.6
32,18055,Dak Prescott,DAL,QB,6,GB,247,3,1,6,0,0,0,0,1,18.5,18.48
33,13443,Colin Kaepernick,SF,QB,6,BUF,187,1,0,66,0,0,0,0,0,18.1,18.08
34,14141,Cole Beasley,DAL,WR,6,GB,0,0,0,0,0,6,58,2,0,17.8,17.8
35,17923,Ezekiel Elliott,DAL,RB,6,GB,0,0,0,157,0,2,17,0,0,17.4,17.4
36,14252,Kirk Cousins,WAS,QB,6,PHI,263,2,1,8,0,0,0,0,0,17.3,17.32
37,14053,Brock Osweiler,HOU,QB,6,IND,269,2,1,-4,0,0,0,0,0,16.4,16.36
38,16200,CJ Fiedorowicz,HOU,TE,6,IND,0,0,0,0,0,6,85,1,0,14.5,14.5
39,17975,Hunter Henry,LAC,TE,6,DEN,0,0,0,0,0,6,83,1,0,14.3,14.3
40,17960,Michael Thomas,NO,WR,6,CAR,0,0,0,0,0,5,78,1,0,13.8,13.8
41,12830,Torrey Smith,SF,WR,6,BUF,0,0,0,0,0,3,76,1,0,13.6,13.6
42,12787,Nick Bellore,SF,RB,6,BUF,0,0,0,0,0,0,0,0,0,13.5,13.5
43,16838,Duke Johnson,CLE,RB,6,TEN,0,0,0,18,1,4,56,0,0,13.4,13.4
44,17009,Trevor Siemian,DEN,QB,6,LAC,230,1,0,1,0,0,0,0,0,13.3,13.3
45,12296,LeGarrette Blount,NE,RB,6,CIN,0,0,0,50,1,2,20,0,0,13,13
45,13788,Rishard Matthews,TEN,WR,6,CLE,0,0,0,0,0,3,70,1,0,13,13
47,15378,Levine Toilolo,ATL,TE,6,SEA,0,0,0,0,0,3,69,1,0,12.9,12.9
47,16765,Amari Cooper,OAK,WR,6,KC,0,0,0,0,0,10,129,0,0,12.9,12.9
49,14967,Le'Veon Bell,PIT,RB,6,MIA,0,0,0,53,0,6,55,0,0,12.8,12.8
50,13124,DeMarco Murray,TEN,RB,6,CLE,0,0,0,65,1,0,0,0,0,12.5,12.5
51,2593,Aaron Rodgers,GB,QB,6,DAL,294,1,1,7,0,0,0,0,1,12.5,12.46
52,2428,Carson Palmer,ARI,QB,6,NYJ,213,1,0,-1,0,0,0,0,0,12.4,12.42
53,611,Joe Flacco,BAL,QB,6,NYG,307,0,0,0,0,0,0,0,0,12.3,12.28
54,8358,Brian Hoyer,CHI,QB,6,JAX,302,0,0,0,0,0,0,0,0,12.1,12.08
55,8771,Darrius Heyward-Bey,PIT,WR,6,MIA,0,0,0,60,1,0,0,0,0,12,12
55,11712,Anquan Boldin,DET,WR,6,LAR,0,0,0,0,0,8,60,1,0,12,12
55,14872,Mike Gillislee,BUF,RB,6,SF,0,0,0,60,1,0,0,0,0,12,12
58,14536,Russell Wilson,SEA,QB,6,ATL,270,0,0,7,0,0,0,0,0,11.5,11.5
59,13227,Randall Cobb,GB,WR,6,DAL,0,0,0,0,0,7,53,1,0,11.3,11.3
59,15602,Jack Doyle,IND,TE,6,HOU,0,0,0,0,0,4,53,1,0,11.3,11.3
59,17167,Cameron Meredith,CHI,WR,6,JAX,0,0,0,0,0,11,113,0,0,11.3,11.3
62,8244,Philip Rivers,LAC,QB,6,DEN,178,1,0,0,0,0,0,0,0,11.1,11.12
63,11501,Arrelious Benn,JAX,WR,6,CHI,0,0,0,0,0,1,51,1,0,11.1,11.1
64,5084,Vernon Davis,WAS,TE,6,PHI,0,0,0,0,0,2,50,1,0,11,11
64,14871,Robert Woods,BUF,WR,6,SF,0,0,0,6,0,5,44,1,0,11,11
66,16245,Blake Bortles,JAX,QB,6,CHI,271,1,1,1,0,0,0,0,1,10.9,10.94
67,5820,Frank Gore,IND,RB,6,HOU,0,0,0,106,0,1,2,0,0,10.8,10.8
67,16802,Devin Funchess,CAR,WR,6,NO,0,0,0,0,0,2,28,1,0,10.8,10.8
