Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,16763,Marcus Mariota,TEN,QB,5,MIA,163,3,0,60,1,0,0,0,0,30.5,30.52
2,16847,David Johnson,ARI,RB,5,SF,0,0,0,157,2,3,28,0,0,30.5,30.5
3,4314,Tom Brady,NE,QB,5,CLE,406,3,0,14,0,0,0,0,0,29.6,29.64
4,3807,Ben Roethlisberger,PIT,QB,5,NYJ,380,4,0,0,0,0,0,0,1,29.2,29.2
5,17923,Ezekiel Elliott,DAL,RB,5,CIN,0,0,0,134,2,3,37,0,0,29.1,29.1
6,8244,Philip Rivers,LAC,QB,5,OAK,359,4,2,0,0,0,0,0,0,26.4,26.36
7,16848,Sammie Coates,PIT,WR,5,NYJ,0,0,0,0,0,6,139,2,0,25.9,25.9
8,1181,Martellus Bennett,NE,TE,5,CLE,0,0,0,0,0,6,67,3,0,24.7,24.7
9,8358,Brian Hoyer,CHI,QB,5,IND,397,2,0,-1,0,0,0,0,0,23.8,23.78
10,14005,T.Y. Hilton,IND,WR,5,CHI,0,0,0,0,0,10,171,1,0,23.1,23.1
11,16834,Tevin Coleman,ATL,RB,5,DEN,0,0,0,31,0,4,132,1,0,22.3,22.3
11,18067,Jordan Howard,CHI,RB,5,IND,0,0,0,118,0,3,45,1,0,22.3,22.3
13,14008,Andrew Luck,IND,QB,5,CHI,322,2,0,13,0,0,0,0,0,22.2,22.18
14,12841,Andy Dalton,CIN,QB,5,DAL,269,2,0,34,0,0,0,0,0,22.2,22.16
15,16311,Derek Carr,OAK,QB,5,LAC,317,2,1,13,0,0,0,0,0,22,21.98
16,16765,Amari Cooper,OAK,WR,5,LAC,0,0,0,0,0,6,138,1,0,21.8,21.8
17,16934,Cameron Artis-Payne,CAR,RB,5,TB,0,0,0,85,2,0,0,0,0,20.5,20.5
18,15126,Theo Riddick,DET,RB,5,PHI,0,0,0,49,0,6,33,2,0,20.2,20.2
19,5571,Larry Fitzgerald,ARI,WR,5,SF,0,0,0,0,0,6,81,2,0,20.1,20.1
20,12982,Blaine Gabbert,SF,QB,5,ARI,162,1,2,70,1,0,0,0,0,19.5,19.48
21,9038,Matthew Stafford,DET,QB,5,PHI,180,3,0,16,0,0,0,0,1,18.8,18.8
21,11463,Brandon LaFell,CIN,WR,5,DAL,0,0,0,0,0,8,68,2,0,18.8,18.8
23,15534,Adam Thielen,MIN,WR,5,HOU,0,0,0,0,0,7,127,1,0,18.7,18.7
24,11527,Sam Bradford,MIN,QB,5,HOU,271,2,0,-2,0,0,0,0,0,18.6,18.64
25,16524,Devonta Freeman,ATL,RB,5,DEN,0,0,0,88,1,3,35,0,0,18.3,18.3
26,1658,Greg Olsen,CAR,TE,5,TB,0,0,0,0,0,9,181,0,0,18.1,18.1
27,17048,Tyrell Williams,LAC,WR,5,OAK,0,0,0,0,0,5,117,1,0,17.7,17.7
28,17167,Cameron Meredith,CHI,WR,5,IND,0,0,0,6,0,9,130,1,1,17.6,17.6
29,18055,Dak Prescott,DAL,QB,5,CIN,227,1,0,4,1,0,0,0,1,17.5,17.48
30,11667,Brandon Marshall,NYJ,WR,5,PIT,0,0,0,0,0,8,114,1,0,17.4,17.4
30,16668,Carlos Hyde,SF,RB,5,ARI,0,0,0,78,1,6,36,0,0,17.4,17.4
32,17920,Carson Wentz,PHI,QB,5,DET,238,2,1,14,0,0,0,0,0,16.9,16.92
33,12794,Jeremy Kerley,SF,WR,5,ARI,0,0,0,0,0,8,102,1,0,16.2,16.2
34,13255,Matt Asiata,MIN,RB,5,HOU,0,0,0,55,1,3,46,0,0,16.1,16.1
35,2593,Aaron Rodgers,GB,QB,5,NYG,259,2,2,15,0,0,0,0,0,15.9,15.86
36,11932,LeSean McCoy,BUF,RB,5,LAR,0,0,0,150,0,2,8,0,0,15.8,15.8
37,12831,Tyrod Taylor,BUF,QB,5,LAR,124,2,0,28,0,0,0,0,0,15.8,15.76
38,14967,Le'Veon Bell,PIT,RB,5,NYJ,0,0,0,66,0,9,88,0,0,15.4,15.4
39,16762,Jameis Winston,TB,QB,5,CAR,219,1,0,6,0,0,0,0,0,15.4,15.36
40,8283,Ryan Fitzpatrick,NYJ,QB,5,PIT,255,1,0,9,0,0,0,0,0,15.1,15.1
41,732,Matt Ryan,ATL,QB,5,DEN,267,1,0,3,0,0,0,0,0,15,14.98
42,16597,Mike Evans,TB,WR,5,CAR,0,0,0,0,0,6,89,1,0,14.9,14.9
43,16771,Todd Gurley,LAR,RB,5,BUF,0,0,0,72,1,3,36,0,1,14.8,14.8
44,16470,Davante Adams,GB,WR,5,NYG,0,0,0,0,0,5,85,1,0,14.5,14.5
45,11056,Antonio Brown,PIT,WR,5,NYJ,0,0,0,0,0,9,78,1,0,13.8,13.8
46,13124,DeMarco Murray,TEN,RB,5,MIA,0,0,0,121,0,5,16,0,0,13.7,13.7
47,12787,Nick Bellore,SF,RB,5,ARI,0,0,0,0,0,0,0,0,0,13.4,13.4
47,17975,Hunter Henry,LAC,TE,5,OAK,0,0,0,0,0,3,74,1,0,13.4,13.4
