Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,17923,Ezekiel Elliott,DAL,RB,10,PIT,0,0,0,114,2,2,95,1,0,38.9,38.9
2,3807,Ben Roethlisberger,PIT,QB,10,DAL,408,3,0,1,0,0,0,0,0,28.4,28.42
3,11256,Ryan Mathews,PHI,RB,10,ATL,0,0,0,109,2,2,30,0,0,27.9,27.9
4,16763,Marcus Mariota,TEN,QB,10,GB,295,4,0,0,0,0,0,0,0,27.8,27.8
5,2593,Aaron Rodgers,GB,QB,10,TEN,371,2,2,27,1,0,0,0,0,27.5,27.54
6,14536,Russell Wilson,SEA,QB,10,NE,348,3,0,6,0,0,0,0,0,26.5,26.52
7,13124,DeMarco Murray,TEN,RB,10,GB,10,1,0,123,1,2,33,0,0,26,26
8,14967,Le'Veon Bell,PIT,RB,10,DAL,0,0,0,57,1,9,77,1,0,25.4,25.4
9,12296,LeGarrette Blount,NE,RB,10,SEA,0,0,0,69,3,0,0,0,0,24.9,24.9
10,13443,Colin Kaepernick,SF,QB,10,ARI,210,1,0,55,1,0,0,0,0,23.9,23.9
10,13460,Doug Baldwin,SEA,WR,10,NE,0,0,0,0,0,6,59,3,0,23.9,23.9
12,13320,Cam Newton,CAR,QB,10,KC,261,1,1,54,1,0,0,0,0,23.8,23.84
13,611,Joe Flacco,BAL,QB,10,CLE,296,3,2,3,0,0,0,0,0,22.1,22.14
14,16847,David Johnson,ARI,RB,10,SF,0,0,0,55,1,5,46,1,0,22.1,22.1
15,7242,Drew Brees,NO,QB,10,DEN,303,3,2,9,0,0,0,0,0,21,21.02
16,11056,Antonio Brown,PIT,WR,10,DAL,0,0,0,-10,0,14,154,1,0,20.4,20.4
17,13799,Ryan Tannehill,MIA,QB,10,LAC,240,2,0,16,0,0,0,0,0,19.2,19.2
18,18055,Dak Prescott,DAL,QB,10,PIT,319,2,0,0,0,0,0,0,1,18.8,18.76
19,16263,Allen Robinson,JAX,WR,10,HOU,0,0,0,0,0,9,107,1,0,18.7,18.7
20,4556,Jordy Nelson,GB,WR,10,TEN,0,0,0,0,0,12,126,1,0,18.6,18.6
21,17048,Tyrell Williams,LAC,WR,10,MIA,0,0,0,0,0,5,125,1,0,18.5,18.5
22,16762,Jameis Winston,TB,QB,10,CHI,312,2,1,0,0,0,0,0,0,18.5,18.48
23,7175,Delanie Walker,TEN,TE,10,GB,0,0,0,0,0,9,124,1,0,18.4,18.4
24,14252,Kirk Cousins,WAS,QB,10,MIN,262,2,0,-1,0,0,0,0,0,18.4,18.38
25,11527,Sam Bradford,MIN,QB,10,WAS,307,2,1,0,0,0,0,0,0,18.3,18.28
26,4932,Eli Manning,NYG,QB,10,CIN,240,3,2,4,0,0,0,0,0,18,18
27,16245,Blake Bortles,JAX,QB,10,HOU,265,2,1,11,0,0,0,0,1,17.7,17.7
28,11270,Dez Bryant,DAL,WR,10,PIT,0,0,0,0,0,6,116,1,0,17.6,17.6
29,8244,Philip Rivers,LAC,QB,10,MIA,326,3,4,0,0,0,0,0,0,17,17.04
