Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,2593,Aaron Rodgers,GB,QB,16,MIN,347,4,0,13,1,0,0,0,0,37.2,37.18
2,14536,Russell Wilson,SEA,QB,16,ARI,350,4,0,36,0,0,0,0,1,33.6,33.6
3,15534,Adam Thielen,MIN,WR,16,GB,0,0,0,4,0,12,202,2,0,32.6,32.6
4,12831,Tyrod Taylor,BUF,QB,16,MIA,329,3,0,60,0,0,0,0,0,31.2,31.16
5,14252,Kirk Cousins,WAS,QB,16,CHI,270,1,0,30,2,0,0,0,0,29.8,29.8
6,16847,David Johnson,ARI,RB,16,SEA,0,0,0,95,3,4,41,0,1,29.6,29.6
7,4556,Jordy Nelson,GB,WR,16,MIN,0,0,0,0,0,9,154,2,0,27.4,27.4
8,16909,Jay Ajayi,MIA,RB,16,BUF,0,0,0,206,1,1,3,0,0,26.9,26.9
9,13443,Colin Kaepernick,SF,QB,16,LAR,266,2,1,15,1,0,0,0,0,26.1,26.14
10,11527,Sam Bradford,MIN,QB,16,GB,382,3,0,5,0,0,0,0,1,25.8,25.78
11,14967,Le'Veon Bell,PIT,RB,16,BAL,0,0,0,122,1,3,15,1,0,25.7,25.7
11,16245,Blake Bortles,JAX,QB,16,TEN,325,1,0,7,0,1,20,1,0,25.7,25.7
13,14008,Andrew Luck,IND,QB,16,OAK,288,2,2,12,1,0,0,0,0,24.7,24.72
14,18055,Dak Prescott,DAL,QB,16,DET,212,3,0,35,0,0,0,0,0,24,23.98
15,13460,Doug Baldwin,SEA,WR,16,ARI,0,0,0,6,0,13,171,1,0,23.7,23.7
15,18061,Deandre Washington,OAK,RB,16,IND,0,0,0,99,2,1,18,0,0,23.7,23.7
17,11270,Dez Bryant,DAL,WR,16,DET,10,1,0,0,0,4,70,2,0,23.4,23.4
18,13337,Mark Ingram,NO,RB,16,TB,0,0,0,90,2,2,3,0,0,23.3,23.3
19,6739,Alex Smith,KC,QB,16,DEN,244,1,1,46,1,0,0,0,0,22.4,22.36
20,15048,Travis Kelce,KC,TE,16,DEN,0,0,0,0,0,11,160,1,0,22,22
21,16311,Derek Carr,OAK,QB,16,IND,228,3,0,8,0,0,0,0,0,21.9,21.92
22,16003,Sammy Watkins,BUF,WR,16,MIA,0,0,0,0,0,7,154,1,0,21.4,21.4
23,17023,Zach Zenner,DET,RB,16,DAL,0,0,0,67,2,2,25,0,0,21.2,21.2
23,17923,Ezekiel Elliott,DAL,RB,16,DET,0,0,0,80,2,1,12,0,0,21.2,21.2
25,4314,Tom Brady,NE,QB,16,NYJ,214,3,0,0,0,0,0,0,0,20.6,20.56
26,11932,LeSean McCoy,BUF,RB,16,MIA,0,0,0,128,1,5,17,0,0,20.5,20.5
26,12751,Charles Clay,BUF,TE,16,MIA,0,0,0,0,0,8,85,2,0,20.5,20.5
28,732,Matt Ryan,ATL,QB,16,CAR,277,2,0,9,0,0,0,0,0,20,19.98
29,16834,Tevin Coleman,ATL,RB,16,CAR,0,0,0,90,1,3,45,0,0,19.5,19.5
29,17167,Cameron Meredith,CHI,WR,16,WAS,0,0,0,0,0,9,135,1,0,19.5,19.5
31,16919,JJ Nelson,ARI,WR,16,SEA,0,0,0,0,0,3,132,1,0,19.2,19.2
