Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,18983,James Conner,PIT,RB,8,CLE,0,0,0,146,2,5,66,0,0,33.2,33.2
2,18857,Deshaun Watson,HOU,QB,8,MIA,239,5,0,14,0,0,0,0,0,31,30.96
3,13320,Cam Newton,CAR,QB,8,BAL,219,2,0,52,1,0,0,0,0,28,27.96
4,16311,Derek Carr,OAK,QB,8,IND,244,3,0,0,1,0,0,0,0,27.8,27.76
5,16771,Todd Gurley,LAR,RB,8,GB,0,0,0,114,0,6,81,1,0,27.5,27.5
6,18998,Marlon Mack,IND,RB,8,OAK,0,0,0,132,2,2,17,0,0,26.9,26.9
7,17922,Jared Goff,LAR,QB,8,GB,295,3,0,7,0,0,0,0,0,26.5,26.5
8,18890,Patrick Mahomes,KC,QB,8,DEN,303,4,1,-1,0,0,0,0,0,26,26.02
9,18858,Joe Mixon,CIN,RB,8,TB,0,0,0,123,2,3,15,0,0,25.8,25.8
10,4807,Adrian Peterson,WAS,RB,8,NYG,0,0,0,149,1,1,7,1,1,25.6,25.6
11,16597,Mike Evans,TB,WR,8,CIN,0,0,0,0,0,6,179,1,0,23.9,23.9
12,13870,Marvin Jones,DET,WR,8,SEA,0,0,0,0,0,7,117,2,0,23.7,23.7
13,14536,Russell Wilson,SEA,QB,8,DET,248,3,0,15,0,0,0,0,0,23.4,23.42
14,14008,Andrew Luck,IND,QB,8,OAK,239,3,0,-2,0,0,0,0,0,23.4,23.36
15,16003,Sammy Watkins,KC,WR,8,DEN,0,0,0,0,0,8,107,2,0,22.7,22.7
16,17920,Carson Wentz,PHI,QB,8,JAX,286,3,1,28,0,1,4,0,1,22.6,22.64
17,18811,Mitch Trubisky,CHI,QB,8,NYJ,220,2,0,51,0,0,0,0,0,21.9,21.9
18,18003,Kenyan Drake,MIA,RB,8,HOU,0,0,0,58,1,2,37,1,0,21.5,21.5
19,14252,Kirk Cousins,MIN,QB,8,NO,359,2,1,3,0,0,0,0,0,20.7,20.66
20,12841,Andy Dalton,CIN,QB,8,TB,280,2,0,10,0,0,0,0,0,20.2,20.2
20,14986,DeAndre Hopkins,HOU,WR,8,MIA,0,0,0,0,0,6,82,2,0,20.2,20.2
22,16245,Blake Bortles,JAX,QB,8,PHI,286,1,0,43,0,0,0,0,0,19.7,19.74
23,17986,Tyler Boyd,CIN,WR,8,TB,0,0,0,-2,0,9,138,1,0,19.6,19.6
23,18878,Alvin Kamara,NO,RB,8,MIN,0,0,0,45,1,7,31,1,0,19.6,19.6
25,8283,Ryan Fitzpatrick,TB,QB,8,CIN,194,2,0,18,0,0,0,0,0,19.6,19.56
26,11056,Antonio Brown,PIT,WR,8,CLE,0,0,0,0,0,6,74,2,0,19.4,19.4
27,13791,Lamar Miller,HOU,RB,8,MIA,0,0,0,133,1,0,0,0,0,19.3,19.3
28,19763,Josh Rosen,ARI,QB,8,SF,252,2,1,12,0,0,0,0,0,19.3,19.28
29,17916,Will Fuller,HOU,WR,8,MIA,0,0,0,0,0,5,124,1,0,18.4,18.4
29,19119,Chris Carson,SEA,RB,8,DET,0,0,0,105,1,2,19,0,0,18.4,18.4
31,5571,Larry Fitzgerald,ARI,WR,8,SF,0,0,0,0,0,8,102,1,0,18.2,18.2
32,16906,Stefon Diggs,MIN,WR,8,NO,0,0,0,0,0,10,119,1,0,17.9,17.9
33,18877,Christian McCaffrey,CAR,RB,8,BAL,0,0,0,45,1,4,11,1,0,17.6,17.6
34,20128,Phillip Lindsay,DEN,RB,8,KC,0,0,0,95,1,3,17,0,0,17.2,17.2
35,9038,Matthew Stafford,DET,QB,8,SEA,310,2,1,6,0,0,0,0,1,17,17
35,19003,Tarik Cohen,CHI,RB,8,NYJ,0,0,0,40,0,1,70,1,0,17,17
37,3807,Ben Roethlisberger,PIT,QB,8,CLE,257,2,1,6,0,0,0,0,0,16.9,16.88
38,19017,Josh Reynolds,LAR,WR,8,GB,0,0,0,-2,0,3,42,2,0,16,16
39,2593,Aaron Rodgers,GB,QB,8,LAR,286,1,0,5,0,0,0,0,0,15.9,15.94
40,15534,Adam Thielen,MIN,WR,8,NO,0,0,0,15,0,7,103,1,1,15.8,15.8
41,19120,David Moore,SEA,WR,8,DET,0,0,0,0,0,4,97,1,0,15.7,15.7
42,15071,Latavius Murray,MIN,RB,8,NO,0,0,0,56,1,5,39,0,0,15.5,15.5
43,16056,James White,NE,RB,8,BUF,0,0,0,15,1,10,79,0,0,15.4,15.4
44,15694,Case Keenum,DEN,QB,8,KC,262,2,1,9,0,0,0,0,1,15.4,15.38
45,20020,Jordan Thomas,HOU,TE,8,MIA,0,0,0,0,0,4,29,2,0,14.9,14.9
46,18944,Kareem Hunt,KC,RB,8,DEN,0,0,0,50,0,5,36,1,0,14.6,14.6
46,19045,Aaron Jones,GB,RB,8,LAR,0,0,0,86,1,2,0,0,0,14.6,14.6
48,18375,Peyton Barber,TB,RB,8,CIN,0,0,0,85,1,0,0,0,0,14.5,14.5
49,18067,Jordan Howard,CHI,RB,8,NYJ,0,0,0,81,1,0,0,0,0,14.1,14.1
49,19790,Baker Mayfield,CLE,QB,8,PIT,180,2,1,9,0,0,0,0,0,14.1,14.1
51,15048,Travis Kelce,KC,TE,8,DEN,0,0,0,0,0,6,79,1,0,13.9,13.9
52,4314,Tom Brady,NE,QB,8,BUF,324,0,0,8,0,0,0,0,0,13.8,13.76
53,12845,AJ Green,CIN,WR,8,TB,0,0,0,0,0,5,76,1,0,13.6,13.6
53,16389,Odell Beckham Jr,NYG,WR,8,WAS,0,0,0,0,0,8,136,0,0,13.6,13.6
55,8534,Jared Cook,OAK,TE,8,IND,0,0,0,0,0,4,74,1,0,13.4,13.4
55,16775,Devante Parker,MIA,WR,8,HOU,0,0,0,0,0,6,134,0,0,13.4,13.4
57,16470,Davante Adams,GB,WR,8,LAR,0,0,0,0,0,5,133,0,0,13.3,13.3
58,3943,DeSean Jackson,TB,WR,8,CIN,0,0,0,4,0,3,68,1,0,13.2,13.2
59,15602,Jack Doyle,IND,TE,8,OAK,0,0,0,0,0,6,70,1,0,13,13
60,19844,D.J. Moore,CAR,WR,8,BAL,0,0,0,39,0,5,90,0,0,12.9,12.9
61,18901,OJ Howard,TB,TE,8,CIN,0,0,0,0,0,4,68,1,0,12.8,12.8
62,4932,Eli Manning,NYG,QB,8,WAS,316,1,2,0,0,0,0,0,0,12.6,12.64
63,18070,Wendell Smallwood,PHI,RB,8,JAX,0,0,0,24,0,2,42,1,0,12.6,12.6
64,18973,CJ Beathard,SF,QB,8,ARI,190,1,0,9,0,0,0,0,0,12.5,12.5
65,6739,Alex Smith,WAS,QB,8,NYG,178,1,0,13,0,0,0,0,0,12.4,12.42
66,19812,Sam Darnold,NYJ,QB,8,CHI,153,1,0,22,0,0,0,0,0,12.3,12.32
67,8355,Julian Edelman,NE,WR,8,BUF,0,0,0,13,0,9,104,0,0,11.7,11.7
68,1658,Greg Olsen,CAR,TE,8,BAL,0,0,0,0,0,4,56,1,0,11.6,11.6
69,14865,Marquise Goodwin,SF,WR,8,ARI,0,0,0,0,0,1,55,1,0,11.5,11.5
70,12153,Ed Dickson,SEA,TE,8,DET,0,0,0,0,0,2,54,1,0,11.4,11.4
71,19766,Saquon Barkley,NYG,RB,8,WAS,0,0,0,38,0,9,73,0,0,11.1,11.1
72,16830,Tyler Lockett,SEA,WR,8,DET,0,0,0,13,0,2,34,1,0,10.7,10.7
73,19976,Marquez Valdes-Scantling,GB,WR,8,LAR,0,0,0,0,0,2,45,1,0,10.5,10.5
74,19864,Anthony Miller,CHI,WR,8,NYJ,0,0,0,7,0,3,37,1,0,10.4,10.4
75,18088,Alex Collins,BAL,RB,8,CAR,0,0,0,49,1,2,14,0,1,10.3,10.3
76,16326,Seth Roberts,OAK,WR,8,IND,0,0,0,0,0,2,42,1,0,10.2,10.2
76,19815,Christian Kirk,ARI,WR,8,SF,0,0,0,0,0,3,42,1,0,10.2,10.2
78,17970,Devontae Booker,DEN,RB,8,KC,0,0,0,78,0,4,23,0,0,10.1,10.1
79,16847,David Johnson,ARI,RB,8,SF,0,0,0,59,0,4,41,0,0,10,10
79,18992,Dede Westbrook,JAX,WR,8,PHI,0,0,0,9,0,2,31,1,0,10,10
81,11463,Brandon LaFell,OAK,WR,8,IND,0,0,0,0,0,3,39,1,0,9.9,9.9
82,16451,Eric Ebron,IND,TE,8,OAK,0,0,0,0,0,3,37,1,0,9.7,9.7
82,19207,Tim Patrick,DEN,WR,8,KC,0,0,0,13,0,1,24,1,0,9.7,9.7
84,19917,Antonio Callaway,CLE,WR,8,PIT,0,0,0,0,0,5,36,1,0,9.6,9.6
85,11932,LeSean McCoy,BUF,RB,8,NE,0,0,0,13,0,6,82,0,0,9.5,9.5
86,9906,Danny Amendola,MIA,WR,8,HOU,28,1,0,0,0,5,43,0,0,9.4,9.42
87,15974,Jordan Matthews,PHI,WR,8,JAX,0,0,0,0,0,4,93,0,0,9.3,9.3
88,13337,Mark Ingram,NO,RB,8,MIN,0,0,0,63,0,3,29,0,0,9.2,9.2
88,19863,Dallas Goedert,PHI,TE,8,JAX,0,0,0,0,0,1,32,1,0,9.2,9.2
90,19822,Kerryon Johnson,DET,RB,8,SEA,0,0,0,22,0,6,69,0,0,9.1,9.1
91,611,Joe Flacco,BAL,QB,8,CAR,192,1,2,14,0,0,0,0,0,9.1,9.08
92,16797,TJ Yeldon,JAX,RB,8,PHI,0,0,0,7,0,7,83,0,0,9,9
93,19843,Hayden Hurst,BAL,TE,8,CAR,0,0,0,0,0,2,29,1,0,8.9,8.9
94,16762,Jameis Winston,TB,QB,8,CIN,276,1,4,18,0,0,0,0,0,8.8,8.84
95,18057,Seth DeValve,CLE,TE,8,PIT,0,0,0,0,0,2,28,1,0,8.8,8.8
96,14856,Zach Ertz,PHI,TE,8,JAX,0,0,0,0,0,4,26,1,0,8.6,8.6
96,18900,Mo Alie-Cox,IND,TE,8,OAK,0,0,0,0,0,1,26,1,0,8.6,8.6
98,18912,Evan Engram,NYG,TE,8,WAS,0,0,0,0,0,5,25,1,0,8.5,8.5
98,19912,Nyheim Hines,IND,RB,8,OAK,0,0,0,78,0,2,7,0,0,8.5,8.5
100,19781,Lamar Jackson,BAL,QB,8,CAR,46,1,0,26,0,0,0,0,0,8.4,8.44
101,16568,Brandin Cooks,LAR,WR,8,GB,0,0,0,9,0,3,74,0,0,8.3,8.3
102,17960,Michael Thomas,NO,WR,8,MIN,0,0,0,0,0,5,81,0,0,8.1,8.1
103,16886,Javorius Allen,BAL,RB,8,CAR,0,0,0,0,0,3,18,1,0,7.8,7.8
103,19800,Courtland Sutton,DEN,WR,8,KC,0,0,0,0,0,3,78,0,0,7.8,7.8
105,14053,Brock Osweiler,MIA,QB,8,HOU,241,0,1,0,0,0,0,0,0,7.6,7.64
106,17290,Adam Humphries,TB,WR,8,CIN,0,0,0,0,0,7,76,0,0,7.6,7.6
106,19947,Chris Herndon IV,NYJ,TE,8,CHI,0,0,0,0,0,1,16,1,0,7.6,7.6
108,12083,Derek Anderson,BUF,QB,8,NE,290,0,1,-1,0,0,0,0,1,7.5,7.5
108,19798,Nick Chubb,CLE,RB,8,PIT,0,0,0,65,0,2,10,0,0,7.5,7.5
110,19318,Kendrick Bourne,SF,WR,8,ARI,0,0,0,0,0,7,71,0,0,7.1,7.1
111,14871,Robert Woods,LAR,WR,8,GB,0,0,0,0,0,5,70,0,0,7,7
111,18082,Tyreek Hill,KC,WR,8,DEN,0,0,0,0,0,3,70,0,0,7,7
113,14385,Doug Martin,OAK,RB,8,IND,0,0,0,72,0,2,17,0,1,6.9,6.9
113,18995,Jamaal Williams,GB,RB,8,LAR,0,0,0,9,1,0,0,0,0,6.9,6.9
115,7242,Drew Brees,NO,QB,8,MIN,120,1,1,0,0,0,0,0,0,6.8,6.8
116,20075,Josh Adams,PHI,RB,8,JAX,0,0,0,61,0,1,6,0,0,6.7,6.7
117,16853,Jeff Heuerman,DEN,TE,8,KC,0,0,0,0,0,1,4,1,0,6.4,6.4
117,18690,Jalen Richard,OAK,RB,8,IND,0,0,0,14,0,8,50,0,0,6.4,6.4
119,16781,Nelson Agholor,PHI,WR,8,JAX,0,0,0,14,0,3,49,0,0,6.3,6.3
120,20373,Deontay Burnett,NYJ,WR,8,CHI,0,0,0,0,0,4,61,0,0,6.1,6.1
121,5820,Frank Gore,MIA,RB,8,HOU,0,0,0,53,0,1,5,0,0,5.8,5.8
122,19063,George Kittle,SF,TE,8,ARI,0,0,0,0,0,5,57,0,0,5.7,5.7
123,18926,Zay Jones,BUF,WR,8,NE,0,0,0,0,0,6,55,0,0,5.5,5.5
124,16141,Willie Snead,BAL,WR,8,CAR,0,0,0,0,0,5,54,0,0,5.4,5.4
124,16232,Donte Moncrief,JAX,WR,8,PHI,0,0,0,0,0,4,54,0,0,5.4,5.4
126,11611,Golden Tate,DET,WR,8,SEA,0,0,0,3,0,7,50,0,0,5.3,5.3
127,16129,Taylor Gabriel,CHI,WR,8,NYJ,0,0,0,0,0,4,52,0,0,5.2,5.2
127,16728,Dontrelle Inman,IND,WR,8,OAK,0,0,0,0,0,6,52,0,0,5.2,5.2
127,18880,Chris Godwin,TB,WR,8,CIN,0,0,0,0,0,2,32,0,0,5.2,5.2
130,11063,Emmanuel Sanders,DEN,WR,8,KC,0,0,0,-6,0,4,57,0,0,5.1,5.1
131,14828,Chris Hogan,NE,WR,8,BUF,0,0,0,0,0,2,49,0,0,4.9,4.9
131,17939,Josh Doctson,WAS,WR,8,NYG,0,0,0,0,0,5,49,0,0,4.9,4.9
133,16276,Bennie Fowler,NYG,WR,8,WAS,0,0,0,0,0,4,48,0,0,4.8,4.8
134,15239,Vance McDonald,PIT,TE,8,CLE,0,0,0,0,0,3,47,0,0,4.7,4.7
135,12239,Chris Ivory,BUF,RB,8,NE,0,0,0,34,0,1,11,0,0,4.5,4.5
135,13264,Andre Holmes,BUF,WR,8,NE,0,0,0,0,0,2,45,0,0,4.5,4.5
135,16550,Kelvin Benjamin,BUF,WR,8,NE,0,0,0,0,0,2,45,0,0,4.5,4.5
138,10974,Rob Gronkowski,NE,TE,8,BUF,0,0,0,0,0,3,43,0,0,4.3,4.3
139,14587,Josh Gordon,NE,WR,8,BUF,0,0,0,0,0,4,42,0,0,4.2,4.2
139,16189,Alfred Blue,HOU,RB,8,MIA,0,0,0,42,0,0,0,0,0,4.2,4.2
139,19319,Matt Breida,SF,RB,8,ARI,0,0,0,42,0,0,0,0,0,4.2,4.2
142,16694,Paul Richardson,WAS,WR,8,NYG,0,0,0,7,0,2,34,0,0,4.1,4.1
142,19816,D.J. Chark,JAX,WR,8,PHI,0,0,0,0,0,4,41,0,0,4.1,4.1
144,13227,Randall Cobb,GB,WR,8,LAR,0,0,0,0,0,4,40,0,0,4,4
145,13275,Kyle Rudolph,MIN,TE,8,NO,0,0,0,0,0,4,39,0,0,3.9,3.9
145,16020,Jarvis Landry,CLE,WR,8,PIT,0,0,0,0,0,8,39,0,0,3.9,3.9
147,15100,Jordan Reed,WAS,TE,8,NYG,0,0,0,0,0,7,38,0,0,3.8,3.8
147,15150,Cordarrelle Patterson,NE,WR,8,BUF,0,0,0,38,0,0,0,0,0,3.8,3.8
147,16127,Isaiah Crowell,NYJ,RB,8,CHI,0,0,0,25,0,1,13,0,0,3.8,3.8
150,14795,Josh Bellamy,CHI,WR,8,NYJ,0,0,0,0,0,4,37,0,0,3.7,3.7
150,18236,David Grinnage,JAX,TE,8,PHI,0,0,0,0,0,3,37,0,0,3.7,3.7
152,12751,Charles Clay,BUF,TE,8,NE,0,0,0,0,0,3,36,0,0,3.6,3.6
152,18103,Jakeem Grant,MIA,WR,8,HOU,0,0,0,0,0,4,36,0,0,3.6,3.6
154,14187,Alshon Jeffery,PHI,WR,8,JAX,0,0,0,0,0,4,35,0,0,3.5,3.5
154,16887,Mike Davis,SEA,RB,8,DET,0,0,0,33,0,1,2,0,0,3.5,3.5
156,14005,T.Y. Hilton,IND,WR,8,OAK,0,0,0,0,0,1,34,0,0,3.4,3.4
156,17961,Sterling Shepard,NYG,WR,8,WAS,0,0,0,0,0,4,34,0,0,3.4,3.4
158,18883,JuJu Smith-Schuster,PIT,WR,8,CLE,0,0,0,0,0,4,33,0,0,3.3,3.3
159,20264,Jordan Franks,CIN,TE,8,TB,0,0,0,0,0,1,32,0,0,3.2,3.2
