Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
1,Patrick Mahomes,KC,QB,OAK,29,24,23,QB1,1
2,Aaron Rodgers,GB,QB,DET,18,21,20.03,QB2,2
3,Ben Roethlisberger,PIT,QB,CIN,32,32,19.93,QB3,3
4,Matt Ryan,ATL,QB,TB,30,28,19.75,QB4,4
5,Jared Goff,LAR,QB,SF,24,25,18.46,QB5,5
6,Andrew Luck,IND,QB,TEN,6,5,18.28,QB6,6
7,Lamar Jackson,BAL,QB,CLE,21,15,17.85,QB7,7
8,Deshaun Watson,HOU,QB,JAX,3,8,17.77,QB8,8
9,Jameis Winston,TB,QB,ATL,28,29,17.51,QB9,9
10,Russell Wilson,SEA,QB,ARI,19,6,17.38,QB10,10
11,Tom Brady,NE,QB,NYJ,27,26,17.34,QB11,11
12,Philip Rivers,LAC,QB,DEN,16,8,17.16,QB12,12
13,Josh Allen,BUF,QB,MIA,26,16,16.76,QB13,13
14,Nick Foles,PHI,QB,WAS,11,16,16.63,QB14,14
15,Saquon Barkley,NYG,RB,DAL,7,6,16.2,RB1,15
16,Kirk Cousins,MIN,QB,CHI,2,2,15.56,QB15,16
17,Derek Carr,OAK,QB,KC,31,30,15.33,QB16,17
18,Mitch Trubisky,CHI,QB,MIN,5,3,15.19,QB17,18
19,Teddy Bridgewater,NO,QB,CAR,23,23,14.61,QB18,19
20,Matthew Stafford,DET,QB,GB,21,18,14.11,QB19,20
21,Eli Manning,NYG,QB,DAL,7,9,14.06,QB20,21
22,Nick Mullens,SF,QB,LAR,17,11,14,QB21,22
23,Sam Darnold,NYJ,QB,NE,17,20,13.93,QB22,23
24,Josh Johnson,WAS,QB,PHI,25,26,13.91,QB23,24
25,Melvin Gordon,LAC,RB,DEN,16,18,13.78,RB2,25
26,Case Keenum,DEN,QB,LAC,8,7,13.77,QB24,26
27,Blake Bortles,JAX,QB,HOU,12,19,13.72,QB25,27
28,Baker Mayfield,CLE,QB,BAL,1,4,13.42,QB26,28
29,Chris Carson,SEA,RB,ARI,19,32,13.3,RB3,29
30,Jamaal Williams,GB,RB,DET,18,22,12.89,RB4,30
31,Tyreek Hill,KC,WR,OAK,29,18,12.58,WR1,31
32,James Conner,PIT,RB,CIN,32,31,12.5,RB5,32
33,Derrick Henry,TEN,RB,IND,9,12,12.43,RB6,33
34,DeAndre Hopkins,HOU,WR,JAX,3,1,12.34,WR2,34
35,Jeff Driskel,CIN,QB,PIT,15,21,12.32,QB27,35
36,Ryan Tannehill,MIA,QB,BUF,6,1,12.18,QB28,36
36,Travis Kelce,KC,TE,OAK,29,31,12.18,TE1,36
38,JuJu Smith-Schuster,PIT,WR,CIN,32,23,11.94,WR3,38
39,Christian McCaffrey,CAR,RB,NO,13,2,11.82,RB7,39
40,Joe Mixon,CIN,RB,PIT,15,10,11.74,RB8,40
41,Julio Jones,ATL,WR,TB,30,26,11.71,WR4,41
42,CJ Anderson,LAR,RB,SF,24,21,11.43,RB9,42
43,Robert Woods,LAR,WR,SF,24,27,11.41,WR5,43
