Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
44,Sony Michel,NE,RB,NYJ,27,13,11.36,RB10,44
45,Kyle Allen,CAR,QB,NO,13,30,11.3,QB29,45
46,Nick Chubb,CLE,RB,BAL,1,2,11.24,RB11,46
47,Blaine Gabbert,TEN,QB,IND,9,12,11.09,QB30,47
48,T.Y. Hilton,IND,WR,TEN,6,20,10.95,WR6,48
49,Darius Leonard,IND,OLB,TEN,6,null,10.91,LB1,49
50,Dalvin Cook,MIN,RB,CHI,2,1,10.89,RB12,50
51,Marlon Mack,IND,RB,TEN,6,3,10.79,RB13,51
52,Keenan Allen,LAC,WR,DEN,16,12,10.78,WR7,52
53,David Johnson,ARI,RB,SEA,14,19,10.72,RB14,53
54,Mike Evans,TB,WR,ATL,28,25,10.52,WR8,54
55,George Kittle,SF,TE,LAR,17,17,10.28,TE2,55
56,Peyton Barber,TB,RB,ATL,28,28,10.25,RB15,56
57,Julian Edelman,NE,WR,NYJ,27,31,10.23,WR9,57
58,Leighton Vander Esch,DAL,OLB,NYG,20,null,10.21,LB2,58
59,Damien Williams,KC,RB,OAK,29,27,10.17,RB16,59
60,Harrison Butker,KC,K,OAK,29,27,10.08,K1,60
61,Avery Williamson,NYJ,ILB,NE,17,null,9.91,LB3,61
62,Jeffery Wilson,SF,RB,LAR,17,15,9.82,RB17,62
63,Seattle Seahawks,SEA,DST,ARI,null,null,9.8,DST1,63
64,Elijah McGuire,NYJ,RB,NE,17,14,9.79,RB18,64
64,Gus Edwards,BAL,RB,CLE,21,23,9.79,RB19,64
66,Adrian Peterson,WAS,RB,PHI,25,14,9.68,RB20,66
66,Greg Zuerlein,LAR,K,SF,24,14,9.68,K2,66
68,Stephen Gostkowski,NE,K,NYJ,27,30,9.66,K3,68
69,Adam Thielen,MIN,WR,CHI,2,11,9.61,WR10,69
70,Justin Tucker,BAL,K,CLE,21,23,9.5,K4,70
70,Zach Ertz,PHI,TE,WAS,11,11,9.5,TE3,70
70,Stefon Diggs,MIN,WR,CHI,2,11,9.5,WR11,70
73,Brandin Cooks,LAR,WR,SF,24,27,9.37,WR12,73
74,Lamar Miller,HOU,RB,JAX,3,5,9.36,RB21,74
75,Royce Freeman,DEN,RB,LAC,8,22,9.3,RB22,75
76,Robby Anderson,NYJ,WR,NE,17,13,9.26,WR13,76
77,Lavonte David,TB,OLB,ATL,28,null,9.17,LB4,77
78,Doug Martin,OAK,RB,KC,31,30,9.12,RB23,78
79,Lorenzo Alexander,BUF,OLB,MIA,26,null,9.08,LB5,79
80,Mason Crosby,GB,K,DET,18,3,9.06,K5,80
81,Roquan Smith,CHI,ILB,MIN,5,null,9.05,LB6,81
82,Los Angeles Rams,LAR,DST,SF,null,null,9,DST2,82
83,Ka'imi Fairbairn,HOU,K,JAX,3,10,8.98,K6,83
83,Josh Rosen,ARI,QB,SEA,14,13,8.98,QB31,83
85,Luke Kuechly,CAR,ILB,NO,13,null,8.87,LB7,85
86,Houston Texans,HOU,DST,JAX,null,null,8.8,DST3,86
87,Bobby Wagner,SEA,ILB,ARI,19,null,8.79,LB8,87
88,Telvin Smith,JAX,OLB,HOU,12,null,8.78,LB9,88
89,Wil Lutz,NO,K,CAR,23,18,8.74,K7,89
90,Jamal Adams,NYJ,SS,NE,17,null,8.73,DB1,90
91,New Orleans Saints,NO,DST,CAR,null,null,8.7,DST4,91
92,Tyler Lockett,SEA,WR,ARI,19,13,8.69,WR14,92
92,Deion Jones,ATL,ILB,TB,30,null,8.69,LB10,92
94,Tevin Coleman,ATL,RB,TB,30,27,8.61,RB24,94
95,Kansas City Chiefs,KC,DST,OAK,null,null,8.6,DST5,95
96,Cory Littleton,LAR,ILB,SF,24,null,8.56,LB11,96
97,Andrew Adams,TB,FS,ATL,28,null,8.53,DB2,97
98,Philadelphia Eagles,PHI,DST,WAS,null,null,8.5,DST6,98
99,Jordan Howard,CHI,RB,MIN,5,9,8.42,RB25,99
100,Baltimore Ravens,BAL,DST,CLE,null,null,8.4,DST7,100
101,Aldrick Rosas,NYG,K,DAL,7,14,8.36,K8,101
102,Blake Martinez,GB,ILB,DET,18,null,8.34,LB12,102
102,Dwayne Washington,NO,RB,CAR,23,8,8.34,RB26,102
104,Alshon Jeffery,PHI,WR,WAS,11,22,8.33,WR15,104
105,Matt Bryant,ATL,K,TB,30,19,8.32,K9,105
106,Eric Ebron,IND,TE,TEN,6,1,8.31,TE4,106
107,Buffalo Bills,BUF,DST,MIA,null,null,8.3,DST8,107
107,Minnesota Vikings,MIN,DST,CHI,null,null,8.3,DST9,107
107,Chicago Bears,CHI,DST,MIN,null,null,8.3,DST10,107
110,Joe Schobert,CLE,ILB,BAL,1,null,8.28,LB13,110
111,Michael Badgley,LAC,K,DEN,16,25,8.22,K10,111
112,Nick Vigil,CIN,OLB,PIT,15,null,8.2,LB14,112
112,Pittsburgh Steelers,PIT,DST,CIN,null,null,8.2,DST11,112
114,CJ Mosley,BAL,ILB,CLE,21,null,8.19,LB15,114
115,Sebastian Janikowski,SEA,K,ARI,19,10,8.18,K11,115
116,Adam Vinatieri,IND,K,TEN,6,10,8.14,K12,116
117,Jake Elliott,PHI,K,WAS,11,4,8.12,K13,117
118,Josh Adams,PHI,RB,WAS,11,13,8.1,RB27,118
119,Jaylon Smith,DAL,ILB,NYG,20,null,8.04,LB16,119
120,James White,NE,RB,NYJ,27,13,8.03,RB28,120
121,Tarik Cohen,CHI,RB,MIN,5,9,8.01,RB29,121
122,New England Patriots,NE,DST,NYJ,null,null,8,DST12,122
123,Aaron Donald,LAR,DT,SF,24,null,7.98,DL1,123
124,Doug Baldwin,SEA,WR,ARI,19,13,7.95,WR16,124
124,Robert Foster,BUF,WR,MIA,26,14,7.95,WR17,124
126,Calais Campbell,JAX,DE,HOU,12,null,7.93,DL2,126
127,Rod Smith,DAL,RB,NYG,20,25,7.9,RB30,127
128,Jarrad Davis,DET,ILB,GB,21,null,7.88,LB17,128
129,Tremaine Edmunds,BUF,ILB,MIA,26,null,7.86,LB18,129
130,Robbie Gould,SF,K,LAR,17,23,7.84,K14,130
131,Los Angeles Chargers,LAC,DST,DEN,null,null,7.8,DST13,131
132,Jared Cook,OAK,TE,KC,31,32,7.75,TE5,132
133,Matt Prater,DET,K,GB,21,9,7.74,K15,133
134,Steven Hauschka,BUF,K,MIA,26,27,7.72,K16,134
135,Jordy Nelson,OAK,WR,KC,31,24,7.69,WR18,135
135,Sterling Shepard,NYG,WR,DAL,7,6,7.69,WR19,135
137,Shawn Williams,CIN,SS,PIT,15,null,7.68,DB3,137
137,Gerald Hodges,ARI,ILB,SEA,14,null,7.68,LB19,137
137,Cairo Santos,TB,K,ATL,28,14,7.68,K17,137
140,Calvin Ridley,ATL,WR,TB,30,26,7.67,WR20,140
141,Danny Trevathan,CHI,ILB,MIN,5,null,7.65,LB20,141
142,Dan Bailey,MIN,K,CHI,2,8,7.62,K18,142
142,Dustin Hopkins,WAS,K,PHI,25,30,7.62,K19,142
144,New York Giants,NYG,DST,DAL,null,null,7.6,DST14,144
145,Daniel Carlson,OAK,K,KC,31,10,7.48,K20,145
146,Ryan Succop,TEN,K,IND,9,22,7.42,K21,146
147,Evan Engram,NYG,TE,DAL,7,18,7.41,TE6,147
148,Kenyan Drake,MIA,RB,BUF,6,24,7.39,RB31,148
149,Khalil Mack,CHI,OLB,MIN,5,null,7.37,LB21,149
150,Demarcus Lawrence,DAL,DE,NYG,20,null,7.35,DL3,150
150,Fred Warner,SF,OLB,LAR,17,null,7.35,LB22,150
152,Dede Westbrook,JAX,WR,HOU,12,9,7.33,WR21,152
153,Rob Gronkowski,NE,TE,NYJ,27,9,7.29,TE7,153
154,Courtland Sutton,DEN,WR,LAC,8,7,7.28,WR22,154
155,Demario Davis,NO,OLB,CAR,23,null,7.24,LB23,155
156,Zach Cunningham,HOU,OLB,JAX,3,null,7.21,LB24,156
157,Wesley Woodyard,TEN,ILB,IND,9,null,7.2,LB25,157
157,Mason Foster,WAS,ILB,PHI,25,null,7.2,LB26,157
159,Jessie Bates III,CIN,FS,PIT,15,null,7.19,DB4,159
160,Jamison Crowder,WAS,WR,PHI,25,30,7.18,WR23,160
161,B.J. Hill,NYG,DE,DAL,7,null,7.16,DL4,161
162,Jamie Collins,CLE,OLB,BAL,1,null,7.15,LB27,162
163,Darqueze Dennard,CIN,CB,PIT,15,null,7.14,DB5,163
164,Larry Fitzgerald,ARI,WR,SEA,14,19,7.11,WR24,164
165,Antoine Bethea,ARI,SS,SEA,14,null,7.1,DB6,165
165,TJ Watt,PIT,OLB,CIN,32,null,7.1,LB28,165
167,Brandon McManus,DEN,K,LAC,8,7,7.08,K22,167
167,Brett Maher,DAL,K,NYG,20,31,7.08,K23,167
167,Jason Myers,NYJ,K,NE,17,19,7.08,K24,167
167,Corey Davis,TEN,WR,IND,9,5,7.08,WR25,167
171,Zach Zenner,DET,RB,GB,21,19,7.07,RB32,171
171,Adam Humphries,TB,WR,ATL,28,25,7.07,WR26,171
173,LeSean McCoy,BUF,RB,MIA,26,29,7.06,RB33,173
174,Jaylen Samuels,PIT,FB,CIN,32,31,7.01,RB34,174
175,Atlanta Falcons,ATL,DST,TB,null,null,7,DST15,175
176,Reshad Jones,MIA,FS,BUF,6,null,6.96,DB7,176
176,Danielle Hunter,MIN,DE,CHI,2,null,6.96,DL5,176
178,Jarvis Landry,CLE,WR,BAL,1,3,6.94,WR27,178
178,Myles Jack,JAX,ILB,HOU,12,null,6.94,LB29,178
180,Tahir Whitehead,OAK,OLB,KC,31,null,6.93,LB30,180
181,Thomas Davis,CAR,OLB,NO,13,null,6.89,LB31,181
182,Darren Sproles,PHI,RB,WAS,11,13,6.88,RB35,182
182,Nigel Bradham,PHI,OLB,WAS,11,null,6.88,LB32,182
184,John Johnson,LAR,SS,SF,24,null,6.86,DB8,184
185,TJ Yeldon,JAX,RB,HOU,12,7,6.85,RB36,185
186,Mohamed Sanu,ATL,WR,TB,30,26,6.82,WR28,186
187,JJ Watt,HOU,DE,JAX,3,null,6.8,DL6,187
188,Anthony Hitchens,KC,ILB,OAK,29,null,6.77,LB33,188
188,Haason Reddick,ARI,OLB,SEA,14,null,6.77,LB34,188
190,Cody Parkey,CHI,K,MIN,5,28,6.76,K25,190
191,Raekwon McMillan,MIA,ILB,BUF,6,null,6.75,LB35,191
192,Buster Skrine,NYJ,DB,NE,17,null,6.73,DB9,192
192,Cameron Jordan,NO,DE,CAR,23,null,6.73,DL7,192
194,Jerome Baker,MIA,OLB,BUF,6,null,6.7,LB36,194
194,Miami Dolphins,MIA,DST,BUF,null,null,6.7,DST16,194
194,Indianapolis Colts,IND,DST,TEN,null,null,6.7,DST17,194
197,Matthew McCrane,PIT,K,CIN,32,32,6.68,K26,197
198,Mike Williams,LAC,WR,DEN,16,12,6.67,WR29,198
199,Jason Sanders,MIA,K,BUF,6,21,6.66,K27,199
200,Todd Davis,DEN,ILB,LAC,8,null,6.64,LB37,200
201,Daesean Hamilton,DEN,WR,LAC,8,7,6.6,WR30,201
201,Green Bay Packers,GB,DST,DET,null,null,6.6,DST18,201
203,Justin Simmons,DEN,FS,LAC,8,null,6.59,DB10,203
203,Jatavis Brown,LAC,OLB,DEN,16,null,6.59,LB38,203
205,Jordan Whitehead,TB,FS,ATL,28,null,6.55,DB11,205
206,Zay Jones,BUF,WR,MIA,26,14,6.54,WR31,206
207,Mario Addison,CAR,DE,NO,13,null,6.52,DL8,207
207,Kyle Van Noy,NE,LB,NYJ,27,null,6.52,LB39,207
209,Erik Harris,OAK,FS,KC,31,null,6.51,DB12,209
209,Derwin James,LAC,S,DEN,16,null,6.51,DB13,209
211,Chandler Jones,ARI,DE,SEA,14,null,6.5,DL9,211
211,Jordan Poyer,BUF,FS,MIA,26,null,6.5,DB14,211
211,Darryl Roberts,NYJ,FS,NE,17,null,6.5,DB15,211
214,Kenneth Dixon,BAL,RB,CLE,21,23,6.48,RB37,214
215,Nelson Agholor,PHI,WR,WAS,11,22,6.43,WR32,215
216,Jacksonville Jaguars,JAX,DST,HOU,null,null,6.4,DST19,216
217,Marquez Valdes-Scantling,GB,WR,DET,18,18,6.38,WR33,217
218,DJ Hayden,JAX,CB,HOU,12,null,6.36,DB16,218
219,Bradley Chubb,DEN,OLB,LAC,8,null,6.34,LB40,219
220,Kalen Ballage,MIA,RB,BUF,6,24,6.33,RB38,220
221,Budda Baker,ARI,SS,SEA,14,null,6.31,DB17,221
222,Washington Redskins,WAS,DST,PHI,null,null,6.3,DST20,222
223,Justin Reid,HOU,FS,JAX,3,null,6.29,DB18,223
224,Ha'Sean Clinton-Dix,WAS,FS,PHI,25,null,6.27,DB19,224
225,Kyle Rudolph,MIN,TE,CHI,2,10,6.24,TE8,225
225,Kyler Fackrell,GB,OLB,DET,18,null,6.24,LB41,225
225,Cooper Rush,DAL,QB,NYG,20,11,6.24,QB32,225
225,Charvarius Ward,KC,CB,OAK,29,null,6.24,DB20,225
229,Von Miller,DEN,OLB,LAC,8,null,6.23,LB42,229
229,Chris Godwin,TB,WR,ATL,28,25,6.23,WR34,229
231,Chandler Catanzaro,CAR,K,NO,13,1,6.22,K28,231
231,Yannick Ngakoue,JAX,DE,HOU,12,null,6.22,DL10,231
233,Tre Boston,ARI,FS,SEA,14,null,6.2,DB21,233
233,Denver Broncos,DEN,DST,LAC,null,null,6.2,DST21,233
235,Tyrann Mathieu,HOU,FS,JAX,3,null,6.19,DB22,235
236,Chris Herndon IV,NYJ,TE,NE,17,21,6.16,TE9,236
236,Keith Kirkwood,NO,WR,CAR,23,27,6.16,WR35,236
238,Deforest Buckner,SF,DT,LAR,17,null,6.15,DL11,238
239,Corey Graham,PHI,FS,WAS,11,null,6.12,DB23,239
239,Josh Reynolds,LAR,WR,SF,24,27,6.12,WR36,239
241,Kareem Jackson,HOU,CB,JAX,3,null,6.08,DB24,241
242,Justin Houston,KC,OLB,OAK,29,null,6.06,LB43,242
243,Michael Thomas,NYG,SS,DAL,7,null,6,DB25,243
243,Tampa Bay Buccaneers,TB,DST,ATL,null,null,6,DST22,243
245,Harrison Smith,MIN,FS,CHI,2,null,5.98,DB26,245
246,Antone Exum,SF,SS,LAR,17,null,5.97,DB27,246
247,Vonn Bell,NO,SS,CAR,23,null,5.96,DB28,247
248,Deone Bucannon,ARI,ILB,SEA,14,null,5.95,LB44,248
249,Kendrick Bourne,SF,WR,LAR,17,21,5.94,WR37,249
250,Rasul Douglas,PHI,CB,WAS,11,null,5.93,DB29,250
251,Tennessee Titans,TEN,DST,IND,null,null,5.9,DST23,251
251,Dallas Cowboys,DAL,DST,NYG,null,null,5.9,DST24,251
253,Karl Joseph,OAK,SS,KC,31,null,5.89,DB30,253
253,D.J. Moore,CAR,WR,NO,13,32,5.89,WR38,253
255,Malcolm Jenkins,PHI,SS,WAS,11,null,5.88,DB31,255
256,Tony Brown,GB,CB,DET,18,null,5.87,DB32,256
257,Tre'Quan Smith,NO,WR,CAR,23,27,5.86,WR39,257
258,Joey Bosa,LAC,DE,DEN,16,null,5.84,DL12,258
259,Kenny Vaccaro,TEN,SS,IND,9,null,5.83,DB33,259
259,Damontae Kazee,ATL,SS,TB,30,null,5.83,DB34,259
261,Jalen Ramsey,JAX,CB,HOU,12,null,5.82,DB35,261
261,Adoree` Jackson,TEN,CB,IND,9,null,5.82,DB36,261
263,Dion Lewis,TEN,RB,IND,9,12,5.81,RB39,263
263,Kenny Young,BAL,OLB,CLE,21,null,5.81,LB45,263
265,Romeo Okwara,DET,DE,GB,21,null,5.8,DL13,265
266,Cameron Heyward,PIT,DE,CIN,32,null,5.79,DL14,266
267,Randy Bullock,CIN,K,PIT,15,6,5.78,K29,267
267,Devontae Booker,DEN,RB,LAC,8,22,5.78,RB40,267
267,Greg Joseph,CLE,K,BAL,1,1,5.78,K30,267
270,Akiem Hicks,CHI,DE,MIN,5,null,5.77,DL15,270
271,Kevin Byard,TEN,FS,IND,9,null,5.76,DB37,271
272,Jalen Richard,OAK,RB,KC,31,30,5.75,RB41,272
273,Frank Clark,SEA,DE,ARI,19,null,5.73,DL16,273
273,BJ Goodson,NYG,ILB,DAL,7,null,5.73,LB46,273
275,Malcolm Butler,TEN,CB,IND,9,null,5.71,DB38,275
275,Marcell Harris,SF,FS,LAR,17,null,5.71,DB39,275
277,Dak Prescott,DAL,QB,NYG,20,11,5.7,QB33,277
277,John Ross,CIN,WR,PIT,15,17,5.7,WR40,277
279,Devon Kennard,DET,OLB,GB,21,null,5.69,LB47,279
279,Henry Anderson,NYJ,DE,NE,17,null,5.69,DL17,279
281,Jadeveon Clowney,HOU,OLB,JAX,3,null,5.68,LB48,281
281,Amari Cooper,DAL,WR,NYG,20,8,5.68,WR41,281
283,Deshazor Everett,WAS,FS,PHI,25,null,5.67,DB40,283
284,Benardrick McKinney,HOU,ILB,JAX,3,null,5.65,LB49,284
284,Jarrod Wilson,JAX,FS,HOU,12,null,5.65,DB41,284
284,Corey Thompson,BUF,OLB,MIA,26,null,5.65,LB50,284
287,Theo Riddick,DET,RB,GB,21,19,5.63,RB42,287
287,Damarious Randall,CLE,SS,BAL,1,null,5.63,DB42,287
287,Bobby McCain,MIA,CB,BUF,6,null,5.63,DB43,287
290,Minkah Fitzpatrick,MIA,SS,BUF,6,null,5.61,DB44,290
291,Chris Conley,KC,WR,OAK,29,18,5.6,WR42,291
292,Tony Jefferson,BAL,SS,CLE,21,null,5.59,DB45,292
293,Kenny Stills,MIA,WR,BUF,6,5,5.58,WR43,293
293,Brian Poole,ATL,CB,TB,30,null,5.58,DB46,293
295,Leonard Floyd,CHI,OLB,MIN,5,null,5.57,LB51,295
295,Eli Apple,NO,CB,CAR,23,null,5.57,DB47,295
295,Michael Gallup,DAL,WR,NYG,20,8,5.57,WR44,295
298,Brian Hill,ATL,RB,TB,30,27,5.56,RB43,298
299,Terrance Mitchell,CLE,CB,BAL,1,null,5.55,DB48,299
300,Curtis Samuel,CAR,WR,NO,13,32,5.54,WR45,300
