Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
109,Ryan Succop,TEN,K,WAS,12,4,8.34,K10,109
109,Greg Joseph,CLE,K,CIN,32,32,8.34,K11,109
112,Jarvis Landry,CLE,WR,CIN,32,19,8.33,WR22,112
113,Allen Robinson,CHI,WR,SF,26,29,8.32,WR23,113
114,Jarrad Davis,DET,ILB,MIN,5,null,8.31,LB9,114
115,Jason Myers,NYJ,K,GB,18,10,8.26,K12,115
116,Minnesota Vikings,MIN,DST,DET,null,null,8.2,DST7,116
117,Avery Williamson,NYJ,ILB,GB,18,null,8.19,LB10,117
117,Cory Littleton,LAR,ILB,ARI,15,null,8.19,LB11,117
119,Demario Davis,NO,OLB,PIT,14,null,8.15,LB12,119
120,Bradley Chubb,DEN,OLB,OAK,30,null,8.11,LB13,120
121,Jaylon Smith,DAL,ILB,TB,30,null,8.1,LB14,121
121,Denver Broncos,DEN,DST,OAK,null,null,8.1,DST8,121
123,LeSean McCoy,BUF,RB,NE,21,18,8.09,RB30,123
124,Sebastian Janikowski,SEA,K,KC,31,11,8.08,K13,124
125,Telvin Smith,JAX,OLB,MIA,28,null,8.06,LB15,125
125,Blake Martinez,GB,ILB,NYJ,23,null,8.06,LB16,125
127,Chandler Catanzaro,CAR,K,ATL,27,15,8.02,K14,127
127,Jake Elliott,PHI,K,HOU,10,6,8.02,K15,127
129,Jared Cook,OAK,TE,DEN,20,28,8,TE5,129
129,Dante Pettis,SF,WR,CHI,2,12,8,WR24,129
129,Indianapolis Colts,IND,DST,NYG,null,null,8,DST9,129
132,Corey Davis,TEN,WR,WAS,12,24,7.97,WR25,132
133,Nick Vigil,CIN,OLB,CLE,24,null,7.95,LB17,133
134,Justin Tucker,BAL,K,LAC,8,4,7.94,K16,134
135,Adrian Peterson,WAS,RB,TEN,3,3,7.91,RB31,135
136,Kenyan Drake,MIA,RB,JAX,6,7,7.84,RB32,136
137,Cleveland Browns,CLE,DST,CIN,null,null,7.8,DST10,137
138,Cody Parkey,CHI,K,SF,26,18,7.78,K17,138
139,Josh Adams,PHI,RB,HOU,10,5,7.76,RB33,139
140,Lorenzo Alexander,BUF,OLB,NE,21,null,7.73,LB18,140
141,Jason Sanders,MIA,K,JAX,6,18,7.72,K18,141
142,James White,NE,RB,BUF,4,23,7.71,RB34,142
143,Matt Bryant,ATL,K,CAR,22,17,7.68,K19,143
143,Rob Gronkowski,NE,TE,BUF,4,3,7.68,TE6,143
143,Brandon McManus,DEN,K,OAK,30,28,7.68,K20,143
146,Matt Prater,DET,K,MIN,5,26,7.64,K21,146
147,Danny Trevathan,CHI,ILB,SF,26,null,7.59,LB19,147
148,Todd Davis,DEN,ILB,OAK,30,null,7.58,LB20,148
149,Von Miller,DEN,OLB,OAK,30,null,7.57,LB21,149
150,Justin Houston,KC,OLB,SEA,11,null,7.54,LB22,150
151,Jacksonville Jaguars,JAX,DST,MIA,null,null,7.5,DST11,151
152,Larry Fitzgerald,ARI,WR,LAR,20,23,7.49,WR26,152
153,Dan Bailey,MIN,K,DET,16,3,7.48,K22,153
