Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,18914,Mike Williams,LAC,WR,15,KC,0,0,0,19,1,7,76,2,0,29.5,29.5
2,17959,Derrick Henry,TEN,RB,15,NYG,6,0,0,170,2,1,0,0,0,29.2,29.24
3,14986,DeAndre Hopkins,HOU,WR,15,NYJ,0,0,0,0,0,10,170,2,0,29,29
4,18872,Dalvin Cook,MIN,RB,15,MIA,0,0,0,136,2,1,27,0,0,28.3,28.3
5,732,Matt Ryan,ATL,QB,15,ARI,231,2,0,18,1,0,0,0,0,25,25.04
6,18858,Joe Mixon,CIN,RB,15,OAK,0,0,0,129,2,2,1,0,0,25,25
7,18998,Marlon Mack,IND,RB,15,DAL,0,0,0,139,2,1,10,0,1,24.9,24.9
8,16771,Todd Gurley,LAR,RB,15,PHI,0,0,0,48,2,10,76,0,0,24.4,24.4
9,16031,Damien Williams,KC,RB,15,LAC,0,0,0,49,2,6,74,0,0,24.3,24.3
10,18857,Deshaun Watson,HOU,QB,15,NYJ,294,2,0,26,0,0,0,0,0,22.4,22.36
11,19812,Sam Darnold,NYJ,QB,15,HOU,253,2,0,35,0,0,0,0,0,21.6,21.62
12,19119,Chris Carson,SEA,RB,15,SF,0,0,0,119,1,6,29,0,0,20.8,20.8
13,16834,Tevin Coleman,ATL,RB,15,ARI,0,0,0,145,1,0,0,0,0,20.5,20.5
14,19801,Josh Allen,BUF,QB,15,DET,204,1,0,16,1,0,0,0,0,19.8,19.76
15,13460,Doug Baldwin,SEA,WR,15,SF,0,0,0,0,0,4,77,2,0,19.7,19.7
16,18811,Mitch Trubisky,CHI,QB,15,GB,235,2,0,16,0,0,0,0,0,19,19
17,14536,Russell Wilson,SEA,QB,15,SF,237,2,0,15,0,0,0,0,0,19,18.98
18,8244,Philip Rivers,LAC,QB,15,KC,313,2,2,0,0,0,0,0,0,18.5,18.52
19,19824,Kalen Ballage,MIA,RB,15,MIN,0,0,0,123,1,1,-2,0,0,18.1,18.1
20,18890,Patrick Mahomes,KC,QB,15,LAC,243,2,0,3,0,0,0,0,0,18,18.02
21,18877,Christian McCaffrey,CAR,RB,15,NO,50,1,0,53,0,8,67,0,0,18,18
22,18070,Wendell Smallwood,PHI,RB,15,LAR,0,0,0,48,2,2,9,0,0,17.7,17.7
23,19996,Jaylen Samuels,PIT,FB,15,NE,0,0,0,142,0,2,30,0,0,17.2,17.2
24,20250,Robert Foster,BUF,WR,15,DET,0,0,0,0,0,4,108,1,0,16.8,16.8
25,19781,Lamar Jackson,BAL,QB,15,TB,131,1,0,95,0,0,0,0,1,16.7,16.74
26,20239,Gus Edwards,BAL,RB,15,TB,0,0,0,104,1,0,0,0,0,16.4,16.4
27,18878,Alvin Kamara,NO,RB,15,CAR,0,0,0,67,1,7,36,0,0,16.3,16.3
28,16847,David Johnson,ARI,RB,15,ATL,0,0,0,33,1,3,68,0,0,16.1,16.1
29,14187,Alshon Jeffery,PHI,WR,15,LAR,0,0,0,0,0,8,160,0,0,16,16
30,18995,Jamaal Williams,GB,RB,15,CHI,0,0,0,55,1,4,42,0,0,15.7,15.7
31,18187,Robby Anderson,NYJ,WR,15,HOU,0,0,0,0,0,7,96,1,0,15.6,15.6
32,14252,Kirk Cousins,MIN,QB,15,MIA,215,2,1,7,0,0,0,0,0,15.3,15.3
33,6489,Josh Johnson,WAS,QB,15,JAX,151,1,0,49,0,0,0,0,0,14.9,14.94
34,18375,Peyton Barber,TB,RB,15,BAL,0,0,0,85,1,2,4,0,0,14.9,14.9
35,19330,Nick Mullens,SF,QB,15,SEA,275,1,0,-2,0,0,0,0,0,14.8,14.8
36,18977,Kenny Golladay,DET,WR,15,BUF,0,0,0,0,0,7,146,0,0,14.6,14.6
37,20064,Justin Jackson,LAC,RB,15,KC,0,0,0,58,1,3,27,0,0,14.5,14.5
38,13291,Julio Jones,ATL,WR,15,ARI,0,0,0,0,0,6,82,1,0,14.2,14.2
39,16470,Davante Adams,GB,WR,15,CHI,0,0,0,0,0,8,119,0,0,13.9,13.9
40,18067,Jordan Howard,CHI,RB,15,GB,0,0,0,60,1,1,15,0,0,13.5,13.5
41,2593,Aaron Rodgers,GB,QB,15,CHI,274,0,1,25,0,0,0,0,0,13.5,13.46
42,4314,Tom Brady,NE,QB,15,PIT,279,1,1,0,0,0,0,0,0,13.2,13.16
43,3807,Ben Roethlisberger,PIT,QB,15,NE,235,2,2,-3,0,0,0,0,0,13.1,13.1
