Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,2593,Aaron Rodgers,GB,QB,16,NYJ,442,2,0,32,2,0,0,0,0,42.9,42.88
2,18857,Deshaun Watson,HOU,QB,16,PHI,339,2,0,49,2,0,0,0,1,36.5,36.46
3,13723,Nick Foles,PHI,QB,16,HOU,471,4,1,1,0,0,0,0,1,30.9,30.94
4,11056,Antonio Brown,PIT,WR,16,NO,0,0,0,0,0,14,185,2,0,30.5,30.5
5,3807,Ben Roethlisberger,PIT,QB,16,NO,380,3,0,4,0,0,0,0,0,29.6,29.6
6,14536,Russell Wilson,SEA,QB,16,KC,271,3,0,57,0,0,0,0,0,28.5,28.54
7,18890,Patrick Mahomes,KC,QB,16,SEA,273,3,0,33,0,0,0,0,0,28.2,28.22
8,19812,Sam Darnold,NYJ,QB,16,GB,341,3,0,4,0,0,0,0,0,26,26.04
9,19790,Baker Mayfield,CLE,QB,16,CIN,284,3,0,16,0,0,0,0,0,25,24.96
10,13275,Kyle Rudolph,MIN,TE,16,DET,0,0,0,0,0,9,122,2,0,24.2,24.2
11,19119,Chris Carson,SEA,RB,16,KC,0,0,0,116,2,0,0,0,0,23.6,23.6
12,14856,Zach Ertz,PHI,TE,16,HOU,0,0,0,0,0,12,110,2,0,23,23
13,18878,Alvin Kamara,NO,RB,16,PIT,0,0,0,23,2,4,82,0,0,22.5,22.5
14,14871,Robert Woods,LAR,WR,16,ARI,0,0,0,15,1,6,89,1,0,22.4,22.4
15,14252,Kirk Cousins,MIN,QB,16,DET,253,3,0,1,0,0,0,0,0,22.2,22.22
16,15020,CJ Anderson,LAR,RB,16,ARI,0,0,0,167,1,1,-5,0,0,22.2,22.2
17,18995,Jamaal Williams,GB,RB,16,NYJ,0,0,0,95,1,6,61,0,0,21.6,21.6
18,14008,Andrew Luck,IND,QB,16,NYG,357,2,1,13,0,0,0,0,0,21.6,21.58
19,19109,Elijah McGuire,NYJ,RB,16,GB,0,0,0,35,1,3,50,1,0,20.5,20.5
20,4932,Eli Manning,NYG,QB,16,IND,309,1,1,0,1,0,0,0,0,20.4,20.36
21,18187,Robby Anderson,NYJ,WR,16,GB,0,0,0,0,0,9,140,1,0,20,20
22,732,Matt Ryan,ATL,QB,16,CAR,239,3,0,-1,0,0,0,0,1,19.5,19.46
23,13460,Doug Baldwin,SEA,WR,16,KC,0,0,0,0,0,7,126,1,0,18.6,18.6
24,16031,Damien Williams,KC,RB,16,SEA,0,0,0,103,0,7,37,1,1,18,18
25,18877,Christian McCaffrey,CAR,RB,16,ATL,0,0,0,101,0,12,77,0,0,17.8,17.8
26,14385,Doug Martin,OAK,RB,16,DEN,0,0,0,107,1,1,9,0,0,17.6,17.6
26,16781,Nelson Agholor,PHI,WR,16,HOU,0,0,0,0,0,5,116,1,0,17.6,17.6
26,19828,Sony Michel,NE,RB,16,BUF,0,0,0,116,1,0,0,0,0,17.6,17.6
29,18123,Jeff Driskel,CIN,QB,16,CLE,133,2,0,21,0,0,0,0,0,17.4,17.42
30,17922,Jared Goff,LAR,QB,16,ARI,216,1,0,6,1,0,0,0,1,17.2,17.24
31,13878,Mohamed Sanu,ATL,WR,16,CAR,0,0,0,29,0,5,81,1,0,17,17
32,7242,Drew Brees,NO,QB,16,PIT,326,1,0,-1,0,0,0,0,0,16.9,16.94
33,17960,Michael Thomas,NO,WR,16,PIT,0,0,0,0,0,11,109,1,0,16.9,16.9
34,6198,Darren Sproles,PHI,RB,16,HOU,0,0,0,32,0,3,76,1,0,16.8,16.8
35,18055,Dak Prescott,DAL,QB,16,TB,161,1,0,2,1,0,0,0,0,16.6,16.64
36,19781,Lamar Jackson,BAL,QB,16,LAC,204,1,0,39,0,0,0,0,0,16.1,16.06
37,17959,Derrick Henry,TEN,RB,16,WAS,0,0,0,84,1,1,8,0,0,15.2,15.2
38,16597,Mike Evans,TB,WR,16,DAL,0,0,0,0,0,6,90,1,0,15,15
38,19802,Calvin Ridley,ATL,WR,16,CAR,0,0,0,0,0,3,90,1,0,15,15
40,16762,Jameis Winston,TB,QB,16,DAL,336,1,0,14,0,0,0,0,2,14.8,14.84
41,19803,Mark Andrews,BAL,TE,16,LAC,0,0,0,0,0,2,83,1,0,14.3,14.3
42,19947,Chris Herndon IV,NYJ,TE,16,GB,0,0,0,0,0,6,82,1,0,14.2,14.2
43,15694,Case Keenum,DEN,QB,16,OAK,202,2,2,19,0,0,0,0,0,14,13.98
44,14005,T.Y. Hilton,IND,WR,16,NYG,0,0,0,0,0,7,138,0,0,13.8,13.8
45,19766,Saquon Barkley,NYG,RB,16,IND,0,0,0,43,1,5,34,0,0,13.7,13.7
46,18876,David Njoku,CLE,TE,16,CIN,0,0,0,0,0,3,73,1,0,13.3,13.3
47,16470,Davante Adams,GB,WR,16,NYJ,0,0,0,0,0,11,71,1,0,13.1,13.1
47,18803,Leonard Fournette,JAX,RB,16,MIA,0,0,0,43,1,3,28,0,0,13.1,13.1
49,8355,Julian Edelman,NE,WR,16,BUF,0,0,0,0,0,6,70,1,0,13,13
49,18067,Jordan Howard,CHI,RB,16,SF,0,0,0,53,1,2,17,0,0,13,13
51,17289,Jake Kumerow,GB,WR,16,NYJ,0,0,0,0,0,3,68,1,0,12.8,12.8
52,4807,Adrian Peterson,WAS,RB,16,TEN,0,0,0,119,0,1,8,0,0,12.7,12.7
52,16847,David Johnson,ARI,RB,16,LAR,0,0,0,35,0,1,32,1,0,12.7,12.7
52,18926,Zay Jones,BUF,WR,16,NE,0,0,0,0,0,5,67,1,0,12.7,12.7
55,19800,Courtland Sutton,DEN,WR,16,OAK,0,0,0,0,0,6,65,1,0,12.5,12.5
56,19996,Jaylen Samuels,PIT,FB,16,NO,0,0,0,53,0,3,11,1,0,12.4,12.4
57,17179,Taylor Heinicke,CAR,QB,16,ATL,274,1,3,33,0,0,0,0,0,12.3,12.26
58,18811,Mitch Trubisky,CHI,QB,16,SF,246,1,0,3,0,0,0,0,1,12.1,12.14
59,18089,Rashard Higgins,CLE,WR,16,CIN,0,0,0,0,0,6,60,1,0,12,12
60,13299,Jacquizz Rodgers,TB,RB,16,DAL,0,0,0,2,1,7,55,0,0,11.7,11.7
61,19801,Josh Allen,BUF,QB,16,NE,217,1,2,30,0,0,0,0,0,11.7,11.68
62,19798,Nick Chubb,CLE,RB,16,CIN,0,0,0,112,0,2,3,0,0,11.5,11.5
63,16056,James White,NE,RB,16,BUF,0,0,0,41,1,2,13,0,0,11.4,11.4
63,16776,Melvin Gordon,LAC,RB,16,BAL,0,0,0,41,1,3,13,0,0,11.4,11.4
63,18361,Chester Rogers,IND,WR,16,NYG,0,0,0,0,0,7,54,1,0,11.4,11.4
66,18912,Evan Engram,NYG,TE,16,IND,0,0,0,26,0,6,87,0,0,11.3,11.3
