Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,18811,Mitch Trubisky,CHI,QB,10,DET,355,3,0,18,1,0,0,0,0,36,36
2,3807,Ben Roethlisberger,PIT,QB,10,CAR,328,5,0,27,0,0,0,0,0,35.8,35.82
3,19798,Nick Chubb,CLE,RB,10,ATL,0,0,0,176,1,3,33,1,0,32.9,32.9
4,18877,Christian McCaffrey,CAR,RB,10,PIT,0,0,0,77,1,5,61,2,0,31.8,31.8
5,17923,Ezekiel Elliott,DAL,RB,10,PHI,0,0,0,151,1,6,36,1,0,30.7,30.7
6,16847,David Johnson,ARI,RB,10,KC,0,0,0,98,1,7,85,1,0,30.3,30.3
7,19045,Aaron Jones,GB,RB,10,MIA,0,0,0,145,2,3,27,0,0,29.2,29.2
8,7242,Drew Brees,NO,QB,10,CIN,265,3,0,3,1,0,0,0,0,28.9,28.9
9,14856,Zach Ertz,PHI,TE,10,DAL,0,0,0,0,0,14,145,2,0,26.5,26.5
10,14536,Russell Wilson,SEA,QB,10,LAR,176,3,0,92,0,0,0,0,1,26.2,26.24
11,18082,Tyreek Hill,KC,WR,10,ARI,0,0,0,20,0,7,117,2,0,25.7,25.7
12,16263,Allen Robinson,CHI,WR,10,DET,0,0,0,0,0,6,133,2,0,25.3,25.3
13,19319,Matt Breida,SF,RB,10,NYG,0,0,0,101,1,3,31,1,0,25.2,25.2
14,16451,Eric Ebron,IND,TE,10,JAX,0,0,0,2,1,3,69,2,0,25.1,25.1
15,11932,LeSean McCoy,BUF,RB,10,NYJ,0,0,0,113,2,1,5,0,0,23.8,23.8
16,18803,Leonard Fournette,JAX,RB,10,IND,0,0,0,53,1,5,56,1,0,22.9,22.9
17,19790,Baker Mayfield,CLE,QB,10,ATL,216,3,0,20,0,0,0,0,0,22.6,22.64
18,16776,Melvin Gordon,LAC,RB,10,OAK,0,0,0,93,0,5,72,1,0,22.5,22.5
19,13337,Mark Ingram,NO,RB,10,CIN,0,0,0,104,0,3,58,1,0,22.2,22.2
19,18878,Alvin Kamara,NO,RB,10,CIN,0,0,0,56,2,4,46,0,0,22.2,22.2
21,16771,Todd Gurley,LAR,RB,10,SEA,0,0,0,120,1,3,40,0,0,22,22
22,18055,Dak Prescott,DAL,QB,10,PHI,270,1,0,9,1,0,0,0,0,21.7,21.7
23,16245,Blake Bortles,JAX,QB,10,IND,320,2,0,8,0,0,0,0,0,21.6,21.6
24,16763,Marcus Mariota,TEN,QB,10,NE,228,2,0,21,0,1,21,0,0,21.3,21.32
25,14008,Andrew Luck,IND,QB,10,JAX,285,3,1,-2,0,0,0,0,0,21.2,21.2
26,17920,Carson Wentz,PHI,QB,10,DAL,360,2,1,7,0,0,0,0,0,21.1,21.1
27,17922,Jared Goff,LAR,QB,10,SEA,318,2,0,3,0,0,0,0,0,21,21.02
28,732,Matt Ryan,ATL,QB,10,CLE,330,2,0,13,0,0,0,0,1,20.5,20.5
29,18890,Patrick Mahomes,KC,QB,10,ARI,249,2,0,21,0,0,0,0,0,20.1,20.06
30,4932,Eli Manning,NYG,QB,10,SF,188,3,0,0,0,0,0,0,0,19.5,19.52
31,16389,Odell Beckham Jr,NYG,WR,10,SF,0,0,0,0,0,4,73,2,0,19.3,19.3
32,17960,Michael Thomas,NO,WR,10,CIN,0,0,0,0,0,8,70,2,0,19,19
33,19822,Kerryon Johnson,DET,RB,10,CHI,0,0,0,51,1,6,38,1,1,18.9,18.9
34,18879,Corey Davis,TEN,WR,10,NE,0,0,0,0,0,7,125,1,0,18.5,18.5
35,19864,Anthony Miller,CHI,WR,10,DET,0,0,0,0,0,5,122,1,0,18.2,18.2
36,2593,Aaron Rodgers,GB,QB,10,MIA,199,2,0,21,0,0,0,0,0,18.1,18.06
37,17959,Derrick Henry,TEN,RB,10,NE,0,0,0,58,2,0,0,0,0,17.8,17.8
38,16470,Davante Adams,GB,WR,10,MIA,0,0,0,0,0,4,57,2,0,17.7,17.7
39,14855,Matt Barkley,BUF,QB,10,NYJ,232,2,0,-2,0,0,0,0,0,17.1,17.08
40,16568,Brandin Cooks,LAR,WR,10,SEA,0,0,0,9,1,10,100,0,0,16.9,16.9
41,19799,Rashaad Penny,SEA,RB,10,LAR,0,0,0,108,1,0,0,0,0,16.8,16.8
42,13291,Julio Jones,ATL,WR,10,CLE,0,0,0,0,0,7,107,1,0,16.7,16.7
43,18883,JuJu Smith-Schuster,PIT,WR,10,CAR,0,0,0,13,0,3,90,1,0,16.3,16.3
44,9038,Matthew Stafford,DET,QB,10,CHI,274,2,2,9,0,0,0,0,0,15.9,15.86
45,16232,Donte Moncrief,JAX,WR,10,IND,0,0,0,0,0,3,98,1,0,15.8,15.8
46,11056,Antonio Brown,PIT,WR,10,CAR,0,0,0,0,0,6,96,1,0,15.6,15.6
47,18926,Zay Jones,BUF,WR,10,NYJ,0,0,0,0,0,8,93,1,0,15.3,15.3
48,8244,Philip Rivers,LAC,QB,10,OAK,223,2,1,1,0,0,0,0,0,15,15.02
49,13320,Cam Newton,CAR,QB,10,PIT,193,2,1,10,0,0,0,0,0,14.7,14.72
50,16830,Tyler Lockett,SEA,WR,10,LAR,0,0,0,18,0,5,67,1,0,14.5,14.5
51,16887,Mike Davis,SEA,RB,10,LAR,0,0,0,58,0,4,22,1,0,14,14
52,18977,Kenny Golladay,DET,WR,10,CHI,0,0,0,0,0,6,78,1,0,13.8,13.8
53,8283,Ryan Fitzpatrick,TB,QB,10,WAS,406,0,2,35,0,0,0,0,1,13.7,13.74
54,18983,James Conner,PIT,RB,10,CAR,0,0,0,65,1,1,8,0,0,13.3,13.3
55,6739,Alex Smith,WAS,QB,10,TB,178,1,0,16,0,0,0,0,0,12.7,12.72
56,15076,Keenan Allen,LAC,WR,10,OAK,0,0,0,0,0,6,57,1,0,11.7,11.7
57,17963,Austin Hooper,ATL,TE,10,CLE,0,0,0,0,0,10,56,1,0,11.6,11.6
58,18123,Jeff Driskel,CIN,QB,10,NO,45,0,0,35,1,0,0,0,0,11.3,11.3
59,4314,Tom Brady,NE,QB,10,TEN,254,0,0,0,0,1,6,0,0,10.8,10.76
60,8355,Julian Edelman,NE,WR,10,TEN,6,0,0,0,0,9,104,0,0,10.6,10.64
61,14871,Robert Woods,LAR,WR,10,SEA,0,0,0,17,0,4,89,0,0,10.6,10.6
61,16838,Duke Johnson,CLE,RB,10,ATL,0,0,0,15,0,4,31,1,0,10.6,10.6
61,17939,Josh Doctson,WAS,WR,10,TB,0,0,0,0,0,4,46,1,0,10.6,10.6
64,18990,Jonnu Smith,TEN,TE,10,NE,0,0,0,0,0,3,45,1,0,10.5,10.5
64,20250,Robert Foster,BUF,WR,10,NYJ,0,0,0,0,0,3,105,0,0,10.5,10.5
66,15239,Vance McDonald,PIT,TE,10,CAR,0,0,0,0,0,4,44,1,0,10.4,10.4
66,19003,Tarik Cohen,CHI,RB,10,DET,0,0,0,15,1,6,29,0,0,10.4,10.4
68,18880,Chris Godwin,TB,WR,10,WAS,0,0,0,0,0,7,103,0,0,10.3,10.3
69,5820,Frank Gore,MIA,RB,10,GB,0,0,0,90,0,2,12,0,0,10.2,10.2
70,19330,Nick Mullens,SF,QB,10,NYG,250,1,2,1,0,0,0,0,0,10.1,10.1
71,19766,Saquon Barkley,NYG,RB,10,SF,0,0,0,67,0,4,33,0,0,10,10
72,18881,John Ross,CIN,WR,10,NO,0,0,0,0,0,2,39,1,0,9.9,9.9
73,16127,Isaiah Crowell,NYJ,RB,10,BUF,0,0,0,19,1,2,18,0,0,9.7,9.7
74,17961,Sterling Shepard,NYG,WR,10,SF,0,0,0,27,0,2,9,1,0,9.6,9.6
74,18944,Kareem Hunt,KC,RB,10,ARI,0,0,0,71,0,2,25,0,0,9.6,9.6
76,14385,Doug Martin,OAK,RB,10,LAC,0,0,0,61,0,3,31,0,0,9.2,9.2
77,19996,Jaylen Samuels,PIT,FB,10,CAR,0,0,0,7,0,3,22,1,0,8.9,8.9
78,18089,Rashard Higgins,CLE,WR,10,ATL,0,0,0,0,0,1,28,1,0,8.8,8.8
78,18900,Mo Alie-Cox,IND,TE,10,JAX,0,0,0,0,0,2,28,1,0,8.8,8.8
80,18032,Tyler Higbee,LAR,TE,10,SEA,0,0,0,0,0,3,25,1,0,8.5,8.5
80,18858,Joe Mixon,CIN,RB,10,NO,0,0,0,61,0,2,24,0,0,8.5,8.5
82,16781,Nelson Agholor,PHI,WR,10,DAL,0,0,0,0,0,5,83,0,0,8.3,8.3
82,19063,George Kittle,SF,TE,10,NYG,0,0,0,0,0,9,83,0,0,8.3,8.3
84,19763,Josh Rosen,ARI,QB,10,KC,208,1,2,-1,0,0,0,0,0,8.2,8.22
85,13299,Jacquizz Rodgers,TB,RB,10,WAS,0,0,0,0,0,8,102,0,1,8.2,8.2
86,14587,Josh Gordon,NE,WR,10,TEN,0,0,0,0,0,4,81,0,0,8.1,8.1
87,16311,Derek Carr,OAK,QB,10,LAC,243,0,0,2,0,0,0,0,1,7.9,7.92
88,14005,T.Y. Hilton,IND,WR,10,JAX,0,0,0,0,0,3,77,0,0,7.7,7.7
89,16765,Amari Cooper,DAL,WR,10,PHI,0,0,0,0,0,6,75,0,0,7.5,7.5
89,18935,Gerald Everett,LAR,TE,10,SEA,0,0,0,0,0,2,15,1,0,7.5,7.5
91,15261,Spencer Ware,KC,RB,10,ARI,0,0,0,6,1,1,7,0,0,7.3,7.3
92,9906,Danny Amendola,MIA,WR,10,GB,0,0,0,0,0,7,72,0,0,7.2,7.2
93,12841,Andy Dalton,CIN,QB,10,NO,153,1,2,8,0,0,0,0,0,6.9,6.92
94,4807,Adrian Peterson,WAS,RB,10,TB,0,0,0,68,0,2,1,0,0,6.9,6.9
94,14865,Marquise Goodwin,SF,WR,10,NYG,0,0,0,0,0,4,69,0,0,6.9,6.9
94,16989,Marcus Murphy,BUF,RB,10,NYJ,0,0,0,69,0,0,0,0,0,6.9,6.9
97,12708,Dion Lewis,TEN,RB,10,NE,0,0,0,57,0,2,11,0,0,6.8,6.8
97,16920,Jesse James,PIT,TE,10,CAR,0,0,0,0,0,1,8,1,0,6.8,6.8
97,18019,Nick Vannett,SEA,TE,10,LAR,0,0,0,0,0,1,8,1,0,6.8,6.8
100,3943,DeSean Jackson,TB,WR,10,WAS,0,0,0,0,0,5,67,0,0,6.7,6.7
101,18375,Peyton Barber,TB,RB,10,WAS,0,0,0,61,0,1,5,0,0,6.6,6.6
102,17986,Tyler Boyd,CIN,WR,10,NO,0,0,0,0,0,3,65,0,0,6.5,6.5
103,16797,TJ Yeldon,JAX,RB,10,IND,0,0,0,12,0,5,51,0,0,6.3,6.3
103,16834,Tevin Coleman,ATL,RB,10,CLE,0,0,0,44,0,3,19,0,0,6.3,6.3
105,14783,James Develin,NE,RB,10,TEN,0,0,0,1,1,0,0,0,0,6.1,6.1
106,15126,Theo Riddick,DET,RB,10,CHI,0,0,0,0,0,6,60,0,0,6,6
106,15965,Trey Burton,CHI,TE,10,DET,0,0,0,0,0,4,40,0,0,6,6
106,19415,Jason Croom,BUF,TE,10,NYJ,0,0,0,0,1,0,0,0,0,6,6
109,18690,Jalen Richard,OAK,RB,10,LAC,0,0,0,7,0,5,52,0,0,5.9,5.9
110,18998,Marlon Mack,IND,RB,10,JAX,0,0,0,29,0,2,9,0,0,5.8,5.8
111,19109,Elijah McGuire,NYJ,RB,10,BUF,0,0,0,30,0,3,27,0,0,5.7,5.7
112,18443,Maurice Harris,WAS,WR,10,TB,0,0,0,4,0,5,52,0,0,5.6,5.6
113,13870,Marvin Jones,DET,WR,10,CHI,0,0,0,0,0,3,55,0,0,5.5,5.5
114,17290,Adam Humphries,TB,WR,10,WAS,0,0,0,0,0,2,53,0,0,5.3,5.3
114,19979,Jordan Wilkins,IND,RB,10,JAX,0,0,0,53,0,0,0,0,0,5.3,5.3
116,8534,Jared Cook,OAK,TE,10,LAC,0,0,0,0,0,4,52,0,0,5.2,5.2
117,15100,Jordan Reed,WAS,TE,10,TB,0,0,0,0,0,4,51,0,0,5.1,5.1
117,16597,Mike Evans,TB,WR,10,WAS,0,0,0,0,0,3,51,0,0,5.1,5.1
